NUVAMA IN Equity,price,volume,mc,pe,bm,div
2024-03-31,934.34,8849370.0,164941.2125,26.2499,5.6982,0.0
2024-04-30,1045.41,6431185.0,184630.8219,29.3704,6.3756,0.0
2024-05-31,968.0,7124350.0,171164.3639,27.1956,5.9035,0.0
2024-06-30,991.06,5852075.0,175394.2359,27.8435,6.0441,0.0
2024-07-31,1268.4,11464020.0,224512.3112,35.6352,7.7355,0.0
2024-08-31,1289.34,16260930.0,229232.6225,36.2235,7.8633,16.3
2024-09-30,1351.85,21844850.0,241417.5637,37.9797,8.2445,16.3
2024-10-31,1398.03,20290600.0,250065.9057,39.2771,8.5261,16.3
2024-11-30,1313.04,9127155.0,235432.5363,36.8894,8.0078,28.9
2024-12-31,1384.87,44866405.0,248418.3822,38.9074,8.4459,28.9
2025-01-31,1119.05,15685060.0,200735.5135,31.4393,6.8247,28.9
2025-02-28,1080.1,12462100.0,193982.3525,30.345,6.5872,28.9
2025-03-31,1215.14,13916790.0,218569.4069,22.1157,6.2625,28.9
2025-04-30,1218.9,9196355.0,219245.7248,22.1841,6.2819,28.9
2025-05-31,1438.9,11547275.0,258817.5186,26.1881,7.4157,28.9
2025-06-30,1646.2,15310510.0,296354.8503,29.961,8.484,42.7
2025-07-31,1447.9,23792120.0,260658.9938,26.3519,7.4621,42.7
2025-08-31,1276.8,14755040.0,230024.215,23.2379,6.5803,26.4
2025-09-30,1261.0,14870890.0,227385.0963,22.9503,6.4988,26.4
2025-10-31,1418.4,17298680.0,255767.661,25.815,7.31,26.4
2025-11-30,1492.5,13484065.0,270991.3519,27.1637,7.6919,28.0
2025-12-31,1480.5,14533070.0,269164.0347,26.9453,7.6301,28.0
2026-01-31,1345.4,9291290.0,244658.236,24.4864,6.9338,28.0
2026-02-28,1244.9,9989446.0,226618.0144,22.6573,6.4159,28.0
2026-03-31,1238.6,1745325.0,225471.1761,22.5427,6.3834,28.0
