OINL IN Equity,price,volume,mc,pe,bm,div
2009-09-30,152.16,213644714.0,274406.5539,11.2979,2.6173,0.0
2009-10-31,149.41,120304702.0,269453.2082,11.094,2.5701,0.0
2009-11-30,169.59,37216258.0,305833.9599,12.5918,2.9171,0.0
2009-12-31,165.59,21191710.0,298620.3277,12.2948,2.8483,0.0
2010-01-31,149.63,14892724.0,269837.9202,11.1098,2.5737,0.0
2010-02-28,154.39,12784437.0,278422.1576,11.4632,2.6556,2.4
2010-03-31,153.97,27075863.0,277664.7262,10.149,2.0174,2.4
2010-04-30,148.96,13573339.0,268635.6482,9.8189,1.9518,2.4
2010-05-31,168.59,25125519.0,304030.5519,11.1127,2.2089,2.4
2010-06-30,192.32,71206167.0,346831.4363,12.6771,2.5199,2.4
2010-07-31,187.95,34166789.0,338956.5545,12.3893,2.4627,2.4
2010-08-31,193.95,16911716.0,349777.0028,12.7848,2.5413,2.4
2010-09-30,200.29,17570118.0,361210.5948,13.2027,2.6244,4.5333
2010-10-31,193.34,15009971.0,348670.9275,12.7443,2.5333,4.5333
2010-11-30,183.63,16164723.0,331153.7939,12.1041,2.406,4.5333
2010-12-31,188.16,12654034.0,339329.2438,12.4029,2.4654,4.5333
2011-01-31,171.76,9785713.0,309753.3517,11.3218,2.2505,4.5333
2011-02-28,164.88,11558435.0,297345.9194,10.8683,2.1604,4.5333
2011-03-31,174.97,8452273.0,315536.2952,27.3556,2.023,4.5333
2011-04-30,186.27,12183919.0,335914.8062,29.1224,2.1536,4.5333
2011-05-31,171.31,13948377.0,308935.8368,26.7834,1.9806,4.5333
2011-06-30,173.04,11723930.0,312061.7441,27.0544,2.0007,4.5333
2011-07-31,175.47,9729388.0,316450.037,27.4349,2.0288,4.5333
2011-08-31,173.59,8988620.0,313059.5998,27.1409,2.0071,4.5333
2011-09-30,179.91,13035364.0,324457.1537,28.129,2.0801,5.0
2011-10-31,173.18,9508273.0,312314.2062,27.0763,2.0023,5.0
2011-11-30,151.36,9959743.0,272963.8275,23.6648,1.75,5.0
2011-12-31,158.49,13160037.0,285828.1383,24.7801,1.8325,5.0
2012-01-31,161.53,16310141.0,291298.476,25.2543,1.8676,5.9333
2012-02-29,171.06,23676872.0,308490.9661,26.7448,1.9778,4.6667
2012-03-31,169.9,20363645.0,306398.9811,8.8906,0.6909,4.6667
2012-04-30,152.18,7709122.0,274448.6067,7.9635,0.6188,4.6667
2012-05-31,145.17,10548714.0,261794.6955,7.5964,0.5903,4.6667
2012-06-30,166.47,8105893.0,300207.2811,8.711,0.6769,4.6667
2012-07-31,165.43,11023701.0,298343.7597,8.6569,0.6727,4.6667
2012-08-31,164.33,7485901.0,296360.0112,8.5993,0.6682,4.6667
2012-09-30,163.97,11039313.0,295698.7617,8.5802,0.6668,6.3333
2012-10-31,161.08,6510907.0,290498.9359,8.4293,0.655,6.3333
2012-11-30,151.62,5588027.0,273426.6756,7.9339,0.6165,6.3333
2012-12-31,155.27,9492910.0,280009.114,8.1249,0.6314,6.3333
2013-01-31,180.0,34926594.0,324613.3997,9.4192,0.732,7.3333
2013-02-28,176.0,59307069.0,317399.7686,9.2098,0.7157,7.3333
2013-03-31,170.25,24131076.0,307030.1738,8.5481,1.5951,9.3333
2013-04-30,183.3,26425085.0,330564.6453,9.2033,1.7173,9.3333
2013-05-31,198.2,55848208.0,357435.4212,9.9515,1.8569,9.3333
2013-06-30,191.52,35014440.0,345382.6459,9.6159,1.7943,9.3333
2013-07-31,172.4,30160066.0,310907.5006,8.6561,1.6152,9.3333
2013-08-31,144.88,21280870.0,261283.7299,7.2745,1.3574,9.3333
2013-09-30,145.8,27776183.0,262936.8537,7.3205,1.366,7.0
2013-10-31,157.95,17099495.0,284848.2582,7.9305,1.4798,7.0
2013-11-30,161.05,24360396.0,290438.8223,8.0862,1.5089,7.0
2013-12-31,162.78,23414883.0,293564.7291,8.1732,1.5251,7.0
2014-01-31,158.07,21040786.0,285058.6558,7.9364,1.4809,7.0
2014-02-28,151.85,16556912.0,273847.4708,7.6243,1.4227,9.0
2014-03-31,161.35,22324992.0,290979.8446,9.7316,1.407,9.3333
2014-04-30,159.08,31909072.0,286892.1203,9.5949,1.3872,9.3333
2014-05-31,190.02,32810740.0,342677.5342,11.4606,1.657,9.3333
2014-06-30,195.88,46779045.0,353257.5265,11.8144,1.7081,9.3333
2014-07-31,188.33,26337338.0,339641.7978,11.3591,1.6423,9.3333
2014-08-31,205.13,27044111.0,369939.0484,12.3723,1.7888,9.3333
2014-09-30,202.87,31892815.0,365851.3241,12.2356,1.769,7.1667
2014-10-31,211.92,21934129.0,382172.1645,12.7815,1.8479,7.1667
2014-11-30,197.37,23970723.0,355932.5814,11.9039,1.721,7.1667
2014-12-31,192.13,21076627.0,346494.7473,11.5883,1.6754,7.1667
2015-01-31,178.17,28915100.0,321307.1521,10.7459,1.5536,7.1667
2015-02-28,165.88,32622754.0,299155.3236,10.005,1.4465,7.1667
2015-03-31,151.65,28369955.0,273486.7892,10.4851,1.2719,6.8333
2015-04-30,152.6,26554028.0,275200.0266,10.5508,1.2799,6.8333
2015-05-31,154.98,18409204.0,279498.1485,10.7156,1.2999,3.5
2015-06-30,148.93,19100038.0,268587.5314,10.2973,1.2492,3.5
2015-07-31,144.12,25241163.0,259901.1173,9.9643,1.2088,3.5
2015-08-31,149.82,29131412.0,270180.5416,10.3584,1.2566,3.5
2015-09-30,141.12,24430656.0,254490.894,9.7569,1.1836,6.8333
2015-10-31,135.3,19690519.0,244001.0721,9.3547,1.1348,6.8333
2015-11-30,125.83,89273828.0,226928.8118,8.7002,1.0554,6.6667
2015-12-31,127.67,68537476.0,230235.0594,8.8269,1.0708,6.6667
2016-01-31,117.18,43927414.0,211329.3345,8.1021,0.9829,9.3333
2016-02-29,103.08,22669362.0,185901.2849,7.1272,0.8646,9.3333
2016-03-31,104.33,27591107.0,188155.5446,12.0617,0.7473,6.0
2016-04-30,110.68,26773397.0,199607.184,12.7958,0.7928,6.0
2016-05-31,116.67,31568740.0,210397.5739,13.4875,0.8356,6.0
2016-06-30,117.4,19355890.0,211720.0729,13.5723,0.8409,6.0
2016-07-31,122.85,34176681.0,221548.6453,14.2023,0.8799,6.0
2016-08-31,128.17,26653211.0,231136.7633,14.817,0.918,6.0
2016-09-30,133.37,43731181.0,240514.4837,15.4181,0.9553,5.3333
2016-10-31,139.1,23966742.0,250854.0216,16.0809,0.9963,5.3333
2016-11-30,139.78,39032087.0,252086.3503,16.1599,1.0012,5.3333
2016-12-31,150.7,32107165.0,271773.5518,17.422,1.0794,5.3333
2017-01-31,146.51,53816970.0,264219.2234,16.9377,1.0494,5.3333
2017-02-28,145.38,34278005.0,262175.4215,16.8067,1.0413,6.8889
2017-03-31,148.36,34143048.0,267545.5693,16.757,0.9063,6.8889
2017-04-30,145.4,16793105.0,262215.4973,16.4232,0.8883,6.8889
2017-05-31,136.36,17198305.0,245904.6754,15.4016,0.833,6.8889
2017-06-30,115.38,25114934.0,196414.035,13.0321,0.7049,6.8889
2017-07-31,127.78,26527851.0,217523.2475,14.4327,0.7806,6.8889
2017-08-31,126.73,22421905.0,215745.2314,14.3148,0.7742,6.8889
2017-09-30,157.18,59757766.0,267572.5095,17.7535,0.9602,6.3333
2017-10-31,164.02,28620583.0,279224.1896,18.5266,1.0021,6.3333
2017-11-30,160.87,24929478.0,257596.4109,18.1702,0.9828,6.3333
2017-12-31,165.11,19658966.0,264393.056,18.6496,1.0087,6.3333
2018-01-31,159.53,30431450.0,255461.3391,18.0196,0.9746,6.3333
2018-02-28,155.49,34133877.0,264697.4221,17.5628,0.9499,8.3333
2018-03-31,144.23,45248041.0,245536.4611,9.0523,0.5639,8.3333
2018-04-30,154.97,36412062.0,263808.4141,9.7259,0.6058,8.3333
2018-05-31,143.9,44444367.0,244969.0092,9.0314,0.5626,8.3333
2018-06-30,139.9,29776229.0,238159.5857,8.7803,0.5469,8.3333
2018-07-31,139.37,21705135.0,237251.6626,8.7469,0.5448,8.3333
2018-08-31,142.4,22020077.0,242415.4754,8.9372,0.5567,8.3333
2018-09-30,146.37,25715759.0,249168.1537,9.1862,0.5722,6.8889
2018-10-31,131.73,38679792.0,224257.0128,8.2678,0.515,6.8889
2018-11-30,124.17,42419004.0,211375.8534,7.7929,0.4854,6.8889
2018-12-31,116.53,64013889.0,198381.2036,7.3138,0.4556,6.8889
2019-01-31,111.77,34027443.0,190266.6407,7.0146,0.4369,6.8889
2019-02-28,116.4,63616095.0,198154.2229,7.3054,0.4551,6.3333
2019-03-31,123.63,64064975.0,210467.9303,6.4843,0.6941,6.3333
2019-04-30,120.57,38447043.0,196114.6793,6.3234,0.6769,6.3333
2019-05-31,120.0,61915253.0,195192.9349,6.2937,0.6737,6.3333
2019-06-30,118.67,28584989.0,193024.1245,6.2238,0.6662,6.3333
2019-07-31,106.33,65646239.0,172962.6284,5.5769,0.5969,6.3333
2019-08-31,98.63,42100730.0,160437.7485,5.1731,0.5537,6.8333
2019-09-30,96.83,44802132.0,157509.8544,5.0787,0.5436,6.8333
2019-10-31,114.43,37525679.0,186138.1516,6.0017,0.6424,6.8333
2019-11-30,102.7,22374083.0,167052.6201,5.3864,0.5766,6.8333
2019-12-31,102.03,20004035.0,165968.2149,5.3514,0.5728,6.8333
2020-01-31,86.37,72507902.0,140484.6929,4.5297,0.4849,6.8333
2020-02-29,72.0,113907830.0,117115.761,3.7762,0.4042,7.1667
2020-03-31,55.1,164282510.0,89626.0893,1.7906,0.3107,7.1667
2020-04-30,65.87,90263478.0,107139.2332,2.1405,0.3714,7.1667
2020-05-31,56.5,37705548.0,91903.3402,1.8361,0.3186,7.1667
2020-06-30,62.43,92848566.0,101554.5464,2.0289,0.352,7.1667
2020-07-31,64.43,37023581.0,104807.762,2.0939,0.3633,7.1667
2020-08-31,63.17,38468304.0,102747.3921,2.0528,0.3562,7.1667
2020-09-30,59.53,20538225.0,96837.3838,1.9347,0.3357,7.0667
2020-10-31,57.3,35070537.0,93204.6249,1.8621,0.3231,7.0667
2020-11-30,64.1,27183288.0,104265.5577,2.0831,0.3614,7.0667
2020-12-31,71.6,78117099.0,116465.1159,2.3268,0.4037,7.0667
2021-01-31,74.23,47664425.0,120748.5163,2.4124,0.4186,7.0667
2021-02-28,84.2,71471837.0,136960.3737,2.7363,0.4748,3.4
2021-03-31,81.87,70554546.0,133164.9556,3.2119,0.5627,3.4
2021-04-30,81.4,22748601.0,132405.872,3.1936,0.5595,3.4
2021-05-31,88.33,41236595.0,143683.6858,3.4656,0.6071,3.4
2021-06-30,104.8,74817123.0,170468.4937,4.1117,0.7203,3.4
2021-07-31,111.23,38278232.0,180933.0066,4.3641,0.7645,3.4
2021-08-31,121.33,38330655.0,197361.7453,4.7603,0.8339,3.4
2021-09-30,173.47,88565003.0,282162.2315,6.8057,1.1922,3.3333
2021-10-31,150.03,82027052.0,244045.3889,5.8863,1.0312,3.3333
2021-11-30,141.1,34099835.0,229514.3593,5.5358,0.9698,5.6667
2021-12-31,132.6,43188780.0,215688.1931,5.2024,0.9114,5.6667
2022-01-31,159.77,59548263.0,259877.7047,6.2682,1.0981,5.6667
2022-02-28,148.63,41763486.0,241768.138,5.8314,1.0216,7.1667
2022-03-31,158.93,98436599.0,258522.1982,4.5988,0.8459,7.1667
2022-04-30,152.3,53791767.0,247732.3666,4.4068,0.8106,7.1667
2022-05-31,158.97,53824455.0,258576.4185,4.5997,0.8461,7.1667
2022-06-30,167.67,284501303.0,272727.9063,4.8515,0.8924,7.1667
2022-07-31,126.67,173206014.0,206036.9869,3.6651,0.6742,7.1667
2022-08-31,128.53,70535631.0,209073.3214,3.7191,0.6841,7.1667
2022-09-30,116.3,50752898.0,189174.4861,3.3652,0.619,9.5
2022-10-31,128.67,46650099.0,209290.2024,3.723,0.6848,9.5
2022-11-30,136.43,32787989.0,221923.523,3.9477,0.7261,9.0
2022-12-31,138.8,32997257.0,225773.1614,4.0162,0.7387,9.0
2023-01-31,155.3,36258665.0,252612.1899,4.4936,0.8266,9.0
2023-02-28,164.7,95935793.0,267902.3032,4.7656,0.8766,14.5
2023-03-31,167.77,61096020.0,272890.5671,3.1265,0.7091,14.5
2023-04-30,169.9,47438864.0,276360.6637,3.1662,0.7182,14.5
2023-05-31,171.5,56493393.0,278963.2362,3.196,0.7249,14.5
2023-06-30,163.3,55656621.0,265625.0523,3.0432,0.6903,14.5
2023-07-31,183.8,33044559.0,298970.512,3.4253,0.7769,14.5
2023-08-31,182.07,30458037.0,296151.0585,3.393,0.7696,13.3333
2023-09-30,199.23,73782593.0,324074.4922,3.7129,0.8422,13.3333
2023-10-31,199.23,98815020.0,324074.4922,3.7129,0.8422,13.3333
2023-11-30,203.47,70136690.0,330960.4652,3.7918,0.8601,12.6667
2023-12-31,248.1,239979092.0,403561.3929,4.6236,1.0487,12.6667
2024-01-31,284.33,148679616.0,462498.8152,5.2988,1.2019,12.6667
2024-02-29,364.37,301084623.0,592681.6588,6.7903,1.5402,12.6667
2024-03-31,400.17,183696603.0,650914.2177,10.2747,1.3466,11.6667
2024-04-30,413.43,167716542.0,672493.8811,10.6154,1.3912,11.6667
2024-05-31,423.8,128417300.0,689356.3818,10.8815,1.4261,11.6667
2024-06-30,482.03,136458059.0,784079.1755,12.3768,1.622,11.6667
2024-07-31,577.55,218279477.0,939447.3297,14.8293,1.9435,11.6667
2024-08-31,741.0,287787818.0,1205316.373,19.026,2.4935,10.5
2024-09-30,580.65,152689340.0,944489.8138,14.9088,1.9539,10.5
2024-10-31,471.75,94464223.0,767352.2254,12.1127,1.5874,10.5
2024-11-30,490.6,47873326.0,798013.7823,12.5967,1.6509,11.1667
2024-12-31,430.75,55260864.0,700661.306,11.06,1.4495,11.1667
2025-01-31,420.45,104714404.0,683907.2457,10.7955,1.4148,11.1667
2025-02-28,342.7,65075631.0,557438.49,8.7992,1.1532,12.5
2025-03-31,386.75,61457905.0,629090.5632,9.6039,1.2641,12.5
2025-04-30,410.75,57789991.0,668129.1502,10.1999,1.3425,12.5
2025-05-31,426.8,57909671.0,694236.2052,10.5985,1.395,12.5
2025-06-30,434.25,139445581.0,706354.4332,10.7835,1.4193,12.5
2025-07-31,440.0,53610986.0,715707.428,10.9262,1.4381,12.5
2025-08-31,390.3,43572548.0,634865.0208,9.6921,1.2757,12.5
2025-09-30,413.8,48216405.0,673090.3039,10.2756,1.3525,11.5
2025-10-31,433.35,54577248.0,704890.4862,10.7611,1.4164,11.5
2025-11-30,413.2,35271592.0,672114.3392,10.2607,1.3505,12.0
2025-12-31,424.35,38198920.0,690251.0161,10.5376,1.3869,12.0
2026-01-31,510.05,128063851.0,829651.3038,12.6658,1.667,12.0
2026-02-28,483.9,129121182.0,787115.5101,12.0164,1.5816,12.0
2026-03-31,481.4,51571918.0,783048.9807,11.9543,1.5734,12.0
