OLECTRA IN Equity,price,volume,mc,pe,bm,div
2002-06-30,19.75,98350.0,214.092,19.0601,0.7863,0.0
2002-07-31,18.35,640831.0,198.9158,17.709,0.7306,0.0
2002-08-31,17.35,32393.0,188.0757,16.7439,0.6907,0.0
2002-09-30,14.7,262481.0,159.3495,14.1865,0.5852,0.0
2002-10-31,11.25,70908.0,121.9511,10.857,0.4479,0.0
2002-11-30,13.0,73186.0,140.9213,12.5459,0.5176,0.0
2002-12-31,14.7,381943.0,159.3495,14.1865,0.5852,0.0
2003-01-31,11.5,738868.0,124.6612,11.0983,0.4578,0.0
2003-02-28,11.0,98552.0,119.2411,10.6157,0.4379,0.0
2003-03-31,8.55,79127.0,92.6829,10.1746,0.3575,0.0
2003-04-30,7.75,38984.0,84.0108,9.2226,0.3241,0.0
2003-05-31,8.1,108938.0,87.8048,9.6391,0.3387,0.0
2003-06-30,10.52,579214.0,143.7569,12.519,0.4399,0.0
2003-07-31,9.15,347766.0,125.0357,10.8886,0.3826,0.0
2003-08-31,9.06,253378.0,123.8058,10.7815,0.3789,0.0
2003-09-30,7.88,174308.0,107.681,9.3773,0.3295,0.0
2003-10-31,6.25,133381.0,85.4069,7.4376,0.2614,0.0
2003-11-30,7.48,353133.0,102.2149,8.9013,0.3128,0.0
2003-12-31,8.99,1901443.0,122.8492,10.6982,0.3759,0.0
2004-01-31,6.21,382189.0,84.8603,7.39,0.2597,0.0
2004-02-29,5.0,98388.0,68.3255,5.9501,0.2091,0.0
2004-03-31,3.88,184257.0,53.0206,4.6054,0.1721,0.0
2004-04-30,4.3,55929.0,58.7599,4.6054,0.1908,0.0
2004-05-31,4.46,151666.0,60.9463,4.6054,0.1979,0.0
2004-06-30,4.05,51392.0,55.3437,4.6054,0.1797,0.0
2004-07-31,4.16,79887.0,56.8468,4.6054,0.1846,0.0
2004-08-31,4.37,153725.0,59.7165,4.6054,0.1939,0.0
2004-09-30,5.57,274603.0,76.1146,4.6054,0.2471,0.0
2004-10-31,5.23,145266.0,71.4685,4.6054,0.232,0.0
2004-11-30,6.7,1346235.0,91.5562,4.6054,0.2972,0.0
2004-12-31,7.14,664452.0,97.5688,4.6054,0.3168,0.0
2005-01-31,6.95,1628337.0,94.9724,4.6054,0.3083,0.0
2005-02-28,9.0,3615519.0,122.9859,4.6054,0.3993,0.0
2005-03-31,15.05,8700993.0,205.6598,48.1073,0.6224,0.0
2005-04-30,14.5,2695416.0,198.144,46.3493,0.5996,0.0
2005-05-31,14.75,1546317.0,201.5602,47.1484,0.61,0.0
2005-06-30,15.35,2582844.0,209.7593,49.0663,0.6348,0.0
2005-07-31,16.0,4285953.0,218.6416,51.144,0.6617,0.0
2005-08-31,20.2,6090609.0,276.035,64.5693,0.8353,0.0
2005-09-30,16.25,8006651.0,222.0579,51.9432,0.672,0.0
2005-10-31,11.75,732590.0,160.5649,37.5589,0.4859,0.0
2005-11-30,13.05,588032.0,274.3541,41.7143,0.5397,0.0
2005-12-31,14.95,784096.0,314.2983,47.7877,0.6182,0.0
2006-01-31,13.9,2393905.0,292.2239,44.4314,0.5748,0.0
2006-02-28,13.7,1246639.0,288.0192,43.7921,0.5665,0.0
2006-03-31,14.95,2402516.0,314.2983,4.8489,0.7099,0.0
2006-04-30,32.3,5459304.0,646.4665,10.4762,1.5338,0.0
2006-05-31,24.4,3559201.0,512.9685,7.9139,1.1587,0.0
2006-06-30,18.4,1191521.0,386.8287,5.9679,0.8737,0.0
2006-07-31,18.05,898678.0,379.4706,5.8543,0.8571,0.0
2006-08-31,17.0,746983.0,357.3961,5.5138,0.8073,0.0
2006-09-30,16.35,845917.0,343.731,5.303,0.7764,0.0
2006-10-31,16.3,2181269.0,342.6798,5.2868,0.774,0.0
2006-11-30,14.7,2053132.0,309.0425,4.7678,0.698,0.0
2006-12-31,19.95,13372932.0,419.4148,6.4706,0.9474,0.0
2007-01-31,21.85,5903336.0,459.3591,7.0868,1.0376,0.0
2007-02-28,19.55,3533007.0,411.0055,6.3409,0.9284,0.0
2007-03-31,25.95,2405290.0,545.5546,19.5188,1.1878,0.0
2007-04-30,24.6,3644359.0,517.1732,18.5034,1.126,0.0
2007-05-31,22.35,1895570.0,469.8708,16.811,1.023,0.0
2007-06-30,20.15,1095855.0,423.6195,15.1562,0.9223,0.0
2007-07-31,38.55,10712203.0,810.4482,28.9961,1.7646,0.0
2007-08-31,38.0,1960850.0,798.8854,28.5824,1.7394,0.0
2007-09-30,39.7,6900087.0,834.6131,29.8611,1.8172,0.4
2007-10-31,33.35,2793071.0,701.1171,25.0848,1.5265,0.4
2007-11-30,36.6,3274657.0,769.4418,27.5294,1.6753,0.4
2007-12-31,52.15,4472893.0,1096.3495,39.2256,2.3871,0.4
2008-01-31,40.05,4533837.0,841.9712,30.1244,1.8332,0.4
2008-02-29,53.1,4704716.0,1116.3213,39.9402,2.4306,0.4
2008-03-31,40.1,3662880.0,843.0223,8.6851,0.9635,0.4
2008-04-30,54.6,1869883.0,1147.8558,11.8256,1.3119,0.4
2008-05-31,73.85,6511837.0,1552.5486,15.9949,1.7744,0.4
2008-06-30,49.55,2764496.0,1041.6897,10.7318,1.1906,0.4
2008-07-31,42.25,1238992.0,888.2218,9.1508,1.0152,0.4
2008-08-31,38.95,597529.0,818.8459,8.436,0.9359,0.4
2008-09-30,24.5,1121581.0,515.0635,5.3064,0.5887,0.4
2008-10-31,14.4,401647.0,302.7312,3.1188,0.346,0.4
2008-11-30,15.9,412181.0,334.2657,3.4437,0.382,0.4
2008-12-31,19.7,484054.0,414.1531,4.2667,0.4733,0.4
2009-01-31,16.2,312783.0,340.5726,3.5087,0.3892,0.4
2009-02-28,14.3,329348.0,515.1332,3.0972,0.3436,0.4
2009-03-31,14.5,758210.0,522.3379,3.1405,0.3484,0.4
2009-04-30,15.3,675394.0,551.1565,3.3138,0.3676,0.4
2009-05-31,20.2,1441456.0,727.6707,4.375,0.4854,0.4
2009-06-30,20.9,2781259.0,752.887,4.5266,0.5022,0.4
2009-07-31,20.05,1396328.0,722.2672,4.3425,0.4817,0.4
2009-08-31,22.55,1774512.0,812.3254,4.884,0.5418,0.4
2009-09-30,25.6,3819003.0,922.1965,5.5446,0.6151,0.4
2009-10-31,23.8,1229080.0,858.7207,5.1547,0.5719,0.4
2009-11-30,24.35,692766.0,878.565,5.2739,0.5851,0.4
2009-12-31,26.3,2724198.0,948.9224,5.6962,0.6319,0.4
2010-01-31,26.55,15692135.0,957.9426,5.7504,0.6379,0.4
2010-02-28,25.75,4797624.0,929.078,5.5771,0.6187,0.4
2010-03-31,26.5,7408285.0,956.1385,5.7395,0.6367,0.4
2010-04-30,29.25,18080533.0,1055.3605,6.3351,0.7028,0.4
2010-05-31,27.0,2166667.0,974.1789,5.8478,0.6487,0.4
2010-06-30,26.35,1593030.0,950.7264,5.707,0.6331,0.4
2010-07-31,26.0,2021209.0,938.0982,5.6312,0.6247,0.4
2010-08-31,24.2,1786306.0,873.1529,5.2414,0.5815,0.4
2010-09-30,23.05,1329924.0,831.6601,4.9923,0.5538,0.2
2010-10-31,21.5,728592.0,775.735,4.6566,0.5166,0.2
2010-11-30,18.75,755661.0,676.5131,4.061,0.4505,0.2
2010-12-31,19.35,432824.0,698.1615,4.1909,0.4649,0.2
2011-01-31,18.2,1412266.0,656.6687,3.9419,0.4373,0.2
2011-02-28,17.3,1168922.0,624.1961,3.7469,0.4157,0.2
2011-03-31,17.15,968522.0,618.784,19.0556,0.6233,0.2
2011-04-30,19.9,484318.0,718.0059,22.1111,0.7233,0.2
2011-05-31,18.1,1069434.0,653.0607,20.1111,0.6578,0.2
2011-06-30,18.1,2132885.0,653.0607,20.1111,0.6578,0.2
2011-07-31,17.65,220729.0,636.8244,19.6111,0.6415,0.2
2011-08-31,14.0,309967.0,505.1298,15.5556,0.5088,0.2
2011-09-30,13.7,201982.0,494.3056,15.2222,0.4979,0.2
2011-10-31,12.7,57214.0,458.2249,14.1111,0.4616,0.2
2011-11-30,9.9,846720.0,357.1989,11.0,0.3598,0.2
2011-12-31,9.25,111520.0,333.7465,10.2778,0.3362,0.2
2012-01-31,14.35,184879.0,517.758,15.9444,0.5215,0.2
2012-02-29,13.05,186149.0,470.8531,14.5,0.4743,0.2
2012-03-31,10.65,466752.0,384.2595,20.0943,0.5255,0.2
2012-04-30,10.25,64126.0,369.8272,19.3396,0.5057,0.2
2012-05-31,10.2,229368.0,368.0231,19.2453,0.5033,0.2
2012-06-30,10.55,87076.0,380.6514,19.9057,0.5205,0.2
2012-07-31,11.05,336718.0,398.6917,20.8491,0.5452,0.2
2012-08-31,14.3,1261202.0,515.954,26.9811,0.7055,0.2
2012-09-30,17.15,862832.0,618.784,32.3585,0.8462,0.2
2012-10-31,15.0,405254.0,541.2105,28.3019,0.7401,0.2
2012-11-30,14.25,375016.0,514.15,26.8868,0.7031,0.2
2012-12-31,11.8,136702.0,425.7523,22.2642,0.5822,0.2
2013-01-31,10.8,438630.0,389.6716,20.3774,0.5329,0.2
2013-02-28,9.9,369972.0,357.1989,18.6792,0.4884,0.2
2013-03-31,10.15,190277.0,366.2191,18.2564,0.4946,0.2
2013-04-30,9.45,108962.0,340.9626,16.9973,0.4605,0.2
2013-05-31,10.0,339802.0,360.807,17.9866,0.4873,0.2
2013-06-30,10.65,381413.0,384.2599,19.1557,0.519,0.2
2013-07-31,10.85,306223.0,391.476,19.5154,0.5287,0.2
2013-08-31,9.85,134863.0,355.3953,17.7168,0.48,0.2
2013-09-30,10.3,109698.0,371.6316,18.5262,0.5019,0.2
2013-10-31,9.6,235035.0,346.3751,17.2671,0.4678,0.2
2013-11-30,10.05,97830.0,362.6114,18.0765,0.4897,0.0
2013-12-31,9.95,133512.0,359.0033,17.8966,0.4849,0.0
