ONGC IN Equity,price,volume,mc,pe,bm,div
2002-03-31,30.37,21051279.0,389779.048,6.265,1.3056,1.2222
2002-04-30,38.2,148881420.0,490236.0954,7.8796,1.6421,1.2222
2002-05-31,35.53,136577907.0,456013.6804,7.3296,1.5274,1.2222
2002-06-30,36.16,24165792.0,464070.2073,7.4591,1.5544,1.2222
2002-07-31,37.97,38755674.0,487312.9308,7.8327,1.6323,1.2222
2002-08-31,39.26,26110512.0,503853.7648,8.0985,1.6877,1.5556
2002-09-30,37.91,14548032.0,486457.3704,7.8189,1.6294,1.5556
2002-10-31,41.98,16556301.0,538717.8501,8.6589,1.8045,1.5556
2002-11-30,39.23,17297874.0,503425.9846,8.0916,1.6862,1.5556
2002-12-31,38.87,7869654.0,498791.6992,8.0172,1.6707,1.5556
2003-01-31,41.18,14722632.0,528522.4223,8.495,1.7703,3.7778
2003-02-28,41.77,8124093.0,536079.8722,8.6165,1.7956,3.7778
2003-03-31,39.53,7980534.0,507347.303,4.8469,1.4144,3.7778
2003-04-30,39.39,3423717.0,505564.8855,4.8299,1.4095,3.7778
2003-05-31,53.19,26700885.0,682594.5866,6.5211,1.903,3.7778
2003-06-30,53.64,56695878.0,688440.9159,6.577,1.9193,3.7778
2003-07-31,50.51,33714216.0,648229.5782,6.1928,1.8072,3.7778
2003-08-31,68.24,61037388.0,875808.6382,8.367,2.4417,3.7778
2003-09-30,67.96,97630488.0,872172.5066,8.3322,2.4315,3.3333
2003-10-31,66.36,78208263.0,851639.0576,8.1361,2.3743,3.3333
2003-11-30,68.6,48945276.0,880371.6269,8.4106,2.4544,3.3333
2003-12-31,88.83,66326490.0,1140034.201,10.8912,3.1783,3.3333
2004-01-31,82.07,149935842.0,1053266.12,10.0623,2.9364,3.3333
2004-02-29,79.79,100064034.0,1023963.177,9.7823,2.8547,3.0
2004-03-31,93.38,241235406.0,1198426.197,12.776,2.8988,3.0
2004-04-30,93.33,251753859.0,1197784.526,12.7692,2.8973,3.0
2004-05-31,69.49,251206101.0,891850.3953,9.5077,2.1573,3.0
2004-06-30,69.92,247329801.0,897268.9443,9.5655,2.1704,3.0
2004-07-31,79.59,185290893.0,1021396.496,10.8888,2.4706,3.0
2004-08-31,79.32,157023702.0,1017974.254,10.8523,2.4623,3.0
2004-09-30,83.17,103326219.0,1067382.866,11.379,2.5819,2.6667
2004-10-31,87.57,95047425.0,1123849.851,11.981,2.7184,2.6667
2004-11-30,90.44,77850720.0,1160710.243,12.374,2.8076,2.6667
2004-12-31,91.06,64329354.0,1168624.177,12.4583,2.8267,3.3333
2005-01-31,90.96,291017673.0,1167269.54,12.4439,2.8235,3.3333
2005-02-28,94.74,356068440.0,1215893.888,12.9623,2.9411,3.3333
2005-03-31,98.37,579331413.0,1262379.335,8.8038,2.5964,3.3333
2005-04-30,90.13,252407133.0,1156717.628,8.0669,2.3791,3.3333
2005-05-31,102.53,230681124.0,1315780.562,9.1762,2.7063,3.3333
2005-06-30,114.16,298100277.0,1465075.847,10.2174,3.0133,3.3333
2005-07-31,104.28,344101383.0,1338239.021,9.3329,2.7524,3.3333
2005-08-31,109.09,284230773.0,1400053.259,9.764,2.8796,3.3333
2005-09-30,117.89,236247597.0,1512915.932,10.5511,3.1117,4.4444
2005-10-31,103.23,317195433.0,1324763.946,9.2389,2.7247,4.4444
2005-11-30,114.41,211633938.0,1468212.902,10.2393,3.0198,4.4444
2005-12-31,130.47,282018591.0,1674402.953,11.6773,3.4439,5.0
2006-01-31,137.48,254830347.0,1764308.089,12.3043,3.6288,5.0
2006-02-28,126.27,281465469.0,1620431.352,11.3009,3.3328,5.0
2006-03-31,145.71,263667357.0,1869898.498,12.1444,3.2939,5.0
2006-04-30,145.31,483545124.0,1845443.731,12.1115,3.285,5.0
2006-05-31,124.03,477709434.0,1591694.423,10.3376,2.8039,5.0
2006-06-30,123.12,425233899.0,1579985.159,10.2616,2.7833,5.0
2006-07-31,130.35,328922514.0,1672812.228,10.8645,2.9468,5.0
2006-08-31,135.29,207805986.0,1736194.152,11.2762,3.0584,5.0
2006-09-30,129.98,199001520.0,1668106.708,10.834,2.9385,5.0
2006-10-31,135.96,236553087.0,1744785.29,11.332,3.0736,5.0
2006-11-30,143.73,259779180.0,1844455.909,11.9793,3.2492,5.0
2006-12-31,145.22,207880788.0,1863598.809,12.1036,3.2829,5.2222
2007-01-31,151.9,211655232.0,1949367.56,12.6607,3.434,5.2222
2007-02-28,131.34,154883778.0,1685537.75,10.9472,2.9692,5.2222
2007-03-31,146.8,176417502.0,1883918.09,10.7928,2.8239,5.2222
2007-04-30,152.31,154761762.0,1954607.795,11.1978,2.9299,5.2222
2007-05-31,153.72,154940922.0,1972681.26,11.3013,2.9569,5.2222
2007-06-30,150.92,143240862.0,1936856.045,11.0961,2.9032,5.2222
2007-07-31,152.42,149220186.0,1956105.899,11.2063,2.9321,5.2222
2007-08-31,143.28,152406666.0,1838788.739,10.5342,2.7562,5.2222
2007-09-30,159.68,175300386.0,2049254.266,11.74,3.0717,5.1667
2007-10-31,207.73,333883392.0,2665784.422,15.272,3.9959,5.1667
2007-11-30,194.59,254106510.0,2497241.226,14.3065,3.7432,5.1667
2007-12-31,206.16,243982026.0,2645679.015,15.1568,3.9657,5.1667
2008-01-31,164.93,316943460.0,2116521.824,12.1254,3.1725,5.1667
2008-02-29,169.53,175651314.0,2175554.72,12.4635,3.261,5.1667
2008-03-31,163.42,232245870.0,2097271.966,10.5538,2.6858,5.1667
2008-04-30,172.18,189365220.0,2209562.935,11.1188,2.8296,5.1667
2008-05-31,144.2,323315400.0,1850552.96,9.3122,2.3699,5.1667
2008-06-30,135.84,440504136.0,1743288.477,8.7725,2.2325,5.1667
2008-07-31,166.04,345235464.0,2130852.273,10.7227,2.7288,5.1667
2008-08-31,170.54,228830298.0,2188601.845,11.0133,2.8028,5.1667
2008-09-30,172.37,294269712.0,2212022.371,11.1312,2.8328,5.3333
2008-10-31,111.52,397606698.0,1431119.956,7.2016,1.8327,5.3333
2008-11-30,115.63,324625512.0,1483950.12,7.4674,1.9004,5.3333
2008-12-31,111.18,373540290.0,1426842.21,7.1801,1.8273,5.3333
2009-01-31,109.16,263398470.0,1400854.902,7.0493,1.794,5.3333
2009-02-28,115.17,205402038.0,1477961.275,7.4373,1.8927,5.3333
