PCBL IN Equity,price,volume,mc,pe,bm,div
2010-03-31,19.71,28421380.0,5567.2537,4.555,1.7185,0.0
2010-04-30,22.18,51216380.0,6265.1028,5.126,1.9339,0.0
2010-05-31,18.51,16674980.0,6146.9172,4.2776,1.6138,0.0
2010-06-30,18.42,26569690.0,6117.0214,4.2568,1.606,0.0
2010-07-31,19.27,77043580.0,6401.0319,4.4545,1.6806,0.5
2010-08-31,20.21,36808460.0,6711.6164,4.6706,1.7621,0.5
2010-09-30,21.91,57344770.0,7277.9765,5.0647,1.9108,0.5
2010-10-31,20.0,16098930.0,6643.5204,4.6232,1.7442,0.5
2010-11-30,17.46,7503500.0,5799.7933,4.0361,1.5227,0.5
2010-12-31,17.12,10063680.0,5685.1925,3.9563,1.4926,0.5
2011-01-31,13.37,5056960.0,4441.1934,3.0906,1.166,0.5
2011-02-28,13.54,52978550.0,4497.6633,3.1299,1.1808,0.5
2011-03-31,14.64,15633280.0,4861.396,4.263,0.9432,0.5
2011-04-30,14.71,7408060.0,4886.3092,4.2849,0.948,0.5
2011-05-31,14.41,7253600.0,4784.9955,4.196,0.9284,0.5
2011-06-30,13.92,4492650.0,4623.8902,4.0548,0.8971,0.5
2011-07-31,14.5,9836190.0,4816.5523,4.2237,0.9345,0.5
2011-08-31,14.69,8638270.0,4879.6657,4.2791,0.9467,0.5
2011-09-30,14.04,15512760.0,4662.0904,4.0883,0.9045,0.5
2011-10-31,14.22,4816190.0,4723.543,4.1421,0.9164,0.5
2011-11-30,10.6,5340920.0,3519.4049,3.0862,0.6828,0.5
2011-12-31,8.72,8558830.0,2896.5749,2.5401,0.562,0.5
2012-01-31,9.12,8115140.0,3141.7219,2.6551,0.5874,0.5
2012-02-29,10.76,25706260.0,3708.714,3.1343,0.6935,0.5
2012-03-31,11.2,8869840.0,3858.648,4.4127,0.6354,0.5
2012-04-30,10.88,13040160.0,3748.3517,4.2866,0.6173,0.5
2012-05-31,10.33,5517980.0,3558.7799,4.0698,0.5861,0.5
2012-06-30,10.05,7013060.0,3462.2706,3.9594,0.5702,0.5
2012-07-31,8.87,34577340.0,3055.5529,3.4943,0.5032,0.4
2012-08-31,9.21,30388710.0,3172.7427,3.6283,0.5225,0.4
2012-09-30,9.75,20763860.0,3360.5912,3.8431,0.5534,0.4
2012-10-31,10.54,54258770.0,3632.8852,4.1545,0.5983,0.4
2012-11-30,9.5,16325250.0,3276.1455,3.7466,0.5395,0.4
2012-12-31,9.33,6434820.0,3217.5506,3.6795,0.5299,0.4
2013-01-31,8.78,8866260.0,3024.5321,3.4588,0.4981,0.4
2013-02-28,7.36,4654210.0,2536.8155,2.9011,0.4178,0.4
2013-03-31,6.47,5504120.0,2228.3305,2.5266,0.3808,0.4
2013-04-30,7.3,4543140.0,2516.1349,2.5266,0.43,0.4
2013-05-31,6.64,8329460.0,2286.9254,2.5266,0.3908,0.4
2013-06-30,5.62,4781920.0,1937.0775,2.5266,0.331,0.4
2013-07-31,3.23,22833660.0,1111.5792,2.5266,0.19,0.05
2013-08-31,3.48,13312690.0,1197.7481,2.5266,0.2047,0.05
2013-09-30,3.74,7949610.0,1287.3638,2.5266,0.22,0.05
2013-10-31,4.35,26197160.0,1499.3393,2.5266,0.2562,0.05
2013-11-30,5.44,25337250.0,1873.3125,2.5266,0.3201,0.05
2013-12-31,6.15,49703100.0,2121.479,2.5266,0.3626,0.05
2014-01-31,5.26,15981470.0,1811.2709,2.5266,0.3095,0.05
2014-02-28,4.64,9404350.0,1597.5719,2.5266,0.273,0.05
2014-03-31,5.66,27475190.0,1950.8645,2.5266,0.3892,0.05
2014-04-30,6.07,29326140.0,2092.1816,2.5266,0.4174,0.05
2014-05-31,7.07,20616350.0,2436.8573,2.5266,0.4861,0.05
2014-06-30,8.48,33451410.0,2922.85,2.5266,0.5831,0.05
2014-07-31,8.84,91846470.0,3046.9333,2.5266,0.6078,0.05
2014-08-31,8.79,35791130.0,3027.9761,2.5266,0.604,0.05
2014-09-30,11.12,131340480.0,3831.0705,2.5266,0.7642,0.0
2014-10-31,11.68,28025930.0,4024.0889,2.5266,0.8028,0.0
2014-11-30,14.47,164934440.0,4985.7342,2.5266,0.9946,0.0
2014-12-31,15.02,115663550.0,5177.0292,2.5266,1.0327,0.0
2015-01-31,14.81,100564470.0,5104.6473,2.5266,1.0183,0.0
2015-02-28,12.04,44402990.0,4149.947,2.5266,0.8278,0.0
2015-03-31,13.16,65499520.0,4535.9324,42.589,0.8944,0.0
2015-04-30,13.16,41996620.0,4535.9324,42.589,0.8944,0.0
2015-05-31,10.88,45759470.0,3748.3484,35.1942,0.7391,0.0
2015-06-30,11.56,26953790.0,3982.7279,37.3948,0.7853,0.0
2015-07-31,13.29,69321460.0,4582.4636,43.0259,0.9035,0.1
2015-08-31,11.41,26193760.0,3932.7499,36.9256,0.7754,0.1
2015-09-30,11.24,11971180.0,3872.4316,36.3592,0.7635,0.1
2015-10-31,13.18,43728470.0,4541.1025,42.6375,0.8954,0.1
