PRJ IN Equity,price,volume,mc,pe,bm,div
2002-07-31,1.83,16282920.0,237.1295,41.8901,1.28,0.0
2002-08-31,2.31,20007700.0,299.4979,52.9078,1.6166,0.0
2002-09-30,1.88,4323200.0,243.6262,43.0378,1.315,0.0
2002-10-31,1.86,3409800.0,241.6772,42.6935,1.3045,0.0
2002-11-30,2.47,8506840.0,321.2618,56.7525,1.7341,0.0
2002-12-31,2.77,13842760.0,359.9172,63.5812,1.9427,0.0
2003-01-31,2.44,9824660.0,317.6886,56.1213,1.7148,0.0
2003-02-28,2.45,3955620.0,318.3383,56.2361,1.7183,0.0
2003-03-31,1.94,1917460.0,252.3968,11.0113,1.1574,0.0
2003-04-30,2.07,975540.0,268.9634,11.7341,1.2334,0.0
2003-05-31,3.02,8352340.0,392.0758,17.1051,1.798,0.0
2003-06-30,3.37,11473280.0,437.2279,19.075,2.005,0.0
2003-07-31,3.32,2918620.0,431.3809,18.8199,1.9782,0.0
2003-08-31,3.34,3470900.0,433.9795,18.9333,1.9901,0.0
2003-09-30,3.08,7856880.0,499.6561,17.4594,1.8352,0.0
2003-10-31,3.4,3856780.0,551.5684,19.2734,2.0259,0.1125
2003-11-30,3.91,4890940.0,634.7093,22.1786,2.3313,0.1125
2003-12-31,5.09,6473880.0,825.7304,28.8534,3.0329,0.1125
2004-01-31,4.8,38777480.0,1038.9344,27.2237,2.8616,0.1125
2004-02-29,4.15,6233280.0,897.237,23.5107,2.4713,0.1125
2004-03-31,4.9,13170680.0,1060.0268,10.4532,2.5914,0.1125
2004-04-30,5.1,8270500.0,1102.2115,10.8692,2.6945,0.1125
2004-05-31,4.58,15799360.0,990.8005,9.7705,2.4221,0.1125
2004-06-30,5.76,7206740.0,1246.6131,12.2931,3.0475,0.1125
2004-07-31,7.93,18089300.0,1715.5127,16.9171,4.1938,0.1125
2004-08-31,11.11,21699700.0,1801.5198,23.6903,5.8729,0.225
2004-09-30,10.35,17662180.0,1679.4448,22.085,5.475,0.225
2004-10-31,14.82,14190060.0,2403.3783,31.6049,7.835,0.225
2004-11-30,12.83,7357540.0,2081.7653,27.3756,6.7865,0.2925
2004-12-31,13.71,10510160.0,2223.3075,29.2369,7.2479,0.2925
2005-01-31,15.59,13457180.0,2528.2924,33.2475,8.2422,0.2925
2005-02-28,19.58,24309180.0,3176.3853,41.77,10.3549,0.2925
2005-03-31,21.06,23761480.0,3416.4798,16.0425,8.1093,0.2925
2005-04-30,24.11,16704260.0,3910.458,18.3621,9.2818,1.08
2005-05-31,28.38,15921860.0,4603.5686,21.6167,10.9269,1.08
2005-06-30,41.28,61610280.0,6696.6897,31.4452,15.8951,1.08
2005-07-31,40.68,18114020.0,6598.9485,30.9863,15.6631,1.08
2005-08-31,56.08,32707646.0,9096.7672,42.7154,21.592,0.54
2005-09-30,48.7,17062720.0,7900.3578,37.0974,18.7522,0.54
2005-10-31,43.43,11314476.0,7044.6209,33.0792,16.7211,0.54
2005-11-30,51.5,32327330.0,8354.5878,39.2303,19.8304,0.54
2005-12-31,56.6,54072588.0,9181.9353,43.1153,21.7942,0.54
2006-01-31,53.33,42701022.0,8650.6485,40.6205,20.5331,0.54
2006-02-28,52.9,17196760.0,8581.7028,40.2968,20.3695,0.54
2006-03-31,73.95,57022836.0,11996.5392,51.5794,22.2835,0.54
2006-04-30,101.2,107307490.0,15634.435,70.586,30.4948,1.26
2006-05-31,90.55,53316866.0,14689.4743,63.1577,27.2857,1.26
2006-06-30,82.03,29599926.0,13306.5061,57.2116,24.7168,1.26
2006-07-31,77.9,33587484.0,12637.328,54.3345,23.4738,1.26
2006-08-31,86.15,30477098.0,14394.9583,60.0888,25.9598,0.63
2006-09-30,81.15,26660364.0,13559.4993,56.6013,24.4531,0.63
2006-10-31,91.95,48569156.0,15364.0907,64.1342,27.7075,0.45
2006-11-30,95.48,26632286.0,15953.0893,66.5929,28.7697,0.45
2006-12-31,96.03,13198154.0,16044.9898,66.9765,28.9354,0.45
2007-01-31,160.6,93117240.0,26834.9426,112.0169,48.394,0.45
2007-02-28,176.45,96417118.0,29483.3476,123.0721,53.1701,0.45
2007-03-31,189.58,103369690.0,31676.4274,36.4962,20.4028,2.7
2007-04-30,249.53,91383114.0,41693.5806,48.0376,26.8549,2.7
2007-05-31,243.63,41679734.0,40942.156,46.9017,26.2199,2.7
2007-06-30,238.03,66996448.0,40001.0536,45.8236,25.6172,2.7
2007-07-31,217.5,48406578.0,36571.6446,41.8722,23.4082,2.7
2007-08-31,188.7,38537763.0,34484.1332,36.3278,20.3086,2.7
2007-09-30,237.45,76893744.0,43393.0382,45.7129,25.5553,2.7
2007-10-31,206.65,40192908.0,37764.4614,39.7834,22.2405,2.7
2007-11-30,194.2,23596559.0,35489.2736,37.3866,20.9006,2.7
2007-12-31,240.75,67220888.0,44030.1649,46.3482,25.9105,2.7
2008-01-31,171.1,49175798.0,31324.0824,32.9395,18.4145,2.7
2008-02-29,178.7,24284405.0,32715.502,34.4026,19.2324,1.98
2008-03-31,136.2,29618781.0,24945.1934,15.9859,7.1303,1.98
2008-04-30,198.85,60340401.0,36421.7642,23.3392,10.4101,1.98
2008-05-31,191.55,131362748.0,35089.5072,22.4824,10.0279,1.98
2008-06-30,155.95,84131898.0,28575.4508,18.304,8.1642,1.98
2008-07-31,182.35,73816548.0,33432.1958,21.4026,9.5463,1.98
2008-08-31,173.15,33748851.0,31748.9056,20.3228,9.0647,1.98
2008-09-30,124.55,19260149.0,22845.7457,14.6185,6.5204,1.98
2008-10-31,65.9,40021774.0,12087.8857,7.7347,3.45,1.98
2008-11-30,58.05,70010506.0,10647.9782,6.8134,3.039,1.98
2008-12-31,64.05,60391363.0,11748.7624,7.5176,3.3531,1.98
2009-01-31,55.45,44594172.0,10171.2489,6.5082,2.9029,1.98
2009-02-28,50.2,29050897.0,9208.2362,5.892,2.6281,1.3
2009-03-31,58.45,32853642.0,10721.5419,9.1176,2.4651,1.3
2009-04-30,64.4,74659820.0,11812.9564,10.0457,2.7161,1.3
2009-05-31,108.95,150797350.0,19984.8074,16.995,4.595,1.3
2009-06-30,96.35,128048871.0,17681.1689,15.0296,4.0636,1.3
2009-07-31,90.55,90831049.0,16625.9035,14.1248,3.819,1.3
2009-08-31,103.9,142946015.0,19086.3679,16.2073,4.382,1.3
2009-09-30,103.35,133540644.0,19013.9604,16.1215,4.3588,1.3
2009-10-31,83.9,65321320.0,15475.9923,13.0875,3.5385,1.3
2009-11-30,88.45,64090409.0,16335.388,13.7973,3.7304,1.3
2009-12-31,105.7,101864667.0,19521.2042,16.4881,4.4579,1.3
2010-01-31,87.1,78241854.0,16086.0633,13.5867,3.6734,1.44
2010-02-28,81.3,27239660.0,15014.9474,12.6819,3.4288,1.44
2010-03-31,86.2,26068769.0,15923.2179,13.282,3.017,1.44
2010-04-30,96.65,46400701.0,17854.9755,14.8921,3.3828,1.44
2010-05-31,78.95,30253828.0,14585.1042,12.1649,2.7633,1.44
2010-06-30,81.9,25226767.0,15130.0827,12.6194,2.8665,1.44
2010-07-31,76.7,33155957.0,14169.4426,11.8182,2.6845,1.44
2010-08-31,73.85,31533038.0,13642.9378,11.379,2.5848,1.44
2010-09-30,74.0,26568333.0,13670.6486,11.4022,2.59,1.44
2010-10-31,68.95,39208279.0,12740.2085,10.624,2.4133,1.44
2010-11-30,70.0,31384604.0,12934.2218,10.7858,2.45,1.44
2010-12-31,84.25,76825172.0,15567.2598,12.9815,2.9488,1.44
2011-01-31,74.7,145817209.0,13802.6624,11.51,2.6145,1.44
2011-02-28,64.05,36769689.0,11835.0758,9.869,2.2418,1.44
2011-03-31,71.8,21617711.0,13267.1108,22.9393,2.3737,0.0
2011-04-30,80.8,34425002.0,14930.1191,25.8147,2.6713,0.0
2011-05-31,73.45,17558409.0,13571.9956,23.4665,2.4283,0.0
2011-06-30,76.95,12044528.0,14218.7211,24.5847,2.544,0.0
2011-07-31,83.1,83287734.0,15355.1101,26.5495,2.7473,1.26
2011-08-31,70.6,43909854.0,13045.3763,22.5559,2.3341,1.26
2011-09-30,70.65,27761150.0,13054.6153,22.5719,2.3357,1.26
2011-10-31,85.5,39000450.0,15798.579,27.3163,2.8267,1.26
2011-11-30,76.35,19836496.0,14107.8539,24.393,2.5242,1.26
2011-12-31,75.0,16532625.0,13858.4026,23.9617,2.4795,1.26
2012-01-31,88.0,25252650.0,16260.5258,28.115,2.9093,1.26
2012-02-29,81.0,23275733.0,14967.0748,25.8786,2.6779,1.26
2012-03-31,80.2,14279874.0,14819.2519,21.7344,2.6022,1.26
2012-04-30,70.15,17644946.0,12763.8276,19.0108,2.2761,1.26
2012-05-31,56.45,26523217.0,10271.1058,15.2981,1.8316,1.26
2012-06-30,58.65,23934988.0,10671.3969,15.8943,1.903,1.26
2012-07-31,52.2,36090682.0,9497.8161,14.1463,1.6937,1.62
2012-08-31,45.95,14614754.0,8360.6255,12.4526,1.4909,1.62
2012-09-30,47.85,30861060.0,8706.3314,12.9675,1.5526,1.62
2012-10-31,45.15,19475764.0,8215.0651,12.2358,1.465,1.62
2012-11-30,47.65,25354332.0,8669.9413,12.9133,1.5461,1.62
2012-12-31,48.15,16278666.0,8760.9166,13.0488,1.5623,1.62
2013-01-31,46.05,12986290.0,8172.268,12.4797,1.4942,1.62
2013-02-28,39.9,5195028.0,7080.8576,10.813,1.2946,1.62
2013-03-31,36.55,10167756.0,6486.3495,9.5431,1.1369,1.62
2013-04-30,36.4,11232512.0,6459.7298,9.5039,1.1322,1.62
2013-05-31,38.0,19559131.0,6743.6739,9.9217,1.182,1.62
2013-06-30,38.6,5396897.0,6850.1518,10.0783,1.2007,1.62
2013-07-31,33.4,8266665.0,5927.3334,8.7206,1.0389,1.62
2013-08-31,33.6,4954681.0,5962.8264,8.7728,1.0452,1.62
2013-09-30,35.9,5839887.0,6370.9961,9.3734,1.1167,1.62
2013-10-31,38.5,9904043.0,6832.4053,10.0522,1.1976,1.62
2013-11-30,40.95,11612017.0,7267.1947,10.6919,1.2738,1.62
2013-12-31,45.25,20951864.0,8030.2945,11.8146,1.4075,1.62
2014-01-31,43.95,25399047.0,7799.5899,11.4752,1.3671,1.62
2014-02-28,43.5,5998451.0,7719.7307,11.3577,1.3531,1.2
2014-03-31,52.5,23602658.0,9316.9163,17.0455,1.5994,1.2
2014-04-30,52.7,37963916.0,9352.4093,17.1104,1.6055,1.2
2014-05-31,73.5,44875737.0,13043.6828,23.8636,2.2392,1.2
2014-06-30,72.4,89826695.0,12848.4713,23.5065,2.2057,1.2
2014-07-31,60.25,23449053.0,10692.2706,19.5617,1.8355,2.22
2014-08-31,62.95,16339485.0,11171.4263,20.4383,1.9178,2.22
2014-09-30,66.0,24849521.0,11712.6948,21.4286,2.0107,2.22
2014-10-31,63.0,9869182.0,11180.2996,20.4545,1.9193,2.22
2014-11-30,67.45,37999920.0,11970.0191,21.8994,2.0549,2.22
2014-12-31,60.45,26077062.0,10727.7636,19.6266,1.8416,2.22
2015-01-31,62.85,25885155.0,11153.6798,20.4058,1.9147,2.22
2015-02-28,62.4,14274336.0,11073.8158,20.2597,1.901,2.22
2015-03-31,62.4,11496864.0,11073.8205,14.5116,1.7799,2.22
2015-04-30,60.35,11384443.0,10710.0171,14.0349,1.7214,1.62
2015-05-31,70.5,13593966.0,12511.2876,16.3953,2.0109,1.62
2015-06-30,94.4,87433061.0,16752.7029,21.9535,2.6927,1.62
2015-07-31,109.7,73565028.0,19471.211,25.5116,3.1291,1.62
2015-08-31,82.7,32228865.0,14678.8437,19.2326,2.3589,1.62
2015-09-30,82.95,12629716.0,14756.3969,19.2907,2.3661,1.62
2015-10-31,86.85,24903273.0,15450.1877,20.1977,2.4773,1.62
2015-11-30,85.05,13583213.0,15129.9766,19.7791,2.426,1.62
2015-12-31,92.1,50858523.0,16384.1369,21.4186,2.6271,1.62
2016-01-31,97.25,40875022.0,17300.2966,22.6163,2.774,1.62
