REDI IN Equity,price,volume,mc,pe,bm,div
2007-02-28,14.98,1348355410.0,11660.3885,12.6265,2.2733,0.0
2007-03-31,13.7,326392690.0,10667.6009,8.9193,1.4534,0.0
2007-04-30,14.67,85615130.0,11419.0049,9.5475,1.5558,0.0
2007-05-31,24.54,768121420.0,19104.3494,15.9733,2.6029,0.0
2007-06-30,23.82,278186680.0,18547.6097,15.5078,2.5271,0.0
2007-07-31,27.92,424925640.0,21740.1034,18.1771,2.962,0.25
2007-08-31,26.69,141668250.0,20778.462,17.373,2.831,0.25
2007-09-30,33.77,83107870.0,26291.454,21.9824,3.5821,0.25
2007-10-31,34.54,45616160.0,26894.9155,22.487,3.6644,0.25
2007-11-30,41.15,74573960.0,32037.9646,26.7871,4.3651,0.25
2007-12-31,43.17,44866630.0,33614.751,28.1055,4.5799,0.25
2008-01-31,32.67,26794960.0,25442.7146,21.2728,3.4665,0.25
2008-02-29,35.44,22259130.0,27591.8161,23.0697,3.7593,0.25
2008-03-31,36.94,16947840.0,28759.8061,21.1299,3.9862,0.25
2008-04-30,35.02,12633380.0,27268.6723,20.0343,3.7795,0.25
2008-05-31,32.28,6148660.0,25135.1439,18.4668,3.4838,0.25
2008-06-30,30.68,2868340.0,23885.3947,17.5486,3.3106,0.25
2008-07-31,30.93,19262700.0,24080.0597,17.6916,3.3375,0.35
2008-08-31,28.87,1989410.0,22479.9134,16.516,3.1158,0.35
2008-09-30,23.03,2028500.0,17932.5392,13.1751,2.4855,0.35
2008-10-31,17.01,11907370.0,13245.0061,9.7311,1.8358,0.35
2008-11-30,12.8,8101650.0,9962.9544,7.3198,1.3809,0.35
2008-12-31,11.74,5443040.0,9141.4681,6.7162,1.267,0.35
2009-01-31,11.62,9348900.0,9048.0289,6.6476,1.2541,0.35
2009-02-28,9.32,12711510.0,7257.1109,5.3318,1.0058,0.35
2009-03-31,10.95,8646180.0,8526.3267,5.3415,0.8508,0.35
2009-04-30,13.43,6181030.0,10461.2967,6.5537,1.0438,0.35
2009-05-31,23.09,19550580.0,17975.3884,11.261,1.7936,0.35
2009-06-30,24.18,10880430.0,18934.8762,11.7927,1.8783,0.35
2009-07-31,21.09,8474580.0,16549.4278,10.2878,1.6386,0.4
2009-08-31,22.92,34720290.0,17996.096,11.1805,1.7808,0.4
2009-09-30,26.35,106626960.0,20689.229,12.8537,2.0473,0.4
2009-10-31,27.91,26946990.0,21917.4714,13.6146,2.1685,0.4
2009-11-30,29.69,48561540.0,23318.823,14.4829,2.3068,0.4
