SAPPHIRE IN Equity,price,volume,mc,pe,bm,div
2022-03-31,296.44,11450415.0,94182.7543,190.5141,9.3514,0.0
2022-04-30,265.49,8707835.0,84349.5461,170.6234,8.3751,0.0
2022-05-31,212.55,19372490.0,67529.8354,136.6003,6.7051,0.0
2022-06-30,217.0,15373235.0,68943.657,139.4602,6.8454,0.0
2022-07-31,229.52,27610060.0,72921.4201,147.5064,7.2404,0.0
2022-08-31,268.3,22529160.0,85242.3188,172.4293,8.4637,0.0
2022-09-30,297.75,15913885.0,94598.9579,191.356,9.3928,0.0
2022-10-31,289.43,12165805.0,91955.5882,186.009,9.1303,0.0
2022-11-30,270.0,15634035.0,85782.4304,173.5219,8.5174,0.0
2022-12-31,267.46,61824265.0,84975.4401,171.8895,8.4372,0.0
2023-01-31,260.02,7855480.0,82611.6576,167.108,8.2025,0.0
2023-02-28,247.78,20199160.0,78722.854,159.2416,7.8164,0.0
2023-03-31,243.62,10056800.0,77401.1692,33.1636,6.1628,0.0
2023-04-30,239.17,4324630.0,75987.3477,32.5579,6.0502,0.0
2023-05-31,291.05,13854155.0,92470.2828,39.6202,7.3626,0.0
2023-06-30,274.83,11942080.0,87379.8954,37.4122,6.9523,0.0
2023-07-31,274.61,9584780.0,87323.0966,37.3822,6.9467,0.0
2023-08-31,285.07,26933480.0,90711.3579,38.8062,7.2113,0.0
2023-09-30,290.68,15927180.0,92533.8198,39.5698,7.3532,0.0
2023-10-31,259.09,9274120.0,82506.9916,35.2695,6.5541,0.0
2023-11-30,278.18,8553410.0,88586.1859,37.8682,7.037,0.0
2023-12-31,284.22,45159405.0,90509.6188,38.6904,7.1898,0.0
2024-01-31,290.11,12332410.0,92401.6538,39.4922,7.3388,0.0
2024-02-29,300.43,19112890.0,95688.6314,40.8971,7.5999,0.0
2024-03-31,313.79,29179560.0,99949.0435,189.0301,7.4447,0.0
2024-04-30,284.56,19729040.0,90638.6431,171.4217,6.7512,0.0
2024-05-31,290.29,11347895.0,92505.7099,174.8735,6.8872,0.0
2024-06-30,313.46,17317600.0,99925.5969,188.8313,7.4369,0.0
2024-07-31,330.37,13282710.0,105330.4928,199.0181,7.8381,0.0
2024-08-31,333.53,29451665.0,106383.0523,200.9217,7.913,0.0
2024-09-30,357.15,36534008.0,114225.3898,215.1506,8.4734,0.0
2024-10-31,321.0,16167606.0,103041.1509,193.3735,7.6158,0.0
2024-11-30,326.2,7548746.0,104494.1786,196.506,7.7391,0.0
2024-12-31,329.5,8622271.0,105662.0748,198.494,7.8174,0.0
2025-01-31,289.6,14899027.0,92888.6541,174.4578,6.8708,0.0
2025-02-28,310.25,16193907.0,99554.9805,186.8976,7.3607,0.0
2025-03-31,294.45,19340341.0,94500.8548,490.75,6.7647,0.0
2025-04-30,316.5,5131699.0,101717.6894,527.5,7.2713,0.0
2025-05-31,318.1,11489276.0,102231.9021,530.1667,7.308,0.0
2025-06-30,328.8,7727017.0,105670.6992,548.0,7.5538,0.0
2025-07-31,316.6,46025834.0,101749.8277,527.6667,7.2736,0.0
2025-08-31,327.05,4897000.0,105108.2791,545.0833,7.5136,0.0
2025-09-30,293.8,13412874.0,94422.2975,489.6667,6.7497,0.0
2025-10-31,286.05,13382141.0,91931.58,476.75,6.5717,0.0
2025-11-30,248.7,10274092.0,79927.9285,414.5,5.7136,0.0
2025-12-31,257.05,14392901.0,82611.4757,428.4167,5.9055,0.0
2026-01-31,189.55,27112655.0,60918.1296,315.9167,4.3547,0.0
2026-02-28,204.29,16021990.0,65655.3137,340.4833,4.6934,0.0
2026-03-31,187.24,837044.0,60175.7369,312.0667,4.3016,0.0
