SEML IN Equity,price,volume,mc,pe,bm,div
2008-03-31,31.21,2197200.0,10188.1927,8.3322,2.6379,0.2
2008-04-30,40.18,954230.0,13679.2803,10.727,3.3961,0.2
2008-05-31,34.04,607640.0,11588.9174,9.0877,2.8771,0.0
2008-06-30,28.68,4078770.0,9764.1055,7.6568,2.4241,0.0
2008-07-31,31.25,1741610.0,10639.0619,8.3429,2.6413,0.0
2008-08-31,27.87,1750430.0,9488.341,7.4405,2.3556,0.3
2008-09-30,16.42,1457070.0,5588.4864,4.3824,1.3874,0.3
2008-10-31,5.49,4958200.0,1869.0704,1.4657,0.464,0.3
2008-11-30,5.73,7274820.0,1950.7784,1.5298,0.4843,0.3
2008-12-31,6.74,5541660.0,2294.6329,1.7994,0.5697,0.3
2009-01-31,5.69,3177330.0,1937.1604,1.5191,0.4809,0.3
2009-02-28,5.64,2332900.0,1920.1379,1.5057,0.4767,0.3
2009-03-31,6.32,2160090.0,2151.6439,1.6244,0.4099,0.3
2009-04-30,8.43,5156130.0,2871.6956,2.168,0.5471,0.3
2009-05-31,14.68,5617670.0,4997.8057,3.7731,0.9522,0.3
2009-06-30,12.57,7916540.0,4277.754,3.2295,0.815,0.3
2009-07-31,13.09,3749210.0,4454.788,3.3631,0.8488,0.3
2009-08-31,13.55,7781340.0,4613.0973,3.4826,0.8789,0.3
2009-09-30,19.56,24842540.0,6657.4994,5.026,1.2684,0.3
2009-10-31,17.9,32098310.0,6094.0547,4.6007,1.1611,0.3
2009-11-30,16.77,7640570.0,5707.6439,4.3089,1.0875,0.3
2009-12-31,20.7,15977590.0,7047.3146,5.3203,1.3427,0.3
2010-01-31,20.27,19056120.0,6902.6234,5.2111,1.3151,0.3
2010-02-28,19.78,4379880.0,6734.1006,5.0839,1.283,0.3
2010-03-31,19.0,11620820.0,6468.5497,4.4855,0.9931,0.3
2010-04-30,31.05,244129300.0,10569.2697,7.3291,1.6227,0.3
2010-05-31,25.1,76282400.0,8543.5923,5.9244,1.3117,0.3
2010-06-30,26.92,58910380.0,9163.2113,6.3541,1.4068,0.3
2010-07-31,25.71,21124520.0,8752.969,6.0696,1.3438,0.3
2010-08-31,23.61,26194790.0,8036.3218,5.5726,1.2338,0.3
2010-09-30,26.71,58746970.0,9093.419,6.3057,1.3961,0.3
2010-10-31,26.54,20886570.0,9033.8403,6.2644,1.3869,0.3
2010-11-30,32.13,134003920.0,10938.6579,7.5852,1.6794,0.3
2010-12-31,32.69,54127690.0,11127.6077,7.7162,1.7084,0.3
2011-01-31,26.38,21085410.0,8981.0705,6.2278,1.3788,0.3
2011-02-28,20.19,19848070.0,6873.6851,4.7664,1.0553,0.3
2011-03-31,19.97,20314660.0,6798.7861,10.0088,0.8874,0.3
2011-04-30,27.37,32360540.0,9316.4137,13.7151,1.216,0.3
2011-05-31,22.91,7415210.0,7798.0068,11.4798,1.0178,0.3
2011-06-30,21.35,8675380.0,7653.9747,10.7004,0.9487,0.3
2011-07-31,21.52,14485440.0,7713.1272,10.7831,0.956,0.0
2011-08-31,14.02,7590730.0,5026.1698,7.0267,0.623,0.3
2011-09-30,12.96,6153440.0,4644.3673,6.4929,0.5757,0.3
2011-10-31,12.43,7323140.0,4457.9473,6.2323,0.5526,0.3
2011-11-30,9.44,5173450.0,3384.2399,4.7313,0.4195,0.3
2011-12-31,7.69,2443160.0,2756.8649,3.8542,0.3417,0.3
2012-01-31,12.08,11860680.0,4328.8873,6.0519,0.5366,0.3
2012-02-29,12.37,13002180.0,4434.6448,6.1997,0.5497,0.3
2012-03-31,13.19,22344530.0,4728.6148,5.4259,0.5258,0.3
2012-04-30,14.31,8116370.0,5130.1348,5.8866,0.5704,0.3
2012-05-31,12.62,5132030.0,4524.2698,5.1914,0.503,0.3
2012-06-30,13.05,4044570.0,4678.4248,5.3683,0.5202,0.3
2012-07-31,11.58,5205810.0,4151.4298,4.7636,0.4616,0.3
2012-08-31,11.76,8528530.0,4215.9598,4.8377,0.4688,0.3
2012-09-30,13.53,11350000.0,4850.5048,5.5658,0.5393,0.3
2012-10-31,13.17,6012760.0,4719.6523,5.4156,0.5248,0.3
2012-11-30,13.83,17801100.0,4956.2623,5.6871,0.5511,0.3
2012-12-31,13.18,8587060.0,4725.0298,5.4218,0.5254,0.3
2013-01-31,12.57,10567220.0,4506.3448,5.1709,0.501,0.3
2013-02-28,10.14,4142010.0,3635.1898,4.1712,0.4042,0.3
2013-03-31,9.43,5384120.0,3382.4474,2.0943,0.3212,0.3
2013-04-30,10.35,24187230.0,3708.6823,2.2963,0.3522,0.3
2013-05-31,10.59,4632840.0,3794.7223,2.3496,0.3603,0.3
2013-06-30,9.54,1680160.0,3418.2974,2.1165,0.3246,0.3
2013-07-31,7.72,1662680.0,2767.6199,1.7137,0.2628,0.3
2013-08-31,8.2,2510010.0,2937.9074,1.8191,0.279,0.3
2013-09-30,9.3,1430720.0,3332.2574,2.0633,0.3164,0.3
2013-10-31,10.03,7157860.0,3593.9623,2.2253,0.3413,0.3
2013-11-30,10.31,3472320.0,3696.1348,2.2886,0.351,0.3
2013-12-31,10.53,3943140.0,3775.0048,2.3374,0.3585,0.3
2014-01-31,9.76,2546810.0,3498.9599,2.1665,0.3322,0.3
2014-02-28,9.97,1516460.0,3574.2448,2.2131,0.3394,0.3
2014-03-31,11.14,4955360.0,3993.6898,4.3876,0.3478,0.3
2014-04-30,14.24,12306400.0,5105.0398,5.6085,0.4446,0.3
2014-05-31,21.7,17874350.0,7777.6572,8.5447,0.6774,0.3
2014-06-30,26.63,16370360.0,9545.0621,10.4864,0.8313,0.3
2014-07-31,28.22,15376250.0,10116.8696,11.1146,0.8811,0.3
2014-08-31,29.87,47041020.0,10708.3945,11.7645,0.9327,0.3
2014-09-30,16.7,36701880.0,5999.622,6.5774,0.5214,0.3
