SOBHA IN Equity,price,volume,mc,pe,bm,div
2006-12-31,969.54,43341899.0,72617.3862,71.3897,16.4387,0.0
2007-01-31,956.06,22084348.0,71607.6977,70.397,16.2102,0.0
2007-02-28,726.25,10518855.0,54395.6056,53.476,12.3138,0.0
2007-03-31,781.98,11318652.0,58569.2281,33.0986,7.1817,0.0
2007-04-30,846.85,10832625.0,63428.1266,35.8444,7.7774,0.0
2007-05-31,891.09,6696984.0,66741.509,37.7169,8.1837,0.0
2007-06-30,885.59,4330124.0,66329.6144,37.4841,8.1332,0.0
2007-07-31,868.6,4944424.0,65057.4797,36.7652,7.9772,0.0
2007-08-31,731.66,1951843.0,54800.2101,30.9686,6.7195,5.3533
2007-09-30,892.65,3042104.0,66858.4246,37.7828,8.198,5.3533
2007-10-31,923.26,4329913.0,69151.1925,39.0785,8.4792,5.3533
2007-11-30,846.17,1380241.0,63377.3541,35.8156,7.7712,5.3533
2007-12-31,886.85,2533623.0,66424.6577,37.5377,8.1448,5.3533
2008-01-31,708.2,3997659.0,53043.4955,29.9758,6.5041,5.3533
2008-02-29,821.15,1176120.0,61503.7727,34.7568,7.5415,5.3533
2008-03-31,587.6,1308966.0,44010.9377,19.2944,4.4539,5.3533
2008-04-30,598.65,2146777.0,44838.3754,19.6572,4.5376,5.3533
2008-05-31,485.55,2935173.0,36367.1629,15.9434,3.6803,5.3533
2008-06-30,272.19,2832203.0,20387.0444,8.9377,2.0632,5.3533
2008-07-31,247.67,9323189.0,18549.914,8.1323,1.8772,6.3267
2008-08-31,258.66,4489109.0,19373.7066,8.4934,1.9606,6.3267
2008-09-30,166.29,3343574.0,12455.3068,5.4604,1.2605,6.3267
2008-10-31,109.21,4053366.0,8179.6044,3.5859,0.8278,6.3267
2008-11-30,90.03,6014538.0,6743.435,2.9563,0.6824,6.3267
2008-12-31,102.44,4966292.0,7672.9355,3.3638,0.7765,6.3267
2009-01-31,84.97,4871838.0,6364.3446,2.7901,0.6441,6.3267
2009-02-28,78.11,2712165.0,5850.3855,2.5648,0.5921,6.3267
2009-03-31,77.04,2873102.0,5770.1933,5.3541,0.5306,6.3267
2009-04-30,96.6,7497864.0,7235.5235,6.7138,0.6654,6.3267
2009-05-31,186.98,11362753.0,14004.4743,12.9946,1.2879,6.3267
2009-06-30,203.09,9859333.0,15211.0024,14.1141,1.3989,0.9733
2009-07-31,210.44,11745126.0,21201.416,14.6249,1.4495,0.9733
2009-08-31,240.46,13808510.0,24226.6874,16.7117,1.6563,0.9733
2009-09-30,256.28,11069760.0,25820.2259,17.8109,1.7652,0.9733
2009-10-31,219.2,11093064.0,22083.9911,15.2337,1.5098,0.9733
2009-11-30,224.69,11347914.0,22638.0522,15.6159,1.5477,0.9733
2009-12-31,239.25,7848074.0,24104.1076,16.6272,1.6479,0.9733
2010-01-31,264.46,12652307.0,26643.9627,18.3792,1.8216,0.9733
2010-02-28,247.76,10241580.0,24962.1667,17.219,1.7066,0.9733
2010-03-31,267.96,3404558.0,26996.9927,18.8175,1.5845,0.9733
2010-04-30,307.43,10805920.0,30973.484,21.5892,1.8179,0.9733
2010-05-31,296.09,7621228.0,29831.0395,20.7929,1.7509,0.9733
2010-06-30,281.44,4372740.0,28355.1778,19.7642,1.6642,2.4333
2010-07-31,325.29,7426025.0,32772.9567,22.8435,1.9235,2.4333
2010-08-31,320.28,8874087.0,32267.9275,22.4915,1.8939,2.4333
2010-09-30,371.42,6669172.0,37421.1857,26.0834,2.1963,2.4333
2010-10-31,351.52,6811975.0,35415.7789,24.6856,2.0786,2.4333
2010-11-30,317.21,5486620.0,31959.0263,22.2761,1.8758,2.4333
2010-12-31,316.48,3016541.0,31885.4783,22.2249,1.8714,2.4333
2011-01-31,254.24,3638141.0,25614.2917,17.8537,1.5034,2.4333
2011-02-28,242.99,12077173.0,24481.6536,17.0643,1.4369,2.4333
2011-03-31,285.67,4637356.0,28781.7558,15.8734,1.5551,2.4333
2011-04-30,277.94,7184461.0,28002.1477,15.4435,1.513,2.4333
2011-05-31,264.41,6042118.0,26639.0595,14.6917,1.4393,2.4333
2011-06-30,252.14,4037139.0,25403.4543,14.0103,1.3726,2.92
2011-07-31,252.53,3815080.0,25442.6798,14.0319,1.3747,2.92
2011-08-31,217.69,3344919.0,21931.9921,12.0957,1.185,2.92
2011-09-30,211.26,2653584.0,21284.7703,11.7388,1.15,2.92
2011-10-31,247.57,2654607.0,24942.5539,13.7561,1.3477,2.92
2011-11-30,228.98,2198247.0,23069.5334,12.7231,1.2465,2.92
2011-12-31,186.2,4597153.0,18759.6248,10.3461,1.0136,2.92
2012-01-31,254.14,3106861.0,25604.4853,14.1211,1.3834,2.92
2012-02-29,276.43,5277114.0,27850.1487,15.3597,1.5048,2.92
2012-03-31,324.27,6938242.0,32669.9896,15.8643,1.6337,2.92
2012-04-30,321.49,4044596.0,32390.5074,15.7286,1.6197,2.92
2012-05-31,291.27,4581220.0,29345.6232,14.25,1.4675,2.92
2012-06-30,330.84,3611025.0,33331.9209,16.1857,1.6668,4.8667
2012-07-31,339.3,3606982.0,34185.0769,16.6,1.7095,4.8667
2012-08-31,325.87,3124293.0,32831.795,15.9429,1.6418,4.8667
2012-09-30,356.97,2808806.0,35964.9367,17.4643,1.7985,4.8667
2012-10-31,349.23,2816096.0,35185.3287,17.0857,1.7595,4.8667
2012-11-30,356.14,4700129.0,35881.5824,17.4238,1.7943,4.8667
2012-12-31,369.67,1838177.0,37244.6707,18.0857,1.8625,4.8667
2013-01-31,417.76,5211341.0,42089.0275,20.4381,2.1047,4.8667
2013-02-28,379.5,7249697.0,38235.1161,18.5667,1.912,4.8667
2013-03-31,338.82,4083495.0,34136.0449,15.7156,1.5977,4.8667
2013-04-30,402.91,4875316.0,40593.553,18.6885,1.8999,4.8667
2013-05-31,382.23,2404839.0,38509.695,17.7291,1.8024,4.8667
2013-06-30,341.69,2336822.0,34425.32,15.8488,1.6112,6.8133
2013-07-31,280.9,3416597.0,28301.2316,13.0293,1.3246,6.8133
2013-08-31,243.09,2655208.0,24491.4504,11.2754,1.1463,6.8133
2013-09-30,273.6,4848188.0,27565.7526,12.6907,1.2902,6.8133
2013-10-31,304.46,3283616.0,30674.3772,14.1219,1.4357,6.8133
2013-11-30,318.48,4029234.0,32086.4968,14.772,1.5017,6.8133
2013-12-31,303.83,3620341.0,30610.6357,14.0926,1.4327,6.8133
2014-01-31,259.05,3049012.0,26099.6978,12.0158,1.2215,6.8133
2014-02-28,286.06,2444640.0,28820.9701,13.2686,1.3489,6.8133
2014-03-31,364.51,7329544.0,36724.9177,15.6237,1.6028,6.8133
2014-04-30,362.13,4981283.0,36484.6612,15.5215,1.5923,6.8133
2014-05-31,438.05,4624977.0,44133.6427,18.7756,1.9261,6.8133
2014-06-30,484.38,7155293.0,48801.4827,20.7614,2.1298,6.8133
2014-07-31,439.95,4539744.0,44324.8673,18.8569,1.9344,6.8133
2014-08-31,442.58,4991560.0,44589.6397,18.9695,1.946,6.8133
2014-09-30,393.28,4552314.0,39622.7049,16.8565,1.7292,6.8133
2014-10-31,420.09,6803388.0,42324.3644,18.0058,1.8471,6.8133
2014-11-30,485.89,4398420.0,48953.4817,20.826,2.1364,6.8133
2014-12-31,469.29,4178544.0,47281.4928,20.1147,2.0635,6.8133
2015-01-31,459.32,2952447.0,46276.3382,19.6871,2.0196,6.8133
2015-02-28,463.99,6940607.0,46747.1102,19.8874,2.0401,6.8133
2015-03-31,391.33,3429389.0,39426.5772,16.5657,1.6213,6.8133
2015-04-30,381.45,3593024.0,38431.229,16.1475,1.5804,6.8133
2015-05-31,417.76,2776269.0,42089.0111,17.6844,1.7308,6.8133
2015-06-30,346.99,3470460.0,34959.7681,14.6889,1.4376,6.8133
2015-07-31,341.25,3965304.0,34381.1913,14.4458,1.4138,6.8133
2015-08-31,275.45,3184169.0,27752.074,11.6605,1.1412,6.8133
2015-09-30,271.22,9596137.0,27325.4962,11.4813,1.1237,6.8133
2015-10-31,315.85,5063701.0,31821.7244,13.3704,1.3086,6.8133
2015-11-30,301.1,2662945.0,30336.0568,12.7462,1.2475,6.8133
2015-12-31,302.07,1882774.0,30434.1207,12.7874,1.2515,6.8133
2016-01-31,281.39,1227046.0,28350.2636,11.9118,1.1658,6.8133
2016-02-29,233.36,1337566.0,23510.8118,9.8785,0.9668,6.8133
2016-03-31,266.65,3105664.0,26864.596,17.5272,1.0488,6.8133
2016-04-30,285.72,2417404.0,28786.6478,18.7812,1.1239,6.8133
2016-05-31,296.87,2898179.0,29909.479,19.5138,1.1677,6.8133
2016-06-30,317.99,2340626.0,32037.4649,20.9021,1.2508,6.8133
2016-07-31,323.97,1508036.0,32640.5577,21.2956,1.2743,1.9467
2016-08-31,278.81,1188912.0,28090.3943,18.3269,1.0967,1.9467
2016-09-30,284.9,3195094.0,28703.2935,18.7268,1.1206,1.9467
2016-10-31,276.28,2079602.0,27336.0834,18.1606,1.0867,1.9467
2016-11-30,248.59,2599280.0,24596.2152,16.3404,0.9778,1.9467
2016-12-31,239.05,961043.0,23652.4275,15.7134,0.9403,1.9467
2017-01-31,253.41,995305.0,25072.9214,16.6571,0.9967,1.9467
2017-02-28,283.24,2231974.0,28024.6596,18.618,1.1141,1.9467
2017-03-31,334.34,10117030.0,33080.6549,20.7052,1.2509,1.9467
2017-04-30,360.67,21237105.0,35685.6963,22.3357,1.3494,1.9467
2017-05-31,361.5,11437683.0,35767.5553,22.387,1.3525,1.9467
2017-06-30,358.58,3641024.0,35478.6413,22.2061,1.3416,1.9467
2017-07-31,388.65,5986461.0,38454.4556,24.0687,1.4541,2.4333
2017-08-31,382.91,9021061.0,37886.2581,23.7131,1.4327,2.4333
2017-09-30,378.48,3560413.0,37448.0718,23.4388,1.4161,2.4333
2017-10-31,495.38,15076644.0,49014.2629,30.6781,1.8535,2.4333
2017-11-30,608.09,15349601.0,60166.3463,37.6582,2.2752,2.4333
2017-12-31,602.49,14963945.0,59612.5944,37.3116,2.2542,2.4333
2018-01-31,554.9,19905759.0,54071.6231,34.3641,2.0761,2.4333
2018-02-28,539.96,5445138.0,52615.737,33.4388,2.0202,2.4333
2018-03-31,494.45,7632295.0,48181.6933,22.3986,1.7395,2.4333
2018-04-30,535.43,9394362.0,52174.7037,24.2549,1.8836,2.4333
2018-05-31,496.4,4546924.0,48371.385,22.4868,1.7463,2.4333
2018-06-30,429.44,3093429.0,41845.9903,19.4533,1.5107,2.4333
2018-07-31,459.9,6017057.0,44814.6655,20.8333,1.6179,6.8133
2018-08-31,447.3,5663866.0,43586.4117,20.2623,1.5736,6.8133
2018-09-30,387.83,4136615.0,37791.3301,17.5683,1.3643,6.8133
2018-10-31,435.66,4839111.0,42453.0038,19.7354,1.5326,6.8133
2018-11-30,438.1,3235701.0,42690.1184,19.8457,1.5412,6.8133
2018-12-31,443.16,2259960.0,43183.3169,20.075,1.559,6.8133
2019-01-31,459.41,6742398.0,44767.2426,20.8113,1.6162,6.8133
2019-02-28,426.32,3533506.0,41542.4836,19.3122,1.4998,6.8133
2019-03-31,502.82,6011716.0,48997.3677,16.489,2.1981,6.8133
