SOIL IN Equity,price,volume,mc,pe,bm,div
2006-04-30,54.81,156542180.0,4623.722,15.0218,3.0703,0.0
2006-05-31,39.3,10019895.0,3404.1265,10.7709,2.2015,0.0
2006-06-30,28.88,3170260.0,2501.5566,7.9151,1.6178,0.0
2006-07-31,26.26,772550.0,2274.6148,7.1971,1.471,0.0
2006-08-31,30.03,998290.0,2601.1684,8.2303,1.6822,0.0
2006-09-30,28.12,2979510.0,2435.7262,7.7068,1.5752,0.3
2006-10-31,27.74,3909850.0,2402.8109,7.6027,1.5539,0.3
2006-11-30,27.79,8009175.0,2407.1419,7.6164,1.5567,0.3
2006-12-31,27.61,7359585.0,2391.5505,7.5671,1.5466,0.3
2007-01-31,26.65,3004140.0,2308.3962,7.304,1.4929,0.3
2007-02-28,22.89,1257760.0,1982.7088,6.2735,1.2822,0.3
2007-03-31,22.69,2236345.0,1965.385,6.2378,1.2749,0.3
2007-04-30,20.9,673405.0,1810.337,6.2378,1.2749,0.3
2007-05-31,25.38,4764230.0,2198.3901,6.2378,1.2749,0.3
2007-06-30,33.1,19384930.0,2867.0888,6.2378,1.2749,0.3
2007-07-31,36.72,7860775.0,3180.6495,6.2378,1.2749,0.3
2007-08-31,39.51,5777665.0,3422.3165,6.2378,1.2749,0.3
2007-09-30,40.66,1484655.0,3521.9691,6.2378,1.2749,0.3
2007-10-31,51.01,4928835.0,4418.486,6.2378,1.2749,0.3
2007-11-30,85.76,4047550.0,7428.5309,6.2378,1.2749,0.6
2007-12-31,99.69,1632175.0,8635.1475,6.2378,1.2749,0.6
2008-01-31,91.43,1875810.0,7919.6663,6.2378,1.2749,0.6
2008-02-29,95.85,236220.0,8302.5267,6.2378,1.2749,0.6
2008-03-31,84.2,543130.0,7293.4037,20.1934,3.9249,0.6
2008-04-30,81.91,297945.0,7095.044,19.6442,3.8182,0.6
2008-05-31,82.46,432130.0,7142.685,19.7761,3.8438,0.6
2008-06-30,76.08,189315.0,6590.0494,18.246,3.5464,0.6
2008-07-31,77.26,115440.0,6692.261,18.529,3.6014,0.6
2008-08-31,81.88,1099650.0,7092.4454,19.637,3.8168,0.6
2008-09-30,79.82,2969065.0,6914.0082,19.1429,3.7208,0.6
2008-10-31,73.72,1185290.0,6385.6262,17.68,3.4364,0.6
2008-11-30,59.99,135645.0,5196.3336,14.3872,2.7964,0.6
2008-12-31,61.62,176865.0,5337.5242,14.7781,2.8724,0.3
2009-01-31,60.09,130680.0,5204.9956,14.4112,2.8011,0.3
2009-02-28,51.94,4545600.0,4499.0426,12.4566,2.4212,0.3
2009-03-31,42.41,222180.0,3673.5541,8.3222,1.6634,0.3
2009-04-30,56.0,1555495.0,4850.7198,10.989,2.1965,0.3
2009-05-31,61.49,321990.0,5326.2636,12.0663,2.4118,0.3
2009-06-30,56.23,3741530.0,4870.6424,11.0341,2.2055,0.3
2009-07-31,64.42,317915.0,5580.0602,12.6413,2.5267,0.3
2009-08-31,69.0,713110.0,5976.7798,13.54,2.7064,0.3
2009-09-30,72.1,1274340.0,6245.3018,14.1484,2.828,0.9
2009-10-31,71.0,1327890.0,6150.0198,13.9325,2.7848,0.9
