TARIL IN Equity,price,volume,mc,pe,bm,div
2007-12-31,39.38,254900797.0,11309.4425,34.5934,14.9127,0.0
2008-01-31,25.95,196829114.0,7453.0402,22.7974,9.8276,0.0
2008-02-29,22.01,15492732.0,6321.579,19.3365,8.3357,0.0
2008-03-31,17.79,16481865.0,5109.3453,12.2412,2.4417,0.0
2008-04-30,19.93,12993376.0,5724.6857,13.715,2.7357,0.0
2008-05-31,17.57,5417799.0,5046.1757,12.0895,2.4114,0.0
2008-06-30,13.26,4204800.0,3808.0565,9.1232,1.8198,0.09
2008-07-31,14.22,10802243.0,4083.3377,9.7827,1.9513,0.09
2008-08-31,14.58,6369510.0,4188.6683,10.0351,2.0016,0.09
2008-09-30,11.11,2541822.0,3189.6431,7.6416,1.5242,0.09
2008-10-31,6.92,4110666.0,1987.065,4.7605,0.9496,0.09
2008-11-30,6.18,2107822.0,1773.819,4.2497,0.8477,0.09
2008-12-31,7.01,4703311.0,2012.913,4.8225,0.9619,0.09
2009-01-31,5.93,6319977.0,1702.737,4.0794,0.8137,0.09
2009-02-28,5.16,6998977.0,1482.3828,3.5514,0.7084,0.09
2009-03-31,5.57,10074577.0,1599.9912,3.5369,0.6441,0.09
2009-04-30,8.4,16727554.0,2412.9108,5.3339,0.9713,0.09
2009-05-31,13.76,15975132.0,3952.1591,8.7365,1.5909,0.09
2009-06-30,13.72,9808821.0,3939.8813,8.7094,1.586,0.09
2009-07-31,12.99,5470444.0,3731.1587,8.248,1.5019,0.18
2009-08-31,15.98,20858487.0,4588.6661,10.1436,1.8471,0.18
2009-09-30,17.12,8588466.0,4916.9357,10.8692,1.9793,0.18
2009-10-31,14.88,5522666.0,4273.3205,9.4465,1.7202,0.18
2009-11-30,16.64,2940911.0,4778.6489,10.5635,1.9236,0.18
2009-12-31,17.33,10461732.0,4976.3861,11.0006,2.0032,0.18
2010-01-31,17.31,14937599.0,4972.5089,10.9921,2.0016,0.18
2010-02-28,16.58,6367555.0,4762.4939,10.5278,1.9171,0.18
2010-03-31,16.4,8314066.0,4708.8593,9.1183,1.6099,0.18
2010-04-30,19.08,13180754.0,5480.4221,10.6123,1.8737,0.18
2010-05-31,18.78,6704688.0,5392.5389,10.4421,1.8436,0.18
2010-06-30,19.48,30515886.0,5594.7995,10.8338,1.9128,0.18
2010-07-31,18.38,14178754.0,5277.5153,10.2194,1.8043,0.225
2010-08-31,17.85,11773732.0,5126.3045,9.9266,1.7526,0.225
2010-09-30,17.79,22092353.0,5108.8571,9.8928,1.7466,0.225
2010-10-31,16.69,12722288.0,4794.1577,9.2834,1.639,0.225
2010-11-30,14.11,12014821.0,4052.9663,7.8482,1.3856,0.225
2010-12-31,13.72,5171422.0,3939.8813,7.6292,1.347,0.225
2011-01-31,12.36,45445129.0,3550.8689,6.8759,1.214,0.225
2011-02-28,11.26,4595400.0,3233.5847,6.2615,1.1055,0.225
2011-03-31,11.12,4158488.0,3193.5203,7.6917,0.9788,0.225
2011-04-30,12.29,5297511.0,3528.8981,8.4995,1.0815,0.225
2011-05-31,11.01,1893555.0,3161.2103,7.6139,0.9689,0.225
2011-06-30,11.45,80942147.0,3289.1579,7.922,1.0081,0.225
2011-07-31,11.5,4504866.0,3302.7281,7.9547,1.0122,0.225
2011-08-31,10.05,3890044.0,2885.9292,6.9509,0.8845,0.225
2011-09-30,9.85,2197289.0,2828.4174,6.8123,0.8669,0.225
2011-10-31,10.15,1474578.0,2913.7158,7.0178,0.893,0.225
2011-11-30,7.56,3046222.0,2171.8782,5.231,0.6656,0.225
2011-12-31,5.92,2214089.0,1699.506,4.0933,0.5209,0.225
2012-01-31,7.46,3644200.0,2142.153,5.1594,0.6565,0.225
2012-02-29,8.32,5376888.0,2389.6476,5.7555,0.7324,0.225
2012-03-31,7.22,9613843.0,2072.2993,20.6903,0.6168,0.225
2012-04-30,6.74,3036511.0,1934.6629,19.3161,0.5758,0.225
2012-05-31,5.92,1622889.0,1700.0996,16.9742,0.506,0.225
2012-06-30,6.15,1503267.0,1766.01,17.6323,0.5256,0.225
2012-07-31,6.29,17255043.0,1805.4269,18.0258,0.5373,0.225
2012-08-31,5.69,4697933.0,1634.8354,16.3226,0.4866,0.225
2012-09-30,6.46,14210776.0,1853.8904,18.5097,0.5518,0.0
2012-10-31,6.09,25033664.0,1749.8555,17.471,0.5208,0.0
2012-11-30,5.83,4048666.0,1672.96,16.7032,0.4979,0.0
2012-12-31,5.35,6730622.0,1537.2622,15.3484,0.4575,0.0
2013-01-31,5.25,12269510.0,1507.538,15.0516,0.4487,0.0
2013-02-28,4.31,12543443.0,1237.4347,12.3548,0.3683,0.0
