TECHM IN Equity,price,volume,mc,pe,bm,div
2016-03-31,474.95,56771516.0,459661.3873,14.99,3.1993,6.0
2016-04-30,486.15,34043188.0,471709.9148,15.3435,3.2747,6.0
2016-05-31,540.35,48644824.0,524300.0153,17.0542,3.6398,6.0
2016-06-30,505.75,33285477.0,490985.5511,15.9621,3.4067,6.0
2016-07-31,487.95,25045485.0,473705.1896,15.4003,3.2868,12.0
2016-08-31,468.8,40461225.0,455114.239,14.7959,3.1578,12.0
2016-09-30,419.85,39963878.0,407593.2449,12.6844,2.463,12.0
2016-10-31,439.7,75546153.0,426863.7604,13.2841,2.5795,12.0
2016-11-30,485.2,89468921.0,471035.4709,14.6588,2.8464,12.0
2016-12-31,488.9,37594433.0,475760.2754,14.7706,2.8681,12.0
2017-01-31,452.2,48576466.0,440046.6282,13.6618,2.6528,12.0
2017-02-28,499.4,89516778.0,486134.9313,15.0878,2.9297,12.0
2017-03-31,459.15,78999510.0,447256.2102,14.2879,2.4513,12.0
2017-04-30,416.95,45398413.0,406196.8432,12.9747,2.226,12.0
2017-05-31,390.0,86015867.0,380151.7859,12.136,2.0821,12.0
2017-06-30,382.0,50981657.0,372622.301,11.8871,2.0394,12.0
2017-07-31,385.85,32085907.0,376472.107,12.0069,2.06,9.0
2017-08-31,428.15,77743710.0,417751.3957,13.3232,2.2858,9.0
2017-09-30,457.85,41512491.0,446767.0343,13.162,2.3713,9.0
2017-10-31,482.05,32478354.0,470381.236,13.8577,2.4966,9.0
2017-11-30,489.25,52381275.0,477768.1528,14.0647,2.5339,9.0
2017-12-31,504.05,58010320.0,492503.1203,14.4902,2.6106,9.0
2018-01-31,612.65,77230546.0,600042.8117,17.6121,3.173,9.0
2018-02-28,612.65,65123054.0,600159.8603,17.6121,3.173,9.0
2018-03-31,638.7,58191145.0,625727.2698,14.8575,2.9941,9.0
2018-04-30,670.6,69471133.0,657104.7396,15.5995,3.1437,9.0
2018-05-31,712.35,76153740.0,698045.2925,16.5707,3.3394,9.0
2018-06-30,655.45,79565539.0,642475.8811,15.2471,3.0726,9.0
2018-07-31,680.75,82091221.0,667528.1461,15.8356,3.1912,14.0
2018-08-31,765.8,97324870.0,751018.7643,17.8141,3.5899,14.0
2018-09-30,745.5,66275982.0,731185.5136,16.0362,3.4169,14.0
2018-10-31,743.9,79612516.0,729769.3234,16.0018,3.4095,14.0
2018-11-30,705.95,63505736.0,692649.2391,15.1855,3.2356,14.0
2018-12-31,723.15,50994134.0,709550.4057,15.5555,3.3144,14.0
2019-01-31,731.9,52970866.0,718212.6576,15.7437,3.3545,14.0
2019-02-28,830.15,94079212.0,814731.4896,17.8571,3.8048,14.0
2019-03-31,775.9,63471110.0,762990.9405,16.0049,3.3939,14.0
2019-04-30,836.1,50844021.0,822189.3612,17.2467,3.6572,14.0
2019-05-31,760.35,65874930.0,748392.4766,15.6842,3.3259,14.0
2019-06-30,706.6,56649553.0,695487.7674,14.5754,3.0908,14.0
2019-07-31,636.25,66302353.0,626834.3106,13.1243,2.7831,14.0
2019-08-31,693.65,71093043.0,669124.9679,14.3083,3.0341,14.0
2019-09-30,714.5,59775398.0,689264.9718,14.2221,2.98,14.0
2019-10-31,739.0,47309338.0,713152.6385,14.7097,3.0821,14.0
2019-11-30,761.45,56638146.0,734852.8439,15.1566,3.1758,14.0
2019-12-31,762.3,49429542.0,735808.8469,15.1735,3.1793,14.0
2020-01-31,796.6,39879343.0,768968.045,15.8562,3.3224,14.0
2020-02-29,744.4,44505789.0,718737.2581,14.8172,3.1047,14.0
2020-03-31,565.5,85107243.0,546164.3991,12.2239,2.2595,10.0
2020-04-30,546.25,100747141.0,527596.8538,11.8078,2.1826,10.0
2020-05-31,530.45,92095152.0,512460.9377,11.4663,2.1194,10.0
2020-06-30,543.4,102864461.0,525020.9442,11.7462,2.1712,10.0
2020-07-31,681.65,163335550.0,658663.5125,14.7346,2.7235,15.0
2020-08-31,741.0,115354260.0,716028.4978,16.0176,2.9607,15.0
2020-09-30,791.75,126466110.0,765149.3654,17.3243,2.9154,15.0
2020-10-31,813.3,143876262.0,786431.3161,17.7958,2.9947,30.0
2020-11-30,876.85,105879479.0,847932.1894,19.1864,3.2287,30.0
2020-12-31,973.2,92697797.0,941496.2037,21.2946,3.5835,30.0
2021-01-31,961.4,96070023.0,930238.2466,21.0364,3.5401,30.0
2021-02-28,918.85,86652596.0,889444.7363,20.1054,3.3834,30.0
2021-03-31,991.45,86186045.0,959981.4355,19.5787,3.4848,20.0
2021-04-30,960.4,93043006.0,930065.4279,18.9655,3.3756,20.0
2021-05-31,1021.65,55189840.0,989609.5,20.175,3.5909,20.0
2021-06-30,1095.45,69276800.0,1061478.641,21.6324,3.8503,20.0
2021-07-31,1209.55,79288355.0,1172040.283,23.8856,4.2513,45.0
2021-08-31,1447.65,94385568.0,1403051.395,28.5875,5.0882,45.0
2021-09-30,1380.6,63108190.0,1338067.044,23.7996,4.8052,45.0
2021-10-31,1477.85,90611998.0,1432321.006,25.4761,5.1436,30.0
2021-11-30,1541.45,49068293.0,1495617.498,26.5725,5.365,45.0
2021-12-31,1790.55,61869531.0,1737889.84,30.8666,6.232,45.0
2022-01-31,1479.0,69368164.0,1435647.176,25.4959,5.1477,45.0
2022-02-28,1410.0,60394558.0,1369433.269,24.3065,4.9075,45.0
2022-03-31,1499.45,54235039.0,1457215.71,23.68,4.8945,45.0
