TECHNOE IN Equity,price,volume,mc,pe,bm,div
2018-12-31,264.3,2243870.0,29781.9583,14.4822,2.4177,0.0
2019-01-31,240.9,1028931.0,27145.1902,13.2,2.2036,0.0
2019-02-28,233.95,1497719.0,26362.0475,12.8192,2.14,0.0
2019-03-31,274.5,5374195.0,30931.3188,15.9965,2.1687,0.0
2019-04-30,236.95,694809.0,26700.0947,13.8083,1.8721,0.0
2019-05-31,249.4,818847.0,28102.9906,14.5338,1.9704,0.0
2019-06-30,269.1,1589752.0,30322.8338,15.6818,2.1261,0.0
2019-07-31,254.15,473900.0,28638.232,14.8106,2.008,0.0
2019-08-31,252.35,261918.0,27758.5,14.7057,1.9937,0.0
2019-09-30,265.0,1752207.0,29150.0,15.4429,2.0937,0.0
2019-10-31,269.6,465972.0,29656.0,15.711,2.13,0.0
2019-11-30,268.95,586099.0,29584.5,15.6731,2.1249,0.0
2019-12-31,282.3,461026.0,31053.0,16.451,2.2304,0.0
2020-01-31,299.55,500595.0,32950.5,17.4563,2.3667,0.0
2020-02-29,298.4,157806.0,32824.0,17.3893,2.3576,0.0
2020-03-31,238.0,388831.0,26180.0,14.6371,1.7811,0.0
2020-04-30,203.35,91231.0,22368.5,12.5062,1.5218,0.0
2020-05-31,180.95,142406.0,19904.5,11.1285,1.3541,0.0
2020-06-30,190.75,472432.0,20982.5,11.7312,1.4275,0.0
2020-07-31,178.5,308921.0,19635.0,10.9779,1.3358,0.0
2020-08-31,203.8,7242767.0,22418.0,12.5338,1.5251,0.0
2020-09-30,201.55,3013873.0,22170.5,12.3954,1.5083,0.0
2020-10-31,191.7,455356.0,21087.0,11.7897,1.4346,0.0
2020-11-30,215.75,664506.0,23732.5,13.2688,1.6146,3.0
2020-12-31,215.2,2617118.0,23672.0,13.2349,1.6105,3.0
2021-01-31,248.95,7783867.0,27384.5,15.3106,1.863,3.0
2021-02-28,290.75,3232592.0,31982.5,17.8813,2.1758,6.0
2021-03-31,306.85,6597795.0,33753.5,18.5632,2.0884,6.0
2021-04-30,294.2,2817093.0,32362.0,17.7979,2.0023,6.0
2021-05-31,334.65,3876804.0,36811.5,20.245,2.2776,6.0
2021-06-30,330.75,2253567.0,36382.5,20.0091,2.2511,6.0
2021-07-31,306.9,7439452.0,33759.0,18.5662,2.0887,6.0
2021-08-31,287.9,3528380.0,31669.0,17.4168,1.9594,6.0
2021-09-30,279.95,2261127.0,30794.5,16.9359,1.9053,10.0
2021-10-31,258.1,3441293.0,28391.0,15.614,1.7566,10.0
2021-11-30,238.95,1810998.0,26284.5,14.4555,1.6263,7.0
2021-12-31,240.55,3616718.0,26460.5,14.5523,1.6372,7.0
2022-01-31,248.7,3613981.0,27357.0,15.0454,1.6926,7.0
2022-02-28,240.4,2773207.0,26444.0,14.5433,1.6361,4.0
2022-03-31,247.75,4429022.0,27252.5,11.2104,1.4838,4.0
2022-04-30,289.3,3297806.0,31823.0,13.0905,1.7326,4.0
2022-05-31,279.85,3798372.0,30783.5,12.6629,1.676,4.0
2022-06-30,283.85,1626823.0,31223.5,12.8439,1.7,4.0
2022-07-31,293.3,2562525.0,32263.0,13.2715,1.7565,4.0
2022-08-31,286.85,3188087.0,31553.5,12.9796,1.7179,4.0
2022-09-30,264.4,2515253.0,29084.0,11.9638,1.5835,2.0
2022-10-31,280.2,1673424.0,30822.0,12.6787,1.6781,2.0
2022-11-30,315.15,3897487.0,34666.5,14.2602,1.8874,2.0
2022-12-31,329.95,3582395.0,35712.911,14.9299,1.976,2.0
2023-01-31,352.95,2762992.0,37984.1328,15.9706,2.1138,2.0
2023-02-28,323.85,6268179.0,34852.4193,14.6538,1.9395,2.0
2023-03-31,337.6,2940041.0,36332.1808,38.19,1.8823,2.0
2023-04-30,371.6,2218925.0,39991.2275,42.0362,2.0719,2.0
2023-05-31,395.25,4444037.0,42536.4173,44.7115,2.2038,2.0
2023-06-30,364.0,2215983.0,39173.3229,41.1765,2.0295,2.0
2023-07-31,491.05,4236481.0,52846.3193,55.5486,2.7379,2.0
2023-08-31,534.6,4478413.0,57533.1276,60.4751,2.9807,2.0
2023-09-30,505.0,2420449.0,54347.6046,57.1267,2.8157,6.0
2023-10-31,501.8,1348865.0,54003.2237,56.7647,2.7978,6.0
2023-11-30,710.9,5868091.0,76506.3606,80.4186,3.9637,6.0
2023-12-31,799.85,5768232.0,86079.0723,90.4808,4.4596,6.0
2024-01-31,817.75,3694335.0,88005.4528,92.5057,4.5595,6.0
2024-02-29,706.95,7954223.0,76081.2655,79.9717,3.9417,6.0
2024-03-31,771.75,5170567.0,83054.9779,30.6493,3.8394,6.0
2024-04-30,1014.75,13210924.0,109206.3995,40.2998,5.0484,6.0
2024-05-31,1418.35,12418314.0,152641.4356,56.3284,7.0563,6.0
2024-06-30,1553.3,5777989.0,167164.6222,61.6878,7.7276,6.0
2024-07-31,1706.8,3602220.0,183684.1416,67.784,8.4913,6.0
2024-08-31,1635.25,3659281.0,175984.0008,64.9424,8.1353,6.0
2024-09-30,1600.45,4621353.0,172238.859,63.5604,7.9622,7.0
2024-10-31,1564.45,3965272.0,181944.8685,62.1307,7.7831,7.0
2024-11-30,1473.9,2910611.0,171413.9421,58.5346,7.3326,7.0
2024-12-31,1570.7,6329581.0,182671.7409,62.3789,7.8142,7.0
2025-01-31,1077.75,7325355.0,125341.8659,42.8018,5.3618,7.0
2025-02-28,974.05,10074510.0,113281.6001,38.6835,4.8459,7.0
2025-03-31,1003.2,8069004.0,116671.7326,30.1714,3.1199,7.0
2025-04-30,1063.5,6206729.0,123684.5969,31.985,3.3074,7.0
2025-05-31,1409.8,12830170.0,163959.1394,42.4,4.3844,7.0
2025-06-30,1600.1,8296171.0,186090.9484,48.1233,4.9762,7.0
2025-07-31,1456.3,5036567.0,169367.0696,43.7985,4.529,7.0
2025-08-31,1512.7,4882397.0,175926.3656,45.4947,4.7044,7.0
2025-09-30,1333.4,5899604.0,155073.852,40.1023,4.1468,9.0
2025-10-31,1319.1,4147446.0,153410.7681,39.6722,4.1023,9.0
2025-11-30,1205.3,3717759.0,140175.8765,36.2496,3.7484,9.0
2025-12-31,1082.1,3930723.0,125847.769,32.5444,3.3653,9.0
2026-01-31,974.5,3380356.0,113333.9349,29.3083,3.0306,9.0
2026-02-28,1173.2,7667491.0,136442.6602,35.2842,3.6486,9.0
2026-03-31,1140.0,667974.0,132581.5144,34.2857,3.5453,9.0
