TMPV IN Equity,price,volume,mc,pe,bm,div
2009-12-31,94.82,474590343.0,411538.0115,39.5629,1.6442,1.1873
2010-01-31,83.18,373200837.0,359733.1123,34.7047,1.6442,1.1873
2010-02-28,85.19,359819075.0,367566.1819,35.5469,1.6442,1.1873
2010-03-31,90.76,882453689.0,392742.0556,8.2869,3.1891,1.1873
2010-04-30,104.53,599454905.0,480407.2235,9.5435,3.6727,1.1873
2010-05-31,90.44,673693217.0,415371.5396,8.2573,3.1777,1.1873
2010-06-30,93.26,568119716.0,426321.3713,4.8811,3.2448,1.1873
2010-07-31,101.38,368842188.0,467375.2606,5.3066,3.2448,1.1873
2010-08-31,121.03,675467072.0,557995.8368,6.3348,3.2448,2.9682
2010-09-30,131.54,390277560.0,607329.5206,4.9204,3.0413,2.9682
2010-10-31,138.84,319843181.0,677489.2949,5.1933,3.2099,2.9682
2010-11-30,147.93,400946231.0,722390.0787,5.5337,3.4203,2.9682
2010-12-31,156.73,513597719.0,777910.2626,4.8743,3.6009,2.9682
2011-01-31,137.4,355170787.0,683015.0677,4.2734,3.6009,2.9682
2011-02-28,129.7,456118818.0,639598.352,4.0339,3.6009,2.9682
2011-03-31,149.54,291391961.0,737662.0895,4.8769,2.5016,2.9682
2011-04-30,148.16,160289224.0,731209.7178,4.832,2.4785,2.9682
2011-05-31,131.21,290932157.0,649677.0555,4.279,2.1949,2.9682
2011-06-30,119.09,320088595.0,587447.5876,3.9704,1.9982,2.9682
2011-07-31,113.57,229320727.0,563026.7264,3.7863,1.9982,3.9576
2011-08-31,88.92,401024199.0,440999.2449,2.9644,1.9982,3.9576
2011-09-30,93.47,367748897.0,462401.5781,3.3222,1.2981,3.9576
2011-10-31,118.86,347960126.0,585872.5817,4.2248,1.6508,3.9576
2011-11-30,103.5,405561868.0,511051.4441,3.6788,1.4374,3.9576
2011-12-31,107.03,327548513.0,522835.1859,3.4587,1.4902,3.9576
2012-01-31,145.99,403140742.0,712956.5754,4.7177,1.4902,3.9576
2012-02-29,162.29,387981352.0,803034.2891,5.2442,1.4902,3.9576
2012-03-31,164.86,284152464.0,816993.4392,3.9174,1.6172,3.9576
2012-04-30,189.6,190769984.0,939190.5529,4.5051,1.8599,3.9576
2012-05-31,139.56,324474814.0,686488.6074,3.3161,1.369,3.9576
2012-06-30,145.22,339603109.0,709963.0008,3.3905,1.4122,3.9576
2012-07-31,135.51,244639339.0,665318.3804,3.1639,1.4122,3.9576
2012-08-31,140.33,245813763.0,690266.5023,3.2765,1.4122,3.9576
2012-09-30,160.25,235733692.0,790688.6527,3.6911,1.2803,3.9576
2012-10-31,152.58,176293377.0,754454.7846,3.5146,1.2191,3.9576
2012-11-30,163.78,275929589.0,807328.4537,3.7725,1.3086,3.9576
2012-12-31,187.26,225067547.0,916993.4149,4.9482,1.4837,3.9576
2013-01-31,178.49,253627640.0,874454.2405,4.7164,1.4837,3.9576
2013-02-28,172.23,193615908.0,843052.7299,4.551,1.4837,3.9576
2013-03-31,161.21,213080096.0,791043.0644,5.2611,1.381,3.9576
2013-04-30,179.68,187813084.0,882961.565,5.8641,1.5393,3.9576
2013-05-31,187.65,186532262.0,922106.7969,6.1241,1.6076,3.9576
2013-06-30,168.48,197369746.0,825749.3496,5.81,1.3869,3.9576
2013-07-31,173.99,174137862.0,845522.7856,6.0,1.3869,1.9788
2013-08-31,179.24,226404376.0,876734.6372,6.1808,1.3869,1.9788
2013-09-30,199.15,171240575.0,974674.3688,5.9535,1.1726,1.9788
2013-10-31,228.29,185773011.0,1120151.209,6.8245,1.3441,1.9788
2013-11-30,238.8,160355628.0,1173215.528,7.1388,1.406,1.9788
2013-12-31,225.44,150122313.0,1106851.052,5.2226,1.3217,1.9788
2014-01-31,209.36,127755572.0,1026008.661,4.8501,1.3217,1.9788
2014-02-28,249.73,158923450.0,1221686.754,5.7852,1.3217,1.9788
2014-03-31,238.77,115341257.0,1171543.137,5.5555,1.184,1.9788
2014-04-30,248.41,91630341.0,1226460.441,5.7799,1.2319,1.9788
2014-05-31,248.59,131796729.0,1242016.054,5.7841,1.2327,1.9788
2014-06-30,258.33,122983344.0,1304012.349,4.7628,1.2841,1.9788
2014-07-31,267.58,134352148.0,1345274.559,4.9334,1.2841,1.9788
2014-08-31,314.48,135819659.0,1596343.246,5.7981,1.2841,1.9788
2014-09-30,300.76,149845098.0,1519154.227,5.6252,1.4426,1.9788
2014-10-31,320.95,92211216.0,1605221.986,6.0028,1.5394,1.9788
2014-11-30,319.54,90869790.0,1601011.418,5.9764,1.5326,1.9788
2014-12-31,296.81,96522086.0,1496843.001,5.9712,1.4184,1.9788
2015-01-31,350.47,128193274.0,1751848.145,7.0508,1.4184,1.9788
2015-02-28,355.39,107253375.0,1778638.405,7.1496,1.4184,1.9788
2015-03-31,329.54,102389557.0,1642074.699,7.6852,1.9055,1.9788
2015-04-30,307.68,89510974.0,1602624.546,7.1754,1.7791,1.9788
2015-05-31,291.58,132123301.0,1523160.312,6.7998,1.686,1.9788
2015-06-30,262.82,180341185.0,1386039.328,6.2491,1.4991,1.9788
2015-07-31,232.37,204767723.0,1240482.477,5.5251,1.4991,1.9788
2015-08-31,205.92,228424296.0,1102972.648,4.896,1.4991,0.0
2015-09-30,180.76,241534162.0,972178.7839,6.7534,0.7584,0.0
2015-10-31,233.04,242210919.0,1243683.825,8.7064,0.9777,0.0
2015-11-30,256.22,187884517.0,1373941.772,9.5726,1.0749,0.0
2015-12-31,236.88,164944255.0,1276890.511,9.7066,0.9993,0.0
2016-01-31,203.95,201775736.0,1107674.041,8.3572,0.9993,0.0
2016-02-29,181.43,273692024.0,984303.8981,7.4344,0.9993,0.0
2016-03-31,234.04,194925110.0,1262812.178,6.7975,1.0068,0.0
2016-04-30,247.2,133392490.0,1330413.961,7.1799,1.0635,0.0
2016-05-31,278.26,329193001.0,1487019.068,8.0819,1.1971,0.0
2016-06-30,278.02,265257295.0,1474296.341,11.015,1.1648,0.0
2016-07-31,304.62,145634983.0,1617307.652,12.0691,1.1648,0.2
2016-08-31,325.51,177681315.0,1727136.558,12.8966,1.1648,0.2
2016-09-30,323.78,183548606.0,1717357.174,9.8564,2.0102,0.2
2016-10-31,322.03,117558327.0,1711704.634,9.803,1.9993,0.2
2016-11-30,278.05,183436891.0,1477567.833,8.4642,1.7262,0.2
2016-12-31,285.74,191828486.0,1514845.491,11.6722,1.7698,0.2
2017-01-31,316.94,120658574.0,1680892.774,12.947,1.7698,0.2
2017-02-28,276.5,178292493.0,1459143.008,11.2951,1.7698,0.2
