TRCL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,71.45,5128606.0,17002.8846,4.6773,1.3492,2.0
2009-04-30,79.95,15707583.0,19025.6211,5.2338,1.5097,2.0
2009-05-31,106.8,19735210.0,25415.0886,6.9915,2.0168,2.0
2009-06-30,102.0,20914105.0,24272.8374,6.6772,1.9261,2.0
2009-07-31,117.2,23110566.0,27889.9661,7.6723,2.2132,2.5
2009-08-31,108.2,13734171.0,25748.2452,7.0831,2.0432,2.0
2009-09-30,121.2,18902415.0,28841.8421,7.9341,2.2887,2.0
2009-10-31,107.85,11480121.0,25664.956,7.0602,2.0366,2.5
2009-11-30,114.65,10029097.0,27283.1452,7.5053,2.165,2.5
2009-12-31,112.05,5114044.0,26664.4258,7.3351,2.1159,2.5
2010-01-31,107.45,14222401.0,25569.7684,7.034,2.029,2.5
2010-02-28,111.0,5760908.0,26414.5583,7.2664,2.0961,2.5
2010-03-31,121.75,7728672.0,28972.725,8.1919,1.8594,2.5
2010-04-30,116.95,5375968.0,27830.4739,7.8689,1.7861,2.5
2010-05-31,100.05,3494889.0,23808.7979,6.7318,1.528,2.5
2010-06-30,99.85,3084309.0,23761.2041,6.7183,1.525,2.5
2010-07-31,102.8,6006044.0,24463.2126,6.9168,1.57,2.0
2010-08-31,102.2,5632128.0,24320.4312,6.8765,1.5609,2.0
2010-09-30,115.6,18060682.0,27509.2157,7.7781,1.7655,2.0
2010-10-31,116.05,5838007.0,27616.3018,7.8083,1.7724,2.0
2010-11-30,105.0,6132979.0,24986.7444,7.0649,1.6036,2.0
2010-12-31,106.15,1870515.0,25260.4087,7.1422,1.6212,0.5
2011-01-31,94.05,1557986.0,22380.9839,6.3281,1.4364,0.5
2011-02-28,91.75,2927710.0,21833.6552,6.1733,1.4013,0.5
2011-03-31,101.95,2773840.0,24260.939,11.5152,1.3987,0.5
2011-04-30,99.0,2382148.0,23558.9304,11.182,1.3582,0.5
2011-05-31,91.0,2577258.0,21655.1785,10.2784,1.2485,0.5
2011-06-30,81.55,1631578.0,19406.3715,9.211,1.1188,0.5
2011-07-31,92.3,3183235.0,21964.5382,10.4252,1.2663,0.5
2011-08-31,87.6,2045953.0,20846.0839,9.8943,1.2018,1.25
2011-09-30,100.25,4577906.0,23856.3917,11.3231,1.3754,1.25
2011-10-31,101.65,1599009.0,24189.5483,11.4813,1.3946,1.25
2011-11-30,111.6,3597866.0,26557.3397,12.6051,1.5311,1.25
2011-12-31,102.7,1552064.0,24439.4157,11.5999,1.409,1.25
2012-01-31,116.95,6266714.0,27830.4739,13.2094,1.6045,1.25
