TRENT IN Equity,price,volume,mc,pe,bm,div
2020-03-31,484.35,13401800.0,172180.3517,145.0513,7.2101,1.3
2020-04-30,505.0,13006960.0,179521.1678,151.2355,7.5175,1.3
2020-05-31,468.85,7024910.0,166670.2961,140.4094,6.9794,1.3
2020-06-30,615.3,16727166.0,218731.4348,195.1387,9.6998,1.3
2020-07-31,558.1,8035668.0,198397.552,195.1387,9.6998,1.0
2020-08-31,639.2,13582522.0,227227.5851,195.1387,9.6998,1.0
2020-09-30,671.9,20314282.0,238852.025,195.1387,11.352,1.0
2020-10-31,659.55,14171389.0,234461.7483,195.1387,11.1434,1.0
2020-11-30,720.3,51821014.0,256057.611,195.1387,12.1698,1.0
2020-12-31,687.6,20963248.0,244433.1713,195.1387,11.4475,1.0
2021-01-31,621.55,12121895.0,220953.2252,195.1387,11.4475,1.0
2021-02-28,808.65,16032340.0,287464.9273,195.1387,11.4475,1.0
2021-03-31,751.05,22498650.0,266988.8501,195.1387,11.5428,1.0
2021-04-30,776.7,18871297.0,276107.1032,195.1387,11.937,1.0
2021-05-31,851.65,19526987.0,302750.8876,195.1387,13.0889,1.0
2021-06-30,849.85,13147047.0,302111.0102,195.1387,13.258,1.0
2021-07-31,922.9,19442387.0,328079.3778,195.1387,13.258,0.6
2021-08-31,1006.9,23854524.0,357940.3245,195.1387,13.258,0.6
2021-09-30,1025.85,16928704.0,364676.8119,528.7887,16.2179,0.6
2021-10-31,1003.15,20341461.0,356607.2465,517.0876,15.859,0.6
2021-11-30,1014.4,23427445.0,360606.4804,522.8866,16.0369,0.6
2021-12-31,1065.0,14802365.0,378594.146,347.9752,16.3285,0.6
2022-01-31,1031.55,16364621.0,366703.0904,337.0458,16.3285,0.6
2022-02-28,1108.1,11833925.0,393915.6555,362.0576,16.3285,0.6
2022-03-31,1275.5,18009612.0,453424.2565,569.2766,19.1804,0.6
2022-04-30,1228.4,15312382.0,436680.7971,548.2551,18.4721,0.6
2022-05-31,1124.05,14832579.0,399585.6805,501.6819,16.9029,2.3
2022-06-30,1074.15,14462936.0,381846.8562,113.4199,16.6804,2.3
2022-07-31,1268.6,13418734.0,450971.393,133.9519,16.6804,1.7
2022-08-31,1407.25,23102620.0,500259.7295,148.592,16.6804,1.7
2022-09-30,1420.0,16603110.0,504792.1946,149.6223,21.18,1.7
2022-10-31,1527.9,11484003.0,543149.2917,160.9915,22.7894,1.7
2022-11-30,1471.65,16690256.0,523153.122,155.0646,21.9504,1.7
2022-12-31,1351.35,11530643.0,480387.9804,126.9504,20.1151,1.7
2023-01-31,1196.6,14964454.0,425376.2958,112.4126,20.1151,1.7
2023-02-28,1278.15,15654315.0,454366.2983,120.0737,20.1151,1.1
2023-03-31,1374.95,10547659.0,488777.4845,113.0277,18.8318,1.1
2023-04-30,1367.75,7857565.0,486217.9748,112.4359,18.7332,1.1
2023-05-31,1560.45,11140134.0,554720.4085,128.2768,21.3725,2.2
2023-06-30,1764.15,10421717.0,627133.2043,131.9019,24.233,2.2
2023-07-31,1757.1,7062062.0,624627.0177,131.3748,24.233,2.2
2023-08-31,2048.6,21867242.0,728251.6126,153.1697,24.233,2.2
2023-09-30,2080.15,15546015.0,739467.242,119.8608,25.3788,2.2
2023-10-31,2154.7,10543229.0,765968.8322,124.1565,26.2884,2.2
2023-11-30,2787.0,19171640.0,990743.5538,160.5904,34.0027,2.2
2023-12-31,3054.95,13063270.0,1085996.419,129.8321,36.9186,2.2
2024-01-31,3086.95,11875113.0,1097372.018,131.1921,36.9186,2.2
2024-02-29,3881.8,31028761.0,1379931.226,164.9724,36.9186,2.2
2024-03-31,3948.0,16948867.0,1403464.496,94.4046,34.5023,2.2
2024-04-30,4409.9,22496366.0,1567664.154,105.4495,38.5389,2.2
2024-05-31,4559.15,17900141.0,1620720.658,109.0184,39.8433,3.2
2024-06-30,5479.85,15614186.0,1948017.963,114.2957,46.5711,3.2
2024-07-31,5839.0,14294252.0,2075691.285,121.7866,46.5711,3.2
2024-08-31,7158.75,28016152.0,2544845.861,149.3133,46.5711,3.2
2024-09-30,7574.65,24330302.0,2692693.097,148.8889,57.5419,3.2
2024-10-31,7128.35,16839914.0,2534039.043,140.1164,54.1515,3.2
2024-11-30,6795.4,23751885.0,2415679.493,133.5718,51.6222,3.2
2024-12-31,7123.35,16491891.0,2532261.605,131.1018,52.8297,3.2
2025-01-31,5753.2,24441684.0,2045190.461,105.8848,52.8297,3.2
2025-02-28,4851.55,33135310.0,1724665.191,89.2904,52.8297,3.2
2025-03-31,5325.15,23807563.0,1893024.053,122.489,34.6597,3.2
2025-04-30,5172.5,36270197.0,1838758.892,118.9778,33.6662,3.2
2025-05-31,5643.5,19796669.0,2006193.486,129.8117,36.7318,3.2
2025-06-30,6217.5,31966476.0,2210243.289,139.531,39.179,5.0
2025-07-31,5018.0,28348490.0,1783836.079,112.6122,39.179,5.0
2025-08-31,5298.0,21166313.0,1883372.568,118.8959,39.179,5.0
2025-09-30,4677.5,21976710.0,1662792.599,102.5093,27.2529,5.0
2025-10-31,4694.3,18952425.0,1668764.788,102.8775,27.3508,5.0
2025-11-30,4250.4,23318497.0,1510963.904,93.1492,24.7644,5.0
2025-12-31,4279.0,18221180.0,1521130.846,92.9006,24.5157,5.0
2026-01-31,3785.5,24621071.0,1345697.784,82.1863,24.5157,5.0
2026-02-28,3899.5,20672589.0,1386223.354,84.6613,24.5157,5.0
2026-03-31,3791.1,2470968.0,1347688.548,82.3079,24.5157,5.0
