TTCH IN Equity,price,volume,mc,pe,bm,div
2006-03-31,116.24,36083553.0,56711.8005,5.8384,1.1266,6.5
2006-04-30,113.82,20703526.0,54732.8566,5.7166,1.1031,6.5
2006-05-31,101.12,21256725.0,49333.7813,5.0788,0.9801,6.5
2006-06-30,94.2,8760740.0,45956.6705,4.7312,0.913,7.0
2006-07-31,88.58,4656957.0,43214.1124,4.4488,0.8585,7.0
2006-08-31,99.09,9291438.0,48344.3094,4.977,0.9604,7.0
2006-09-30,106.32,7516344.0,51871.992,5.3401,1.0305,7.0
2006-10-31,101.67,6638252.0,49602.6596,5.1065,0.9854,7.0
2006-11-30,96.62,5736927.0,47139.7348,4.853,0.9365,7.0
2006-12-31,95.06,7538086.0,46376.1206,4.7744,0.9213,7.0
2007-01-31,100.06,4770786.0,48817.5351,5.0257,0.9698,7.0
2007-02-28,94.53,4369254.0,46117.9975,4.7478,0.9162,7.0
2007-03-31,91.51,4103026.0,44644.5447,3.9829,0.7654,7.0
2007-04-30,96.09,4218241.0,46881.6117,4.1824,0.8037,7.0
2007-05-31,112.98,10686081.0,55120.0413,4.9174,0.9449,7.0
2007-06-30,109.74,5908910.0,53539.0372,4.7764,0.9178,7.0
2007-07-31,116.02,14337364.0,56604.2492,5.0498,0.9704,8.0
2007-08-31,111.13,5143214.0,54216.6104,4.8368,0.9295,8.0
2007-09-30,131.67,16248928.0,64240.51,5.731,1.1013,8.0
2007-10-31,141.84,15538336.0,69198.6341,6.1734,1.1863,8.0
2007-11-30,137.56,18702953.0,69499.5615,5.9872,1.1505,8.0
2007-12-31,182.11,29295998.0,93630.5869,7.9264,1.5232,8.0
2008-01-31,135.36,18620911.0,70889.9848,5.8913,1.1321,8.0
2008-02-29,145.21,20461581.0,76050.868,6.3202,1.2145,8.0
2008-03-31,123.69,14461360.0,65646.9877,2.8429,0.7784,8.0
2008-04-30,158.17,13850118.0,83945.3487,3.6353,0.9953,8.0
2008-05-31,178.52,16413970.0,94820.6962,4.1029,1.1234,8.0
2008-06-30,126.49,19988558.0,67187.1023,2.9072,0.796,8.0
2008-07-31,140.91,18793576.0,75016.8635,3.2386,0.8867,9.0
2008-08-31,145.67,21010528.0,77699.9708,3.348,0.9167,9.0
2008-09-30,99.75,15747981.0,53207.0774,2.2926,0.6277,9.0
2008-10-31,69.97,19189502.0,37321.3213,1.6081,0.4403,9.0
2008-11-30,65.25,20107918.0,34805.0129,1.4997,0.4106,9.0
2008-12-31,72.86,11976051.0,38861.6783,1.6745,0.4585,9.0
2009-01-31,67.52,7154743.0,36016.1333,1.5519,0.4249,9.0
2009-02-28,54.72,7317207.0,29184.4737,1.2575,0.3443,9.0
2009-03-31,62.41,21340164.0,33288.1728,2.262,0.3077,9.0
2009-04-30,75.64,13573958.0,40343.243,2.7414,0.3729,9.0
2009-05-31,95.39,19120413.0,50878.8145,3.4573,0.4703,9.0
2009-06-30,95.83,37296103.0,51113.9835,3.4733,0.4725,9.0
2009-07-31,112.05,25514749.0,59768.203,4.0614,0.5525,9.0
2009-08-31,109.43,19243290.0,58368.9474,3.9663,0.5395,9.0
2009-09-30,124.05,16625885.0,66164.7999,4.4961,0.6116,9.0
2009-10-31,115.89,8687393.0,61814.1733,4.2004,0.5714,9.0
2009-11-30,123.96,6481553.0,66117.7661,4.4929,0.6112,9.0
2009-12-31,141.9,14580940.0,75689.1447,5.1433,0.6996,9.0
2010-01-31,130.88,11479905.0,69809.9195,4.7438,0.6453,9.0
2010-02-28,126.98,16898488.0,70057.8149,4.6023,0.6261,9.0
2010-03-31,144.68,12060204.0,79824.5555,5.6494,0.7462,9.0
2010-04-30,156.01,9683691.0,86076.2424,6.0918,0.8047,9.0
2010-05-31,141.77,8351392.0,78219.0639,5.5357,0.7312,9.0
2010-06-30,147.39,10164526.0,81320.5817,5.7552,0.7602,9.0
2010-07-31,148.49,10161782.0,81928.7225,5.7983,0.7659,9.0
2010-08-31,174.33,20672626.0,100730.6418,6.8071,0.8991,9.0
2010-09-30,176.18,13732326.0,101800.6182,6.8794,0.9087,9.0
2010-10-31,172.15,23345869.0,99469.5981,6.7219,0.8879,9.0
2010-11-30,156.45,15672468.0,90400.2737,6.109,0.8069,9.0
2010-12-31,173.67,10371213.0,100348.5073,6.7813,0.8957,9.0
