UCO IN Equity,price,volume,mc,pe,bm,div
2020-12-31,12.7,83700809.0,125962.9259,115.4545,0.6482,0.0
2021-01-31,12.85,79512109.0,127450.677,116.8182,0.6559,0.0
2021-02-28,13.9,356711239.0,137864.9347,126.3636,0.7095,0.0
2021-03-31,11.0,376306332.0,109101.7469,64.7059,0.4826,0.0
2021-04-30,11.0,162635954.0,109101.7469,64.7059,0.4826,0.0
2021-05-31,13.6,310448424.0,134889.4325,80.0,0.5967,0.0
2021-06-30,15.2,495832271.0,181730.5587,60.8,0.7995,0.0
2021-07-31,13.8,161055029.0,164992.2229,55.2,0.7259,0.0
2021-08-31,12.8,89197086.0,153036.2647,51.2,0.6733,0.0
2021-09-30,13.65,192685814.0,163198.8292,35.0,0.7114,0.0
2021-10-31,14.4,256655051.0,172165.7978,36.9231,0.7505,0.0
2021-11-30,12.95,94451108.0,154829.6584,33.2051,0.6749,0.0
2021-12-31,13.0,73273110.0,155427.4563,21.3115,0.6679,0.0
2022-01-31,13.6,91008297.0,162601.0312,22.2951,0.6988,0.0
2022-02-28,11.8,108432691.0,141080.3065,19.3443,0.6063,0.0
2022-03-31,11.85,79950357.0,141678.1044,15.0,0.6037,0.0
2022-04-30,11.85,63784985.0,141678.1044,15.0,0.6037,0.0
2022-05-31,11.6,50647570.0,138689.1148,14.6835,0.591,0.0
2022-06-30,10.95,36828760.0,130917.742,13.8608,0.5531,0.0
2022-07-31,11.3,32899613.0,135102.3274,14.3038,0.5708,0.0
2022-08-31,12.0,81968118.0,143471.4981,15.1899,0.6062,0.0
2022-09-30,11.9,94577292.0,142275.9023,11.4423,0.5873,0.0
2022-10-31,13.2,90305682.0,157818.6479,12.6923,0.6514,0.0
2022-11-30,19.8,1117494216.0,236727.9719,19.0385,0.9772,0.0
2022-12-31,31.5,2845655252.0,376612.6825,23.6842,1.5054,0.0
2023-01-31,29.65,680361996.0,354494.1599,22.2932,1.4169,0.0
2023-02-28,25.9,344826198.0,309659.3168,19.4737,1.2377,0.0
2023-03-31,24.3,311817521.0,290529.7837,15.4463,1.1347,0.0
2023-04-30,30.1,440988642.0,359874.3411,19.133,1.4056,0.0
2023-05-31,26.3,292516289.0,314441.7,16.7176,1.2281,0.0
2023-06-30,27.4,225613265.0,327593.254,16.4743,1.2715,0.0
2023-07-31,28.25,338520856.0,337755.8185,16.9854,1.3109,0.0
2023-08-31,31.15,497111538.0,372428.0972,18.729,1.4455,0.0
2023-09-30,43.55,1561324294.0,520681.9786,27.5076,1.9826,0.0
2023-10-31,37.1,696924663.0,443566.0483,23.4336,1.6889,0.0
2023-11-30,37.85,271565376.0,452533.017,23.9073,1.7231,0.0
2023-12-31,39.75,456743555.0,475249.3375,27.3535,1.7715,0.0
2024-01-31,46.5,711666787.0,555952.0552,31.9984,2.0724,0.0
2024-02-29,56.7,1465303678.0,677902.8286,39.0174,2.527,0.0
2024-03-31,52.2,397329916.0,624101.0168,37.2892,2.2933,0.0
2024-04-30,57.3,341607377.0,685076.4035,40.9324,2.5174,0.0
2024-05-31,56.95,378268110.0,680891.8181,40.6824,2.502,0.28
2024-06-30,54.78,378786938.0,654947.3889,33.0026,2.4188,0.28
2024-07-31,56.26,349703578.0,672642.207,33.8943,2.4842,0.28
2024-08-31,51.02,145400351.0,609992.9861,30.7374,2.2528,0.28
2024-09-30,48.24,104820999.0,576755.4224,26.3626,2.059,0.28
2024-10-31,46.11,139576106.0,551289.2315,25.1985,1.9681,0.28
2024-11-30,44.48,96289094.0,531801.0197,24.3078,1.8985,0.28
2024-12-31,43.87,261970881.0,524507.8852,22.5647,1.8403,0.28
2025-01-31,43.51,180013309.0,520203.7402,22.3795,1.8252,0.28
2025-02-28,36.37,80409861.0,434838.1989,18.707,1.5257,0.28
2025-03-31,35.7,99566222.0,426827.7069,17.378,1.4495,0.28
2025-04-30,31.05,405370171.0,389353.3063,15.1145,1.2607,0.28
2025-05-31,33.05,282302044.0,414432.4243,16.0881,1.3419,0.39
2025-06-30,32.4,494529755.0,406281.7109,15.5446,1.2726,0.39
2025-07-31,29.79,197070125.0,373553.462,14.2924,1.17,0.39
2025-08-31,28.2,133823403.0,353615.5632,13.5296,1.1076,0.39
2025-09-30,30.49,206592752.0,382331.1533,14.77,1.1777,0.39
2025-10-31,33.21,319021829.0,416438.7537,16.0876,1.2827,0.39
2025-11-30,30.78,212991472.0,385967.6254,14.9105,1.1889,0.39
2025-12-31,29.45,145259771.0,369290.0119,13.8915,1.1129,0.39
2026-01-31,29.2,176039104.0,366155.1222,13.7736,1.1035,0.39
2026-02-28,29.62,187415197.0,371421.737,13.9717,1.1194,0.39
2026-03-31,27.47,30615985.0,344461.6765,12.9575,1.0381,0.39
