VEDL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,99.6,174388393.0,78409.103,3.9427,1.6627,1.5
2009-04-30,111.85,168296235.0,88052.7929,4.4276,1.8672,1.5
2009-05-31,165.4,185556956.0,130209.4944,6.5474,2.7612,1.5
2009-06-30,182.6,408623811.0,143750.0222,8.0868,3.1201,1.5
2009-07-31,241.0,247789963.0,189724.8376,10.6732,3.1201,2.25
2009-08-31,212.3,246480667.0,167131.0499,9.4021,3.1201,2.25
2009-09-30,265.7,228752070.0,218010.6772,13.0565,3.1201,2.25
2009-10-31,302.45,287285667.0,248164.5816,14.8624,3.1201,2.25
2009-11-30,368.25,200912480.0,302154.4294,18.0958,3.1201,2.25
2009-12-31,410.8,114390628.0,337067.3173,16.7128,3.1201,2.25
2010-01-31,346.75,98597131.0,284513.3697,14.107,3.1201,2.25
2010-02-28,400.35,94382094.0,329307.3012,16.2876,3.1201,2.25
2010-03-31,470.45,132387075.0,390925.975,14.4443,4.9374,2.25
2010-04-30,428.95,122215610.0,360222.0989,13.1701,4.5018,2.25
2010-05-31,381.9,272675973.0,328320.4137,11.7255,4.008,2.25
2010-06-30,352.65,232203230.0,303174.1133,8.3211,3.7341,2.25
2010-07-31,361.25,146248192.0,310567.5555,8.5241,3.7341,3.25
2010-08-31,317.8,135639424.0,273213.4786,7.4988,3.7341,3.25
2010-09-30,328.2,101241846.0,282154.3853,7.3226,2.6488,3.25
2010-10-31,321.6,124498563.0,276480.3483,7.1754,2.5955,3.25
2010-11-30,307.7,66986190.0,264530.4825,6.8652,2.4834,3.25
2010-12-31,328.55,93230116.0,282455.2812,6.9875,2.6202,3.25
2011-01-31,326.1,77844326.0,280349.0099,6.9353,2.6202,3.25
2011-02-28,261.2,62315499.0,224554.3128,5.5551,2.6202,3.25
2011-03-31,291.35,82467197.0,250474.3454,5.935,1.9766,3.25
2011-04-30,313.9,74798271.0,269860.6385,6.3944,2.1296,3.25
2011-05-31,289.9,53828561.0,251952.5076,5.9055,1.9668,3.25
2011-06-30,282.05,30320804.0,245130.0613,6.4705,1.9651,3.5
2011-07-31,275.05,62400522.0,239046.3512,6.3099,1.9651,3.5
2011-08-31,234.05,82865144.0,203413.1921,5.3694,1.9651,3.5
2011-09-30,200.55,78453773.0,174298.2816,5.1278,1.2786,3.5
2011-10-31,207.35,65551613.0,180208.171,5.3017,1.322,3.5
2011-11-30,183.5,60484321.0,159480.1031,4.6919,1.1699,3.5
2011-12-31,163.4,60154735.0,142011.1654,4.7144,1.0191,3.5
2012-01-31,217.95,97319816.0,189420.6456,6.2882,1.0191,3.5
2012-02-29,214.4,151604691.0,186335.3357,6.1858,1.0191,5.5
2012-03-31,194.7,73822884.0,169214.0623,6.2786,1.1193,5.5
2012-04-30,188.4,54887103.0,163738.7229,6.0755,1.0831,5.5
2012-05-31,187.15,64921868.0,162652.346,6.0351,1.0759,5.5
2012-06-30,191.65,47357550.0,166563.3028,5.9097,1.0684,4.0
2012-07-31,190.2,61793934.0,165303.1056,5.8649,1.0684,4.0
2012-08-31,171.45,47975910.0,149007.4524,5.2868,1.0684,4.0
2012-09-30,171.2,66643685.0,148790.1771,4.4549,0.8961,4.0
2012-10-31,171.15,41198541.0,148746.722,4.4536,0.8959,4.0
2012-11-30,182.2,27946259.0,158350.2936,4.7411,0.9537,4.0
2012-12-31,195.45,41589850.0,169865.8885,5.4022,1.0204,4.0
2013-01-31,186.55,42277360.0,162130.8851,5.1562,1.0204,4.0
2013-02-28,154.85,29853491.0,134580.3675,4.28,1.0204,2.0
2013-03-31,155.5,32483285.0,135145.2835,5.9261,0.7733,2.0
2013-04-30,158.75,52756174.0,137969.8634,6.0499,0.7895,2.0
2013-05-31,163.9,31831550.0,142445.7361,6.2462,0.8151,2.1
2013-06-30,142.8,32256307.0,124107.6857,7.1687,0.6883,0.1
2013-07-31,127.85,42251964.0,111114.6192,6.4182,0.6883,0.1
2013-08-31,188.75,166491727.0,164042.8969,9.4754,0.6883,0.1
2013-09-30,180.75,285667180.0,535864.8827,8.1787,0.7725,0.1
2013-10-31,202.0,189190093.0,598864.2119,9.1403,0.8633,0.1
2013-11-30,183.1,143976306.0,542831.8673,8.2851,0.7825,3.0
2013-12-31,201.95,186439705.0,598715.9782,8.9004,0.8665,3.0
2014-01-31,188.4,128872608.0,558544.6412,8.3032,0.8665,3.0
2014-02-28,177.65,97511544.0,526674.3923,7.8294,0.8665,3.0
2014-03-31,188.55,123275085.0,558989.3424,7.6243,0.7657,3.0
2014-04-30,185.35,155408372.0,549502.3845,7.4949,0.7527,3.0
2014-05-31,280.45,308158588.0,831442.912,11.3405,1.139,3.0
2014-06-30,292.35,191445618.0,866722.5364,13.7706,1.1751,3.0
2014-07-31,290.25,175169967.0,860496.7203,13.6717,1.1751,3.25
2014-08-31,277.15,105809463.0,821659.4868,13.0546,1.1751,3.25
2014-09-30,272.5,121197231.0,807873.7512,14.7297,1.0998,3.25
2014-10-31,255.95,112621035.0,758808.3913,13.8351,1.033,3.25
2014-11-30,231.35,79467720.0,685877.4031,12.5054,0.9337,3.5
2014-12-31,214.5,114251639.0,635925.8877,12.2222,0.857,3.5
2015-01-31,201.95,120379699.0,598719.0351,11.5071,0.857,3.5
2015-02-28,217.6,92405551.0,645116.3188,12.3989,0.857,3.5
2015-03-31,189.5,98005672.0,561809.5767,10.7778,1.0429,3.5
2015-04-30,209.85,97761479.0,622141.1064,10.7778,1.1549,3.5
2015-05-31,196.45,125166102.0,582414.2023,10.7778,1.0812,3.5
2015-06-30,174.15,107176388.0,516301.5186,10.7778,0.9504,3.5
2015-07-31,130.25,156990353.0,386151.4373,10.7778,0.9504,4.1
2015-08-31,98.65,231460277.0,292467.0962,10.7778,0.9504,4.1
2015-09-30,84.7,201911796.0,251109.6103,10.7778,0.4787,4.1
2015-10-31,99.95,443779653.0,296321.1989,10.7778,0.5649,5.85
2015-11-30,89.95,209404224.0,266674.2555,10.7778,0.5084,5.85
2015-12-31,90.4,232841610.0,268008.368,10.7778,0.5197,5.85
2016-01-31,71.75,468823066.0,212716.8186,10.7778,0.5197,5.85
2016-02-29,70.6,540865785.0,209307.4201,10.7778,0.5197,5.85
2016-03-31,89.85,535458961.0,266377.7861,10.7778,0.6049,5.85
2016-04-30,103.8,366863008.0,307735.2721,10.7778,0.6988,5.85
2016-05-31,108.55,395265974.0,321817.5702,10.7778,0.7308,5.85
2016-06-30,131.95,359327666.0,391191.4176,10.7778,0.8574,5.85
2016-07-31,164.65,451835400.0,488136.9224,10.7778,0.8574,3.5
2016-08-31,170.0,256852017.0,503998.0371,10.7778,0.8574,3.5
2016-09-30,172.05,232756349.0,510075.6605,10.7778,1.0936,3.5
2016-10-31,202.55,244975167.0,600498.8377,10.7778,1.2874,3.5
2016-11-30,229.85,392088153.0,681434.9931,10.7778,1.461,1.75
2016-12-31,216.15,239179855.0,640818.6807,10.7778,1.3793,1.75
2017-01-31,253.1,214096014.0,750364.1364,10.7778,1.3793,1.75
2017-02-28,259.1,213540931.0,768152.3024,10.7778,1.3793,1.75
2017-03-31,274.95,275998765.0,1022042.516,14.2535,1.6906,1.75
2017-04-30,243.55,247166801.0,905322.6211,12.6257,1.4975,19.45
2017-05-31,238.65,352642525.0,887108.37,12.3717,1.4674,19.45
2017-06-30,249.05,256277366.0,925767.1886,11.9793,1.5446,19.45
2017-07-31,279.85,208408763.0,1040256.767,13.4608,1.5446,19.45
2017-08-31,308.9,255884532.0,1148241.255,14.8581,1.5446,19.45
2017-09-30,314.25,239882177.0,1168128.243,14.6163,1.8268,19.45
2017-10-31,331.85,167091799.0,1233550.859,15.4349,1.9291,19.45
2017-11-30,295.45,163687878.0,1098245.009,13.7419,1.7175,19.45
2017-12-31,329.9,228296039.0,1226302.347,16.7547,1.934,19.45
2018-01-31,340.35,208227278.0,1265147.026,17.2854,1.934,17.7
2018-02-28,329.75,233993259.0,1225744.8,16.7471,1.934,17.7
2018-03-31,277.85,243686540.0,1032822.419,9.9807,1.6326,21.2
2018-04-30,298.4,271430514.0,1109210.761,10.7189,1.7533,21.2
2018-05-31,248.3,328727984.0,922979.9255,8.9193,1.4589,21.2
2018-06-30,236.2,375360568.0,878001.8461,8.4573,1.3514,21.2
2018-07-31,222.2,264482488.0,825961.0932,7.956,1.3514,21.2
2018-08-31,227.7,308951214.0,846405.6747,8.1529,1.3514,21.2
2018-09-30,232.3,359408253.0,863504.7792,8.9214,1.3084,21.2
2018-10-31,211.15,365907617.0,784886.0703,8.1091,1.1893,21.2
2018-11-30,195.85,288801292.0,728012.9617,7.5215,1.1031,38.2
2018-12-31,202.2,260643828.0,751617.1604,8.1177,1.1231,38.2
2019-01-31,197.35,236485892.0,733588.7567,7.923,1.1231,38.2
2019-02-28,169.4,419028552.0,629693.1106,6.8009,1.1231,38.2
2019-03-31,184.45,188274766.0,685636.9201,9.6928,1.1014,18.85
2019-04-30,166.85,184408710.0,620214.2592,8.7679,0.9963,18.85
2019-05-31,160.55,286619204.0,596795.9204,8.4369,0.9587,18.85
2019-06-30,174.35,177205964.0,648093.234,9.3991,1.056,18.85
2019-07-31,154.1,240572846.0,572820.0021,8.3075,1.056,18.85
2019-08-31,139.15,270960792.0,517247.9123,7.5015,1.056,18.85
2019-09-30,154.15,248186669.0,573005.8619,7.4359,0.8682,18.85
2019-10-31,148.35,251808117.0,551446.1214,7.1561,0.8356,18.85
2019-11-30,144.6,305268767.0,537506.634,6.9752,0.8145,1.85
2019-12-31,152.45,321237519.0,566686.6276,6.6804,0.8702,1.85
2020-01-31,137.9,336747067.0,512601.4165,6.0428,0.8702,1.85
2020-02-29,114.0,313018318.0,423760.4168,4.9955,0.8702,1.85
2020-03-31,64.7,698174317.0,240502.6225,2.6971,0.4405,3.9
2020-04-30,89.55,690259645.0,332874.959,2.6971,0.6097,3.9
2020-05-31,92.2,839807394.0,342725.5301,2.6971,0.6278,3.9
2020-06-30,106.4,654352964.0,395509.7224,2.6971,0.735,3.9
2020-07-31,113.8,503148718.0,423016.9775,2.6971,0.735,3.9
2020-08-31,128.65,418951341.0,478217.3476,2.6971,0.735,3.9
2020-09-30,136.9,389532861.0,508884.2199,2.6971,0.905,3.9
2020-10-31,95.75,1310548532.0,355921.5633,2.6971,0.6329,13.4
2020-11-30,120.75,600193919.0,448851.4754,2.6971,0.7982,13.4
2020-12-31,161.4,1127460324.0,599955.5125,2.6971,1.0712,13.4
2021-01-31,161.25,394951367.0,599397.933,2.6971,1.0712,13.4
2021-02-28,207.3,380228346.0,770574.8311,2.6971,1.0712,13.4
2021-03-31,228.75,425358566.0,850308.6957,7.3411,1.3664,9.5
2021-04-30,257.25,308082354.0,956248.7955,8.2558,1.5366,9.5
2021-05-31,274.2,473149806.0,1019255.276,8.7997,1.6379,9.5
2021-06-30,262.85,232242958.0,977065.0958,6.6176,1.5919,9.5
