VMM IN Equity,price,volume,mc,pe,bm,div
2025-03-31,104.24,355066947.0,479235.918,74.4571,7.4865,0.0
2025-04-30,118.48,299390781.0,544703.2959,84.6286,8.5093,0.0
2025-05-31,124.66,484548818.0,576498.0843,89.0429,8.9531,0.0
2025-06-30,133.98,2000394941.0,622696.1647,95.7,9.6225,0.0
2025-07-31,139.54,409132763.0,650447.6795,99.6714,10.0218,0.0
2025-08-31,149.41,812378227.0,697640.7284,106.7214,10.7307,0.0
2025-09-30,149.01,302984224.0,696035.8317,106.4357,10.7019,0.0
2025-10-31,144.69,138716432.0,675856.8182,103.35,10.3917,0.0
2025-11-30,135.8,228327131.0,634331.0244,97.0,9.7532,0.0
2025-12-31,136.37,175361014.0,637257.3927,97.4071,9.7941,0.0
2026-01-31,125.95,193011881.0,588564.7034,89.9643,9.0458,0.0
2026-02-28,117.78,973172551.0,550386.2705,84.1286,8.459,0.0
2026-03-31,115.05,82835517.0,537628.9871,82.1786,8.2629,0.0
