WAAREEEN IN Equity,price,volume,mc,pe,bm,div
2025-03-31,2404.65,18210962.0,690815.5445,35.2381,7.2877,0.0
2025-04-30,2604.5,66863956.0,748229.0918,38.1668,7.8934,0.0
2025-05-31,2978.9,52640449.0,855787.9215,43.6533,9.0281,0.0
2025-06-30,3139.4,58208380.0,901896.8749,46.0053,9.5145,0.0
2025-07-31,2992.4,63290189.0,859666.2447,43.8511,9.069,0.0
2025-08-31,3402.0,67351498.0,977337.443,49.8535,10.3103,0.0
2025-09-30,3328.4,66821259.0,957383.9882,48.7749,10.0873,0.0
2025-10-31,3427.4,34218781.0,985860.4378,50.2257,10.3873,2.0
2025-11-30,3172.5,16827199.0,912540.7711,46.4903,9.6148,2.0
2025-12-31,2968.1,17498258.0,853746.9701,43.495,8.9953,2.0
2026-01-31,2787.5,43234735.0,801799.0227,40.8485,8.448,2.0
2026-02-28,2709.3,52121215.0,779305.5039,39.7025,8.211,2.0
2026-03-31,2638.0,4178539.0,758796.7074,38.6577,7.9949,2.0
