YES IN Equity,price,volume,mc,pe,bm,div
2009-09-30,41.01,254266115.0,60916.439,15.3137,2.7719,0.0
2009-10-31,47.65,469353630.0,70779.5249,17.7931,2.7719,0.0
2009-11-30,50.51,305596330.0,75674.6406,18.8611,2.7719,0.0
2009-12-31,53.23,242277555.0,79749.7747,18.9701,2.7719,0.0
2010-01-31,49.85,272652355.0,74841.3287,17.7655,2.7719,0.0
2010-02-28,47.32,165063545.0,80297.3525,16.8639,2.7719,0.0
2010-03-31,51.24,170149490.0,87022.7616,16.5798,2.8167,0.0
2010-04-30,57.13,222398550.0,97025.9635,18.4856,3.1405,0.0
2010-05-31,57.59,232412420.0,98043.4336,18.6345,3.1658,0.0
2010-06-30,53.86,597298850.0,91693.338,16.1523,2.9459,0.3
2010-07-31,59.13,260059905.0,100822.6229,17.7328,2.9459,0.3
2010-08-31,62.24,233126680.0,106544.5453,18.6654,2.9459,0.3
2010-09-30,70.03,224846850.0,120372.1195,19.4069,3.4713,0.3
2010-10-31,71.9,213860650.0,124345.5184,19.9251,3.564,0.3
2010-11-30,61.23,233623205.0,105892.5743,16.9682,3.0351,0.3
2010-12-31,62.56,314225260.0,108423.7368,16.1549,3.0594,0.3
2011-01-31,52.62,504365380.0,91239.0301,13.5881,3.0594,0.3
2011-02-28,51.2,288365585.0,88833.8906,13.2214,3.0594,0.3
2011-03-31,61.92,273858145.0,107476.7405,14.674,2.8328,0.3
2011-04-30,61.03,280363285.0,105931.936,14.4631,2.792,0.3
2011-05-31,60.16,323304605.0,104671.9926,14.2569,2.7522,0.3
2011-06-30,62.41,260451825.0,108637.8344,13.7355,2.8616,0.5
2011-07-31,62.13,245749405.0,108150.435,13.6738,2.8616,0.5
2011-08-31,55.51,308401605.0,96882.6865,12.2169,2.8616,0.5
2011-09-30,54.51,293392705.0,95677.5596,11.2237,2.2299,0.5
2011-10-31,62.86,334378755.0,110333.7259,12.943,2.5715,0.5
2011-11-30,54.44,248407075.0,95749.6977,11.2093,2.227,0.5
2011-12-31,47.76,292947170.0,84040.8823,9.1905,1.9579,0.5
2012-01-31,66.09,415330635.0,116408.6767,12.7178,1.9579,0.5
2012-02-29,69.09,318281750.0,121692.7746,13.2951,1.9579,0.5
2012-03-31,73.76,519834685.0,130060.9306,13.2497,2.7837,0.5
2012-04-30,69.94,357197730.0,123439.6925,12.5635,2.6395,0.5
2012-05-31,65.97,296288240.0,116720.4544,11.8503,2.4897,0.5
2012-06-30,67.88,370110275.0,120099.8097,12.1934,2.5618,0.5
2012-07-31,73.04,301412745.0,129264.7289,13.1203,2.7565,0.8
2012-08-31,65.75,220178245.0,116665.9087,11.8108,2.4814,0.8
2012-09-30,76.41,369251585.0,136052.1697,13.7257,2.8837,0.8
2012-10-31,82.32,434059030.0,146575.2468,14.7873,3.1067,0.8
2012-11-30,88.45,168506775.0,157727.4476,15.8885,3.3381,0.8
2012-12-31,92.81,168061700.0,165738.0038,16.6717,3.5026,0.8
2013-01-31,104.43,359676365.0,186699.7934,18.759,3.9411,0.8
2013-02-28,94.4,245988235.0,169010.311,16.9573,3.5626,0.8
2013-03-31,85.78,227242020.0,153813.1107,15.4088,3.2373,0.8
2013-04-30,100.33,255465610.0,179902.884,18.0225,3.7864,0.8
2013-05-31,97.46,188083375.0,175083.6273,17.5069,3.6781,1.2
2013-06-30,92.22,224008085.0,165670.1568,16.5657,3.4803,1.2
2013-07-31,64.8,814973945.0,116549.577,11.6402,2.4455,1.2
2013-08-31,48.67,1842084460.0,87650.5884,8.7427,1.8368,1.2
