AFCONS IN Equity,price,volume,mc,pe,bm,div
2024-10-31,463.0,,,,,0.0
2024-11-30,503.85,166511489.0,185308.2863,,,0.0
2024-12-31,545.3,60260444.0,200552.9593,,,0.0
2025-01-31,472.4,40293116.0,173741.4597,,,0.0
2025-02-28,413.1,44100619.0,151931.8311,,,0.0
2025-03-31,487.0,20200088.0,179111.1153,36.7929,3.4048,0.0
2025-04-30,418.65,12271894.0,153973.0358,31.629,2.927,0.0
2025-05-31,423.05,26815358.0,155591.2881,31.9614,2.9577,0.0
2025-06-30,437.45,35812520.0,160887.3868,33.0494,3.0584,0.0
2025-07-31,399.25,32569544.0,146838.0139,30.1633,2.7913,2.5
2025-08-31,417.8,24137746.0,153660.4188,31.5648,2.921,2.5
2025-09-30,455.1,18077294.0,167378.7856,34.3828,3.1818,2.5
2025-10-31,448.05,12610997.0,164785.9039,33.8502,3.1325,2.5
2025-11-30,404.1,16048874.0,148621.7694,30.5298,2.8252,2.5
2025-12-31,386.9,13236830.0,142295.8737,29.2303,2.705,2.5
2026-01-31,331.6,10712564.0,121957.3836,25.0524,2.3184,2.5
2026-02-28,292.15,10296149.0,107448.2799,22.0719,2.0425,2.5
2026-03-31,286.0,1272934.0,105186.4045,21.6073,1.9995,2.5
