AL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,4.69,,14637.0006,,,0.0
1995-02-28,3.88,,12099.9205,,,0.0
1995-03-31,3.88,,12099.9205,,,0.0
1995-04-30,3.5,,10928.9604,,,0.0
1995-05-31,3.35,,10460.5764,,,0.0
1995-06-30,3.33,,10382.5124,,,0.0
1995-07-31,3.43,,16293.2731,,,0.0875
1995-08-31,3.2,,15222.9121,,,0.0875
1995-09-30,3.35,,15936.4861,,,0.0875
1995-10-31,3.4,,16174.3441,,,0.0875
1995-11-30,2.7,,12844.3321,,,0.0875
1995-12-31,2.65,,12606.4741,,,0.0875
1996-01-31,2.63,,12487.5451,,,0.0875
1996-02-29,3.09,,14717.4639,,,0.0875
1996-03-31,3.13,,14866.1251,,,0.0875
1996-04-30,3.34,,15906.7539,,,0.0875
1996-05-31,3.06,7840000.0,14539.0704,,,0.0875
1996-06-30,3.36,14150000.0,15995.9506,,,0.0875
1996-07-31,3.14,11874000.0,14955.3219,,,0.1
1996-08-31,3.11,5940280.0,14806.6606,,,0.1
1996-09-30,2.66,16725000.0,12665.9386,,,0.1
1996-10-31,2.64,4161240.0,12547.0096,,,0.1
1996-11-30,2.15,5018120.0,10227.8941,,,0.1
1996-12-31,2.58,1389840.0,12249.6871,,,0.1
1997-01-31,2.39,6286800.0,11357.7196,,,0.1
1997-02-28,2.48,7413680.0,11803.7033,,,0.1
1997-03-31,2.11,3473560.0,10019.7683,,,0.1
1997-04-30,2.05,31837800.0,9752.1781,,,0.1
1997-05-31,1.81,13651600.0,8622.3526,,,0.1
1997-06-30,1.74,16785440.0,8265.5656,,,0.1
1997-07-31,2.13,28154200.0,10108.9651,,,0.125
1997-08-31,1.84,15141520.0,8741.2816,,,0.125
1997-09-30,1.65,24782800.0,7849.3141,,,0.125
1997-10-31,1.61,49144480.0,7522.2593,,,0.125
1997-11-30,0.95,23244600.0,4519.302,,,0.125
1997-12-31,1.01,21190840.0,4786.8923,,,0.125
1998-01-31,0.83,42910200.0,3936.5499,,,0.125
1998-02-28,0.86,25128560.0,4103.0505,,,0.125
1998-03-31,1.03,213972320.0,4923.6606,,,0.125
1998-04-30,1.3,203905600.0,6166.4687,,,0.125
1998-05-31,1.24,68463000.0,5892.932,,,0.125
1998-06-30,1.08,44497160.0,5125.8399,,,0.125
1998-07-31,0.68,41968800.0,3211.083,,,0.025
1998-08-31,0.7,40026400.0,3318.1191,,,0.025
1998-09-30,0.63,40440560.0,2991.0644,,,0.025
1998-10-31,0.58,38021840.0,2759.1528,,,0.025
1998-11-30,0.81,322491400.0,3865.1925,,,0.025
1998-12-31,1.08,343123280.0,5131.7864,,,0.025
1999-01-31,1.01,271184200.0,4810.6781,,,0.025
1999-02-28,1.1,202680440.0,5220.9831,,,0.025
1999-03-31,1.06,264253080.0,5054.4825,,,0.025
1999-04-30,0.77,159029640.0,3651.1203,,,0.025
1999-05-31,1.62,333659000.0,7700.6528,,,0.025
1999-06-30,1.98,261344320.0,9407.284,,,0.025
1999-07-31,2.78,517666400.0,13230.8513,,,0.025
1999-08-31,3.43,457254840.0,16305.166,,,0.025
1999-09-30,3.11,254210280.0,14788.8213,,,0.025
1999-10-31,2.71,246465680.0,12909.743,,,0.025
1999-11-30,2.63,130907520.0,12523.2238,,,0.025
1999-12-31,2.85,149209160.0,13563.8525,,,0.025
2000-01-31,3.05,170979680.0,14509.3381,,,0.025
2000-02-29,2.07,214273640.0,9853.2677,,,0.025
2000-03-31,1.7,129413080.0,8075.2792,,,0.025
