ALKEM IN Equity,price,volume,mc,pe,bm,div
2015-12-31,1485.25,26040834.0,177583.9199,,5.9289,0.0
2016-01-31,1358.8,9041110.0,162464.9328,,5.4241,0.0
2016-02-29,1264.65,2656698.0,151207.8803,,5.0483,0.0
2016-03-31,1356.45,1712673.0,162183.9401,21.8712,4.3929,9.7
2016-04-30,1190.95,2111162.0,142395.9322,19.2027,3.8569,9.7
2016-05-31,1263.4,1244609.0,151058.4241,20.3708,4.0916,9.7
2016-06-30,1384.4,2446169.0,165525.7894,22.3218,4.4834,9.7
2016-07-31,1566.7,1147915.0,187322.4819,25.2612,5.0738,9.7
2016-08-31,1547.75,974954.0,185056.7325,24.9557,5.0124,9.7
2016-09-30,1661.25,2315591.0,198627.3603,26.7857,5.38,9.7
2016-10-31,1656.9,1275493.0,198107.2525,26.7156,5.3659,9.7
2016-11-30,1699.85,983478.0,203242.5694,27.4081,5.505,15.7
2016-12-31,1628.65,878755.0,194729.5412,26.2601,5.2744,15.7
2017-01-31,1668.35,407332.0,199476.2718,26.9002,5.403,15.7
2017-02-28,2141.55,2236804.0,256054.4385,34.53,6.9355,15.7
2017-03-31,2204.9,1581717.0,263628.8589,29.5523,5.9009,6.0
2017-04-30,1971.4,624401.0,235710.4458,26.4227,5.2759,6.0
2017-05-31,1931.5,721808.0,230939.8022,25.888,5.1692,6.0
2017-06-30,1855.6,528782.0,221864.8185,24.8707,4.966,6.0
2017-07-31,1832.0,770194.0,219043.0845,24.5543,4.9029,6.0
2017-08-31,1800.35,892659.0,215258.8521,24.1301,4.8182,15.0
2017-09-30,1840.75,961212.0,220089.2782,24.6716,4.9263,15.0
2017-10-31,1873.8,793164.0,224040.9016,25.1146,5.0147,15.0
2017-11-30,1987.1,680339.0,237587.6155,26.6332,5.318,9.0
2017-12-31,2201.9,1188316.0,263270.1779,29.5121,5.8928,9.0
2018-01-31,2198.75,1028931.0,262893.5481,29.4699,5.8844,9.0
2018-02-28,2226.3,417148.0,266187.5595,29.8392,5.9581,12.0
2018-03-31,1988.35,1192654.0,237737.0678,37.6796,4.8879,12.0
2018-04-30,1976.35,1869089.0,236302.2878,37.4522,4.8584,12.0
2018-05-31,1916.85,692607.0,229188.1703,36.3246,4.7122,12.0
2018-06-30,1891.15,467907.0,226115.3498,35.8376,4.649,12.0
2018-07-31,2119.05,1446413.0,253364.2133,40.1563,5.2092,12.0
2018-08-31,2114.7,1775805.0,252844.1055,40.0739,5.1985,13.0
2018-09-30,2054.95,1562640.0,245700.0967,38.9416,5.0516,13.0
2018-10-31,1906.85,1082890.0,227992.5202,36.1351,4.6876,13.0
2018-11-30,1912.65,2748519.0,228685.9973,36.245,4.7018,13.0
2018-12-31,1949.2,1287464.0,233056.098,36.9377,4.7917,13.0
2019-01-31,1883.2,424580.0,225164.808,35.6869,4.6294,13.0
2019-02-28,1743.8,948873.0,208497.447,33.0453,4.2867,15.0
2019-03-31,1750.85,1350875.0,209340.3802,27.5248,3.8486,15.0
2019-04-30,1718.35,2174872.0,205454.5178,27.0138,3.7772,15.0
2019-05-31,1794.35,582560.0,214541.4577,28.2086,3.9443,15.0
2019-06-30,1669.0,518057.0,199553.985,26.238,3.6687,15.0
2019-07-31,1741.95,662676.0,208276.2518,27.3848,3.8291,15.0
2019-08-31,1817.7,991605.0,217333.3005,28.5757,3.9956,16.0
2019-09-30,1905.1,995992.0,227783.2815,29.9497,4.1877,16.0
2019-10-31,1997.7,717183.0,238855.0005,31.4054,4.3912,16.0
2019-11-30,2029.1,1572286.0,242609.3415,31.8991,4.4603,16.0
2019-12-31,2013.9,775946.0,240791.9535,31.6601,4.4269,16.0
2020-01-31,2397.65,2520432.0,286675.0223,37.693,5.2704,16.0
2020-02-29,2625.5,2836257.0,313917.9075,41.275,5.7712,30.0
2020-03-31,2325.85,2346821.0,278090.2553,24.6748,4.514,30.0
2020-04-30,2599.4,3876937.0,310797.261,27.5769,5.0449,30.0
2020-05-31,2262.9,2878648.0,270563.6385,24.007,4.3918,30.0
2020-06-30,2368.3,4363830.0,283165.7895,25.1252,4.5963,30.0
2020-07-31,2662.1,3777607.0,318293.9865,28.2421,5.1665,30.0
2020-08-31,2722.7,9118045.0,325539.6255,28.885,5.2842,25.0
2020-09-30,2777.95,4498882.0,332145.5917,29.4711,5.3914,25.0
