AUBANK IN Equity,price,volume,mc,pe,bm,div
2017-07-31,295.3,389103888.0,167878.5907,19.5693,8.4463,0.0
2017-08-31,274.73,56077922.0,156181.6655,18.2058,7.8578,0.0
2017-09-30,284.3,23356816.0,161625.0706,18.8403,8.1317,0.0
2017-10-31,290.88,26453278.0,165362.9701,19.276,8.3198,0.0
2017-11-30,349.03,19059552.0,199288.4689,23.1296,9.983,0.0
2017-12-31,333.4,13823326.0,190453.3991,22.0941,9.5361,0.0
2018-01-31,328.28,9832972.0,187525.7636,21.7545,9.3895,0.0
2018-02-28,295.6,9309394.0,168893.3485,19.5891,8.4549,0.0
2018-03-31,309.02,6399844.0,176579.1223,60.2388,7.7407,0.0
2018-04-30,360.93,12766612.0,206235.1581,70.3558,9.0407,0.0
2018-05-31,348.65,5878022.0,199221.1342,67.963,8.7332,0.0
2018-06-30,327.88,8863840.0,187350.1488,63.9133,8.2129,0.0
2018-07-31,321.95,53048332.0,186752.9319,62.7583,8.0644,0.25
2018-08-31,367.55,89363092.0,213591.2014,71.6472,9.2067,0.25
2018-09-30,287.15,18269852.0,166869.0341,55.9747,7.1927,0.25
2018-10-31,277.8,24703180.0,162298.2717,54.152,6.9585,0.25
2018-11-30,284.13,17998578.0,165993.5077,55.385,7.117,0.25
2018-12-31,311.05,19660280.0,181795.7536,60.6335,7.7914,0.25
2019-01-31,292.13,17324910.0,170734.8803,56.9444,7.3174,0.25
2019-02-28,289.8,5726176.0,169376.0148,56.4912,7.2591,0.25
2019-03-31,297.8,20430256.0,174128.1187,45.2584,3.7961,0.25
2019-04-30,322.33,14139506.0,188468.2533,48.9856,4.1087,0.25
2019-05-31,348.08,14129450.0,203544.115,52.8989,4.437,0.25
2019-06-30,352.13,7474596.0,205912.437,53.5144,4.4886,0.25
2019-07-31,339.15,11834284.0,198333.8598,51.5426,4.3232,0.375
2019-08-31,336.85,7124548.0,197447.2428,51.193,4.2939,0.375
2019-09-30,329.75,26773656.0,193285.5227,50.114,4.2034,0.375
2019-10-31,342.83,23102066.0,201221.4245,52.1011,4.3701,0.375
2019-11-30,411.88,31113754.0,241779.1994,62.595,5.2502,0.375
2019-12-31,401.55,10504594.0,235718.2095,61.0258,5.1186,0.375
2020-01-31,532.17,53939714.0,323229.9875,80.8777,6.7837,0.375
2020-02-29,581.45,27728656.0,353201.6199,88.3663,7.4119,0.375
2020-03-31,252.68,53229508.0,153666.2423,22.145,3.5114,0.375
2020-04-30,272.13,30398152.0,165519.1207,23.8497,3.7817,0.375
2020-05-31,195.8,37773048.0,119510.538,17.1604,2.721,0.375
2020-06-30,271.75,47023288.0,166532.5474,23.8168,3.7765,0.375
2020-07-31,370.23,54943094.0,226879.5304,32.4474,5.145,0.375
2020-08-31,334.0,23584352.0,204714.3962,29.2726,4.6416,0.375
2020-09-30,327.18,24750724.0,200558.1193,28.6744,4.5468,0.0
