BHARTI IN Equity,price,volume,mc,pe,bm,div
2002-02-28,18.43,33287580.0,75802.708,,,0.0
2002-03-31,17.3,11908083.0,71169.2906,,,0.0
2002-04-30,15.79,6277113.0,64960.5114,,,0.0
2002-05-31,14.58,28785499.0,59956.4206,,,0.0
2002-06-30,15.3,5812993.0,62921.8077,,,0.0
2002-07-31,14.1,15826403.0,58010.3853,,,0.0
2002-08-31,14.65,9032680.0,60234.4257,,,0.0
2002-09-30,14.08,15854228.0,57917.717,,,0.0
2002-10-31,11.76,5378645.0,48372.8772,,,0.0
2002-11-30,11.27,4632022.0,46334.1736,,,0.0
2002-12-31,10.32,5044514.0,42442.103,,,0.0
2003-01-31,12.6,16613232.0,51801.6061,,,0.0
2003-02-28,12.17,12792561.0,50040.9075,,,0.0
2003-03-31,12.75,4334229.0,52450.2845,,,0.0
2003-04-30,15.23,10186414.0,62643.8027,,,0.0
2003-05-31,17.26,24373685.0,70983.9539,,,0.0
2003-06-30,17.55,8035318.0,72188.6424,,,0.0
2003-07-31,22.78,35342830.0,93687.699,,,0.0
2003-08-31,31.21,50110128.0,128345.6608,,,0.0
2003-09-30,35.96,32569815.0,147898.6821,,,0.0
2003-10-31,40.71,71641715.0,167451.7033,,,0.0
2003-11-30,38.24,60026981.0,157258.1851,,,0.0
2003-12-31,47.36,86305851.0,194788.8657,,,0.0
2004-01-31,60.77,100464728.0,249926.5323,,,0.0
2004-02-29,64.37,76175820.0,264753.4679,,,0.0
2004-03-31,69.69,72963996.0,286623.1978,,,0.0
2004-04-30,76.52,62158383.0,314701.707,,,0.0
2004-05-31,62.3,56329498.0,256227.9799,,,0.0
2004-06-30,61.47,52265458.0,252799.2511,,4.521,0.0
2004-07-31,68.5,73330226.0,281711.7754,,5.0381,0.0
2004-08-31,63.02,222661689.0,259193.367,,4.6354,0.0
2004-09-30,65.84,37900841.0,270776.9104,,4.567,0.0
2004-10-31,70.88,37182237.0,291534.6202,,4.9171,0.0
2004-11-30,78.21,32140881.0,321651.833,,5.4251,0.0
2004-12-31,97.16,79922792.0,399585.913,,6.3369,0.0
2005-01-31,103.87,219367789.0,427201.0804,,6.7748,0.0
2005-02-28,101.48,393186754.0,417378.2356,,6.619,0.0
2005-03-31,93.46,398077649.0,384388.3041,,6.0958,0.0
2005-04-30,93.01,58070702.0,382534.9371,,6.0664,0.0
2005-05-31,100.92,53340036.0,415061.527,,6.5823,0.0
2005-06-30,109.55,88546796.0,455406.3639,,6.0637,0.0
2005-07-31,127.6,100481077.0,530468.8399,,7.0627,0.0
2005-08-31,142.06,101110239.0,590606.7519,,7.8634,0.0
2005-09-30,157.2,71562415.0,655044.0596,,8.6491,0.0
2005-10-31,145.42,96442969.0,607985.3931,,,0.0
2005-11-30,160.85,55321820.0,673750.4453,,,0.0
2005-12-31,155.69,73798316.0,652854.7672,,,0.0
2006-01-31,160.99,43392138.0,675224.3484,,,0.0
2006-02-28,162.7,35336781.0,683439.2226,,,0.0
2006-03-31,186.0,60444540.0,781490.4809,37.7294,,0.0
2006-04-30,183.79,34793693.0,768346.8208,37.2815,,0.0
2006-05-31,165.2,48361035.0,694638.0387,33.5108,,0.0
2006-06-30,166.73,57260965.0,701080.3992,29.2848,,0.0
2006-07-31,172.61,54988237.0,725972.2861,30.3177,,0.0
2006-08-31,185.23,47023871.0,779078.1382,32.5339,,0.0
2006-09-30,211.46,55049816.0,889456.4439,32.187,,0.0
2006-10-31,238.92,37454410.0,1004990.281,36.3677,,0.0
2006-11-30,284.21,60985821.0,1195638.439,43.2612,,0.0
2006-12-31,283.87,55438767.0,1194223.714,36.7231,,0.0
2007-01-31,319.61,44780739.0,1344574.107,41.3459,,0.0
2007-02-28,323.96,80684234.0,1362923.652,41.9084,,0.0
2007-03-31,344.24,77055266.0,1448253.877,35.6562,,0.0
2007-04-30,365.62,64954894.0,1538266.217,37.871,,0.0
2007-05-31,382.7,60521635.0,1610122.123,39.64,,0.0
2007-06-30,376.7,42901874.0,1585921.236,34.0586,,0.0
2007-07-31,406.06,65648480.0,1709520.457,36.7129,,0.0
