BHARTIHE IN Equity,price,volume,mc,pe,bm,div
2024-04-30,866.5,106206731.0,433250.0,,9.3399,0.0
2024-05-31,1023.4,18981116.0,511700.0,,11.0311,0.0
2024-06-30,1116.85,21036725.0,558425.0,,10.8443,0.0
2024-07-31,1137.4,19176507.0,568700.0,,11.0438,0.0
2024-08-31,1252.05,8312455.0,626025.0,,12.157,4.0
2024-09-30,1443.5,11258237.0,721750.0,,13.8726,4.0
2024-10-31,1409.8,10816196.0,704900.0,,13.5487,4.0
2024-11-30,1376.2,11179138.0,688100.0,,13.2258,4.0
2024-12-31,1456.9,17291121.0,728450.0,58.3928,13.3325,4.0
2025-01-31,1354.9,7336468.0,677450.0,54.3046,12.3991,4.0
2025-02-28,1304.4,15879057.0,652200.0,52.2806,11.937,4.0
2025-03-31,1463.8,11017182.0,731900.0,49.0057,12.338,4.0
2025-04-30,1689.1,10234845.0,844550.0,56.5484,14.2369,4.0
2025-05-31,1830.7,8603236.0,915350.0,61.2889,15.4305,4.0
2025-06-30,1952.7,8651875.0,976350.0,71.059,15.4403,4.0
2025-07-31,1847.7,6249897.0,923850.0,67.238,14.61,10.0
2025-08-31,1774.0,5667993.0,887000.0,64.556,14.0273,10.0
2025-09-30,1659.8,4844809.0,829900.0,53.8197,13.2899,10.0
2025-10-31,1860.8,5292192.0,930400.0,60.3372,14.8993,10.0
2025-11-30,1768.3,4307468.0,884150.0,57.3379,14.1586,10.0
2025-12-31,1821.7,3643207.0,910850.0,51.9151,14.2587,10.0
2026-01-31,1544.8,5157740.0,772400.0,44.0239,,10.0
2026-02-28,1606.9,3459540.0,803450.0,45.7937,,10.0
2026-03-31,1615.3,281671.0,807650.0244,46.0331,,10.0
