BOI IN Equity,price,volume,mc,pe,bm,div
1997-05-31,63.0,25848000.0,,,,0.0
1997-06-30,67.75,24079500.0,,,,1.5
1997-07-31,63.75,4507800.0,,,,1.5
1997-08-31,60.0,5421600.0,,,,1.5
1997-09-30,54.5,1920000.0,,,,1.5
1997-10-31,47.75,1686900.0,,,,1.5
1997-11-30,39.0,1493500.0,,,,1.5
1997-12-31,39.75,1047900.0,,,,1.5
1998-01-31,34.25,2322700.0,,,,1.5
1998-02-28,39.1,852300.0,,,,1.5
1998-03-31,42.4,7233800.0,,,,1.5
1998-04-30,46.8,26439040.0,,,,1.5
1998-05-31,43.25,15092200.0,,,,2.0
1998-06-30,32.55,8502100.0,20799.45,,,2.0
1998-07-31,31.1,5059000.0,19872.9,,,2.0
1998-08-31,27.45,1429600.0,17540.55,,,2.0
1998-09-30,26.25,2800700.0,16773.75,,,2.0
1998-10-31,21.3,1687000.0,13610.7,,,2.0
1998-11-30,21.1,2269200.0,13482.9,,,2.0
1998-12-31,22.1,1814500.0,14121.9,,,2.0
1999-01-31,20.55,2139787.0,13131.45,,,2.0
1999-02-28,20.15,804760.0,12875.85,,,2.0
1999-03-31,20.0,2035375.0,12780.0,,,2.0
1999-04-30,18.0,768703.0,11502.0,,,2.0
1999-05-31,21.1,2221453.0,13482.9,,,2.0
1999-06-30,20.9,2680547.0,13355.1,,,1.0
1999-07-31,20.9,4035527.0,13355.1,,,1.0
1999-08-31,21.25,2786312.0,13578.75,,,1.0
1999-09-30,20.8,2631198.0,13291.2,,,1.0
1999-10-31,21.9,4885741.0,13994.1,,,1.0
1999-11-30,19.35,2289749.0,12364.65,,,1.0
1999-12-31,19.45,3484500.0,12428.55,,,1.0
2000-01-31,18.5,2412003.0,11821.5,,,1.0
2000-02-29,17.9,2770822.0,11438.1,,,1.0
2000-03-31,15.65,1436743.0,10000.35,,,1.0
2000-04-30,14.4,952864.0,9201.6,,,1.0
2000-05-31,12.9,1028174.0,8243.1,,,1.0
2000-06-30,12.35,2943842.0,7891.65,,,1.0
2000-07-31,11.0,782181.0,7029.0,,,1.0
2000-08-31,10.05,2244061.0,6421.95,,,1.0
2000-09-30,9.65,1535995.0,6166.35,,,1.0
2000-10-31,9.7,1361834.0,6198.3,,,1.0
2000-11-30,11.7,1813627.0,7476.3,,,1.0
2000-12-31,14.5,6857399.0,9265.5,,,1.0
2001-01-31,14.95,4108237.0,9553.05,,,1.0
2001-02-28,16.75,12136721.0,10703.25,,,1.0
2001-03-31,11.3,6340392.0,7220.7,,,1.0
2001-04-30,11.45,1847215.0,7316.55,,,1.0
2001-05-31,14.5,1829108.0,9265.5,,,1.0
2001-06-30,14.5,4587699.0,9265.5,,,1.5
2001-07-31,15.65,958594.0,10000.35,,,1.5
2001-08-31,16.9,1578483.0,10799.1,,,1.5
2001-09-30,14.55,1201529.0,9297.45,,,1.5
2001-10-31,17.0,1051748.0,10863.0,,,1.5
2001-11-30,17.0,1270307.0,10863.0,,,1.5
2001-12-31,15.25,604887.0,9744.75,,,1.5
2002-01-31,17.2,1505390.0,10990.8,,,1.5
2002-02-28,20.15,10254536.0,12875.85,,,1.5
2002-03-31,25.1,3112444.0,16038.9,,,1.5
2002-04-30,28.0,5911243.0,17892.0,,,1.5
2002-05-31,27.9,2721753.0,17828.1,,,1.5
2002-06-30,33.8,4035798.0,21598.2,,,1.5
2002-07-31,27.2,2133143.0,17380.8,,,2.5
2002-08-31,27.35,705729.0,17476.65,,,2.5
2002-09-30,25.65,817722.0,16390.35,,,2.5
2002-10-31,27.85,649928.0,17796.15,,,2.5
2002-11-30,30.7,1415052.0,14999.4056,,,2.5
2002-12-31,36.95,9079222.0,18053.0305,,,2.5
2003-01-31,37.2,13395117.0,18175.1755,,,2.5
2003-02-28,35.65,9978448.0,17417.8765,,,2.5
2003-03-31,37.9,5091359.0,18517.1815,,,2.5
2003-04-30,42.4,8766563.0,20715.7914,,,2.5
2003-05-31,54.65,42499975.0,34856.5732,,,2.5
2003-06-30,52.05,21736526.0,25368.8949,,,2.5
2003-07-31,49.2,20741882.0,23979.8199,,,3.0
2003-08-31,53.55,17964011.0,26100.1357,,,3.0
2003-09-30,54.5,22617304.0,26563.1633,,,3.0
2003-10-31,61.95,34647124.0,30194.2746,,,3.0
2003-11-30,56.55,6903139.0,27562.3281,,,3.0
2003-12-31,66.1,9370033.0,32216.9742,,,3.0
2004-01-31,64.5,24985148.0,31437.1382,,,3.0
2004-02-29,61.6,13201382.0,30023.7776,,,4.0
2004-03-31,58.9,11224660.0,28707.8003,,,4.0
2004-04-30,70.8,21436279.0,34507.8483,,,4.0
2004-05-31,54.2,16532819.0,26417.0251,,,4.0
2004-06-30,46.75,17057821.0,22785.9026,,,4.0
2004-07-31,47.85,12873036.0,23322.0415,,,3.0
2004-08-31,45.7,6818541.0,22274.1337,,,3.0
2004-09-30,51.4,9525174.0,25052.3079,,,3.0
2004-10-31,50.9,8462171.0,24808.6084,,,3.0
2004-11-30,75.55,19360399.0,36822.9935,,,3.0
2004-12-31,94.0,20308142.0,45815.5048,,,3.0
2005-01-31,84.5,89334811.0,41185.2144,,,3.0
2005-02-28,88.85,43966664.0,43305.4,,,2.0
2005-03-31,103.65,124431834.0,50518.905,,,2.0
2005-04-30,81.9,28901056.0,39917.977,,,2.0
2005-05-31,101.25,38432286.0,49349.1474,,,2.0
2005-06-30,103.5,35595422.0,50445.8583,,,2.0
2005-07-31,142.55,41114156.0,69478.8126,,,2.0
2005-08-31,118.85,44745377.0,57927.4421,,,2.0
2005-09-30,122.9,44088817.0,59901.4105,,,2.0
2005-10-31,107.0,43622713.0,52151.7569,,,2.0
2005-11-30,110.8,29141042.0,54003.8754,,,2.0
2005-12-31,126.9,56212985.0,61851.0089,,,2.0
2006-01-31,129.85,44414646.0,63288.8377,,,2.0
2006-02-28,134.25,44480893.0,65433.3959,,,2.0
2006-03-31,133.55,41424622.0,65092.2162,,,2.0
2006-04-30,124.05,27074139.0,60461.9692,,,1.0
2006-05-31,114.05,46095552.0,55587.9241,,,1.0
2006-06-30,102.25,26507131.0,49836.64,,,1.0
2006-07-31,110.8,39181855.0,54003.9092,,,3.0
2006-08-31,142.75,52248122.0,69576.3361,,,3.0
2006-09-30,162.0,43664806.0,78958.9622,,,3.0
2006-10-31,173.6,44252967.0,84612.8138,,,3.0
2006-11-30,200.8,60562116.0,97870.121,,,3.0
2006-12-31,207.4,56796709.0,101087.1132,,,4.0
2007-01-31,191.1,44517440.0,93142.4654,,,4.0
2007-02-28,163.75,35243496.0,79812.0288,,,4.0
2007-03-31,167.8,63622873.0,81786.0057,,,4.0
2007-04-30,192.4,75613045.0,93776.0876,,,4.0
2007-05-31,210.65,50888277.0,102671.1687,,,4.0
2007-06-30,231.7,42154068.0,112930.9746,,,3.5
2007-07-31,258.3,59264323.0,125895.8599,,,3.5
2007-08-31,245.8,46508494.0,119803.3386,,,3.5
2007-09-30,276.9,27289948.0,134961.5569,,,3.5
2007-10-31,357.25,65801774.0,174124.3674,,,3.5
2007-11-30,350.75,49690025.0,170956.2543,,,3.5
2007-12-31,365.7,20351220.0,178242.9143,,,1.5
2008-01-31,352.85,61854926.0,171979.7985,,,1.5
2008-02-29,359.15,34088950.0,188616.5969,,,1.5
2008-03-31,253.25,67966432.0,133000.5657,,,1.5
2008-04-30,342.3,48888364.0,179767.3983,,,1.5
2008-05-31,294.85,41989589.0,154847.8452,,,1.5
2008-06-30,217.1,75067245.0,114015.4898,,,1.5
2008-07-31,272.6,85750960.0,143162.8348,,,4.0
2008-08-31,267.6,70553666.0,140536.9574,,,4.0
2008-09-30,285.25,80606388.0,149806.3046,,,4.0
2008-10-31,240.8,84198260.0,126462.3869,,,4.0
2008-11-30,250.75,61323076.0,131687.8884,,,4.0
2008-12-31,287.05,53517081.0,150751.7781,,,4.0
2009-01-31,249.25,46464913.0,130900.1243,,,4.0
2009-02-28,225.55,31687059.0,118453.4525,,,4.0
2009-03-31,219.4,66413225.0,115223.62,,,7.0
2009-04-30,235.1,47117456.0,123468.8836,,,7.0
2009-05-31,337.5,66777738.0,177246.9086,,,7.0
2009-06-30,352.65,47589704.0,185203.3254,,,7.0
2009-07-31,328.55,44927997.0,172546.3425,,,8.0
2009-08-31,338.4,30720691.0,177719.3191,,,8.0
2009-09-30,415.05,63868429.0,217974.0053,,,8.0
2009-10-31,333.45,39219631.0,175119.7014,,,8.0
2009-11-30,384.9,24527221.0,202139.9703,,,8.0
2009-12-31,384.85,15143792.0,202113.7115,,,8.0
2010-01-31,364.75,13065232.0,191557.6881,,,8.0
2010-02-28,333.35,15935703.0,175067.2449,,,8.0
2010-03-31,340.25,16533458.0,178690.9557,,,8.0
2010-04-30,380.8,15915198.0,199986.8213,,,8.0
2010-05-31,329.65,18952463.0,173124.0957,,,5.0
2010-06-30,349.5,13680940.0,183548.8289,,,5.0
2010-07-31,410.6,27422500.0,215637.0505,,,7.0
2010-08-31,442.35,28229316.0,232311.3718,,,7.0
2010-09-30,517.45,27897319.0,271752.0501,,,7.0
2010-10-31,486.55,38022042.0,255524.1279,,,7.0
2010-11-30,467.8,35933055.0,245677.0877,,,7.0
2010-12-31,451.6,33531482.0,237169.245,,,7.0
2011-01-31,439.1,28374350.0,230604.5515,,,7.0
2011-02-28,439.55,16394980.0,230840.8805,,,7.0
2011-03-31,475.35,20768314.0,249642.1626,,,7.0
2011-04-30,457.1,11463650.0,249796.1386,,,7.0
2011-05-31,448.15,45523522.0,244905.14,,,7.0
2011-06-30,413.8,15663520.0,226133.5422,,,7.0
2011-07-31,386.1,20040632.0,210996.0383,,,7.0
2011-08-31,309.1,16656796.0,168917.0563,,,7.0
2011-09-30,315.25,15008364.0,172277.91,,,7.0
2011-10-31,332.75,11088852.0,181841.315,,,7.0
2011-11-30,327.25,17584535.0,178835.6735,,,7.0
2011-12-31,266.35,12524983.0,145555.0241,,,7.0
2012-01-31,344.65,21730285.0,188344.4304,,,7.0
2012-02-29,372.25,21710395.0,203427.2863,,,7.0
2012-03-31,362.65,14763268.0,198181.0535,,,7.0
2012-04-30,353.5,13846938.0,202831.3051,,,7.0
2012-05-31,340.85,15310943.0,195572.9854,,,7.0
2012-06-30,347.05,11141611.0,199130.4227,,,7.0
2012-07-31,297.9,16669379.0,170929.1253,,,7.0
2012-08-31,255.3,14508539.0,146486.0882,,,7.0
2012-09-30,311.2,22443698.0,178560.4021,,,7.0
2012-10-31,276.5,20144147.0,158650.2287,,,7.0
2012-11-30,280.65,13459355.0,161031.4166,,,7.0
2012-12-31,343.0,25606181.0,196806.6129,,,7.0
2013-01-31,353.0,38747251.0,202544.415,,,7.0
2013-02-28,318.0,19147621.0,182462.1075,,,7.0
2013-03-31,302.85,21849487.0,180468.9509,,,7.0
2013-04-30,328.0,17866423.0,195455.8887,,,7.0
2013-05-31,287.75,27743917.0,171470.8292,,,7.0
2013-06-30,232.4,19509908.0,138487.6621,,,10.0
2013-07-31,184.7,40696331.0,110063.1291,,,10.0
2013-08-31,142.3,49894776.0,84796.8775,,,10.0
2013-09-30,157.95,57380578.0,94122.7463,,,10.0
2013-10-31,209.9,77811258.0,125079.8635,,,10.0
2013-11-30,217.15,150967607.0,129400.1542,,,10.0
2013-12-31,237.95,87209918.0,152826.4374,,,10.0
2014-01-31,191.7,105745122.0,123121.7821,,,5.0
2014-02-28,171.35,76967227.0,110051.7338,,,5.0
2014-03-31,228.5,108982531.0,146757.0538,,,5.0
2014-04-30,234.15,95508194.0,150385.8387,,,5.0
2014-05-31,309.25,152797852.0,198619.7763,,,5.0
2014-06-30,301.55,130269923.0,193674.3526,,,5.0
2014-07-31,274.5,107642679.0,176301.1434,,,5.0
2014-08-31,277.45,65934620.0,178195.8187,,,5.0
2014-09-30,232.0,78426161.0,149004.9736,,,5.0
2014-10-31,285.35,62609430.0,183269.6949,,,5.0
2014-11-30,288.8,70537594.0,185485.5017,,,5.0
2014-12-31,301.8,90192991.0,193834.9183,,,5.0
2015-01-31,266.25,72604281.0,171002.4751,,,5.0
2015-02-28,234.3,94025473.0,150482.221,,,5.0
2015-03-31,195.85,69125213.0,125787.1728,,,0.0
2015-04-30,216.6,59815218.0,144019.1432,,,0.0
2015-05-31,197.2,75929143.0,131119.9217,,,0.0
2015-06-30,171.4,61528365.0,113965.2869,,,0.0
2015-07-31,163.0,69608637.0,108380.057,,,5.0
2015-08-31,142.15,101855982.0,94516.7184,,,5.0
2015-09-30,135.6,81402977.0,90161.5689,,,5.0
2015-10-31,131.3,49624423.0,103978.2042,,,5.0
2015-11-30,131.2,60056427.0,103899.0129,,,5.0
2015-12-31,114.95,53011743.0,91030.4233,,,5.0
2016-01-31,100.3,76241633.0,81434.8948,,,5.0
2016-02-29,83.3,110785827.0,67632.3702,,,5.0
2016-03-31,97.05,85186077.0,78796.1768,,,5.0
2016-04-30,92.5,80714788.0,75531.0997,,,5.0
2016-05-31,86.65,93595007.0,80934.1304,,,5.0
2016-06-30,101.25,123379872.0,94571.041,,,5.0
2016-07-31,111.65,156047506.0,104285.0048,,,5.0
2016-08-31,117.25,156097465.0,109515.6006,,,0.0
2016-09-30,112.5,116880586.0,118653.1952,,,0.0
2016-10-31,114.65,76483186.0,120920.7896,,,0.0
2016-11-30,119.5,135303994.0,126036.0607,,,0.0
2016-12-31,107.25,63531661.0,113116.0461,,,0.0
2017-01-31,117.65,54518726.0,124084.8748,,,0.0
2017-02-28,128.8,105615204.0,135844.7248,,,0.0
2017-03-31,139.25,94241904.0,146866.2883,,,0.0
2017-04-30,186.8,123617498.0,197017.0388,,,0.0
2017-05-31,141.35,208928069.0,149081.1479,,,0.0
2017-06-30,139.7,102488238.0,149785.651,,,0.0
2017-07-31,166.0,102591079.0,177984.3813,,,0.0
