BPCL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,13.33,,48000.0,,,0.0
1995-02-28,11.46,,41250.0,,,0.0
1995-03-31,12.08,,43500.0,,,0.0
1995-04-30,11.25,,40500.0,,,0.0
1995-05-31,12.46,,44850.0,,,0.0
1995-06-30,12.21,,43950.0,,,0.0
1995-07-31,12.08,,43500.0,,,0.0
1995-08-31,11.63,,41850.0,,,0.1375
1995-09-30,11.33,,40800.0,,,0.1375
1995-10-31,10.08,,36300.0,,,0.1375
1995-11-30,9.5,,34200.0,,,0.1375
1995-12-31,9.83,,35400.0,,,0.1375
1996-01-31,9.5,,34200.0,,,0.1375
1996-02-29,11.88,,42750.0,,,0.1375
1996-03-31,12.08,,43500.0,,,0.1375
1996-04-30,15.21,,54750.0,,,0.1375
1996-05-31,13.96,544800.0,50250.0,,,0.1375
1996-06-30,14.19,11635200.0,51075.0,,,0.1375
1996-07-31,11.73,4250400.0,42225.0,,,0.1375
1996-08-31,11.6,8337600.0,41775.0,,,0.1375
1996-09-30,11.73,25564800.0,42225.0,,,0.1375
1996-10-31,11.65,44546400.0,41925.0,,,0.1375
1996-11-30,11.33,11460000.0,40800.0,,,0.1375
1996-12-31,12.42,31819200.0,44700.0,,,0.1375
1997-01-31,14.73,21064800.0,53025.0,,,0.1375
1997-02-28,15.55,31956000.0,55987.5,,,0.1375
1997-03-31,15.11,23076000.0,54412.5,,,0.1375
1997-04-30,16.04,5344800.0,57750.0,,,0.1375
1997-05-31,16.55,42969600.0,59587.5,,,0.1375
1997-06-30,18.75,34665600.0,67500.0,,,0.1375
1997-07-31,19.22,4229040.0,69187.5,,,0.1375
1997-08-31,17.79,14347200.0,64050.0,,,0.1375
1997-09-30,18.25,9952800.0,65700.0,,,0.1375
1997-10-31,18.19,11416800.0,65475.0,,,0.1375
1997-11-30,17.41,13034400.0,62662.5,,,0.1375
1997-12-31,17.34,5510400.0,62437.5,,,0.1375
1998-01-31,14.58,1420800.0,52500.0,,,0.1375
1998-02-28,15.82,46529040.0,56962.5,,,0.1375
1998-03-31,15.9,20373600.0,57225.0,,,0.1375
1998-04-30,16.67,24614400.0,60000.0,,,0.1375
1998-05-31,14.75,15244800.0,53100.0,,,0.1375
1998-06-30,14.61,3331200.0,52612.5,,,0.1375
1998-07-31,13.31,17304000.0,47925.0,,,0.2083
1998-08-31,10.45,37103880.0,37620.0,,,0.2083
1998-09-30,10.98,116193600.0,39525.0,,,0.2083
1998-10-31,10.63,65423184.0,38265.0,,,0.2083
1998-11-30,10.15,34607520.0,36555.0,,,0.2083
1998-12-31,9.72,99799200.0,34980.0,,,0.2083
1999-01-31,8.71,58450680.0,31350.0,,,0.2083
1999-02-28,8.17,44832240.0,29400.0,,,0.2083
1999-03-31,8.25,81823248.0,29700.0,,,0.2083
1999-04-30,6.5,77720568.0,23415.0,,,0.2083
1999-05-31,10.42,167836008.0,37500.0,,,0.2083
1999-06-30,10.96,99579624.0,39450.0,,,0.2083
1999-07-31,10.69,136680336.0,38475.0,,,0.2083
1999-08-31,11.33,156082488.0,40785.0,,,0.5208
1999-09-30,11.79,72224616.0,42450.0,,,0.5208
1999-10-31,12.08,38287536.0,43500.0,,,0.5208
1999-11-30,15.77,45454872.0,56775.0,,,0.5208
1999-12-31,16.36,31486056.0,58890.0,,,0.5208
2000-01-31,15.75,27548280.0,56700.0,,,0.5208
2000-02-29,11.77,33212136.0,42367.5,,,0.5208
