BRGD IN Equity,price,volume,mc,pe,bm,div
2007-12-31,253.27,17219669.0,42104.8858,50.0554,6.989,0.0
2008-01-31,173.57,29612807.0,28855.1114,34.3036,4.7896,0.0
2008-02-29,169.13,3987269.0,28118.0786,33.4274,4.6673,0.0
2008-03-31,112.37,5569898.0,18920.0577,16.3521,2.0424,0.0
2008-04-30,136.43,5798525.0,22972.3716,19.8544,2.4798,0.0
2008-05-31,125.0,6740429.0,21047.2498,18.1905,2.272,0.0
2008-06-30,71.13,3593051.0,11977.2883,10.3516,1.2929,1.3333
2008-07-31,83.3,7345890.0,14025.8873,12.1222,1.5141,1.3333
2008-08-31,83.4,2679146.0,14042.7251,12.1367,1.5159,1.3333
2008-09-30,62.6,2725239.0,10540.4627,9.1098,1.1378,1.3333
2008-10-31,23.97,5204957.0,4035.4594,3.4877,0.4356,1.3333
2008-11-30,25.43,3659564.0,4282.4138,3.7012,0.4623,1.3333
2008-12-31,28.9,3309852.0,4866.1242,4.2057,0.5253,1.3333
2009-01-31,24.93,1699940.0,4198.2248,3.6284,0.4532,1.3333
2009-02-28,21.17,2892818.0,3564.001,3.0803,0.3847,1.3333
2009-03-31,22.7,2637486.0,3822.1806,9.9997,0.3833,1.3333
2009-04-30,34.1,4785176.0,5741.6897,15.0216,0.5758,1.3333
2009-05-31,66.43,6155781.0,11185.9117,29.2649,1.1218,1.3333
2009-06-30,48.63,5256479.0,8188.7833,21.4238,0.8213,1.3333
2009-07-31,58.6,6235013.0,9866.9507,25.8142,0.9896,0.8
2009-08-31,84.47,35888033.0,14222.3283,37.2089,1.4264,0.8
2009-09-30,86.93,24696296.0,14637.6607,38.2955,1.468,0.8
2009-10-31,77.13,32519762.0,12987.5563,33.9785,1.3025,0.8
2009-11-30,89.57,13225886.0,15081.0561,39.4555,1.5125,0.8
2009-12-31,87.67,10043532.0,14761.1379,38.6186,1.4804,0.8
2010-01-31,97.17,29281251.0,16360.7288,42.8035,1.6408,0.8
2010-02-28,93.63,6631500.0,15765.7932,41.247,1.5812,0.8
2010-03-31,91.67,4817601.0,15434.6498,33.1396,1.5001,0.8
2010-04-30,94.53,5213963.0,15917.3334,34.176,1.547,0.8
2010-05-31,89.83,2152839.0,15125.9569,32.4768,1.4701,0.8
2010-06-30,89.7,2831147.0,15103.5065,32.4286,1.4679,0.8
2010-07-31,89.2,2866151.0,15019.3175,32.2479,1.4598,0.8
2010-08-31,92.07,10980149.0,15502.001,33.2842,1.5067,0.8
2010-09-30,97.6,10007889.0,16433.6926,35.2846,1.5972,0.8
2010-10-31,90.13,2193563.0,15176.4703,32.5853,1.475,0.8
2010-11-30,77.4,3658290.0,13032.4571,27.9819,1.2666,0.8
2010-12-31,75.97,1296194.0,12791.1153,27.4637,1.2432,0.8
2011-01-31,62.07,848378.0,10450.6611,22.4385,1.0157,0.8
2011-02-28,63.73,5759354.0,10731.2911,23.0411,1.043,0.8
2011-03-31,59.73,1608671.0,10057.7791,8.3426,0.8944,0.8
2011-04-30,61.8,4460867.0,10405.7603,8.6313,0.9253,0.8
2011-05-31,53.3,1454141.0,8974.5473,7.4441,0.7981,0.8
2011-06-30,48.4,1413252.0,8149.4951,6.7598,0.7247,0.8
2011-07-31,47.0,2571834.0,7913.7659,6.5642,0.7037,0.8
2011-08-31,43.77,2224689.0,7369.3437,6.1127,0.6553,1.0
2011-09-30,43.43,675531.0,7313.2177,6.0661,0.6503,1.0
2011-10-31,42.93,779862.0,7229.0287,5.9963,0.6428,1.0
2011-11-30,35.73,516294.0,6016.7071,4.9907,0.535,1.0
2011-12-31,27.93,587328.0,4703.3588,3.9013,0.4182,1.0
2012-01-31,40.87,2801597.0,6881.0475,5.7076,0.6119,1.0
2012-02-29,45.0,2506007.0,7577.0099,6.2849,0.6738,1.0
2012-03-31,38.23,787515.0,6437.6464,11.3116,0.5519,1.0
2012-04-30,36.87,333038.0,6207.5301,10.9073,0.5322,1.0
2012-05-31,32.33,931490.0,5444.2171,9.5661,0.4667,1.0
2012-06-30,37.03,3579692.0,6235.593,10.9566,0.5346,1.0
2012-07-31,31.57,1206095.0,5315.1275,9.3393,0.4557,1.0
