CANF IN Equity,price,volume,mc,pe,bm,div
1995-01-31,8.27,,,,,0.0
1995-02-28,7.35,,,,,0.0
1995-03-31,6.89,,,,,0.0
1995-04-30,6.25,,,,,0.0
1995-05-31,6.11,,,,,0.0
1995-06-30,5.51,,,,,0.0
1995-07-31,5.88,,,,,0.0
1995-08-31,4.59,,,,,0.7348
1995-09-30,5.05,,,,,0.7348
1995-10-31,4.68,,,,,0.7348
1995-11-30,4.41,,,,,0.7348
1995-12-31,4.59,,,,,0.7348
1996-01-31,3.97,,,,,0.7348
1996-02-29,3.67,,,,,0.7348
1996-03-31,3.86,,,,,0.7348
1996-04-30,4.23,,,,,0.7348
1996-05-31,3.4,86006.0,,,,0.7348
1996-06-30,4.04,177455.0,,,,0.3674
1996-07-31,2.77,158948.0,,,,0.3674
1996-08-31,3.08,90633.0,,,,0.3674
1996-09-30,2.57,14153.0,,,,0.3674
1996-10-31,3.17,23951.0,,,,0.3674
1996-11-30,2.92,234883.0,,,,0.3674
1996-12-31,2.35,1270492.0,,,,0.3674
1997-01-31,2.8,65593.0,,,,0.3674
1997-02-28,2.76,19052.0,,,,0.3674
1997-03-31,2.8,30755.0,,,,0.3674
1997-04-30,2.76,75663.0,,,,0.3674
1997-05-31,2.3,12248.0,,,,0.3674
1997-06-30,2.66,86006.0,,,,0.3674
1997-07-31,2.71,40009.0,,,,0.3674
1997-08-31,2.57,41914.0,,,,0.3674
1997-09-30,2.48,73214.0,,,,0.3674
1997-10-31,2.52,43819.0,,,,0.3674
1997-11-30,2.48,30211.0,,,,0.3674
1997-12-31,2.39,56884.0,,,,0.3674
1998-01-31,2.39,20957.0,,,,0.3674
1998-02-28,2.26,204944.0,,,,0.3674
1998-03-31,2.72,134180.0,,,,0.3674
1998-04-30,2.85,57156.0,,,,0.3674
1998-05-31,2.85,24495.0,,,,0.3674
1998-06-30,2.74,103425.0,,,,0.4042
1998-07-31,2.76,15786.0,,,,0.4042
1998-08-31,2.48,9798.0,,,,0.4042
1998-09-30,2.76,43819.0,,,,0.4042
1998-10-31,2.66,37832.0,,,,0.4042
1998-11-30,2.66,19868.0,,,,0.4042
1998-12-31,2.65,20141.0,,,,0.4042
1999-01-31,2.66,21229.0,,,,0.4042
1999-02-28,2.79,350011.0,,,,0.4042
1999-03-31,2.68,1376094.0,,,,0.4042
1999-04-30,2.66,93082.0,,,,0.4042
1999-05-31,3.16,656747.0,,,,0.4042
1999-06-30,2.86,345112.0,,,,0.4042
1999-07-31,3.16,403901.0,,,,0.4042
1999-08-31,3.31,291767.0,,,,0.4042
1999-09-30,3.21,163030.0,,,,0.4042
1999-10-31,4.26,426763.0,,,,0.4042
1999-11-30,3.58,172828.0,,,,0.4042
1999-12-31,3.75,156498.0,,,,0.4042
2000-01-31,3.66,188614.0,,,,0.4042
2000-02-29,3.73,247947.0,,,,0.4042
2000-03-31,3.17,251758.0,,,,0.4042
2000-04-30,3.32,130370.0,,,,0.4225
2000-05-31,3.27,34566.0,,,,0.4225
2000-06-30,3.29,16058.0,,,,0.4225
2000-07-31,2.99,40826.0,,,,0.4225
2000-08-31,3.12,84917.0,,,,0.4225
2000-09-30,2.96,69948.0,,,,0.4225
2000-10-31,2.87,63416.0,,,,0.4225
2000-11-30,3.14,40281.0,350.55,,,0.4225
2000-12-31,3.44,96348.0,384.375,,,0.4225
2001-01-31,3.58,66410.0,399.75,,,0.4225
2001-02-28,3.69,161397.0,412.05,,,0.4225
2001-03-31,3.67,64515.0,410.0,,,0.4225
2001-04-30,3.58,66137.0,399.75,,,0.4225
2001-05-31,4.23,225684.0,471.5,,,0.4225
2001-06-30,4.03,256058.0,449.975,,,0.0
2001-07-31,3.19,42459.0,355.675,,,0.4225
2001-08-31,3.67,18219.0,410.0,,,0.4225
2001-09-30,3.56,229233.0,397.7,,,0.4225
2001-10-31,3.75,64880.0,417.9001,,,0.4225
2001-11-30,3.86,241916.0,430.1913,,,0.4225
2001-12-31,4.12,66050.0,458.8707,,,0.4225
2002-01-31,4.25,62202.0,474.2347,,,0.4225
2002-02-28,4.62,433508.0,515.2053,,,0.4225
2002-03-31,4.65,179017.0,518.2781,2.6167,0.4585,0.4225
2002-04-30,5.01,124621.0,558.2244,2.8184,0.4938,0.4225
2002-05-31,4.59,121889.0,512.1325,2.5857,0.453,0.4593
2002-06-30,5.41,204661.0,603.2921,3.0459,0.5337,0.4593
2002-07-31,4.67,187809.0,520.3266,2.627,0.4603,0.4593
2002-08-31,4.98,88069.0,555.1516,2.8029,0.4911,0.4593
2002-09-30,5.0,139150.0,557.2002,2.8132,0.4929,0.4593
2002-10-31,5.02,169127.0,559.2487,2.8235,0.4947,0.4593
