CCLP IN Equity,price,volume,mc,pe,bm,div
1995-06-30,3.0,,,,,0.0
1995-07-31,3.8,,,,,0.0
1995-08-31,2.75,,,,,0.0
1995-09-30,2.7,,,,,0.0
1995-10-31,2.5,,,,,0.0
1995-11-30,2.0,,,,,0.0
1995-12-31,1.8,,,,,0.0
1996-01-31,1.5,,,,,0.0
1996-02-29,1.5,,,,,0.0
1996-03-31,1.15,,,,,0.0
1996-04-30,1.33,,,,,0.0
1996-05-31,1.0,8000.0,,,,0.0
1996-06-30,1.15,39000.0,,,,0.0
1996-07-31,0.69,22000.0,,,,0.0
1996-08-31,0.93,1120000.0,,,,0.0
1996-09-30,0.95,30000.0,,,,0.0
1996-10-31,0.9,21000.0,,,,0.0
1996-11-30,0.8,3000.0,,,,0.0
1997-01-31,0.88,65000.0,,,,0.0
1997-02-28,0.5,350000.0,,,,0.0
1997-03-31,0.45,257000.0,,,,0.0
1997-04-30,0.39,678000.0,,,,0.0
1997-05-31,0.45,221000.0,,,,0.0
1997-06-30,0.75,96000.0,,,,0.0
1997-07-31,0.8,34000.0,,,,0.0
1997-08-31,0.6,48000.0,,,,0.0
1997-10-31,0.37,34000.0,,,,0.0
1997-11-30,0.46,8000.0,,,,0.0
1997-12-31,0.37,88000.0,,,,0.0
1998-01-31,0.47,945000.0,,,,0.0
1998-02-28,0.5,2000.0,,,,0.0
1998-08-31,0.1,1000.0,,,,0.0
1998-09-30,0.48,8000.0,,,,0.0
1998-10-31,0.55,12000.0,,,,0.0
1998-11-30,0.44,21000.0,,,,0.0
1998-12-31,0.2,1219000.0,,,,0.0
1999-01-31,0.18,137000.0,,,,0.0
1999-02-28,0.43,282000.0,,,,0.0
1999-03-31,0.45,10000.0,,,,0.0
1999-11-30,0.45,5000.0,,,,0.0
1999-12-31,0.7,122000.0,,,,0.0
2000-01-31,0.5,72000.0,,,,0.0
2000-02-29,0.58,106000.0,,,,0.0
2000-03-31,0.45,65000.0,,,,0.0
2000-04-30,0.6,164000.0,,,,0.0
2000-05-31,0.5,90000.0,,,,0.0
2000-06-30,0.58,4000.0,,,,0.0
2000-07-31,0.53,28000.0,,,,0.0
2000-08-31,0.48,78000.0,,,,0.0
2000-09-30,0.93,122000.0,,,,0.0
2000-10-31,0.73,153000.0,,,,0.0
2000-11-30,0.9,60000.0,,,,0.0
2000-12-31,0.75,72000.0,,,,0.0
2001-01-31,0.61,63000.0,,,,0.0
2001-02-28,0.7,520000.0,,,,0.0
2001-03-31,0.7,123000.0,,,,0.0
2001-04-30,0.68,146000.0,,,,0.0
2001-05-31,0.69,1068000.0,,,,0.0
2001-06-30,0.6,47000.0,,,,0.0
2001-07-31,0.6,51000.0,,,,0.1
2001-08-31,0.98,602000.0,,,,0.1
2001-09-30,0.75,199000.0,,,,0.1
2001-10-31,0.78,20000.0,,,,0.1
2001-11-30,0.93,57000.0,,,,0.1
2001-12-31,0.65,82700.0,,,,0.1
2002-01-31,0.9,20000.0,,,,0.1
2002-02-28,1.1,56880.0,,,,0.1
2002-03-31,0.95,49580.0,,,,0.1
2002-04-30,1.43,469420.0,179.2762,,,0.1
2002-05-31,1.3,406010.0,162.9784,,,0.18
2002-06-30,2.33,1159130.0,291.4806,,,0.18
2002-07-31,1.63,635460.0,204.3498,,,0.18
2002-08-31,1.83,293260.0,228.7966,,,0.18
2002-09-30,1.73,101520.0,216.8866,,,0.18
2002-10-31,1.64,194430.0,205.6035,,,0.18
2002-11-30,1.66,172410.0,207.484,,,0.18
2002-12-31,1.81,671150.0,226.2892,,,0.18
2003-01-31,1.75,1463730.0,218.7672,,,0.18
2003-02-28,1.86,1542570.0,233.1845,,,0.18
2003-03-31,1.77,1220930.0,221.9014,,,0.18
2003-04-30,1.61,1514960.0,201.8425,,,0.18
2003-05-31,1.73,1335590.0,216.8866,,,0.18
2003-06-30,1.82,1651570.0,227.5429,,,0.18
2003-07-31,2.05,707250.0,257.0044,,,0.0
2003-08-31,1.95,384280.0,244.4676,,,0.0
2003-09-30,2.03,2241510.0,254.497,,,0.0
2003-10-31,2.3,1688530.0,305.9644,,,0.0
2003-11-30,2.5,1036450.0,332.57,,,0.12
2003-12-31,3.83,2268810.0,509.4972,,,0.12
2004-01-31,4.54,3802500.0,603.282,,,0.12
2004-02-29,6.77,4760830.0,900.5996,,,0.12
2004-03-31,7.4,3914170.0,985.0724,3.6034,1.6992,0.12
2004-04-30,8.23,4025970.0,1094.1553,4.0024,1.8873,0.2
2004-05-31,5.82,2982230.0,773.5578,2.8297,1.3343,0.2
2004-06-30,6.14,2740190.0,816.1268,2.9854,1.4078,0.2
2004-07-31,7.83,2771650.0,1040.9441,3.8078,1.7955,0.2
2004-08-31,9.56,8564340.0,1271.7477,4.6521,2.1937,0.2
2004-09-30,12.28,3750850.0,1633.5839,5.9757,2.8178,0.2
2004-10-31,18.54,13911470.0,2466.3392,9.0219,4.2542,0.2
2004-11-30,17.56,7155590.0,2335.9717,8.545,4.0294,0.2
2004-12-31,18.92,3476500.0,2516.8898,9.2068,4.3414,0.2
2005-01-31,23.38,23136370.0,3109.5295,11.3747,5.3637,0.2
2005-02-28,21.58,8475130.0,2870.7443,10.5012,4.9518,0.2
2005-03-31,20.15,12749760.0,2679.8491,8.7271,3.1796,0.2
2005-04-30,18.29,14273260.0,2432.417,7.9213,2.886,0.2
2005-05-31,18.77,8424980.0,2497.6007,8.1336,2.9633,0.2
2005-06-30,18.73,8935410.0,2490.9493,8.1119,2.9554,0.0
2005-07-31,29.28,40539710.0,3895.0599,12.6845,4.6214,0.0
2005-08-31,38.28,27037610.0,5091.6468,16.5812,6.0411,0.3
2005-09-30,40.61,7384660.0,5401.602,17.5906,6.4088,0.3
2005-10-31,40.92,5820360.0,5444.171,17.7292,6.4594,0.3
2005-11-30,47.03,12547700.0,6256.3069,20.374,7.4229,0.3
2005-12-31,46.17,2571810.0,6141.9028,20.0015,7.2872,0.3
2006-01-31,48.07,5280330.0,6394.656,20.8246,7.5871,0.3
2006-02-28,47.03,2577390.0,6255.6418,20.3718,7.4221,0.4
2006-03-31,44.39,3360340.0,5904.4479,16.598,5.4083,0.4
2006-04-30,44.51,1791130.0,5905.113,16.6447,5.4235,0.4
2006-05-31,44.4,1894390.0,5905.7781,16.6017,5.4095,0.4
2006-06-30,38.86,802610.0,5170.1333,14.5338,4.7357,0.4
2006-07-31,37.39,642780.0,4974.5821,13.984,4.5565,0.4
2006-08-31,45.83,3318990.0,6096.0082,17.1365,5.5837,0.4
2006-09-30,45.67,4093180.0,6075.3888,17.0785,5.5648,0.4
2006-10-31,46.72,4502670.0,6215.0682,17.4712,5.6928,0.4
2006-11-30,46.84,3051110.0,6230.3665,17.5142,5.7068,0.4
2006-12-31,46.66,678130.0,6207.0866,17.4487,5.6855,0.4
2007-01-31,43.2,1532310.0,5746.8097,16.1549,5.2639,0.4
2007-02-28,37.83,1435020.0,5031.7842,14.1449,4.6089,0.4
2007-03-31,31.99,2180580.0,4255.5658,11.2113,3.0333,0.4
2007-04-30,31.01,1096020.0,4125.8635,10.8696,2.9408,0.2
2007-05-31,28.84,1804500.0,3836.5276,10.1073,2.7346,0.2
2007-06-30,28.66,1999250.0,3811.9174,10.0425,2.7171,0.2
2007-07-31,20.92,2570020.0,2782.2807,7.3299,1.9832,0.2
2007-08-31,22.31,1288660.0,2967.1896,7.8171,2.115,0.2
2007-09-30,28.41,22576870.0,3779.3824,9.9566,2.6938,0.5
2007-10-31,23.23,3690320.0,3090.287,8.1412,2.2027,0.5
