CGCL IN Equity,price,volume,mc,pe,bm,div
1996-04-30,0.16,,,,,0.0
1996-05-31,0.19,147942.0,,,,0.0
1996-06-30,0.2,221913.0,,,,0.0
1996-07-31,0.17,73971.0,,,,0.0
1996-08-31,0.17,52837.0,,,,0.0
1997-02-28,0.17,5284.0,,,,0.0
1997-03-31,0.06,137375.0,,,,0.0
1997-05-31,0.14,10567.0,,,,0.0
1997-06-30,0.07,10567.0,,,,0.0
1999-12-31,0.09,5284.0,,,,0.0
2002-01-31,0.09,5284.0,25.001,,,0.0
2002-05-31,0.11,53.0,30.0012,,,0.0
2002-07-31,0.11,,30.0012,,,0.0
2002-08-31,0.11,,30.0012,,,0.0
2002-09-30,0.11,,30.0012,,,0.0
2002-10-31,0.11,,30.0012,,,0.0
2002-11-30,0.11,,30.0012,,,0.0
2002-12-31,0.11,,30.0012,,,0.0
2003-01-31,0.11,,30.0012,,,0.0
2003-02-28,0.11,,30.0012,,,0.0
2003-03-31,0.11,,30.0012,,,0.0
2003-04-30,0.11,,30.0012,,,0.0
2003-05-31,0.11,,30.0012,,,0.0
2003-06-30,0.11,,30.0012,,,0.0
2003-07-31,0.11,,30.0012,,,0.0
2003-08-31,0.11,,30.0012,,,0.0
2003-09-30,0.11,,30.0012,,,0.0
2003-10-31,0.11,,30.0012,,,0.0
2003-11-30,0.11,,30.0012,,,0.0
2003-12-31,0.11,,30.0012,,,0.0
2004-01-31,0.11,,30.0012,,,0.0
2004-02-29,0.11,,30.0012,,,0.0
2004-03-31,0.11,,30.0012,,,0.0
2004-04-30,0.11,,30.0012,,,0.0
2004-05-31,0.11,,30.0012,,,0.0
2004-06-30,0.11,,30.0012,,,0.0
2004-07-31,0.11,53.0,30.0012,,,0.0
2004-08-31,0.11,,30.0012,,,0.0
2004-09-30,0.11,,30.0012,,,0.0
2004-10-31,0.11,,30.0012,,,0.0
2004-11-30,0.11,,30.0012,,,0.0
2004-12-31,0.13,180067.0,34.4514,,,0.0
2005-01-31,0.1,225612.0,26.251,,,0.0
2005-02-28,0.09,178059.0,23.7509,,,0.0
2005-03-31,0.21,3900446.0,56.0022,,,0.0
2005-04-30,0.21,,54.9522,,,0.0
2005-05-31,0.19,26418.0,50.002,,,0.0
2005-06-30,0.21,6605.0,54.5022,,,0.0
2005-07-31,0.2,10567.0,52.5021,,,0.0
2005-08-31,0.35,723755.0,91.2036,,,0.0
2005-09-30,0.29,734533.0,77.5031,,,0.0
2005-10-31,0.29,,77.5031,,,0.0
2005-11-30,0.26,63932.0,69.0028,,,0.0
2005-12-31,0.26,,69.0028,,,0.0
2006-01-31,0.26,68740.0,67.7027,,,0.0
2006-02-28,0.23,17542.0,60.8524,,,0.0
2006-03-31,0.11,414714.0,29.8512,,,0.0
2006-04-30,0.11,,29.8512,,,0.0
2006-05-31,0.12,16009.0,31.5013,,,0.0
2006-06-30,0.12,37038.0,30.6512,,,0.0
2006-07-31,0.17,44512666.0,43.7517,,,0.0
2006-08-31,0.14,15906121.0,38.0015,,,0.0
2006-09-30,0.12,6246546.0,31.8513,,,0.0
2006-10-31,0.1,28065868.0,26.5011,,,0.0
2006-11-30,0.19,4826617.0,49.002,,,0.0
2006-12-31,0.26,173145.0,69.4028,,,0.0
2007-01-31,0.27,207172.0,70.5028,,,0.0
2007-02-28,0.23,73865.0,60.3024,,,0.0
2007-03-31,0.25,625320.0,66.7527,,,0.0
2007-04-30,0.27,1782599.0,70.5028,,,0.0
2007-05-31,0.31,428240.0,83.0033,,,0.0
2007-06-30,0.29,168443.0,76.253,,,0.0
2007-07-31,0.32,210078.0,85.0034,,,0.0
2007-08-31,0.29,156026.0,77.2531,,,0.0
2007-09-30,0.66,27186299.0,174.007,,,0.0
2007-10-31,1.82,1146394.0,481.0192,,,0.0
2007-11-30,1.89,1110677.0,498.0199,,,0.0
2007-12-31,2.3,1352668.0,607.7743,,,0.0
2008-01-31,3.68,1011133.0,971.7888,,,0.0
2008-02-29,3.59,194914.0,948.0379,,,0.0
2008-03-31,2.78,1102646.0,733.2793,30.9142,4.089,0.0
2008-04-30,3.65,7382796.0,965.0386,40.6849,5.3814,0.0
2008-05-31,2.96,41965575.0,783.2813,33.0222,4.3678,0.0
2008-06-30,2.86,395957.0,755.0302,31.8312,4.2103,0.0
2008-07-31,3.25,869214.0,1543.5343,36.1527,4.7819,0.0
2008-08-31,3.18,505012.0,1512.0336,35.4149,4.6843,0.0
2008-09-30,2.61,1292646.0,1242.0276,29.0908,3.8478,0.0
2008-10-31,2.18,611794.0,1035.023,24.2423,3.2065,0.0
2008-11-30,1.72,18704.0,819.0182,19.183,2.5373,0.0
2008-12-31,1.49,271421.0,710.5658,16.6429,2.2013,0.0
2009-01-31,1.8,122052.0,856.8191,20.0684,2.6544,0.0
2009-02-28,2.19,68250.0,1247.4,24.3376,3.2191,0.0
2009-03-31,2.65,18066813.0,1514.7,1.233,0.9905,0.0
2009-04-30,3.92,442553.0,2236.9998,1.8209,1.4628,0.0
2009-05-31,6.39,399548.0,3646.4311,2.9681,2.3844,0.0
2009-06-30,6.49,940079.0,3705.8325,3.0165,2.4232,0.0
2009-07-31,6.38,138997.0,3645.0811,2.967,2.3835,0.0
2009-08-31,6.41,382908.0,3657.2314,2.9769,2.3914,0.0
2009-09-30,5.55,843137.0,3168.5205,2.5791,2.0719,0.0
2009-10-31,5.27,1831085.0,3007.8669,2.4484,1.9668,0.0
2009-11-30,5.25,387327.0,2997.0667,2.4396,1.9598,0.0473
2009-12-31,7.97,1219152.0,4552.3013,3.7055,2.9767,0.0473
2010-01-31,8.04,2633880.0,4717.7211,3.7363,3.0014,0.0473
2010-02-28,11.12,2215050.0,6522.9433,5.1659,4.1499,0.0473
2010-03-31,19.63,12320831.0,11519.565,8.9868,4.101,0.0473
2010-04-30,23.22,13058102.0,13623.1136,10.6278,4.8499,0.0473
2010-05-31,23.98,17372463.0,14069.9095,10.9764,5.0089,0.0473
2010-06-30,24.12,29645277.0,14153.1634,11.0414,5.0385,0.0473
2010-07-31,30.99,58384536.0,18184.0399,14.186,6.4735,0.0473
2010-08-31,29.42,77765625.0,17261.3091,13.4661,6.1451,0.0946
2010-09-30,29.54,114627664.0,17334.8501,13.5235,6.1712,0.0946
2010-10-31,31.92,124481669.0,23532.7505,14.6114,6.6677,0.0946
2010-11-30,14.73,103702195.0,10856.3074,6.7406,3.076,0.1182
2010-12-31,6.19,50579711.0,4566.03,2.835,1.2937,0.1182
2011-01-31,5.85,51041505.0,4311.49,2.677,1.2216,0.1182
2011-02-28,4.49,26011988.0,3309.0206,2.0546,0.9376,0.1182
2011-03-31,3.73,53442849.0,2747.6378,2.8022,0.3464,0.1182
2011-04-30,2.94,25385952.0,2165.3338,2.2083,0.273,0.1182
2011-05-31,2.78,51112208.0,2048.5244,2.0892,0.2583,0.1182
2011-06-30,3.56,103497569.0,2623.8546,2.6759,0.3308,0.1182
2011-07-31,5.08,46388955.0,3746.6203,3.821,0.4723,0.1182
2011-08-31,4.09,30557700.0,3012.6384,3.0724,0.3798,0.1182
2011-09-30,4.54,18009071.0,3345.6326,3.412,0.4218,0.1182
2011-10-31,5.14,5543238.0,3786.7191,3.8619,0.4774,0.0591
2011-11-30,6.34,14464796.0,4677.6092,4.7705,0.5897,0.0591
2011-12-31,3.9,30018543.0,2874.0461,2.9302,0.3622,0.0591
2012-01-31,4.39,14857726.0,3236.7898,3.3,0.4079,0.0
2012-02-29,4.4,14394135.0,3242.0216,3.3054,0.4086,0.0
2012-03-31,3.7,11071507.0,2727.5534,6.6781,0.3292,0.0
2012-04-30,3.92,40986574.0,2889.7417,7.0751,0.3487,0.0
2012-05-31,3.74,1436697.0,2757.8648,6.7506,0.3327,0.0
2012-06-30,3.85,1647518.0,2839.8506,6.9513,0.3426,0.0
2012-07-31,3.78,1875000.0,2791.008,6.8318,0.3367,0.0473
2012-08-31,4.0,17226911.0,2949.7466,7.2203,0.3559,0.0473
2012-09-30,4.2,1912382.0,3099.7633,7.5875,0.374,0.0473
2012-10-31,4.55,3322607.0,3357.9315,8.2195,0.4051,0.0473
2012-11-30,6.47,18337026.0,4776.0298,11.6823,0.5758,0.0473
2012-12-31,7.32,5597979.0,5402.7091,13.2152,0.6514,0.0473
2013-01-31,7.57,3273977.0,5585.9998,13.6635,0.6735,0.0473
2013-02-28,6.11,1595230.0,4510.6948,11.0333,0.5438,0.0473
2013-03-31,4.96,6112293.0,3658.8298,4.7745,0.4066,0.0473
2013-04-30,5.82,20407519.0,4294.2373,5.6036,0.4772,0.0473
2013-05-31,8.32,2743234.0,6152.1683,8.0182,0.6828,0.0473
2013-06-30,7.01,5129504.0,5180.398,6.7517,0.5749,0.0473
2013-07-31,6.76,793407.0,4998.6296,6.5148,0.5548,0.0473
2013-08-31,6.38,396291.0,4715.4905,6.1458,0.5233,0.0473
2013-09-30,6.01,12735136.0,4439.3424,5.7859,0.4927,0.0709
2013-10-31,5.68,532138.0,4194.6542,5.467,0.4655,0.0709
2013-11-30,5.53,623774.0,4092.4207,5.3303,0.4539,0.0709
2013-12-31,5.86,732451.0,4333.7686,5.6446,0.4807,0.0709
2014-01-31,5.33,597767.0,3945.5133,5.139,0.4376,0.0709
2014-02-28,5.52,177267.0,4083.6762,5.3189,0.4529,0.0709
2014-03-31,5.96,746342.0,4407.2223,5.3571,0.4514,0.0709
2014-04-30,6.45,698727.0,4776.4818,5.8014,0.4888,0.0709
2014-05-31,7.09,1850368.0,5250.8045,6.3776,0.5374,0.0709
2014-06-30,8.34,37755434.0,6171.4456,7.4957,0.6316,0.0709
2014-07-31,8.17,2254208.0,6043.676,7.3406,0.6185,0.0709
2014-08-31,7.97,1761333.0,5901.9043,7.1684,0.604,0.0709
2014-09-30,8.81,1745116.0,6523.2495,7.923,0.6676,0.0709
2014-10-31,10.26,9826814.0,7592.6633,9.2219,0.7771,0.0709
2014-11-30,9.91,2241056.0,7341.6513,8.9116,0.7509,0.0709
2014-12-31,8.82,1487441.0,6530.7771,7.9273,0.668,0.0709
2015-01-31,9.52,3378827.0,7047.4248,8.5544,0.7208,0.0709
2015-02-28,8.56,6126628.0,6336.3844,7.6913,0.6481,0.0709
2015-03-31,7.9,1004842.0,5853.0054,6.1434,0.5495,0.0709
2015-04-30,6.6,5425512.0,4884.5099,5.1268,0.4586,0.0709
2015-05-31,7.14,1679064.0,5285.5686,5.5478,0.4962,0.0709
2015-06-30,7.71,943336.0,5707.6435,5.9908,0.5358,0.0709
2015-07-31,6.82,11879377.0,5052.6393,5.3033,0.4743,0.0709
2015-08-31,6.52,3364767.0,4824.9641,5.0643,0.453,0.0709
2015-09-30,6.47,854998.0,4793.4398,5.0313,0.45,0.0709
2015-10-31,6.96,1977842.0,5157.7202,5.4136,0.4842,0.0709
2015-11-30,7.46,797023.0,5523.752,5.7978,0.5186,0.0709
2015-12-31,8.5,1858170.0,6292.5938,6.6048,0.5907,0.0709
2016-01-31,8.31,4148786.0,6152.4859,6.4577,0.5776,0.0709
2016-02-29,6.05,2282857.0,4479.9485,4.7022,0.4206,0.0709
2016-03-31,6.19,696909.0,4583.278,10.5016,0.4157,0.0709
2016-04-30,6.42,1708601.0,4753.1588,10.8909,0.4311,0.0709
2016-05-31,6.29,1385656.0,4660.3373,10.6782,0.4227,0.0709
2016-06-30,6.15,6270319.0,4553.5051,10.4334,0.413,0.0709
2016-07-31,8.9,23044021.0,6588.5716,15.0963,0.5976,0.0709
2016-08-31,8.61,8383500.0,6380.1612,14.6188,0.5787,0.0709
2016-09-30,14.86,54518501.0,11005.4715,25.2167,0.9982,0.0709
2016-10-31,16.49,21599205.0,12208.6477,27.9735,1.1073,0.0709
2016-11-30,15.76,8262238.0,11672.7352,26.7456,1.0587,0.0709
2016-12-31,12.65,2084937.0,9369.7116,21.4687,0.8498,0.0709
2017-01-31,14.15,1912690.0,10481.8175,24.0169,0.9507,0.0709
2017-02-28,12.08,23093843.0,8949.3881,20.5056,0.8117,0.0709
2017-03-31,13.16,17830049.0,9746.2514,16.762,0.8397,0.0709
2017-04-30,15.1,8926286.0,11182.3567,19.2319,0.9635,0.0709
2017-05-31,14.19,4900008.0,10508.0878,18.0723,0.9054,0.0709
2017-06-30,13.68,4773254.0,10131.548,17.4247,0.8729,0.0709
2017-07-31,17.18,14628210.0,12723.5429,21.8825,1.0962,0.0709
2017-08-31,17.25,9929157.0,12776.0834,21.9729,1.1008,0.0709
2017-09-30,26.81,55740046.0,19851.5291,34.1416,1.7104,0.0709
2017-10-31,26.45,20756559.0,19588.8269,33.6898,1.6877,0.0709
2017-11-30,29.52,22636367.0,21865.58,37.6054,1.8839,0.0709
2017-12-31,28.18,5568932.0,20867.3117,35.8886,1.7979,0.0709
2018-01-31,26.18,21280595.0,19387.4226,33.3434,1.6704,0.0709
2018-02-28,23.16,4737585.0,17154.4541,29.503,1.478,0.0709
2018-03-31,20.86,4678446.0,15446.8898,23.7736,1.2341,0.0709
2018-04-30,22.06,2950047.0,16340.0773,25.1482,1.3055,0.0709
2018-05-31,22.04,17895543.0,16322.5638,25.1213,1.3041,0.0709
2018-06-30,18.62,2367270.0,13791.8659,21.2264,1.1019,0.0709
2018-07-31,19.82,6144714.0,14676.2967,22.5876,1.1726,0.0709
2018-08-31,26.7,8264800.0,19772.7195,30.4313,1.5797,0.0709
2018-09-30,22.65,12551501.0,16777.9143,25.8221,1.3405,0.0709
2018-10-31,28.0,50844909.0,20735.9609,31.9137,1.6567,0.0709
2018-11-30,30.58,24115794.0,22644.9303,34.8518,1.8092,0.0709
2018-12-31,30.12,41599019.0,22303.4174,34.3261,1.7819,0.0709
2019-01-31,31.17,54787124.0,23082.7673,35.5256,1.8442,0.0709
2019-02-28,30.21,57781889.0,22373.4713,34.434,1.7875,0.0709
2019-03-31,41.25,83154660.0,30552.2667,22.5097,2.2096,0.0709
2019-04-30,39.24,85516733.0,29063.6209,21.4129,2.102,0.0709
2019-05-31,46.2,75530865.0,34212.5842,25.2065,2.4744,0.0709
2019-06-30,41.1,62686176.0,30438.4291,22.4258,2.2014,0.0709
2019-07-31,36.8,58459303.0,27250.9757,20.0774,1.9709,0.0851
2019-08-31,36.12,50535115.0,26751.8415,19.7097,1.9348,0.0851
2019-09-30,50.76,46623207.0,37592.6859,27.6968,2.7188,0.0851
2019-10-31,47.23,43902774.0,34974.4206,25.7677,2.5295,0.0851
2019-11-30,44.73,51401717.0,33126.7484,24.4065,2.3958,0.0851
2019-12-31,47.93,49390198.0,35499.825,26.1548,2.5675,0.0851
2020-01-31,45.85,53428573.0,33958.6387,25.0194,2.456,0.0851
2020-02-29,48.77,45758711.0,36121.5535,26.6129,2.6124,0.0851
2020-03-31,40.39,38482840.0,29913.0247,18.5451,1.9434,0.0851
2020-04-30,35.68,19779931.0,26427.8421,16.3844,1.717,0.0851
2020-05-31,34.31,21706618.0,25412.0602,15.7546,1.651,0.0851
2020-06-30,39.8,21238811.0,29475.1877,18.2736,1.915,0.0851
2020-07-31,48.24,38783174.0,35727.5002,22.1498,2.3212,0.0473
2020-08-31,51.71,13748385.0,38293.2251,23.7405,2.4879,0.0473
2020-09-30,55.73,13307379.0,41270.5168,25.5863,2.6813,0.0473
2020-10-31,58.69,21841568.0,43483.7219,26.949,2.8241,0.0473
2020-11-30,68.93,19241268.0,51069.7217,31.6504,3.3168,0.0473
2020-12-31,75.14,21675338.0,55696.9206,34.5005,3.6155,0.0473
2021-01-31,86.19,14874133.0,63882.7465,39.5711,4.1469,0.0473
2021-02-28,87.71,27911502.0,65013.3371,40.2714,4.2203,0.0473
2021-03-31,89.76,16248452.0,66529.5554,37.5792,3.8741,0.0473
2021-04-30,106.23,12411726.0,78738.1801,44.4752,4.585,0.0473
2021-05-31,109.17,10290507.0,80920.4828,45.7079,4.7121,0.0473
2021-06-30,125.89,17806250.0,93313.3972,52.7079,5.4337,0.0473
2021-07-31,126.41,10623736.0,93699.0271,52.9257,5.4562,0.0473
2021-08-31,120.17,10254719.0,89107.0523,50.3119,5.1867,0.0473
2021-09-30,121.85,6445209.0,90352.0785,51.0149,5.2592,0.0946
2021-10-31,128.49,6813866.0,95322.773,53.797,5.546,0.0946
2021-11-30,118.32,4456829.0,87784.7088,49.5396,5.1071,0.0946
2021-12-31,123.67,8020391.0,91829.029,51.7772,5.3378,0.0946
2022-01-31,127.88,3171448.0,94954.6753,53.5396,5.5194,0.0946
2022-02-28,140.2,23234223.0,104136.5065,58.698,6.0512,0.0946
2022-03-31,145.48,24362902.0,108062.3746,52.6262,5.621,0.0946
2022-04-30,167.44,36509278.0,124371.8536,60.5689,6.4694,0.0946
2022-05-31,158.78,8887563.0,117952.987,57.438,6.135,0.0946
2022-06-30,162.56,14622666.0,120808.1132,58.8024,6.2807,0.0946
2022-07-31,162.57,4324979.0,120816.9005,58.8067,6.2812,0.0946
2022-08-31,170.42,3934460.0,126651.6828,61.6467,6.5845,0.0946
2022-09-30,173.53,13652685.0,128962.7487,62.7716,6.7046,0.1182
2022-10-31,177.28,14096985.0,131815.7985,64.1275,6.8495,0.1182
2022-11-30,177.01,13336384.0,131614.0357,64.0291,6.839,0.1182
