CGPOWER IN Equity,price,volume,mc,pe,bm,div
1995-01-31,4.94,,6830.2498,,,0.2449
1995-02-28,4.52,,6244.7998,,,0.2449
1995-03-31,4.09,,5659.3498,,,0.2449
1995-04-30,4.3,,5952.0748,,,0.2449
1995-05-31,4.8,,6635.0998,,,0.2449
1995-06-30,5.22,,8192.725,,,0.2449
1995-07-31,5.87,,9211.28,,,0.2857
1995-08-31,5.5,,8635.575,,,0.2857
1995-09-30,5.36,,8414.15,,,0.2857
1995-10-31,5.9,,9255.565,,,0.2857
1995-11-30,5.79,,9078.425,,,0.2857
1995-12-31,5.76,,9034.14,,,0.2857
1996-01-31,5.76,,9034.14,,,0.2857
1996-02-29,6.83,,10716.97,,,0.2857
1996-03-31,6.66,,10451.26,,,0.2857
1996-04-30,6.77,,10628.4,,,0.2857
1996-05-31,6.83,643125.0,10985.3482,,,0.4082
1996-06-30,7.08,6572738.0,11382.5458,,,0.4082
1996-07-31,6.38,6450850.0,10259.0442,,,0.4082
1996-08-31,5.19,2352392.0,8352.4962,,,0.4082
1996-09-30,4.68,2468302.0,7524.0557,,,0.4082
1996-10-31,3.95,2517743.0,6355.1601,,,0.4082
1996-11-30,3.18,707940.0,5106.8251,,,0.4082
1996-12-31,3.1,3577564.0,4981.9916,,,0.4082
1997-01-31,2.63,10975363.0,4221.6421,,,0.4082
1997-02-28,2.84,5844916.0,4562.0971,,,0.4082
1997-03-31,2.53,11267991.0,4062.7631,,,0.4082
1997-04-30,2.08,6832438.0,3837.8764,,,0.4082
1997-05-31,1.91,4874875.0,3525.6423,,,0.2041
1997-06-30,2.1,3095293.0,3876.9056,,,0.2041
1997-07-31,2.39,1487934.0,4410.3054,,,0.2041
1997-08-31,1.93,7712723.0,3551.6618,,,0.2041
1997-09-30,1.13,8851434.0,2081.5601,,,0.2041
1997-10-31,1.21,8447233.0,2159.6186,,,0.2041
1997-11-30,0.73,12320891.0,1353.014,,,0.2041
1997-12-31,0.84,35562424.0,1548.1603,,,0.2041
1998-01-31,0.77,37279200.0,1420.6647,,,0.2041
1998-02-28,0.89,8766137.0,1634.0246,,,0.2041
1998-03-31,1.18,50025105.0,2167.4244,,,0.2041
1998-04-30,1.15,60296840.0,2112.7835,,,0.2041
1998-05-31,1.51,109769518.0,2789.2905,,,0.8163
1998-06-30,0.96,51369885.0,1769.326,,,0.8163
1998-07-31,0.74,40784660.0,1369.0687,,,0.8163
1998-08-31,0.71,9828935.0,1314.306,,,0.8163
1998-09-30,0.81,68839243.0,1502.064,,,0.8163
1998-10-31,0.83,74176200.0,1525.5337,,,0.8163
1998-11-30,1.01,110062587.0,1872.3645,,,0.8163
1998-12-31,1.36,178038952.0,2521.6942,,,0.8163
1999-01-31,1.32,177229092.0,2443.4617,,,0.8163
1999-02-28,1.1,96946721.0,2036.6527,,,0.8163
1999-03-31,1.01,73264237.0,1874.9722,,,0.8163
1999-04-30,0.76,35875105.0,1413.4005,,,0.8163
1999-05-31,1.12,126193424.0,2070.5535,,,0.2041
1999-06-30,1.27,110984669.0,2354.7982,,,0.2041
1999-07-31,1.61,225719198.0,2972.379,,,0.2041
1999-08-31,2.54,241689242.0,4693.2299,,,0.2041
1999-09-30,1.98,107562117.0,3650.29,,,0.2041
1999-10-31,1.41,100450074.0,2607.35,,,0.2041
1999-11-30,1.75,69933694.0,3233.114,,,0.2041
1999-12-31,1.41,65134046.0,2607.35,,,0.2041
2000-01-31,1.16,83326252.0,2151.0637,,,0.2041
2000-02-29,1.27,100953242.0,2346.615,,,0.2041
2000-03-31,1.08,51605073.0,1997.2301,,,0.2041
2000-04-30,0.74,37077124.0,1368.8587,,,0.2041
2000-05-31,0.68,41730078.0,1270.0937,,,0.2041
2000-06-30,0.67,28563105.0,1249.1438,,,0.2041
2000-07-31,0.61,27170047.0,1139.1562,,,0.0
2000-08-31,0.64,21843673.0,1178.4375,,,0.0
2000-09-30,0.59,29442826.0,1092.0188,,,0.0
2000-10-31,0.65,15570767.0,1199.3875,,,0.0
2000-11-30,0.76,36108321.0,1419.1457,,,0.0
2000-12-31,0.81,63235897.0,1497.6962,,,0.0
2001-01-31,0.83,47665240.0,1547.4449,,,0.0
2001-02-28,0.81,82765459.0,1502.9329,,,0.0
2001-03-31,0.68,53835136.0,1254.1897,,,0.0
2001-04-30,0.68,8810519.0,1262.0447,,,0.0
2001-05-31,0.72,12647415.0,1340.5952,,,0.0
2001-06-30,0.54,20172663.0,1005.4464,,,0.0
2001-07-31,0.57,8281184.0,1049.9584,,,0.0
2001-08-31,0.58,3919228.0,1076.1419,,,0.0
2001-09-30,0.54,2350003.0,994.973,,,0.0
2001-10-31,0.55,1427970.0,1015.9198,,,0.0
2001-11-30,0.63,3299317.0,1170.4025,,,0.0
2001-12-31,0.62,4395668.0,1157.3107,,,0.0
2002-01-31,0.61,6532643.0,1133.739,,,0.0
2002-02-28,1.02,44447851.0,1885.2012,,,0.0
2002-03-31,1.3,88401672.0,2408.8682,12.3582,0.1988,0.0
2002-04-30,1.21,54341331.0,2246.5314,11.5254,0.1854,0.0
2002-05-31,1.25,90182062.0,2322.4631,11.9149,0.1917,0.0
2002-06-30,1.47,58793593.0,2730.9234,14.0104,0.2254,0.0
2002-07-31,1.09,49596673.0,2021.3546,10.3701,0.1668,0.0
2002-08-31,1.09,10643731.0,2021.3546,10.3701,0.1668,0.0
2002-09-30,1.13,19920019.0,2089.4313,10.7194,0.1724,0.0
2002-10-31,1.19,30141872.0,2204.638,11.3104,0.182,0.0
2002-11-30,1.3,21802526.0,2416.7232,12.3985,0.1995,0.0
2002-12-31,1.35,31215009.0,2495.2732,12.8015,0.2059,0.0
2003-01-31,1.44,36550668.0,2662.8467,13.6612,0.2198,0.0
2003-02-28,1.61,37307914.0,2990.1385,15.3403,0.2468,0.0
2003-03-31,1.45,17569685.0,2691.6483,4.0135,0.2059,0.0
2003-04-30,1.72,11788420.0,3194.3687,4.7631,0.2443,0.0
2003-05-31,1.72,17394841.0,3199.6053,4.7709,0.2447,0.0
2003-06-30,2.42,26396214.0,4490.4445,6.6956,0.3435,0.0
2003-07-31,2.12,16114250.0,3935.3574,5.8679,0.301,0.0
2003-08-31,3.04,29917795.0,5637.2752,8.4056,0.4312,0.0
2003-09-30,2.89,10635291.0,5367.5867,8.0035,0.4106,0.0
2003-10-31,3.1,14312606.0,5747.2452,8.5696,0.4396,0.0
2003-11-30,3.83,29756132.0,7100.9244,10.5881,0.5432,0.2449
2003-12-31,4.79,28591084.0,8889.2472,13.2546,0.68,0.2449
2004-01-31,3.89,13605708.0,7210.8945,10.752,0.5516,0.2449
2004-02-29,3.96,4994840.0,7352.2846,10.9629,0.5624,0.2449
2004-03-31,4.35,9475902.0,8067.09,3.6771,0.7983,0.2449
2004-04-30,5.2,16638857.0,9653.801,4.4004,0.9553,0.2449
2004-05-31,4.07,9770514.0,7551.278,3.442,0.7473,0.2449
2004-06-30,3.7,6147307.0,6870.5109,3.1317,0.6799,0.2449
2004-07-31,4.71,7440099.0,8742.6204,3.985,0.8652,0.5714
2004-08-31,5.33,18150360.0,9894.6878,4.5102,0.9792,0.5714
2004-09-30,6.0,11849535.0,11138.3969,5.0771,1.1022,0.5714
2004-10-31,6.81,15605422.0,12628.2295,5.7561,1.2497,0.5714
2004-11-30,7.27,9018217.0,13481.8067,6.1452,1.3341,0.3265
2004-12-31,8.41,10683299.0,15602.658,7.1119,1.544,0.5714
2005-01-31,8.03,12269380.0,14890.4709,6.7873,1.4735,0.5714
2005-02-28,10.73,53023268.0,19912.4374,9.0764,1.9705,0.5714
2005-03-31,12.21,96968538.0,22659.0708,6.5359,1.8701,0.5714
2005-04-30,12.46,31591819.0,23122.516,6.6696,1.9084,0.5714
2005-05-31,13.15,25083529.0,24397.6452,7.0374,2.0136,0.5714
2005-06-30,12.42,12257056.0,23043.966,6.6469,1.9019,0.5714
2005-07-31,15.65,24395361.0,29042.5714,8.3772,2.397,0.5714
2005-08-31,16.36,25611651.0,30346.5022,8.7533,2.5046,0.5714
2005-09-30,18.72,25392045.0,34724.3583,10.0161,2.8659,0.5714
2005-10-31,17.37,33520900.0,32226.4667,9.2956,2.6598,0.449
2005-11-30,19.9,32060835.0,36915.9046,10.6482,3.0468,0.449
2005-12-31,21.47,27549687.0,39832.7298,11.4895,3.2875,0.449
2006-01-31,25.58,25663799.0,47462.5578,13.6903,3.9172,0.449
2006-02-28,25.19,21410832.0,46734.6607,13.4804,3.8572,0.6122
2006-03-31,29.64,32769485.0,54982.4158,8.1615,2.4207,0.6122
2006-04-30,30.12,14506438.0,55647.4729,8.2933,2.4598,0.8163
