CLPL IN Equity,price,volume,mc,pe,bm,div
1995-02-28,6.0,,,,,0.0
1995-03-31,5.75,,,,,0.0
1995-04-30,4.25,,,,,0.0
1995-05-31,4.75,,,,,0.0
1995-06-30,3.8,,,,,0.0
1995-07-31,4.35,,,,,0.0
1995-08-31,3.8,,,,,0.0
1995-09-30,3.9,,,,,0.2
1995-10-31,3.4,,,,,0.2
1995-11-30,2.85,,,,,0.2
1995-12-31,2.8,,,,,0.2
1996-01-31,2.44,,,,,0.2
1996-02-29,2.6,,,,,0.2
1996-03-31,2.2,,,,,0.2
1996-04-30,2.35,,,,,0.2
1996-05-31,2.0,40500.0,,,,0.2
1996-06-30,1.95,57000.0,,,,0.2
1996-07-31,1.4,65000.0,,,,0.2
1996-08-31,1.32,46500.0,,,,0.2
1996-09-30,1.05,20000.0,,,,0.2
1996-10-31,0.95,37000.0,,,,0.2
1996-11-30,0.85,34500.0,,,,0.0
1996-12-31,1.0,35000.0,,,,0.0
1997-01-31,1.35,37000.0,,,,0.0
1997-02-28,1.3,24500.0,,,,0.0
1997-03-31,1.1,12000.0,,,,0.0
1997-04-30,0.9,11000.0,,,,0.0
1997-05-31,0.9,20000.0,,,,0.0
1997-06-30,0.54,8000.0,,,,0.0
1997-07-31,0.8,14500.0,,,,0.0
1997-08-31,0.8,39000.0,,,,0.0
1997-09-30,0.34,614500.0,,,,0.0
1997-10-31,0.32,57000.0,,,,0.0
1997-11-30,0.4,8500.0,,,,0.0
1997-12-31,0.42,16500.0,,,,0.0
1998-01-31,0.4,16000.0,,,,0.0
1998-02-28,0.25,500.0,,,,0.0
1998-03-31,0.6,24500.0,,,,0.0
1998-04-30,0.55,82500.0,,,,0.0
1998-05-31,0.52,35000.0,,,,0.0
1998-06-30,0.56,11000.0,,,,0.0
1998-07-31,0.6,1500.0,,,,0.0
1998-08-31,0.6,4500.0,,,,0.0
1998-09-30,0.4,20000.0,,,,0.0
1998-10-31,0.37,9500.0,,,,0.0
1998-11-30,0.5,5500.0,,,,0.0
1998-12-31,0.45,13000.0,,,,0.0
