CPBI IN Equity,price,volume,mc,pe,bm,div
2004-10-31,3.69,28050.0,,2.468,0.5845,0.0
2004-11-30,3.39,411240.0,,2.2707,0.5378,0.0
2004-12-31,3.11,880410.0,,2.0824,0.4932,0.0
2005-01-31,4.31,13593530.0,,2.8859,0.6835,0.0
2005-02-28,4.41,4475210.0,,2.9541,0.6996,0.0
2005-03-31,4.24,1504180.0,,4.7879,0.6125,0.0
2005-04-30,4.07,295750.0,,4.6002,,0.0
2005-05-31,4.83,1112250.0,,5.4537,,0.0
2005-06-30,4.81,715460.0,,5.4295,,0.0
2005-07-31,6.38,3500030.0,,7.2121,,0.0
2005-08-31,5.61,965830.0,,6.3404,,0.2
2005-09-30,5.33,1462330.0,,6.0227,,0.2
2005-10-31,4.34,478770.0,,4.9029,,0.2
2005-11-30,4.45,617240.0,,5.0239,,0.2
2005-12-31,4.93,401160.0,,5.5687,,0.2
2006-01-31,6.4,1326710.0,,7.2363,,0.2
2006-02-28,8.09,3487090.0,,9.1429,,0.2
2006-03-31,9.94,3542180.0,1900.6814,4.2624,0.8513,0.2
2006-04-30,9.56,1474310.0,1833.5865,4.0993,0.8187,0.2
2006-05-31,8.66,2051400.0,1656.8861,3.7156,0.7421,0.2
2006-06-30,7.91,1773940.0,1511.9406,3.3906,0.6772,0.2
2006-07-31,9.0,1543940.0,1720.3958,3.8581,0.7706,0.25
2006-08-31,8.87,2331850.0,1695.8114,3.8029,0.7595,0.25
2006-09-30,11.59,6496500.0,2216.1812,4.9699,0.9926,0.25
2006-10-31,12.23,1731080.0,2338.0789,5.2432,1.0472,0.25
2006-11-30,18.73,10503190.0,3581.6398,8.032,1.6042,0.25
2006-12-31,19.39,4477590.0,3707.6348,8.3145,1.6606,0.25
2007-01-31,19.68,1902170.0,3762.4376,8.4374,1.6852,0.25
2007-02-28,16.73,1378550.0,3199.045,7.174,1.4328,0.25
2007-03-31,15.71,1307330.0,3003.9064,4.0082,1.6203,0.25
2007-04-30,17.4,906930.0,3327.601,4.4401,1.7949,0.25
2007-05-31,15.96,1451320.0,3052.563,4.0731,1.6466,0.25
2007-06-30,16.04,388500.0,3066.3917,4.0916,1.654,0.25
2007-07-31,19.21,4541270.0,7089.849,4.9028,1.982,0.25
2007-08-31,21.96,3120780.0,8101.8375,5.6026,2.2649,0.25
2007-09-30,26.23,6215470.0,9677.9318,6.6927,2.7055,0.25
2007-10-31,26.52,2120110.0,9784.6628,6.7665,2.7354,0.25
2007-11-30,32.9,4444230.0,12140.6506,8.3957,3.394,0.25
2007-12-31,41.8,4084740.0,15423.617,10.666,4.3118,0.25
2008-01-31,37.49,2369540.0,13833.5228,9.5664,3.8672,0.25
2008-02-29,38.64,1151110.0,14257.482,9.8596,3.9858,0.25
2008-03-31,32.66,2994490.0,12050.7199,6.2339,2.0356,0.25
2008-04-30,37.74,1543451.0,13924.4421,7.2032,2.3521,0.25
2008-05-31,36.72,732852.0,15229.9594,7.009,2.2887,0.0
2008-06-30,31.61,1501615.0,13108.2072,6.0325,1.9698,0.0
2008-07-31,28.98,2457958.0,12019.5595,5.5315,1.8062,0.0
2008-08-31,27.75,1089997.0,11508.5616,5.2964,1.7294,0.5
2008-09-30,24.51,432419.0,10164.4149,4.6778,1.5275,0.5
2008-10-31,18.91,442444.0,7842.707,3.6093,1.1786,0.5
2008-11-30,17.68,158826.0,7331.7091,3.3741,1.1018,0.5
2008-12-31,16.07,1857110.0,6665.1901,3.0674,1.0016,0.5
2009-01-31,16.85,2075716.0,6987.341,3.2156,1.05,0.5
2009-02-28,14.46,2775732.0,5998.6711,2.7606,0.9014,0.5
2009-03-31,15.59,7432340.0,6465.2344,6.0655,0.9499,0.5
2009-04-30,16.2,405077.0,6720.7334,6.3052,0.9875,0.5
2009-05-31,23.06,331879.0,9564.5478,8.9732,1.4053,0.5
2009-06-30,23.22,950330.0,9631.1997,9.0358,1.4151,0.5
2009-07-31,22.2,1293798.0,9209.071,8.6397,1.3531,0.5
2009-08-31,24.94,1667780.0,10342.1533,9.7028,1.5196,0.25
2009-09-30,23.38,3724981.0,9697.8516,9.0983,1.4249,0.25
2009-10-31,22.34,1674177.0,9264.6143,8.6918,1.3612,1.5
2009-11-30,22.18,444875.0,9197.9624,8.6293,1.3515,1.5
2009-12-31,24.27,2656997.0,10064.4371,9.4422,1.4788,1.5
2010-01-31,24.08,1886245.0,9986.6765,9.3693,1.4673,1.5
2010-02-28,23.6,990190.0,9786.7208,9.1817,1.438,1.5
2010-03-31,29.78,13708781.0,12352.819,4.5264,1.361,1.5
2010-04-30,32.06,4450084.0,13297.0543,4.8724,1.465,1.5
2010-05-31,29.97,3014069.0,12430.5796,4.5549,1.3696,1.5
2010-06-30,31.74,9433103.0,13163.7505,4.8236,1.4504,1.5
2010-07-31,31.66,13827132.0,13130.4245,4.8114,1.4467,1.5
2010-08-31,38.68,29442365.0,16040.8909,5.8779,1.7674,1.0
2010-09-30,36.83,15050129.0,15274.394,5.597,1.6829,1.0
2010-10-31,36.72,7878465.0,15229.9594,5.5807,1.678,1.0
2010-11-30,33.64,4843262.0,13952.4647,5.1126,1.5373,1.0
2010-12-31,32.09,2789234.0,13308.1629,4.8765,1.4663,0.25
2011-01-31,31.23,2541401.0,12952.6861,4.7463,1.4271,0.25
2011-02-28,31.55,1209720.0,13085.9899,4.7951,1.4418,0.25
2011-03-31,35.46,7889638.0,14707.8529,5.0952,1.2538,0.25
2011-04-30,39.72,4081310.0,16474.1283,5.707,1.4044,0.25
2011-05-31,35.38,4415545.0,14674.5269,5.0836,1.251,0.25
2011-06-30,34.95,794185.0,14496.7885,5.022,1.2358,1.25
