CUBK IN Equity,price,volume,mc,pe,bm,div
1998-09-30,1.26,1664.0,,,,0.1502
1998-12-31,0.99,24967.0,,,,0.1502
1999-01-31,0.93,14980.0,,,,0.1502
1999-02-28,0.96,63251.0,,,,0.1502
1999-03-31,1.08,226372.0,,,,0.1502
1999-05-31,0.99,78231.0,,,,0.1502
1999-06-30,1.02,427776.0,,,,0.1502
1999-07-31,0.95,639167.0,,,,0.2704
1999-08-31,0.93,352873.0,,,,0.1202
1999-09-30,0.98,134824.0,,,,0.1202
1999-10-31,0.9,99870.0,,,,0.1202
1999-11-30,0.93,24967.0,,,,0.1202
1999-12-31,1.35,462730.0,,,,0.1202
2000-01-31,1.26,71573.0,,,,0.1202
2000-02-29,1.32,1168477.0,,,,0.1202
2000-03-31,1.2,807281.0,,,,0.1202
2000-04-30,1.08,1170142.0,,,,0.1202
2000-05-31,1.01,148140.0,,,,0.1202
2000-06-30,1.19,214720.0,,,,0.1202
2000-07-31,1.29,56593.0,,,,0.1502
2000-08-31,1.07,28296.0,,,,0.1502
2000-09-30,1.18,108359.0,,,,0.1502
2000-10-31,1.08,35870.0,,,,0.1502
2000-11-30,1.2,117530.0,,,,0.1502
2000-12-31,1.27,540013.0,,,,0.1502
2001-01-31,1.64,538498.0,,,,0.1502
2001-02-28,1.78,663768.0,,,,0.1502
2001-03-31,1.38,307716.0,,2.593,0.4661,0.1502
2001-04-30,1.35,595075.0,541.2,2.5423,0.457,0.1502
2001-05-31,1.36,302972.0,544.8,2.5592,0.46,0.1502
2001-06-30,1.37,96008.0,548.4,2.5761,0.4631,0.1502
2001-07-31,1.32,115866.0,528.0,2.4803,0.4459,0.1502
2001-08-31,1.16,201071.0,462.0,2.1702,0.3901,0.1502
2001-09-30,1.11,91214.0,444.0,2.0857,0.3749,0.1502
2001-10-31,1.08,105296.0,432.0,2.0293,0.3648,0.1502
2001-11-30,1.28,119844.0,510.0,2.3957,0.4307,0.1502
2001-12-31,1.14,24135.0,456.0,2.1421,0.3851,0.1502
2002-01-31,1.17,190102.0,465.6,2.1871,0.3932,0.1502
2002-02-28,1.32,341039.0,529.2,2.4859,0.4469,0.1502
2002-03-31,1.45,647140.0,579.6,2.7227,0.4894,0.1502
2002-04-30,1.51,362561.0,603.6,2.1227,0.4244,0.1502
2002-05-31,1.68,992573.0,672.0,2.3633,0.4725,0.1502
2002-06-30,1.99,2024445.0,796.8,2.8022,0.5602,0.1502
2002-07-31,1.91,1681642.0,764.4,2.6882,0.5375,0.1502
2002-08-31,1.62,1290402.0,648.0,2.2789,0.4556,0.2403
2002-09-30,1.76,568276.0,703.2,2.473,0.4944,0.2403
2002-10-31,1.78,328306.0,711.6,2.5025,0.5003,0.2403
2002-11-30,1.93,316471.0,769.2,2.7051,0.5408,0.2403
2002-12-31,1.98,1074400.0,792.0,2.7853,0.5569,0.2403
2003-01-31,2.05,1874141.0,817.2,2.8739,0.5746,0.2403
2003-02-28,2.16,741600.0,864.0,3.0385,0.6075,0.2403
2003-03-31,2.24,1148936.0,894.0,2.6799,0.5426,0.2403
2003-04-30,2.39,973931.0,952.8,2.8561,0.5783,0.2403
2003-05-31,2.88,4249945.0,1152.0,3.4532,0.6992,0.2403
2003-06-30,2.78,3904878.0,1111.2,3.3309,0.6744,0.2403
2003-07-31,3.63,6566626.0,1450.8,4.3489,0.8805,0.2403
2003-08-31,3.08,4390712.0,1230.0,3.6871,0.7465,0.2403
2003-09-30,3.18,3177726.0,1272.0,3.8129,0.772,0.2403
2003-10-31,3.28,2167392.0,1310.4,3.9281,0.7953,0.2403
2003-11-30,3.26,1625798.0,1302.0,3.9029,0.7902,0.2403
2003-12-31,4.92,9415747.0,1966.8,5.8957,1.1937,0.2403
2004-01-31,4.16,3813214.0,1662.0,4.982,1.0087,0.2403
2004-02-29,3.91,1066777.0,1561.2,4.6799,0.9475,0.2403
2004-03-31,4.12,1109954.0,1645.2,2.8839,0.811,0.2403
2004-04-30,4.96,2039659.0,1982.4,3.475,0.9773,0.2403
2004-05-31,4.61,2487126.0,1840.8,3.2268,0.9074,0.2403
2004-06-30,4.75,1529856.0,1896.0,3.3235,0.9347,0.2403
2004-07-31,3.93,1666661.0,1569.6,2.7514,0.7738,0.2403
2004-08-31,3.55,1408564.0,1418.4,2.4863,0.6992,0.2403
2004-09-30,3.98,3155887.0,1588.8,2.785,0.7832,0.2403
2004-10-31,3.85,1868532.0,1537.2,2.6946,0.7578,0.2403
2004-11-30,4.28,4940129.0,1708.8,2.9954,0.8424,0.2403
2004-12-31,5.73,30923186.0,2287.2,4.0093,1.1275,0.2403
2005-01-31,5.24,55511993.0,2094.0,3.6706,1.0323,0.2403
2005-02-28,5.29,28210987.0,2112.0,3.7021,1.0411,0.2403
2005-03-31,5.06,28238152.0,2022.0,4.3653,0.84,0.2403
2005-04-30,5.05,8094352.0,2018.4,4.3575,0.8385,0.2403
2005-05-31,5.71,41615386.0,2281.2,4.9249,0.9477,0.2403
2005-06-30,5.32,21337777.0,2124.0,4.5855,0.8824,0.2403
2005-07-31,5.51,34526557.0,2200.8,4.7513,0.9143,0.2403
2005-08-31,5.64,24334905.0,2253.6,4.8653,0.9362,0.2403
2005-09-30,6.11,78730886.0,2442.0,5.272,1.0145,0.2403
2005-10-31,5.46,22053894.0,2179.2,4.7047,0.9053,0.2403
2005-11-30,5.68,13839249.0,2268.0,4.8964,0.9422,0.2403
2005-12-31,5.56,11391006.0,2221.2,4.7953,0.9227,0.2403
2006-01-31,6.5,146750597.0,2595.6,5.6036,1.0783,0.2403
2006-02-28,6.7,73919556.0,2678.4,5.7824,1.1127,0.2403
2006-03-31,6.72,43227452.0,2684.4,4.7616,0.9381,0.2403
2006-04-30,6.65,20031030.0,2644.8,4.7105,0.9281,0.2403
2006-05-31,6.13,19323386.0,2449.2,4.3444,0.8559,0.2403
2006-06-30,5.59,13079705.0,2233.2,3.9613,0.7804,0.2403
2006-07-31,6.91,18138962.0,2758.8,4.8936,0.9641,0.2403
2006-08-31,6.94,30010076.0,2772.0,4.917,0.9687,0.2403
2006-09-30,7.32,20105150.0,2925.6,5.1894,1.0224,0.2403
2006-10-31,7.35,14379911.0,2936.4,5.2086,1.0262,0.2403
