CYL IN Equity,price,volume,mc,pe,bm,div
1997-09-30,6.73,1370400.0,,,,0.0
1997-10-31,7.1,6404400.0,,,,0.0
1997-11-30,6.0,2035200.0,,,,0.0
1997-12-31,5.83,487200.0,,,,0.0
1998-01-31,6.5,1576800.0,,,,0.0
1998-02-28,6.12,159600.0,,,,0.0
1998-03-31,6.71,967200.0,,,,0.0
1998-04-30,9.33,6842400.0,,,,0.0
1998-05-31,9.03,3289200.0,598.2596,,,0.0
1998-06-30,6.67,788400.0,441.52,,,0.0
1998-07-31,8.53,895200.0,565.1456,,,0.0
1998-08-31,9.89,793200.0,655.1053,,,0.1333
1998-09-30,12.08,1647600.0,799.7031,,,0.1333
1998-10-31,12.0,1905600.0,794.736,,,0.1333
1998-11-30,10.78,1456800.0,713.6067,,,0.1333
1998-12-31,16.92,18123600.0,1120.633,,,0.1333
1999-01-31,30.5,25960800.0,2019.954,,,0.1333
1999-02-28,26.35,7681200.0,1745.3838,,,0.1333
1999-03-31,32.79,2524800.0,2171.7265,,,0.1333
1999-04-30,19.83,1426200.0,1332.8,,,0.1333
1999-05-31,19.99,556800.0,1343.44,,,0.1333
1999-06-30,26.66,2853600.0,1791.44,,,0.2833
1999-07-31,33.33,1647600.0,2240.0,,,0.2833
1999-08-31,43.57,1688400.0,2927.96,,,0.15
1999-09-30,55.44,1034400.0,3725.3999,,,0.15
1999-10-31,76.73,1542000.0,5155.9199,,,0.15
1999-11-30,101.95,1944000.0,6851.0399,,,0.15
1999-12-31,134.15,2505600.0,9014.8802,,,0.15
2000-01-31,108.61,1080000.0,7298.7599,,,0.15
2000-02-29,88.33,997200.0,5935.9999,,,0.15
2000-03-31,74.91,460800.0,5033.8399,,,0.15
2000-04-30,59.58,244800.0,4003.9999,,,0.275
2000-05-31,32.73,326400.0,2199.68,,,0.275
2000-06-30,38.09,429600.0,2559.76,,,0.125
2000-07-31,31.0,163200.0,2083.2,,,0.125
2000-08-31,28.48,1034784.0,1913.8,,,0.0833
2000-09-30,25.08,1413648.0,1685.6,,,0.0833
2000-10-31,15.91,1071780.0,1069.04,,,0.0833
2000-11-30,18.13,7482240.0,1284.2752,,,0.0833
2000-12-31,15.04,5542800.0,1065.311,,,0.0833
2001-01-31,14.18,2855592.0,1004.2253,,,0.0833
2001-02-28,12.14,3017748.0,859.6263,,,0.0833
2001-03-31,5.58,1627140.0,395.1389,,,0.0833
2001-04-30,6.4,1085772.0,453.2736,,,0.0833
2001-05-31,9.48,5066472.0,671.3525,,,0.0833
2001-06-30,9.28,4729980.0,576.3303,,,0.0417
2001-07-31,8.12,3200748.0,596.4525,,,0.225
2001-08-31,12.78,49243764.0,938.9001,,,0.225
2001-09-30,9.24,104355288.0,678.4685,,,0.225
2001-10-31,15.0,23657904.0,1101.708,,,0.1833
2001-11-30,16.25,66096.0,1193.517,,,0.1833
2001-12-31,32.94,527052.0,2419.1672,,,0.1833
2002-01-31,36.8,1885320.0,2703.1631,,,0.1833
