DELHIVER IN Equity,price,volume,mc,pe,bm,div
2022-05-31,530.25,24620767.0,384167.7979,,5.7152,0.0
2022-06-30,506.8,23240748.0,367178.199,,5.4404,0.0
2022-07-31,635.0,25014868.0,460059.5034,,,0.0
2022-08-31,568.9,16422776.0,412289.4561,,,0.0
2022-09-30,582.9,8328026.0,423037.5503,,4.507,0.0
2022-10-31,344.2,37561770.0,250009.9168,,2.6614,0.0
2022-11-30,335.45,65345510.0,243833.4522,,2.5937,0.0
2022-12-31,331.45,43067421.0,241342.0716,,2.5713,0.0
2023-01-31,301.9,22109562.0,219877.0556,,,0.0
2023-02-28,345.6,62090840.0,251750.7461,,,0.0
2023-03-31,331.65,74381805.0,241678.3792,,2.6335,0.0
2023-04-30,374.4,46367621.0,272890.4271,,2.973,0.0
2023-05-31,349.2,16314382.0,254657.5023,,2.7729,0.0
2023-06-30,381.05,72517075.0,278624.2161,,3.0718,0.0
2023-07-31,399.15,33849755.0,292548.8594,,,0.0
2023-08-31,437.5,39419507.0,320743.2681,,,0.0
2023-09-30,412.7,19628552.0,302854.5406,,3.3239,0.0
2023-10-31,413.35,17528170.0,303579.2024,,3.3292,0.0
2023-11-30,391.15,44714708.0,287318.972,,3.1504,0.0
2023-12-31,389.25,35170693.0,286115.3184,,3.0944,0.0
2024-01-31,449.45,58827531.0,330969.25,,,0.0
2024-02-29,473.1,77825346.0,348472.0963,,,0.0
2024-03-31,445.55,47915713.0,328274.6704,,3.5898,0.0
2024-04-30,449.0,45879399.0,330873.2065,,3.6176,0.0
2024-05-31,385.1,55782433.0,283989.6613,,3.1028,0.0
2024-06-30,400.15,51885777.0,295530.7825,,3.2236,0.0
2024-07-31,404.0,77055617.0,298636.617,,,0.0
2024-08-31,419.3,103500768.0,310039.8002,,,0.0
2024-09-30,425.0,41517219.0,314516.2779,3838.3036,3.3944,0.0
2024-10-31,356.1,32473296.0,263835.183,3216.0468,2.8441,0.0
2024-11-30,335.95,42316881.0,249282.7905,3034.0661,2.6831,0.0
2024-12-31,346.15,79520812.0,257123.1325,1190.64,2.779,0.0
2025-01-31,321.05,35496851.0,238726.2572,1104.3044,,0.0
2025-02-28,249.85,67832942.0,185988.838,859.4003,,0.0
2025-03-31,255.1,47183899.0,190197.8353,116.484,2.0165,0.0
2025-04-30,305.55,154831658.0,227858.7845,139.5205,2.4153,0.0
2025-05-31,358.0,115152481.0,267102.3551,163.4703,2.8299,0.0
2025-06-30,382.8,55851845.0,285677.3039,143.3708,3.0247,0.0
2025-07-31,425.25,73048059.0,317488.2391,159.2697,,0.0
2025-08-31,468.05,77295014.0,349501.9122,175.2996,,0.0
2025-09-30,450.05,47649501.0,336374.2207,243.2703,3.5311,0.0
2025-10-31,465.95,75574412.0,348369.3617,251.8649,3.6559,0.0
2025-11-30,426.2,81815789.0,318702.4713,230.3784,3.344,0.0
2025-12-31,403.85,38677560.0,302118.4812,197.9657,3.1565,0.0
2026-01-31,422.95,47104968.0,316490.4157,207.3284,,0.0
2026-02-28,433.4,69914838.0,324409.8925,212.451,,0.0
2026-03-31,428.8,5308345.0,320966.6773,210.1961,,0.0
