ECLX IN Equity,price,volume,mc,pe,bm,div
2007-12-31,149.88,47564920.0,8484.3556,,,0.0
2008-01-31,112.75,51309586.0,6382.4391,,,0.0
2008-02-29,106.68,2180332.0,6039.0233,,,0.0
2008-03-31,82.13,1183137.0,4649.3215,9.4939,3.5018,0.0
2008-04-30,103.53,1444064.0,5860.7112,11.9676,4.4142,0.0
2008-05-31,93.53,684958.0,5294.6413,10.8117,3.9879,0.0
2008-06-30,74.72,265547.0,4230.1587,8.6366,3.1856,0.0
2008-07-31,66.15,247676.0,3752.1338,7.6464,2.8204,0.0
2008-08-31,65.17,286889.0,3696.3576,7.5327,2.7784,0.6667
2008-09-30,39.87,349814.0,2263.3225,4.6083,1.6997,0.6667
2008-10-31,32.6,371972.0,1851.0606,3.7683,1.3899,0.6667
2008-11-30,32.73,1579919.0,1858.6314,3.7837,1.3956,1.6667
2008-12-31,31.0,74994.0,1760.211,3.5833,1.3217,1.6667
2009-01-31,32.12,76017.0,1823.6165,3.7124,1.3693,1.6667
2009-02-28,32.23,63123.0,1830.2409,3.7259,1.3743,1.6667
2009-03-31,39.33,283403.0,2233.386,3.6119,1.3482,1.6667
2009-04-30,56.72,209054.0,3220.4291,5.2081,1.9441,1.6667
2009-05-31,69.12,247892.0,3926.0685,6.3468,2.3691,1.6667
2009-06-30,91.02,1364556.0,5171.0208,8.3578,3.1198,1.6667
2009-07-31,94.17,628207.0,5352.9512,8.6471,3.2278,1.6667
2009-08-31,120.48,5779156.0,6848.9352,11.0637,4.1298,4.1667
2009-09-30,125.4,1525910.0,7148.5527,11.5152,4.2983,4.1667
2009-10-31,128.48,815596.0,7325.7857,11.7983,4.404,4.1667
2009-11-30,129.27,768580.0,7373.7068,11.8702,4.4309,5.8333
2009-12-31,138.7,744610.0,7913.8889,12.7365,4.7542,5.8333
2010-01-31,150.45,1423841.0,8588.8292,13.8154,5.157,5.8333
2010-02-28,143.88,385205.0,8214.774,13.2124,4.9319,5.8333
2010-03-31,166.62,6876604.0,9512.695,19.359,4.7592,5.8333
2010-04-30,181.85,2572614.0,10382.4162,21.129,5.1943,5.8333
2010-05-31,168.5,410687.0,9625.6297,19.5778,4.8129,5.8333
2010-06-30,202.82,9474744.0,11601.194,23.5651,5.7932,5.8333
2010-07-31,223.15,6074215.0,12771.3205,25.9276,6.3739,5.8333
