ESCORTS IN Equity,price,volume,mc,pe,bm,div
1995-01-31,125.0,,4237.9999,,,0.0
1995-02-28,125.0,,4237.9999,,,3.2
1995-03-31,132.5,,4492.2799,,,3.2
1995-04-30,132.5,,4492.2799,,,3.2
1995-05-31,134.0,,4543.1359,,,3.2
1995-06-30,134.0,,4543.1359,,,3.2
1995-07-31,124.0,,4204.0959,,,3.6
1995-08-31,109.0,,3695.5359,,,3.6
1995-09-30,112.0,,3797.2479,,,3.6
1995-10-31,108.0,,3661.6319,,,3.6
1995-11-30,83.0,,2814.0319,,,3.6
1995-12-31,88.5,,3000.5039,,,3.6
1996-01-31,82.0,,2780.1279,,,3.6
1996-02-29,107.0,,3627.7279,,,3.6
1996-03-31,118.0,,4000.6719,,,3.6
1996-04-30,104.0,,3526.0159,,,2.0
1996-05-31,109.0,68350.0,3695.5359,,,2.0
1996-06-30,139.25,879200.0,8269.0827,,,4.0
1996-07-31,128.25,946850.0,7615.8697,,,4.0
1996-08-31,102.5,457210.0,6086.7574,,,4.0
1996-09-30,89.0,952607.0,5285.0869,,,4.0
1996-10-31,80.75,717470.0,4795.1772,,,4.0
1996-11-30,76.25,732153.0,4527.9537,,,4.0
1996-12-31,80.75,112020.0,4795.1772,,,4.0
1997-01-31,80.25,925890.0,4765.4857,,,4.0
1997-02-28,82.0,421969.0,4869.406,,,4.0
1997-03-31,73.5,240019.0,4364.6505,,,4.0
1997-04-30,75.75,155999.0,4498.2622,,,4.0
1997-05-31,78.75,890393.0,5131.6651,,,4.0
1997-06-30,83.75,1339116.0,5457.4851,,,4.5
1997-07-31,92.75,946066.0,6043.9611,,,4.5
1997-08-31,95.75,6976039.0,6239.4531,,,4.5
1997-09-30,93.75,2347494.0,6109.1251,,,4.5
1997-10-31,96.25,4664234.0,6663.0191,,,4.5
1997-11-30,82.0,1684064.0,5343.4481,,,4.5
1997-12-31,83.25,1271961.0,5424.9031,,,4.5
1998-01-31,73.4,1907256.0,4783.0377,,,4.5
1998-02-28,73.2,907102.0,4770.0049,,,4.5
1998-03-31,82.4,3122776.0,5369.5137,,,4.5
1998-04-30,109.6,7233986.0,7141.9746,,,4.5
1998-05-31,104.4,5838343.0,6803.1218,,,4.5
1998-06-30,74.45,4024413.0,5067.4394,,,4.5
1998-07-31,75.6,2175352.0,5145.7142,,,4.5
1998-08-31,77.1,1089944.0,5247.8117,,,4.5
1998-09-30,79.0,787634.0,5377.1352,,,4.5
1998-10-31,72.5,571963.0,4934.7127,,,4.5
1998-11-30,73.5,1079294.0,5002.7777,,,4.5
1998-12-31,74.0,411886.0,5036.8102,,,4.5
1999-01-31,74.3,819410.0,5057.2297,,,4.5
1999-02-28,67.55,276104.0,4597.7909,,,4.5
1999-03-31,61.6,429919.0,4192.8042,,,4.5
1999-04-30,53.25,189827.0,3624.4614,,,4.5
1999-05-31,63.0,845421.0,4288.0952,,,4.5
1999-06-30,72.1,1353212.0,5207.9274,,,4.5
1999-07-31,114.15,4021184.0,8245.2831,,,4.5
1999-08-31,179.5,9354566.0,12965.6444,,,4.5
