FIVESTAR IN Equity,price,volume,mc,pe,bm,div
2022-11-30,511.15,18158073.0,148931.7922,31.7682,4.0136,0.0
2022-12-31,614.7,12362159.0,179102.754,38.2039,4.8267,0.0
2023-01-31,600.5,3069311.0,174965.3551,37.3213,4.7152,0.0
2023-02-28,535.7,2620064.0,156084.8305,33.294,4.2064,0.0
2023-03-31,540.6,1231331.0,157512.5245,26.1033,3.6297,0.0
2023-04-30,515.0,2064554.0,150053.5518,24.8672,3.4578,0.0
2023-05-31,545.0,3159475.0,158794.5354,26.3158,3.6593,0.0
2023-06-30,647.75,13758698.0,188765.3099,31.2772,4.3491,0.0
2023-07-31,732.55,7539940.0,213490.6506,35.3718,4.9185,0.0
2023-08-31,765.65,13747766.0,223140.255,36.9701,5.1407,0.0
2023-09-30,696.7,43228365.0,203239.6101,33.6408,4.6778,0.0
2023-10-31,738.9,6221418.0,215915.0256,35.6784,4.9611,0.0
2023-11-30,751.15,5825343.0,219499.6671,36.2699,5.0434,0.0
2023-12-31,734.9,35648529.0,214756.4428,35.4853,4.9343,0.0
2024-01-31,761.8,7078958.0,222653.2781,36.7842,5.1149,0.0
2024-02-29,706.3,8794472.0,206438.5153,34.1043,4.7423,0.0
2024-03-31,719.45,12025215.0,210282.0187,25.1205,4.0492,0.0
2024-04-30,758.3,14658449.0,221764.2435,26.477,4.2678,0.0
2024-05-31,757.05,12983220.0,221405.3668,26.4333,4.2608,0.0
2024-06-30,793.25,11539010.0,231994.6883,27.6973,4.4646,0.0
2024-07-31,757.05,11018442.0,221408.7848,26.4333,4.2608,0.0
2024-08-31,758.85,7495826.0,221938.5488,26.4962,4.2709,0.0
2024-09-30,780.25,102905263.0,228204.6916,27.2434,4.3914,0.0
2024-10-31,711.25,61528927.0,208031.0196,24.8341,4.003,0.0
2024-11-30,655.8,23668351.0,191814.7518,22.898,3.691,0.0
2024-12-31,773.8,44761710.0,227054.0022,27.0182,4.3551,0.0
2025-01-31,789.3,18114638.0,231722.7493,27.5594,4.4423,0.0
2025-02-28,761.5,14772695.0,224192.2327,26.5887,4.2859,0.0
2025-03-31,723.95,12411239.0,213137.1856,19.7747,3.3809,0.0
2025-04-30,705.95,21284696.0,207850.8112,19.283,3.2968,0.0
2025-05-31,709.25,14136495.0,208828.0557,19.3731,3.3122,0.0
2025-06-30,771.8,27934244.0,227248.6647,21.0817,3.6043,0.0
2025-07-31,593.8,23939960.0,174839.9238,16.2196,2.7731,0.0
2025-08-31,545.05,14613460.0,160489.3348,14.888,2.5454,2.0
2025-09-30,536.6,35221510.0,158011.9688,14.6572,2.5059,2.0
2025-10-31,652.75,86410881.0,192218.1842,17.8298,3.0484,2.0
2025-11-30,590.9,37485670.0,174004.9407,16.1404,2.7595,2.0
2025-12-31,545.35,23744392.0,160623.8704,14.8962,2.5468,2.0
2026-01-31,455.95,30919239.0,134297.4727,12.4542,2.1293,2.0
2026-02-28,417.15,34794450.0,122878.277,11.3944,1.9481,2.0
2026-03-31,407.95,2275866.0,120168.2718,11.1431,1.9051,2.0
