GESCO IN Equity,price,volume,mc,pe,bm,div
1995-01-31,41.56,,17257.0798,,,3.1944
1995-02-28,40.22,,16700.3998,,,3.1944
1995-03-31,32.85,,13638.6598,,,3.1944
1995-04-30,32.17,,13360.3198,,,3.1944
1995-05-31,33.01,,13708.2448,,,3.1944
1995-06-30,31.17,,12942.8098,,,3.1944
1995-07-31,37.87,,15760.167,,,3.1944
1995-08-31,37.54,,15620.6965,,,3.1944
1995-09-30,36.87,,15341.7555,,,3.1944
1995-10-31,35.86,,14923.344,,,3.1944
1995-11-30,31.5,,13110.2274,,,3.1944
1995-12-31,31.34,,13040.4922,,,3.1944
1996-01-31,30.83,,12831.2864,,,3.1944
1996-02-29,32.51,,13528.639,,,3.1944
1996-03-31,30.16,,12552.3454,,,3.1944
1996-04-30,31.17,,12970.7569,,,3.1944
1996-05-31,31.67,1044576.0,13179.9627,,,3.1944
1996-06-30,33.85,3996864.0,14086.521,,,3.1944
1996-07-31,33.68,4709448.0,14448.9345,,,3.1944
1996-08-31,28.15,3040522.0,12076.7214,,,2.7778
1996-09-30,23.63,3836322.0,10135.8197,,,2.7778
1996-10-31,16.42,2961279.0,7044.7541,,,2.7778
1996-11-30,19.1,3200607.0,8194.9181,,,2.7778
1996-12-31,22.79,2024169.0,9776.3935,,,2.7778
1997-01-31,25.47,5457979.0,10926.5574,,,2.7778
1997-02-28,29.49,5984925.0,12651.8033,,,2.7778
1997-03-31,23.96,3957738.0,10279.5902,,,2.7778
1997-04-30,26.31,1430194.0,11285.9837,,,2.7778
1997-05-31,20.78,1330563.0,8913.7705,,,2.7778
1997-06-30,32.85,10565700.0,14090.3905,,,4.1667
1997-07-31,32.01,5503393.0,13730.9418,,,4.1667
1997-08-31,28.49,14482439.0,12221.2571,,,4.1667
1997-09-30,34.02,12098941.0,14593.6188,,,4.1667
1997-10-31,31.5,6666078.0,13515.2726,,,4.1667
1997-11-30,26.81,9310596.0,11502.3596,,,4.1667
1997-12-31,30.83,4945479.0,13227.7136,,,4.1667
1998-01-31,27.92,10662830.0,11976.832,,,4.1667
1998-02-28,27.85,3491619.0,11948.0761,,,3.4722
1998-03-31,26.28,4643130.0,11272.3124,,,3.4722
1998-04-30,27.82,8368595.0,11933.6981,,,3.4722
1998-05-31,24.43,2935881.0,10481.5252,,,3.4722
1998-06-30,20.71,2493454.0,8885.6662,,,4.1667
1998-07-31,18.84,1884581.0,8080.4925,,,4.1667
1998-08-31,14.65,1145133.0,6283.23,,,4.1667
1998-09-30,15.32,4604100.0,6570.792,,,4.1667
1998-10-31,13.57,6696234.0,5823.1307,,,4.1667
1998-11-30,16.02,13620030.0,6872.7321,,,4.1667
1998-12-31,15.45,8218917.0,6628.3044,,,4.1667
1999-01-31,14.24,9220553.0,6110.6927,,,4.1667
1999-02-28,14.48,3604567.0,6211.3395,,,4.1667
1999-03-31,14.55,8006026.0,6240.0957,,,4.1667
1999-04-30,12.5,4062735.0,5363.0315,,,4.1667
1999-05-31,13.61,14294233.0,5837.5088,,,4.1667
1999-06-30,16.29,24740073.0,6988.7046,,,4.1667
1999-07-31,14.71,28118517.0,6312.8422,,,4.8611
1999-08-31,17.6,18170414.0,7549.5266,,,2.7778
1999-09-30,15.52,27544614.0,6657.9635,,,2.7778
1999-10-31,14.21,16604504.0,6097.1415,,,2.7778
1999-11-30,12.9,7250543.0,5536.3195,,,2.7778
1999-12-31,13.24,12309928.0,5680.12,,,2.7778
2000-01-31,12.5,13537614.0,5363.7589,,,2.7778
2000-02-29,11.4,10433133.0,4242.1538,,,2.7778
2000-03-31,11.89,382663.0,4426.1812,,,2.7778
2000-04-30,10.08,3163500.0,3753.1945,,,4.6528
2000-05-31,10.46,4172458.0,3895.5557,,,4.6528
2000-06-30,10.78,4179278.0,4012.0341,,,4.6528
2000-07-31,12.27,7788932.0,4568.5421,,,1.875
2000-08-31,17.03,16460697.0,6341.6046,,,1.875
2000-09-30,17.76,9276712.0,6613.3876,,,1.875
2000-10-31,22.25,19521202.0,8282.9121,,,1.875
2000-11-30,24.4,15690739.0,9085.3192,,,1.875
2000-12-31,24.4,7876499.0,9085.3192,,,1.875
2001-01-31,22.84,21178026.0,8428.8501,,,1.875
2001-02-28,23.61,10921023.0,7830.228,,,1.875
2001-03-31,18.6,9504654.0,5900.6942,,,1.875
2001-04-30,21.0,2057702.0,6546.7951,,,1.875
2001-05-31,22.6,2635256.0,7017.0523,,,1.875
2001-06-30,22.67,1442449.0,7038.3497,,,3.4375
2001-07-31,19.99,472498.0,6207.1336,,,3.4375
2001-08-31,19.19,584111.0,5958.8483,,,3.4375
2001-09-30,17.38,948968.0,5396.2574,,,3.4375
2001-10-31,16.27,789053.0,5003.4771,,,3.4375
2001-11-30,18.08,5765995.0,5502.5333,,,3.4375
2001-12-31,16.55,1766998.0,4965.6058,,,3.4375
2002-01-31,17.73,3641801.0,5272.8569,,,3.4375
2002-02-28,21.35,5096840.0,6348.1061,,,3.4375
2002-03-31,20.89,6315019.0,6213.7,1.842,0.3073,3.4375
2002-04-30,23.43,12553740.0,6968.4423,2.0657,0.3446,0.0
2002-05-31,21.0,1822887.0,6244.7168,1.8512,0.3088,0.0
2002-06-30,27.67,7861422.0,8229.7923,2.4397,0.407,0.0
2002-07-31,19.02,2426866.0,5205.4433,1.6765,0.2797,5.0
2002-08-31,19.16,735300.0,5243.5087,1.6888,0.2817,5.0
2002-09-30,18.98,466026.0,5195.927,1.6734,0.2792,5.0
2002-10-31,19.82,543874.0,5424.3194,1.747,0.2915,5.0
2002-11-30,22.15,1048321.0,6061.9148,1.9523,0.3257,5.0
2002-12-31,22.7,1081542.0,6214.1764,2.0014,0.3339,5.0
2003-01-31,23.78,2969956.0,6509.1833,2.0964,0.3497,5.0
2003-02-28,25.69,2806818.0,7032.5825,2.265,0.3779,5.0
2003-03-31,26.53,1565396.0,7260.9749,1.8235,0.3436,5.0
2003-04-30,29.41,1693206.0,8050.8319,2.0219,0.381,5.0
