GNP IN Equity,price,volume,mc,pe,bm,div
2000-02-29,15.08,24565000.0,,,,0.0
2000-03-31,12.93,9771000.0,,,,0.4
2000-04-30,14.06,5371000.0,,,,0.4
2000-05-31,14.63,2647000.0,2953.7971,,,0.4
2000-06-30,13.75,2083000.0,2776.6298,,,0.4
2000-07-31,12.93,1001280.0,2611.0718,,,0.4
2000-08-31,12.8,1601160.0,2584.8248,,,0.4
2000-09-30,13.06,963920.0,2636.3093,,,0.4
2000-10-31,12.3,989140.0,2483.3701,,,0.4
2000-11-30,11.58,2374680.0,2338.0021,,,0.4
2000-12-31,10.42,813860.0,2104.3028,,,0.4
2001-01-31,9.54,637940.0,1925.6213,,,0.4
2001-02-28,8.11,803360.0,1637.9138,,,0.4
2001-03-31,5.98,2990160.0,1206.8573,,,0.4
2001-04-30,5.75,3523960.0,1161.4298,,,0.0
2001-05-31,6.81,4113500.0,1374.4343,,,0.0
2001-06-30,5.45,6161360.0,1100.355,,,0.0
2001-07-31,5.34,3082040.0,1077.6413,,,0.0
2001-08-31,5.14,2526000.0,1036.7565,,,0.0
2001-09-30,5.51,8076820.0,1111.9643,,,0.2
2001-10-31,7.63,12295440.0,1539.9923,,,0.2
2001-11-30,10.01,9667640.0,2020.5143,,,0.2
2001-12-31,9.49,3561640.0,1916.5358,,,0.2
2002-01-31,11.57,3677580.0,2335.4783,,,0.2
2002-02-28,12.18,3692920.0,2458.1326,,,0.2
2002-03-31,12.17,2076580.0,2457.1231,11.1043,2.0592,0.2
2002-04-30,13.35,2755020.0,2695.3651,12.181,2.2588,0.2
2002-05-31,13.35,2651700.0,2695.3651,12.181,2.2588,0.2
2002-06-30,12.9,230600.0,2604.5101,11.7704,2.1827,0.2
2002-07-31,12.33,704160.0,2501.7429,11.248,2.0858,0.2
2002-08-31,12.1,195540.0,2455.5741,11.0405,2.0473,0.2
2002-09-30,9.66,339480.0,1960.9078,8.8164,1.6349,0.3
2002-10-31,10.2,226940.0,2069.9881,9.3068,1.7258,0.3
2002-11-30,10.22,746480.0,2073.0322,9.3205,1.7284,0.3
2002-12-31,11.93,399780.0,2421.0743,10.8854,2.0186,0.3
2003-01-31,11.5,1593900.0,2333.8101,10.493,1.9458,0.3
2003-02-28,11.5,2905120.0,2339.56,10.493,1.9458,0.3
2003-03-31,10.57,448180.0,2149.8522,6.814,1.5004,0.3
2003-04-30,11.5,4439540.0,2339.56,7.4152,1.6328,0.3
2003-05-31,12.69,591860.0,2581.6536,8.1825,1.8018,0.3
2003-06-30,14.89,1269760.0,3035.985,9.6027,2.1145,0.325
2003-07-31,15.55,7286440.0,3169.5133,10.0251,2.2075,0.325
2003-08-31,18.32,4649620.0,3733.6958,11.8096,2.6004,0.325
2003-09-30,19.58,9439760.0,3990.5594,12.622,2.7793,0.325
2003-10-31,21.69,3421456.0,4421.2138,13.9842,3.0793,0.325
2003-11-30,20.81,3078792.0,4242.8363,13.42,2.955,0.325
2003-12-31,35.74,22836028.0,7285.4468,23.0436,5.0741,0.325
2004-01-31,37.69,20522224.0,7682.9738,24.301,5.351,0.325
2004-02-29,37.54,7968268.0,7652.3948,24.2043,5.3297,0.325
2004-03-31,36.05,3583692.0,7361.4099,19.7804,3.8078,0.325
2004-04-30,37.38,5608160.0,7631.9749,20.5075,3.9477,0.325
2004-05-31,35.42,3406304.0,7235.2022,19.4375,3.7417,0.325
2004-06-30,33.98,1469708.0,6939.0542,18.6419,3.5886,0.325
2004-07-31,39.66,4048780.0,8101.462,21.7626,4.1893,0.325
2004-08-31,45.74,9345488.0,9342.3415,25.0959,4.831,0.325
2004-09-30,79.83,18731216.0,16305.0541,43.7995,8.4314,0.325
2004-10-31,75.7,23182100.0,15462.4816,41.5362,7.9957,0.325
2004-11-30,86.09,10510436.0,17584.2323,47.2357,9.0929,0.325
2004-12-31,121.1,10585916.0,24735.8853,66.4469,12.7911,0.325
2005-01-31,125.79,103260656.0,25693.3541,69.0189,13.2862,0.325
2005-02-28,132.79,35549484.0,31502.8253,72.8598,14.0256,0.325
2005-03-31,141.57,45210290.0,33587.5649,31.5735,10.8711,0.325
2005-04-30,130.88,24998156.0,31049.0733,29.1873,10.0495,0.7
2005-05-31,124.13,19865084.0,29447.1922,27.6819,9.5312,0.7
2005-06-30,134.25,33322076.0,31849.229,29.9399,10.3086,0.7
2005-07-31,154.5,19349330.0,36653.3027,34.456,11.8636,0.7
2005-08-31,139.32,8735880.0,33055.9979,31.0717,10.6983,0.7
2005-09-30,158.53,25025474.0,37611.3552,35.3537,12.1726,0.7
2005-10-31,139.48,9867180.0,33091.8654,31.1052,10.7099,0.7
2005-11-30,151.73,9448554.0,36025.5242,33.8372,11.6505,0.35
2005-12-31,156.78,10898362.0,37224.5942,34.9634,12.0383,0.35
2006-01-31,152.1,10005234.0,36114.564,33.9208,11.6793,0.35
2006-02-28,155.45,12901956.0,36909.9867,34.6679,11.9365,1.05
2006-03-31,157.53,8998540.0,37402.6739,43.1826,10.0247,1.05
2006-04-30,162.88,8457366.0,38091.2487,44.6492,10.3651,1.05
2006-05-31,162.63,19210654.0,38613.6159,44.5806,10.3492,1.05
2006-06-30,150.82,8873076.0,35812.038,41.3459,9.5983,1.05
2006-07-31,152.32,3267970.0,36168.1995,41.7571,9.6937,1.05
2006-08-31,172.5,12985946.0,40965.4045,47.2877,10.9777,1.05
2006-09-30,157.2,8469462.0,37331.9513,43.0935,10.004,1.05
2006-10-31,208.55,69666338.0,49526.7045,57.1701,13.2718,1.05
2006-11-30,282.05,67116556.0,67059.1908,77.3188,17.9493,1.05
2006-12-31,301.35,32366442.0,71647.8892,82.6095,19.1775,1.05
2007-01-31,309.13,27468788.0,74001.5562,84.7409,19.6723,1.125
2007-02-28,267.63,10980926.0,64256.5477,73.3644,17.0313,1.125
2007-03-31,305.63,23723440.0,73385.5123,23.5311,10.6919,1.125
2007-04-30,329.78,24175040.0,79217.6955,25.3905,11.5368,0.4
2007-05-31,351.8,21543988.0,84859.4357,27.0862,12.3073,0.4
2007-06-30,328.55,15293638.0,79544.3884,25.2962,11.4939,0.4
2007-07-31,343.75,11043800.0,83228.271,26.4665,12.0257,0.4
2007-08-31,343.88,8573566.0,83856.3922,26.4761,12.03,0.4
2007-09-30,422.45,11688080.0,103035.5524,32.5258,14.7789,0.4
2007-10-31,491.7,20317667.0,120010.6931,37.8576,17.2015,0.4
2007-11-30,455.25,10452176.0,111132.4463,35.0512,15.9264,1.4
2007-12-31,596.0,13175380.0,146555.4506,45.888,20.8503,1.4
2008-01-31,493.2,10999118.0,122511.3737,37.9731,17.254,1.4
2008-02-29,485.4,8047462.0,120657.8221,37.3726,16.9811,1.4
2008-03-31,489.0,6312648.0,121605.7923,18.9241,9.2342,1.4
2008-04-30,671.25,12333918.0,166928.4628,25.9772,12.6758,1.4
2008-05-31,659.25,9046697.0,163944.2669,25.5128,12.4492,1.4
2008-06-30,636.7,11197161.0,159196.2667,24.6401,12.0234,1.4
2008-07-31,646.8,9811683.0,161741.3922,25.031,12.2141,1.4
2008-08-31,632.0,9614100.0,158092.0863,24.4582,11.9346,1.4
2008-09-30,488.95,10520498.0,122311.8169,18.9222,9.2333,1.4
2008-10-31,282.25,19811035.0,70625.7237,10.923,5.33,1.4
2008-11-30,322.35,11844560.0,80659.7061,12.4748,6.0872,1.4
2008-12-31,296.1,18015965.0,74166.1192,11.459,5.5915,1.4
2009-01-31,137.25,74755246.0,34377.9689,5.3115,2.5918,0.0
2009-02-28,144.75,70465250.0,36256.5465,5.6018,2.7334,0.0
2009-03-31,156.9,38506998.0,39299.8421,20.4676,2.4595,0.0
2009-04-30,179.45,27026510.0,44949.2814,23.4092,2.813,0.0
2009-05-31,224.5,41470098.0,56233.5675,29.286,3.5192,0.0
2009-06-30,216.7,65397132.0,54286.9476,28.2685,3.3969,0.0
2009-07-31,249.8,48180182.0,62585.4926,32.5864,3.9158,0.0
2009-08-31,217.0,70319101.0,54385.9296,28.3076,3.4016,0.0
2009-09-30,238.1,40762856.0,64176.9747,31.0601,3.7323,0.4
2009-10-31,224.2,30372319.0,60436.9456,29.2469,3.5145,0.4
2009-11-30,231.0,36124457.0,62284.8061,30.1339,3.6211,0.4
2009-12-31,275.85,41311741.0,74385.35,35.9846,4.3241,0.4
2010-01-31,242.25,18463223.0,65324.818,31.6015,3.7974,0.4
2010-02-28,252.45,8934623.0,68108.0562,32.9321,3.9573,0.4
2010-03-31,268.55,25931537.0,72453.2869,21.5819,3.0768,0.4
2010-04-30,269.85,15707001.0,72809.5208,21.6863,3.0917,0.4
2010-05-31,271.6,26849658.0,73287.3992,21.827,3.1117,0.4
2010-06-30,270.4,13747298.0,72971.1138,21.7305,3.098,0.4
2010-07-31,270.3,15950367.0,72946.1319,21.7225,3.0968,0.4
2010-08-31,285.6,19289875.0,77092.9472,22.9521,3.2721,0.4
2010-09-30,299.75,21059461.0,80923.9012,24.0892,3.4342,0.4
2010-10-31,338.6,24204052.0,91422.1653,27.2114,3.8793,0.4
2010-11-30,352.25,23109848.0,95143.1141,28.3084,4.0357,0.4
2010-12-31,362.1,15653712.0,97812.4835,29.0999,4.1486,0.4
2011-01-31,307.15,15151972.0,82969.0812,24.6839,3.519,0.4
2011-02-28,251.3,16722110.0,67905.9335,20.1956,2.8791,0.4
2011-03-31,283.7,15593814.0,76663.9424,16.907,3.7637,0.4
2011-04-30,299.3,5700371.0,80879.5135,17.8367,3.9707,0.4
2011-05-31,307.3,29359900.0,83057.2593,18.3135,4.0768,0.4
2011-06-30,317.25,11284811.0,85749.0599,18.9064,4.2088,0.4
2011-07-31,330.45,18018464.0,89316.8694,19.6931,4.3839,0.4
2011-08-31,326.1,14118914.0,88147.9608,19.4338,4.3262,0.4
2011-09-30,322.95,7745735.0,87318.8382,19.2461,4.2844,0.4
2011-10-31,309.1,11898882.0,83574.0916,18.4207,4.1007,0.4
2011-11-30,315.0,17660144.0,85180.0356,18.7723,4.179,0.4
2011-12-31,293.55,10069469.0,79379.6808,17.494,3.8944,0.4
2012-01-31,295.1,7896696.0,79801.3512,17.5864,3.915,0.4
2012-02-29,308.7,13938243.0,83508.0133,18.3969,4.0954,0.4
2012-03-31,309.4,11030151.0,83703.6812,18.1679,3.4853,0.4
2012-04-30,324.55,8667483.0,87802.2939,19.0575,3.6559,0.4
2012-05-31,356.7,22780331.0,96513.6388,20.9454,4.0181,0.4
2012-06-30,363.1,7184313.0,98245.3105,21.3212,4.0902,0.4
2012-07-31,384.0,12338093.0,103916.3555,22.5484,4.3256,2.0
2012-08-31,440.95,12116612.0,119342.6707,25.8925,4.9672,2.0
2012-09-30,420.95,6908150.0,113947.92,24.7181,4.7419,2.0
2012-10-31,428.3,11249063.0,115947.063,25.1497,4.8247,2.0
2012-11-30,433.65,8404857.0,117399.8989,25.4639,4.8849,2.0
2012-12-31,528.55,17030354.0,143098.6218,31.0364,5.9539,2.0
2013-01-31,502.5,17993645.0,136075.445,29.5068,5.6605,2.0
2013-02-28,501.65,11046297.0,135868.9968,29.4568,5.6509,2.0
2013-03-31,462.9,13477864.0,125378.1771,20.2052,4.5377,2.0
2013-04-30,487.1,9117833.0,131932.8367,21.2615,4.7749,2.0
2013-05-31,590.05,20107448.0,159842.4886,25.7551,5.7841,2.0
2013-06-30,548.25,11729122.0,148530.6091,23.9306,5.3744,2.0
2013-07-31,576.6,5574912.0,156223.6887,25.168,5.6523,2.0
2013-08-31,514.95,12768025.0,139551.8429,22.4771,5.0479,2.0
2013-09-30,530.95,10239119.0,143887.8551,23.1755,5.2048,2.0
2013-10-31,563.6,12615822.0,152738.6099,24.6006,5.5249,2.0
2013-11-30,515.85,13911633.0,139803.3787,22.5164,5.0568,2.0
2013-12-31,533.85,17111637.0,144740.0487,23.3021,5.2332,2.0
2014-01-31,559.25,18994206.0,151647.5974,24.4107,5.4822,2.0
2014-02-28,569.65,7324050.0,154500.4911,24.8647,5.5842,2.0
2014-03-31,565.2,10975092.0,153295.6145,28.2459,5.1385,2.0
2014-04-30,604.55,12869477.0,163968.2657,30.2124,5.4962,2.0
2014-05-31,552.5,14148539.0,149854.5811,27.6112,5.023,2.0
2014-06-30,570.1,13197429.0,154628.2293,28.4908,5.183,2.0
2014-07-31,659.3,21200307.0,178821.9462,32.9485,5.994,2.0
2014-08-31,716.9,14808700.0,194462.0567,35.8271,6.5177,2.0
2014-09-30,721.8,17716412.0,195801.863,36.072,6.5622,2.0
2014-10-31,718.05,12216914.0,194792.8442,35.8846,6.5281,2.0
2014-11-30,819.55,14618965.0,222327.7981,40.957,7.4509,2.0
2014-12-31,770.2,16315138.0,208943.2162,38.4908,7.0022,2.0
2015-01-31,719.15,13847377.0,195094.1495,35.9395,6.5381,2.0
2015-02-28,789.9,17021914.0,214295.9311,39.4753,7.1813,2.0
2015-03-31,786.15,21344939.0,213278.2149,44.8716,7.1085,2.0
2015-04-30,890.3,29685060.0,241533.5429,50.8162,8.0502,2.0
2015-05-31,875.3,18874307.0,246917.3539,49.96,7.9146,2.0
2015-06-30,994.15,25493441.0,280455.5462,56.7437,8.9892,2.0
2015-07-31,1011.9,23182234.0,285513.8167,57.7568,9.1497,2.0
2015-08-31,1154.8,50036259.0,325833.9494,65.9132,10.4419,2.0
2015-09-30,1049.2,19887379.0,296038.2238,59.8858,9.487,2.0
2015-10-31,991.5,18719760.0,279757.8311,56.5925,8.9653,2.0
2015-11-30,981.0,12730500.0,276795.1914,55.9932,8.8703,2.0
2015-12-31,921.9,15618371.0,260121.5912,52.6199,8.3359,2.0
2016-01-31,771.35,19565432.0,217642.6829,44.0268,6.9747,2.0
2016-02-29,735.65,16552827.0,207569.6372,41.9892,6.6518,2.0
2016-03-31,795.05,12499493.0,224329.8309,31.7893,5.2533,2.0
2016-04-30,829.45,10651471.0,234036.071,33.1647,5.4806,2.0
2016-05-31,851.15,13308173.0,240158.9026,34.0324,5.624,2.0
2016-06-30,799.05,15803330.0,225458.4634,31.9492,5.2798,2.0
2016-07-31,860.95,12369583.0,242924.0524,34.4242,5.6888,2.0
2016-08-31,841.1,12420800.0,237323.2133,33.6305,5.5576,2.0
2016-09-30,923.45,15661574.0,260558.9363,36.9232,6.1017,2.0
2016-10-31,935.0,8913215.0,263817.8629,37.385,6.178,2.0
2016-11-30,875.6,16930695.0,247057.6692,35.01,5.7856,2.0
2016-12-31,888.45,12011653.0,250692.2945,35.5238,5.8705,2.0
2017-01-31,893.85,9581427.0,252216.0025,35.7397,5.9061,2.0
2017-02-28,925.5,11411537.0,261146.6245,37.0052,6.1153,2.0
2017-03-31,852.1,12689386.0,240435.4822,26.2508,4.8677,2.0
2017-04-30,894.95,9642680.0,252526.3875,27.5709,5.1125,2.0
2017-05-31,636.65,72742261.0,179642.3539,19.6134,3.6369,2.0
2017-06-30,632.8,20450320.0,178556.0065,19.4948,3.6149,2.0
2017-07-31,697.05,19154799.0,196685.3103,21.4741,3.9819,2.0
