GODPI IN Equity,price,volume,mc,pe,bm,div
2006-04-30,6.39,964577340.0,2926.6232,5.0074,1.9102,0.0
2006-05-31,4.3,253233480.0,2134.0996,3.367,1.2844,0.0
2006-06-30,3.65,90979440.0,1814.8542,2.8633,1.0923,0.0
2006-07-31,3.54,45406840.0,1756.4708,2.7712,1.0572,0.0
2006-08-31,4.42,199656000.0,2197.4518,3.467,1.3226,0.0
2006-09-30,4.28,266814100.0,2124.162,3.3513,1.2785,0.05
2006-10-31,4.24,79780480.0,2104.2868,3.32,1.2665,0.05
2006-11-30,4.65,267533340.0,2312.9764,3.6492,1.3921,0.05
2006-12-31,4.44,93883720.0,2207.3894,3.4827,1.3286,0.05
2007-01-31,5.37,171301060.0,2665.7612,4.2058,1.6044,0.05
2007-02-28,5.1,95321900.0,2532.8458,3.9961,1.5244,0.05
2007-03-31,5.46,26295640.0,2711.7226,4.7608,1.3075,0.1
2007-04-30,6.27,46496720.0,3112.9532,5.4652,1.5009,0.1
2007-05-31,6.94,78766340.0,3448.3472,6.054,1.6626,0.1
2007-06-30,7.33,15276940.0,3643.3726,6.3964,1.7566,0.1
2007-07-31,9.36,18550240.0,4648.3124,8.1607,2.2412,0.1
2007-08-31,9.36,10568960.0,4652.039,8.1672,2.243,0.1
2007-09-30,11.65,25120220.0,5786.1676,10.1583,2.7898,0.15
2007-10-31,13.06,51637420.0,6489.2528,11.3927,3.1288,0.15
2007-11-30,14.52,61878520.0,7214.6976,12.6663,3.4785,0.15
2007-12-31,17.22,104188160.0,8556.2736,15.0216,4.1254,0.15
2008-01-31,12.95,81286920.0,7271.5334,11.2989,3.103,0.15
2008-02-29,12.11,29160680.0,6795.7469,10.5596,2.9,0.15
2008-03-31,8.2,32123740.0,4602.0764,4.0245,1.1196,0.175
2008-04-30,10.44,54474980.0,5862.4194,5.1266,1.4262,0.175
2008-05-31,9.7,43643720.0,5442.7729,4.7597,1.3241,0.175
2008-06-30,10.08,33962460.0,5661.7189,4.9511,1.3774,0.175
2008-07-31,10.05,27037640.0,5643.4734,4.9352,1.373,0.175
2008-08-31,9.96,32070060.0,5591.5439,4.8898,1.3603,0.175
2008-09-30,6.46,19324960.0,3626.644,3.1715,0.8823,0.2
2008-10-31,3.77,19325100.0,2115.0745,1.8496,0.5146,0.2
2008-11-30,3.01,27629740.0,1689.814,1.4777,0.4111,0.2
2008-12-31,3.2,62364260.0,1793.673,1.5686,0.4364,0.2
2009-01-31,2.67,55937320.0,1497.5345,1.3096,0.3643,0.2
2009-02-28,2.26,23720700.0,1268.764,1.1095,0.3087,0.2
2009-03-31,2.64,17154860.0,1480.6925,2.345,0.3166,0.125
2009-04-30,3.35,50928540.0,1882.0935,2.9808,0.4024,0.125
2009-05-31,5.72,118656900.0,3208.401,5.0813,0.686,0.125
