HAPPSTMN IN Equity,price,volume,mc,pe,bm,div
2020-09-30,348.85,128577863.0,51233.3515,49.5526,5.7722,0.0
2020-10-31,338.95,37604663.0,49779.4043,48.1463,5.6084,0.0
2020-11-30,313.95,21102147.0,46107.8153,44.5952,5.1947,0.0
2020-12-31,344.25,46821835.0,50557.7812,48.8991,5.6961,0.0
2021-01-31,347.15,53963846.0,50983.6855,49.3111,5.7441,0.0
2021-02-28,531.95,120181570.0,78124.0718,75.5611,8.8018,0.0
2021-03-31,540.05,39102730.0,79313.6667,45.9617,14.0241,0.0
2021-04-30,724.45,79722691.0,106395.3075,61.6553,18.8126,0.0
2021-05-31,867.55,103700984.0,127411.4832,73.834,22.5286,0.0
2021-06-30,1004.1,63402483.0,147465.7026,85.4553,26.0746,3.0
2021-07-31,1361.6,120650635.0,199969.4178,115.8809,35.3582,3.0
2021-08-31,1427.7,22140156.0,209677.0989,121.5064,37.0747,3.0
2021-09-30,1379.95,20052079.0,202664.3641,117.4426,35.8347,3.0
2021-10-31,1274.4,4974771.0,187162.9158,108.4596,33.0938,3.0
2021-11-30,1205.55,3260782.0,177051.3599,102.6,31.3059,4.75
2021-12-31,1296.6,4594664.0,190423.2867,110.3489,33.6703,4.75
2022-01-31,1150.9,5409921.0,169025.2666,97.9489,29.8867,4.75
2022-02-28,977.9,6514391.0,143617.8714,83.2255,25.3942,4.75
2022-03-31,1056.65,9911580.0,155183.3764,82.2936,22.6326,4.75
2022-04-30,999.9,6559030.0,146848.8696,77.8738,21.417,4.75
2022-05-31,905.1,9214395.0,132926.2045,70.4907,19.3865,4.75
2022-06-30,828.95,14734227.0,121742.5447,64.56,17.7554,4.0
2022-07-31,967.95,12394814.0,142156.579,75.3855,20.7327,4.0
2022-08-31,1031.9,16501057.0,151548.5034,80.366,22.1024,4.0
2022-09-30,993.95,8314861.0,145975.0315,77.4104,21.2896,4.0
2022-10-31,970.35,5186743.0,142509.0516,75.5724,20.7841,4.0
2022-11-30,947.55,5138489.0,139160.5625,73.7967,20.2957,4.0
2022-12-31,881.2,5342925.0,129416.1655,68.6293,18.8746,4.0
2023-01-31,846.1,5090293.0,124261.2547,65.8956,18.1228,4.0
2023-02-28,856.05,6998772.0,125722.5471,66.6706,18.3359,4.0
2023-03-31,767.85,4655653.0,112769.1815,47.6038,13.1074,4.0
2023-04-30,822.75,2905201.0,120831.9907,51.0074,14.0445,4.0
2023-05-31,920.5,8315644.0,135187.9033,57.0676,15.7132,4.0
2023-06-30,978.5,10083669.0,143705.9895,60.6634,16.7032,4.0
2023-07-31,924.85,12870437.0,140831.359,57.3373,15.7874,5.4
2023-08-31,928.25,7180566.0,141349.0933,57.548,15.8454,5.4
2023-09-30,874.8,16471117.0,133210.0047,54.2343,14.933,5.4
2023-10-31,819.3,6447948.0,124758.7527,50.7936,13.9856,5.9
2023-11-30,836.65,6040332.0,127400.7206,51.8692,14.2818,5.9
2023-12-31,896.05,17558808.0,136445.8444,55.5518,15.2958,5.9
2024-01-31,876.05,13101004.0,133400.3482,54.3118,14.9544,5.9
2024-02-29,846.95,10434104.0,128969.1512,52.5077,14.4576,5.9
2024-03-31,744.4,7362299.0,113353.3693,44.4949,7.5109,5.9
2024-04-30,814.5,7430469.0,124027.8336,48.685,8.2182,5.9
2024-05-31,788.5,7610528.0,120068.6885,47.1309,7.9559,5.9
2024-06-30,817.3,59796626.0,124454.203,48.8524,8.2465,5.75
2024-07-31,813.25,17125353.0,123837.49,48.6103,8.2056,5.75
2024-08-31,812.3,12514106.0,123692.829,48.5535,8.196,5.75
2024-09-30,808.4,10846390.0,123098.9572,48.3204,8.1567,5.75
2024-10-31,764.6,8727180.0,116429.3205,45.7023,7.7147,5.75
2024-11-30,723.3,8131756.0,110140.3708,43.2337,7.298,5.75
2024-12-31,734.75,19071840.0,111883.9174,43.9181,7.4135,5.75
2025-01-31,688.6,10013014.0,104856.4349,41.1596,6.9479,5.75
2025-02-28,686.3,20142901.0,104506.2028,41.0221,6.9247,5.75
2025-03-31,596.7,11761471.0,90862.3797,48.6705,5.6861,5.75
2025-04-30,571.85,7400431.0,87078.3507,46.6436,5.4493,5.75
2025-05-31,594.5,7475884.0,90527.3751,48.491,5.6652,5.75
2025-06-30,655.9,45525316.0,99877.0485,53.4992,6.2503,5.75
2025-07-31,607.1,7981417.0,92446.0378,49.5188,5.7853,6.0
2025-08-31,565.05,6707500.0,86042.882,46.0889,5.3845,6.0
2025-09-30,530.85,5743942.0,80835.0834,43.2993,5.0586,6.0
2025-10-31,515.55,11578940.0,78505.2788,42.0514,4.9128,6.0
2025-11-30,498.85,4674639.0,75962.2895,40.6892,4.7537,6.25
2025-12-31,460.4,7466592.0,70107.323,37.553,4.3873,6.25
2026-01-31,413.4,7187654.0,62950.4069,33.7194,3.9394,6.25
2026-02-28,359.8,13650242.0,54788.477,29.3475,3.4287,6.25
2026-03-31,342.05,1829698.0,52085.5972,27.8997,3.2595,6.25
