HONASA IN Equity,price,volume,mc,pe,bm,div
2023-11-30,416.95,120937624.0,134152.3103,,,0.0
2023-12-31,440.8,36889893.0,141825.9705,,,0.0
2024-01-31,467.95,23752008.0,150561.3949,,,0.0
2024-02-29,414.1,18646282.0,133235.3321,,,0.0
2024-03-31,402.4,11642184.0,130475.8488,112.7171,,0.0
2024-04-30,431.2,13063864.0,139814.0805,120.7843,,0.0
2024-05-31,441.6,15844795.0,143186.2197,123.6975,,0.0
2024-06-30,432.85,32182684.0,140349.0834,121.2465,,0.0
2024-07-31,465.15,18105047.0,150822.1696,130.2941,,0.0
2024-08-31,505.4,51139495.0,163872.9969,141.5686,,0.0
2024-09-30,458.8,96463258.0,149029.254,128.5154,,0.0
2024-10-31,394.15,25887379.0,128029.382,110.4062,,0.0
2024-11-30,263.95,42094626.0,85737.2964,73.9356,,0.0
2024-12-31,255.2,37349570.0,82895.0863,71.4846,,0.0
2025-01-31,220.1,19995550.0,71493.7637,61.6527,,0.0
2025-02-28,215.43,30176841.0,69976.8356,60.3445,,0.0
2025-03-31,231.86,17013914.0,75397.0718,103.5089,6.3905,0.0
2025-04-30,246.44,16934620.0,80138.2488,110.0179,6.7924,0.0
2025-05-31,316.45,42803170.0,102904.3534,141.2723,8.722,0.0
2025-06-30,310.7,14286600.0,101034.5476,138.7054,8.5635,0.0
2025-07-31,271.95,11151223.0,88433.6827,121.4062,7.4955,0.0
2025-08-31,292.95,33234852.0,95262.5385,130.7812,8.0743,0.0
2025-09-30,280.9,8396325.0,91396.3751,125.4018,7.7421,0.0
2025-10-31,284.3,6403381.0,92502.6324,126.9196,7.8359,0.0
2025-11-30,289.9,29700802.0,94324.7033,129.4196,7.9902,0.0
2025-12-31,286.25,47165176.0,93137.1035,127.7902,7.8896,0.0
2026-01-31,276.35,8771973.0,89915.9426,123.3705,7.6167,0.0
2026-02-28,303.0,39082589.0,98587.0476,135.2679,8.3513,0.0
2026-03-31,299.1,2377096.0,97318.1074,133.5268,8.2438,0.0
