HUVR IN Equity,price,volume,mc,pe,bm,div
1995-01-31,59.56,,84692.1347,,,0.0
1995-02-28,56.61,,80492.5247,,,0.0
1995-03-31,55.13,,81669.8425,,,0.0
1995-04-30,54.64,,80940.6475,,,0.0
1995-05-31,57.49,,85169.9786,,,0.0
1995-06-30,57.69,,85461.6566,,,0.0
1995-07-31,58.87,,87211.7247,,,0.0
1995-08-31,58.08,,86045.0127,,,0.0
1995-09-30,62.02,,91878.5728,,,0.0
1995-10-31,62.61,,92753.6069,,,0.0
1995-11-30,57.1,,84586.6226,,,0.0
1995-12-31,61.43,,91003.5388,,,0.0
1996-01-31,63.4,,93920.3189,,,0.0
1996-02-29,69.9,,103545.6932,,,0.0
1996-03-31,69.9,,103545.6932,,,0.0
1996-04-30,78.27,,115942.0086,,,1.0
1996-05-31,76.94,579500.0,113973.182,,,1.0
1996-06-30,80.88,6429500.0,119806.7422,,,1.0
1996-07-31,83.93,5268500.0,124327.7514,,,1.0
1996-08-31,82.87,4090720.0,122759.9821,,,1.0
1996-09-30,80.58,2777260.0,119369.2252,,,1.1
1996-10-31,77.7,4973160.0,115103.4343,,,1.1
1996-11-30,78.73,4403870.0,116634.7439,,,1.1
1996-12-31,79.52,12141300.0,117801.4559,,,1.1
1997-01-31,87.32,5554800.0,129359.197,,,1.1
1997-02-28,92.71,4469010.0,137343.8825,,,1.1
1997-03-31,92.42,7896990.0,186968.0282,,,1.1
1997-04-30,107.6,4819410.0,217689.5391,,,1.25
1997-05-31,109.75,6930780.0,222021.4216,,,1.25
1997-06-30,141.72,21116620.0,286700.9072,,,1.25
1997-07-31,139.67,5081290.0,282568.1918,,,1.25
1997-08-31,132.95,13277750.0,268975.0436,,,1.25
1997-09-30,131.58,13209950.0,266186.7055,,,1.4
1997-10-31,126.6,12561840.0,270269.6291,,,1.4
1997-11-30,136.94,19038220.0,277041.3074,,,1.4
1997-12-31,136.2,24367200.0,275547.5548,,,1.4
1998-01-31,127.47,25784300.0,257871.4829,,,1.4
1998-02-28,150.16,76871180.0,303779.4781,,,1.4
1998-03-31,156.09,45418480.0,315779.2903,,,1.7
1998-04-30,155.25,50079610.0,314086.3707,,,1.7
1998-05-31,156.83,26313430.0,317273.0429,,,1.7
1998-06-30,148.61,33617010.0,300642.5977,,,1.7
1998-07-31,168.25,35987230.0,340376.4157,,,1.7
1998-08-31,159.39,13853820.0,322451.3851,,,2.66
1998-09-30,165.47,17662920.0,334749.9478,,,1.91
1998-10-31,157.81,24303240.0,319264.7129,,,1.91
1998-11-30,156.93,9636040.0,317472.2099,,,1.91
1998-12-31,163.77,17956220.0,331314.3169,,,1.91
1999-01-31,190.92,27036250.0,386234.6192,,,1.91
