IFCI IN Equity,price,volume,mc,pe,bm,div
1995-01-31,44.69,,,,,0.0
1995-02-28,42.0,,,,,0.0
1995-03-31,43.79,,,,,0.0
1995-04-30,40.22,,,,,0.0
1995-05-31,42.9,,,,,0.0
1995-06-30,38.43,,,,,0.0
1995-07-31,43.57,,,,,0.0
1995-08-31,37.54,,,,,1.9661
1995-09-30,37.31,,,,,1.9661
1995-10-31,38.43,,,,,1.9661
1995-11-30,35.3,,,,,1.9661
1995-12-31,36.87,,,,,1.9661
1996-01-31,31.95,,,,,1.9661
1996-02-29,37.54,,,,,1.9661
1996-03-31,37.98,,,,,1.9661
1996-04-30,45.58,,,,,1.9661
1996-05-31,42.45,1428106.0,,,,1.9661
1996-06-30,40.44,1569764.0,,,,1.9661
1996-07-31,35.97,1563722.0,,,,2.2343
1996-08-31,31.73,1671812.0,,,,2.2343
1996-09-30,30.39,408414.0,,,,2.2343
1996-10-31,25.69,836521.0,,,,2.2343
1996-11-30,23.01,649546.0,,,,2.2343
1996-12-31,25.47,533959.0,,,,2.2343
1997-01-31,25.69,1486291.0,,,,2.2343
1997-02-28,26.14,1009734.0,,,,2.2343
1997-03-31,22.79,2426874.0,,,,2.2343
1997-04-30,24.13,685912.0,,,,2.2343
1997-05-31,21.9,807541.0,,,,2.2343
1997-06-30,28.6,8339254.0,11315.7119,,,2.2343
1997-07-31,35.3,8542119.0,13967.8319,,,2.2343
1997-08-31,27.48,12825542.0,10873.6919,,,2.6811
1997-09-30,26.36,7053701.0,10431.6719,,,2.6811
1997-10-31,25.47,3161460.0,10343.2679,,,2.6811
1997-11-30,24.13,3097904.0,9547.6319,,,2.6811
1997-12-31,29.27,3097345.0,11580.9239,,,2.6811
1998-01-31,26.41,2920887.0,10449.3527,,,2.6811
1998-02-28,29.94,3313301.0,11846.1359,,,2.6811
1998-03-31,32.8,13697646.0,12977.7071,,,1.3406
1998-04-30,29.18,18216383.0,11545.5623,,,1.3406
1998-05-31,26.01,6217739.0,10290.2255,,,1.3406
1998-06-30,23.37,6832598.0,9247.0583,,,1.3406
1998-07-31,21.99,3021257.0,8698.9535,,,1.3406
1998-08-31,20.02,865390.0,7920.9983,,,1.3406
1998-09-30,18.05,1598409.0,7143.0431,,,1.3406
1998-10-31,15.19,2174217.0,6011.472,,,1.3406
1998-11-30,15.42,1710527.0,6099.876,,,1.3406
1998-12-31,14.97,804072.0,5923.068,,,1.3406
1999-01-31,13.85,2603555.0,5481.048,,,1.3406
1999-02-28,11.62,1182946.0,4597.008,,,1.3406
1999-03-31,10.28,3132720.0,4066.584,,,1.3406
1999-04-30,10.99,1078527.0,4349.4768,,,1.3406
1999-05-31,11.26,4036081.0,4455.5616,,,1.3406
1999-06-30,12.6,2411174.0,4985.9856,,,1.3406
1999-07-31,10.86,5805009.0,4296.4344,,,0.8937
1999-08-31,11.53,2219002.0,4561.6464,,,0.8937
1999-09-30,10.28,1135900.0,4066.584,,,0.8937
1999-10-31,13.3,1661535.0,9406.1855,,,0.8937
1999-11-30,11.1,801171.0,7850.2751,,,0.8937
1999-12-31,10.85,1993868.0,7673.4671,,,0.8937
2000-01-31,10.4,1233008.0,7355.2127,,,0.8937
2000-02-29,10.5,1006727.0,7425.9359,,,0.8937
2000-03-31,9.15,1232704.0,6471.1728,,,0.8937
2000-04-30,7.85,369357.0,5551.7712,,,0.8937
2000-05-31,7.45,353812.0,4655.6912,,,0.8937
2000-06-30,6.85,433927.0,4280.7362,,,0.8937
2000-07-31,6.3,290340.0,3937.0274,,,0.8937
2000-08-31,6.3,252345.0,3937.0274,,,0.8937
2000-09-30,5.85,230411.0,3655.8112,,,0.0
2000-10-31,4.95,192573.0,3093.3787,,,0.0
2000-11-30,6.0,1450189.0,3749.5499,,,0.0
2000-12-31,6.3,1310097.0,3937.0274,,,0.0
2001-01-31,6.3,618114.0,3937.0274,,,0.0
2001-02-28,6.75,4112039.0,4218.2437,,,0.0
2001-03-31,4.95,1559671.0,3093.3787,,,0.0
2001-04-30,5.25,825275.0,3280.8562,,,0.0
2001-05-31,4.95,434525.0,3093.3787,,,0.0
2001-06-30,4.2,374882.0,2624.6849,,,0.0
2001-07-31,3.2,302041.0,1999.76,,,0.0
2001-08-31,3.05,442106.0,1906.0212,,,0.0
2001-09-30,3.0,253676.0,1874.775,,,0.0
2001-10-31,3.6,264748.0,2299.2596,,,0.0
2001-11-30,3.9,330991.0,2490.8646,,,0.0
2001-12-31,2.95,422519.0,1884.1155,,,0.0
2002-01-31,2.95,295948.0,1884.118,,,0.0
2002-02-28,3.9,4583167.0,2490.8679,,,0.0
2002-03-31,3.95,1272278.0,2522.8349,,,0.0
2002-04-30,4.15,1204496.0,2650.5734,,,0.0
2002-05-31,4.75,3437833.0,3033.7888,,,0.0
2002-06-30,5.85,9542650.0,3736.3504,,,0.0
2002-07-31,4.75,11293441.0,3033.7888,,,0.0
2002-08-31,4.7,2200311.0,3001.8542,,,0.0
2002-09-30,4.4,1988592.0,2810.2465,,,0.0
2002-10-31,4.1,893240.0,2618.6388,,,0.0
