IIB IN Equity,price,volume,mc,pe,bm,div
1998-01-31,39.3,105900.0,,,,0.0
1998-02-28,35.05,1072300.0,,,,0.0
1998-03-31,31.8,479400.0,,,,0.0
1998-04-30,39.1,2035700.0,,,,0.0
1998-05-31,39.95,884800.0,,,,0.0
1998-06-30,30.75,522200.0,,,,0.0
1998-07-31,30.25,275500.0,,,,0.8
1998-08-31,25.6,115600.0,,,,0.8
1998-09-30,31.5,974000.0,5040.0,,,0.8
1998-10-31,26.15,63800.0,4184.0,,,0.8
1998-11-30,22.05,94900.0,3528.0,,,0.8
1998-12-31,19.1,216000.0,3056.0,,,0.8
1999-01-31,25.75,155511.0,4120.0,,,0.8
1999-02-28,23.0,28702.0,3680.0,,,0.8
1999-03-31,18.65,197829.0,2984.0,,,0.8
1999-04-30,17.5,47751.0,2800.0,,,0.8
1999-05-31,18.1,67499.0,2896.0,,,0.8
1999-06-30,18.05,1669312.0,2888.0,,,0.8
1999-07-31,17.8,456963.0,2848.0,,,1.25
1999-08-31,37.65,8417552.0,6024.0,,,1.25
1999-09-30,34.6,3900039.0,5536.0,,,1.25
1999-10-31,29.15,3094857.0,4664.0,,,1.25
1999-11-30,24.4,733890.0,3904.0,,,1.25
1999-12-31,25.5,3273118.0,4080.0,,,1.25
2000-01-31,36.6,1683380.0,5856.0,,,1.25
2000-02-29,33.15,4810372.0,5304.0,,,1.25
2000-03-31,27.6,1455031.0,4416.0,,,1.25
2000-04-30,25.7,291999.0,4112.0,,,1.25
2000-05-31,22.35,338470.0,3576.0,,,1.25
2000-06-30,19.85,466528.0,3176.0,,,1.25
2000-07-31,18.0,290950.0,2880.0,,,1.25
2000-08-31,19.4,217550.0,3104.0,,,1.25
2000-09-30,17.25,209750.0,2760.0,,,1.25
2000-10-31,16.85,189967.0,2696.0,,,1.25
2000-11-30,22.0,317938.0,3520.0,,,1.25
2000-12-31,21.0,410919.0,3360.0,,,1.25
2001-01-31,20.5,195462.0,3280.0,,,1.25
2001-02-28,19.15,372209.0,3064.0,,,1.25
2001-03-31,14.05,383235.0,2248.0,,,1.25
2001-04-30,13.95,135300.0,2232.0,,,1.25
2001-05-31,14.05,176684.0,2248.0,,,1.25
2001-06-30,12.95,88511.0,2072.0,,,0.0
2001-07-31,13.1,198495.0,2096.0,,,0.0
2001-08-31,11.1,171425.0,1776.0,,,1.3
2001-09-30,9.95,169417.0,1592.0,,,1.3
2001-10-31,10.75,301048.0,1720.0,,,1.3
2001-11-30,12.2,216216.0,1952.0,,,1.3
2001-12-31,10.5,150599.0,1680.0,,,1.3
2002-01-31,10.5,136217.0,1680.0,,,1.3
2002-02-28,14.2,888755.0,2272.0,,,1.3
2002-03-31,16.7,7816657.0,2672.0,,,1.3
2002-04-30,16.0,493412.0,2560.0,,,1.3
2002-05-31,14.2,1261380.0,2272.0,,,1.3
2002-06-30,18.05,3020680.0,2888.0,,,1.3
2002-07-31,16.0,3336672.0,2560.0,,,1.3
2002-08-31,15.8,213676.0,2528.0,,,1.3
2002-09-30,14.8,889245.0,2368.0,,,1.4
2002-10-31,14.0,113012.0,2240.0,,,1.4
2002-11-30,15.4,151648.0,2464.0,,,1.4
2002-12-31,15.4,370818.0,2464.0,,,1.4
2003-01-31,15.35,1059734.0,2456.0,,,1.4
2003-02-28,17.05,497267.0,2728.0,,,1.4
2003-03-31,15.65,526963.0,2504.0,,,1.4
2003-04-30,18.1,1907614.0,2896.0,,,1.4
2003-05-31,21.75,4408841.0,3480.0,,,1.4
2003-06-30,19.8,1207355.0,3168.0,,,1.4
2003-07-31,25.35,2584336.0,4056.0,,,1.4
2003-08-31,27.6,2338885.0,4416.0,,,1.4
2003-09-30,24.55,1085033.0,5406.573,,,1.4
2003-10-31,23.15,2232939.0,5098.2552,,,1.4
2003-11-30,34.4,11577204.0,7575.809,,,1.4
2003-12-31,42.05,12698655.0,9260.5456,,,1.4
2004-01-31,42.05,14394480.0,9260.5456,,,1.4
2004-02-29,39.15,2893987.0,8621.8872,,,1.4
2004-03-31,40.3,2803274.0,8875.1483,,,1.4
2004-04-30,51.95,14024886.0,11440.7929,,,1.4
2004-05-31,48.7,38365577.0,10725.0551,,,1.4
2004-06-30,51.0,17644232.0,11231.5773,,,1.4
2004-07-31,48.35,6909766.0,10647.9757,,,1.75
2004-08-31,39.9,2938782.0,11599.0023,,,1.75
2004-09-30,40.15,3905348.0,11671.6778,,,1.75
2004-10-31,38.3,2705684.0,11133.8794,,,1.75
2004-11-30,45.55,6466781.0,13241.4676,,,1.75
2004-12-31,60.6,22565923.0,17616.5299,,,1.75
2005-01-31,58.2,51979993.0,16918.8455,,,1.75
2005-02-28,55.0,19166520.0,15988.5997,,,1.75
2005-03-31,50.15,30116236.0,14578.6959,,,1.75
2005-04-30,50.75,12146511.0,14733.618,,,1.75
2005-05-31,61.65,41693806.0,17898.0798,,,1.75
2005-06-30,66.85,84978924.0,19407.7313,,,1.75
2005-07-31,76.75,58336258.0,22281.8755,,,1.75
2005-08-31,77.9,60073809.0,22615.7408,,,1.8
2005-09-30,70.85,26736449.0,20569.0017,,,1.8
2005-10-31,51.75,27266339.0,15023.9356,,,1.8
2005-11-30,54.35,21677720.0,15778.7614,,,1.8
2005-12-31,58.35,29649118.0,16940.0318,,,1.8
2006-01-31,52.45,27127878.0,15227.1579,,,1.8
2006-02-28,50.6,11316525.0,14690.0704,,,1.8
2006-03-31,46.8,24453223.0,13586.8635,,,1.8
2006-04-30,56.15,35270736.0,15241.6738,,,1.8
2006-05-31,46.05,45765833.0,13369.1253,,,1.8
2006-06-30,33.95,34310016.0,9856.2824,,,1.8
2006-07-31,32.85,15697309.0,9536.933,,,0.0
2006-08-31,43.3,29682604.0,12570.7519,,,0.0
2006-09-30,50.55,52634941.0,14675.5545,,,0.0
2006-10-31,44.15,18486512.0,12817.5219,,,0.0
2006-11-30,44.4,28169184.0,12890.1013,,,0.0
2006-12-31,47.35,42934924.0,13746.5382,,,0.0
2007-01-31,53.25,60124822.0,15459.412,,,0.0
2007-02-28,44.1,45012174.0,12803.006,,,0.0
2007-03-31,42.0,33088294.0,12193.3391,,,0.0
2007-04-30,43.0,24321972.0,13751.7393,,,0.0
2007-05-31,45.5,38436936.0,14551.2591,,,0.0
2007-06-30,54.5,30443226.0,17429.5301,,,0.0
2007-07-31,51.15,36852143.0,16358.1737,,,0.0
2007-08-31,53.35,22408431.0,17061.751,,,0.6
2007-09-30,74.75,91407586.0,23905.649,,,0.6
2007-10-31,97.3,128683633.0,31117.3198,,,0.6
2007-11-30,119.35,102538643.0,38169.0865,,,0.6
2007-12-31,127.5,57171770.0,40775.5218,,,0.6
2008-01-31,94.7,49203797.0,30285.8189,,,0.6
2008-02-29,100.05,53571897.0,31996.7918,,,0.6
2008-03-31,78.65,29474252.0,25152.9003,,,0.6
2008-04-30,90.4,21463341.0,28910.6445,,,0.6
2008-05-31,77.25,39189627.0,24705.1691,,,0.6
2008-06-30,54.05,22445246.0,17285.6232,,,0.6
2008-07-31,56.55,44247789.0,20075.25,,,0.6
2008-08-31,60.2,21814360.0,21371.0,,,0.6
2008-09-30,55.45,19355724.0,19684.75,,,0.6
2008-10-31,40.6,13328869.0,14413.0,,,0.6
2008-11-30,31.9,4734425.0,11324.5,,,0.6
2008-12-31,37.55,9712416.0,13330.25,,,0.6
2009-01-31,33.35,14082070.0,11839.25,,,0.6
2009-02-28,30.2,6664021.0,10721.0,,,0.6
2009-03-31,32.1,13688700.0,11395.5,,,0.6
2009-04-30,40.65,23192539.0,14430.75,,,0.6
2009-05-31,71.45,74694584.0,25364.75,,,0.6
