INBK IN Equity,price,volume,mc,pe,bm,div
2007-02-28,91.0,,39109.069,,,0.0
2007-03-31,90.2,117649276.0,38765.253,0.9965,0.2217,0.0
2007-04-30,115.5,44920761.0,49638.4337,1.2759,0.2839,0.0
2007-05-31,127.65,27818673.0,54860.1391,1.4102,0.3137,0.0
2007-06-30,127.7,9235868.0,54881.6276,1.4107,0.3138,3.0
2007-07-31,150.7,36868564.0,64766.3373,1.6648,0.3704,3.0
2007-08-31,143.1,18697325.0,61500.0854,1.5808,0.3517,3.0
2007-09-30,159.9,25360413.0,68720.2212,1.7664,0.393,3.0
2007-10-31,154.05,25025724.0,66206.0668,1.7018,0.3786,3.0
2007-11-30,190.85,29286723.0,82021.6024,2.1083,0.469,3.0
2007-12-31,194.2,23784753.0,83461.3319,2.1454,0.4773,3.0
2008-01-31,205.85,22654130.0,88468.1522,2.2741,0.5059,3.0
2008-02-29,204.45,23854364.0,87866.4743,2.2586,0.5025,3.0
2008-03-31,163.95,19033948.0,70460.7897,7.0304,1.4374,3.0
2008-04-30,139.0,15472271.0,59738.0285,5.9605,1.2187,3.0
2008-05-31,122.35,17676444.0,52582.3582,5.2466,1.0727,5.0
2008-06-30,88.45,12573011.0,38013.1555,3.7929,0.7755,4.0
2008-07-31,96.1,19568405.0,41300.8959,4.1209,0.8425,4.0
2008-08-31,126.75,33231273.0,54473.3461,5.4352,1.1113,4.0
2008-09-30,129.2,19702425.0,55526.2826,5.5403,1.1327,4.0
2008-10-31,128.05,12900441.0,55032.0471,5.491,1.1227,4.0
2008-11-30,123.65,9044373.0,53141.0591,5.3023,1.0841,4.0
2008-12-31,136.85,11485812.0,58814.023,5.8684,1.1998,4.0
2009-01-31,122.35,10023568.0,52582.3582,5.2466,1.0727,4.0
2009-02-28,86.45,7084006.0,37153.6156,3.7071,0.7579,4.0
2009-03-31,82.2,19912333.0,35327.0931,2.917,0.549,4.0
2009-04-30,100.8,32288410.0,43320.8149,3.577,0.6733,4.0
2009-05-31,137.2,25376599.0,58964.4425,4.8687,0.9164,4.0
2009-06-30,146.3,26675177.0,62875.3494,5.1916,0.9772,5.0
2009-07-31,143.8,16740822.0,61800.9244,5.1029,0.9605,5.0
2009-08-31,136.85,13208914.0,58814.023,4.8563,0.9141,5.0
2009-09-30,163.8,27057198.0,70396.3242,5.8126,1.0941,5.0
2009-10-31,156.05,25839187.0,67065.6068,5.5376,1.0423,5.0
2009-11-30,164.9,31344524.0,70869.0712,5.8517,1.1014,5.0
2009-12-31,174.55,18864961.0,75016.3516,6.1941,1.1659,5.0
2010-01-31,179.65,11698641.0,77208.1785,6.3751,1.1999,5.0
2010-02-28,164.05,8892039.0,70503.7667,5.8215,1.0957,5.0
2010-03-31,175.4,9136243.0,75381.6561,4.9275,0.9502,5.5
2010-04-30,225.35,28130300.0,96848.667,6.3308,1.2208,5.5
2010-05-31,229.65,20050326.0,98696.678,6.4516,1.2441,5.5
2010-06-30,225.95,9888513.0,97106.529,6.3476,1.224,6.5
2010-07-31,224.75,29058455.0,96590.805,6.3139,1.2175,6.5
2010-08-31,248.45,17321592.0,106776.3538,6.9797,1.3459,6.5
2010-09-30,278.7,18014158.0,119776.8959,7.8295,1.5098,6.5
2010-10-31,291.8,21247605.0,125406.8828,8.1975,1.5808,6.5
2010-11-30,278.75,10049813.0,119798.3844,7.8309,1.5101,6.5
2010-12-31,246.8,11905688.0,106067.2333,6.9334,1.337,6.5
2011-01-31,210.45,11902789.0,90445.0942,5.9122,1.1401,6.5
2011-02-28,204.4,8453793.0,87844.9858,5.7422,1.1073,6.5
2011-03-31,232.75,8547044.0,100028.9649,5.8654,1.0772,6.5
2011-04-30,241.1,11036876.0,103617.5444,6.0758,1.1158,6.5
2011-05-31,222.3,8624135.0,95537.8686,5.602,1.0288,7.5
2011-06-30,212.85,6441126.0,91476.5422,5.3639,0.9851,7.5
2011-07-31,225.2,9886583.0,96784.2015,5.6751,1.0422,7.5
2011-08-31,206.75,7388682.0,88854.9452,5.2102,0.9568,7.5
2011-09-30,213.7,6391384.0,91841.8467,5.3853,0.989,7.5
2011-10-31,217.0,5222374.0,93260.0876,5.4685,1.0043,7.5
2011-11-30,189.05,6333335.0,81248.0164,4.7641,0.8749,7.5
2011-12-31,184.95,7146972.0,79485.9595,4.6608,0.8559,7.5
2012-01-31,220.8,10244140.0,94893.2136,5.5642,1.0219,7.5
2012-02-29,241.4,12205143.0,103746.4753,6.0834,1.1172,7.5
2012-03-31,244.0,10829925.0,104863.8773,6.0761,1.0403,7.5
2012-04-30,221.2,3514538.0,95065.1216,5.5084,0.9431,7.5
2012-05-31,169.15,8570773.0,72695.5936,4.2122,0.7211,7.5
2012-06-30,176.05,8740208.0,75661.0066,4.384,0.7506,7.5
2012-07-31,177.8,6160527.0,76413.104,4.4276,0.758,7.5
2012-08-31,154.4,4228141.0,66356.4863,3.8449,0.6583,7.5
2012-09-30,193.35,7135531.0,83096.0274,4.8148,0.8243,7.5
2012-10-31,168.0,6843657.0,72201.3582,4.1836,0.7162,7.5
2012-11-30,183.5,5487339.0,78862.793,4.5696,0.7823,7.5
2012-12-31,199.3,6187842.0,85653.1588,4.963,0.8497,7.5
2013-01-31,202.2,6998732.0,86899.4918,5.0352,0.862,7.5
2013-02-28,177.05,3365610.0,76090.7766,4.4089,0.7548,7.5
2013-03-31,176.15,7515281.0,75703.9836,4.8131,0.6474,7.5
2013-04-30,171.0,3211157.0,73490.6681,4.6724,0.6285,7.5
2013-05-31,142.85,5846854.0,61392.6429,3.9032,0.525,7.5
2013-06-30,114.95,4546274.0,49402.0637,3.1409,0.4225,6.6
2013-07-31,81.0,6136255.0,34811.3716,2.2132,0.2977,6.6
2013-08-31,63.7,10165737.0,27376.3502,1.7405,0.2341,6.6
2013-09-30,67.4,20484403.0,28966.4993,1.8416,0.2477,6.6
2013-10-31,83.95,12254175.0,36079.1931,2.2938,0.3086,6.6
2013-11-30,101.1,42730139.0,43449.749,2.7624,0.3716,6.6
2013-12-31,116.15,13297970.0,49917.7878,3.1737,0.4269,6.6
2014-01-31,99.6,11508078.0,42805.0939,2.7215,0.3661,9.6
2014-02-28,88.1,5622970.0,40953.1511,2.4072,0.3238,9.6
2014-03-31,114.85,12477294.0,53387.848,4.2743,0.3807,9.6
2014-04-30,129.3,8526564.0,60104.9085,4.8121,0.4286,9.6
2014-05-31,170.8,19418884.0,79396.1204,6.3565,0.5662,9.6
2014-06-30,183.85,12777057.0,85462.3931,6.8422,0.6094,4.7
2014-07-31,148.6,9963190.0,69076.4842,5.5303,0.4926,4.7
2014-08-31,136.4,6710807.0,63405.3327,5.0763,0.4521,4.7
2014-09-30,153.95,13091566.0,71563.4235,5.7294,0.5103,4.7
2014-10-31,166.8,4275661.0,77536.7265,6.2077,0.5529,4.7
2014-11-30,189.75,5386752.0,88204.9991,7.0618,0.629,4.7
2014-12-31,217.95,7348531.0,101313.7263,8.1113,0.7224,4.7
2015-01-31,185.75,4799130.0,86345.6052,6.9129,0.6157,1.7
2015-02-28,184.35,5122866.0,85694.7273,6.8608,0.6111,1.7
2015-03-31,173.45,4175244.0,80627.9689,7.6918,0.5543,1.7
2015-04-30,139.9,4784668.0,67192.8027,6.204,0.4471,1.7
2015-05-31,166.7,4673527.0,80064.6191,7.3925,0.5327,1.7
2015-06-30,142.15,1811334.0,68273.459,6.3038,0.4543,4.2
2015-07-31,132.4,4350161.0,63590.6153,5.8714,0.4231,4.2
2015-08-31,133.3,6077452.0,64022.8778,5.9113,0.426,4.2
2015-09-30,135.55,3343187.0,65103.534,6.0111,0.4332,4.2
2015-10-31,124.85,1882318.0,59964.4133,5.5366,0.399,4.2
2015-11-30,131.85,5496669.0,63326.4549,5.847,0.4214,4.2
2015-12-31,115.5,3037601.0,55473.6863,5.122,0.3691,4.2
2016-01-31,91.45,3588247.0,43922.672,4.0554,0.2923,4.2
2016-02-29,76.05,4693118.0,36526.1805,3.3725,0.243,4.2
2016-03-31,103.9,9257037.0,49902.3031,6.6432,0.3026,4.2
2016-04-30,97.5,5144639.0,46828.4365,6.234,0.284,4.2
2016-05-31,90.85,6266423.0,43634.497,5.8088,0.2646,4.2
2016-06-30,141.2,17724324.0,67817.1819,9.0281,0.4113,1.5
2016-07-31,157.95,11952451.0,75862.0671,10.0991,0.4601,1.5
2016-08-31,224.95,67228513.0,108041.6081,14.383,0.6552,1.5
2016-09-30,211.1,16588010.0,101389.5687,13.4974,0.6149,1.5
2016-10-31,230.3,11994570.0,110611.1685,14.7251,0.6708,1.5
2016-11-30,253.75,20991185.0,121874.0078,16.2244,0.7391,1.5
2016-12-31,220.85,10457673.0,106072.4123,14.1208,0.6433,1.5
2017-01-31,272.25,12589563.0,130759.4035,17.4073,0.793,1.5
2017-02-28,288.5,9457702.0,138564.1429,18.4463,0.8403,1.5
2017-03-31,278.25,13305699.0,133641.1534,7.4014,0.7737,1.5
2017-04-30,319.1,43288713.0,153261.0676,8.488,0.8873,1.5
2017-05-31,316.35,31934105.0,151940.2655,8.4149,0.8796,1.5
2017-06-30,282.5,24846389.0,135682.393,7.5145,0.7855,6.0
2017-07-31,313.35,37515995.0,150499.3906,8.3351,0.8713,6.0
2017-08-31,286.4,24156139.0,137555.5304,7.6182,0.7963,6.0
2017-09-30,261.25,19549936.0,125476.1953,6.9492,0.7264,6.0
2017-10-31,314.8,30019172.0,151195.8135,8.3736,0.8753,6.0
2017-11-30,392.65,64010163.0,188586.5164,10.4444,1.0918,6.0
2017-12-31,376.7,20588524.0,180925.8646,10.0202,1.0474,6.0
2018-01-31,362.6,23708703.0,174153.7523,9.6451,1.0082,6.0
2018-02-28,331.1,34796194.0,159024.5656,8.8072,0.9206,6.0
2018-03-31,299.8,45509434.0,143991.437,9.6558,0.7694,6.0
2018-04-30,321.5,25799900.0,154413.7658,10.3547,0.8251,6.0
2018-05-31,340.85,51977865.0,163707.4092,10.978,0.8747,6.0
2018-06-30,343.7,32547233.0,165076.2404,11.0698,0.882,6.0
2018-07-31,357.7,27656020.0,171800.3236,11.5207,0.918,0.0
2018-08-31,332.45,38016244.0,159672.9594,10.7074,0.8532,0.0
2018-09-30,227.4,42826672.0,109218.3214,7.324,0.5836,0.0
2018-10-31,252.7,43385550.0,121369.7002,8.1389,0.6485,0.0
2018-11-30,229.8,54558820.0,110371.0214,7.4013,0.5897,0.0
2018-12-31,243.55,32765026.0,116975.0316,7.8442,0.625,0.0
2019-01-31,225.4,49569683.0,108257.7381,7.2596,0.5784,0.0
2019-02-28,224.6,42642502.0,107873.5048,7.2338,0.5764,0.0
2019-03-31,280.1,50115461.0,134529.6914,32.1912,0.6824,0.0
2019-04-30,252.3,34566525.0,121177.5835,28.9962,0.6146,0.0
2019-05-31,276.45,45667778.0,132776.6269,31.7717,0.6735,0.0
2019-06-30,259.8,39173210.0,127700.6958,29.8582,0.6329,0.0
2019-07-31,186.6,16998995.0,91720.3612,21.4455,0.4546,0.0
2019-08-31,199.9,25253171.0,98257.7717,22.974,0.487,0.0
2019-09-30,125.3,26886297.0,61589.2886,14.4004,0.3052,0.0
2019-10-31,133.0,39238347.0,65374.1053,15.2854,0.324,0.0
2019-11-30,128.9,41993545.0,63358.8133,14.8142,0.314,0.0
2019-12-31,100.95,33362282.0,61458.4186,11.6019,0.2459,0.0
2020-01-31,103.45,44341779.0,62980.42,11.8893,0.252,0.0
2020-02-29,74.05,24766644.0,45081.6829,8.5104,0.1804,0.0
2020-03-31,43.1,35657645.0,26239.305,1.5297,0.1152,0.0
2020-04-30,51.9,48240643.0,58614.125,1.8421,0.1388,0.0
2020-05-31,43.75,28779194.0,49409.7874,1.5528,0.117,0.0
2020-06-30,62.0,167020021.0,70020.7273,2.2006,0.1658,0.0
2020-07-31,58.45,58087783.0,66011.476,2.0746,0.1563,0.0
2020-08-31,64.85,70350987.0,73239.4221,2.3017,0.1734,0.0
2020-09-30,56.3,20896834.0,63583.3379,1.9983,0.1505,0.0
2020-10-31,57.9,19765681.0,65390.3263,2.055,0.1548,0.0
2020-11-30,67.45,35869276.0,76175.7773,2.394,0.1804,0.0
2020-12-31,85.7,155407646.0,96786.7178,3.0417,0.2292,0.0
2021-01-31,88.45,112966378.0,99892.4759,3.1393,0.2365,0.0
2021-02-28,136.05,212681426.0,153650.3262,4.8288,0.3638,0.0
2021-03-31,116.1,48810911.0,131119.4625,4.0481,0.3665,0.0
2021-04-30,110.0,56536898.0,124230.3262,3.8354,0.3472,0.0
2021-05-31,139.95,134444210.0,158054.8559,4.8797,0.4417,0.0
2021-06-30,144.7,113570724.0,180215.3291,5.0453,0.4567,0.0
2021-07-31,139.0,64851802.0,173116.3147,4.8466,0.4387,2.0
2021-08-31,125.0,51308767.0,155680.1391,4.3584,0.3945,2.0
2021-09-30,140.35,65571547.0,174797.6602,4.8936,0.443,2.0
2021-10-31,172.1,205211419.0,214340.4155,6.0007,0.5432,2.0
2021-11-30,142.8,87616269.0,177848.9909,4.9791,0.4507,2.0
2021-12-31,139.6,63211368.0,173863.5794,4.8675,0.4406,2.0
2022-01-31,156.7,65141615.0,195160.6224,5.4637,0.4946,2.0
2022-02-28,143.15,110039021.0,178284.8953,4.9913,0.4518,2.0
2022-03-31,153.9,51240732.0,191673.3873,4.5278,0.4264,2.0
2022-04-30,163.5,36878995.0,203629.622,4.8102,0.453,2.0
2022-05-31,169.45,41005936.0,211039.9966,4.9853,0.4695,2.0
2022-06-30,149.85,24687621.0,186629.3508,4.4086,0.4152,6.5
2022-07-31,176.5,40733282.0,219820.361,5.1927,0.489,6.5
2022-08-31,194.25,41787690.0,241926.9413,5.7149,0.5382,6.5
2022-09-30,196.85,40232113.0,245165.0882,5.7914,0.5454,6.5
2022-10-31,253.9,48947441.0,316217.5052,7.4698,0.7035,6.5
2022-11-30,266.9,54942694.0,332408.24,7.8523,0.7395,6.5
2022-12-31,285.35,83052454.0,355386.629,8.3951,0.7906,6.5
2023-01-31,304.75,36191699.0,379548.1871,8.9659,0.8443,6.5
2023-02-28,257.1,22276745.0,320202.9168,7.564,0.7123,6.5
2023-03-31,288.55,36738189.0,359372.0407,6.4495,0.7259,6.5
2023-04-30,322.4,35309670.0,401530.2232,7.2061,0.8111,6.5
2023-05-31,269.9,45272930.0,336144.5634,6.0326,0.679,6.5
2023-06-30,292.55,26163122.0,364353.8052,6.5389,0.736,8.6
2023-07-31,346.9,43070853.0,432043.5311,7.7537,0.8727,8.6
2023-08-31,378.65,54514447.0,471586.2873,8.4633,0.9526,8.6
2023-09-30,423.55,59404120.0,527506.5944,9.4669,1.0655,8.6
2023-10-31,420.05,30691918.0,523147.5504,9.3887,1.0567,8.6
2023-11-30,396.9,34424702.0,494315.5881,8.8713,0.9985,8.6
2023-12-31,420.9,89897727.0,566937.1396,9.4077,1.0589,8.6
2024-01-31,498.85,75770783.0,671932.9819,11.15,1.255,8.6
2024-02-29,525.15,62809465.0,707358.1346,11.7378,1.3211,8.6
2024-03-31,520.7,51551157.0,701364.1449,8.3312,1.1641,8.6
2024-04-30,548.25,35789126.0,738473.0026,8.772,1.2257,8.6
2024-05-31,567.5,55171368.0,764402.0592,9.08,1.2688,8.6
2024-06-30,545.5,57185458.0,734768.8516,8.728,1.2196,12.0
2024-07-31,608.8,38054897.0,820031.6716,9.7408,1.3611,12.0
2024-08-31,567.3,28853048.0,764132.6664,9.0768,1.2683,12.0
2024-09-30,524.05,43877813.0,705876.4742,8.3848,1.1716,12.0
2024-10-31,592.55,39174777.0,798143.5069,9.4808,1.3248,12.0
2024-11-30,574.3,29551280.0,773561.4143,9.1888,1.284,12.0
2024-12-31,529.95,36633974.0,713823.5617,8.4792,1.1848,12.0
2025-01-31,555.75,45872832.0,748575.2324,8.892,1.2425,12.0
2025-02-28,510.8,25077344.0,688029.2015,8.1728,1.142,12.0
2025-03-31,541.3,24412865.0,729111.6029,6.4741,1.0196,12.0
2025-04-30,565.8,37375311.0,762112.2204,6.7671,1.0657,12.0
2025-05-31,616.6,49199465.0,830537.9907,7.3747,1.1614,12.0
2025-06-30,643.45,75774799.0,866703.9736,7.6958,1.212,16.25
2025-07-31,621.7,42496169.0,837407.507,7.4357,1.171,16.25
2025-08-31,653.1,26140031.0,879702.176,7.8113,1.2301,16.25
2025-09-30,750.7,35300122.0,1011165.861,8.9786,1.414,16.25
2025-10-31,858.7,48791658.0,1156637.971,10.2703,1.6174,16.25
2025-11-30,870.25,32105611.0,1172195.405,10.4084,1.6391,16.25
2025-12-31,837.25,52287945.0,1127745.593,10.0138,1.577,16.25
2026-01-31,911.7,43528377.0,1228027.062,10.9042,1.7172,16.25
2026-02-28,990.5,43149849.0,1334167.823,11.8467,1.8656,16.25
2026-03-31,952.2,6646878.0,1282579.119,11.3886,1.7935,16.25
