INDA IN Equity,price,volume,mc,pe,bm,div
2014-12-31,76.86,39199378.0,8192.6122,,,0.0
2015-01-31,101.73,110550443.0,10843.6038,,,0.0
2015-02-28,101.97,34347476.0,10868.5635,,,0.0
2015-03-31,100.42,29454513.0,10703.8151,,1.7347,0.0
2015-04-30,106.32,38500955.0,11384.8297,,1.8366,0.0
2015-05-31,106.04,9909773.0,11354.7376,,1.8318,0.0
2015-06-30,96.49,9429277.0,10340.698,,1.6667,0.0
2015-07-31,131.24,27984614.0,14065.3572,,2.2671,0.0
2015-08-31,158.31,63832704.0,16986.0846,,2.7347,0.0
2015-09-30,161.54,23637803.0,17332.842,,2.7906,0.0
2015-10-31,233.44,68021067.0,25057.9886,,4.0325,0.0
2015-11-30,253.44,53785474.0,27204.8106,,4.378,0.0
2015-12-31,262.57,35315234.0,28203.3719,,4.5358,0.0
2016-01-31,216.49,29513248.0,23256.846,,3.7396,0.0
2016-02-29,152.22,20823899.0,16359.4723,,2.6295,0.0
2016-03-31,211.57,29953570.0,22760.8526,,3.7232,0.0
2016-04-30,215.74,15653181.0,23209.3174,,3.7966,0.0
2016-05-31,198.17,25608858.0,21319.7182,,3.4875,0.0
2016-06-30,190.82,14300848.0,20578.2784,,3.3581,0.0
2016-07-31,205.76,20944577.0,22189.5869,,3.621,0.0
2016-08-31,176.16,19205272.0,18997.2766,,3.1001,0.0
2016-09-30,162.57,15495818.0,17539.0275,,2.8611,0.0
2016-10-31,176.91,10144603.0,19085.2511,,3.1133,0.0
2016-11-30,134.24,16244233.0,14481.9512,,2.3624,0.0
2016-12-31,130.87,26606607.0,14124.8251,,2.303,0.0
2017-01-31,132.74,12558045.0,14327.0417,,2.336,0.0
2017-02-28,104.35,29084725.0,11265.0879,,1.8365,0.0
2017-03-31,107.73,19944661.0,11699.3952,,1.9553,0.0
2017-04-30,121.68,14694513.0,13215.2299,,2.2086,0.0
2017-05-31,117.52,19477738.0,12770.4496,,2.133,0.0
2017-06-30,115.46,6989908.0,12546.4959,,2.0956,0.0
2017-07-31,110.15,12668693.0,11212.9535,,1.9993,0.0
2017-08-31,107.4,9540984.0,10933.0114,,1.9494,0.0
2017-09-30,119.15,17964183.0,14885.7477,,2.1626,0.0
2017-10-31,140.55,17356241.0,17559.3104,,2.551,0.0
2017-11-30,139.85,16794949.0,17491.5288,,2.5383,0.0
2017-12-31,164.75,15835956.0,20613.29,,2.9903,0.0
2018-01-31,177.9,21340499.0,22258.5997,,3.229,0.0
2018-02-28,193.95,19775408.0,24290.4384,,3.5203,0.0
