IPCA IN Equity,price,volume,mc,pe,bm,div
1995-01-31,19.25,,,,,0.0
1995-02-28,17.5,,,,,0.0
1995-03-31,17.25,,,,,0.0
1995-04-30,13.5,,,,,0.0
1995-05-31,14.15,,,,,0.0
1995-06-30,12.25,,3062.5,,,0.0
1995-07-31,14.55,,3637.5,,,0.0
1995-08-31,12.4,,3100.0,,,0.135
1995-09-30,13.4,,3350.0,,,0.27
1995-10-31,13.1,,3275.0,,,0.27
1995-11-30,10.0,,2500.0,,,0.27
1995-12-31,9.3,,2325.0,,,0.27
1996-01-31,7.9,,1975.0,,,0.27
1996-02-29,8.5,,2125.0,,,0.27
1996-03-31,7.63,,1906.25,,,0.27
1996-04-30,8.75,,2187.5,,,0.27
1996-05-31,8.13,62000.0,2031.25,,,0.27
1996-06-30,6.61,378000.0,1653.125,,,0.27
1996-07-31,5.69,616000.0,1421.875,,,0.135
1996-08-31,6.13,280000.0,1531.25,,,0.135
1996-09-30,4.7,302000.0,1175.0,,,0.135
1996-10-31,4.5,336000.0,1125.0,,,0.135
1996-11-30,4.03,238000.0,1006.25,,,0.135
1996-12-31,4.54,126000.0,1135.0,,,0.135
1997-01-31,5.03,598000.0,1256.25,,,0.135
1997-02-28,5.59,512000.0,1396.875,,,0.135
1997-03-31,5.06,378000.0,1265.625,,,0.135
1997-04-30,5.33,458000.0,1331.25,,,0.135
1997-05-31,4.83,416000.0,1206.25,,,0.135
1997-06-30,4.89,492000.0,1221.875,,,0.135
1997-07-31,7.78,892000.0,1943.75,,,0.2
1997-08-31,6.15,2480000.0,1537.5,,,0.2
1997-09-30,6.13,314000.0,1531.25,,,0.2
1997-10-31,6.38,2254000.0,1593.75,,,0.2
1997-11-30,5.65,930000.0,1412.5,,,0.25
1997-12-31,5.49,252000.0,1371.875,,,0.25
1998-01-31,4.86,266000.0,1215.625,,,0.25
1998-02-28,5.67,190000.0,1417.5,,,0.25
1998-03-31,5.66,688000.0,1415.0,,,0.25
1998-04-30,8.07,14270000.0,2016.25,,,0.25
1998-05-31,8.14,42340000.0,2033.75,,,0.25
1998-06-30,6.38,7366000.0,1595.0,,,0.25
1998-07-31,7.03,5998000.0,1756.25,,,0.125
1998-08-31,6.22,2606000.0,1553.75,,,0.125
