IPRU IN Equity,price,volume,mc,pe,bm,div
2016-09-30,310.25,116130659.0,445309.2631,,7.6423,0.0
2016-10-31,312.9,49617532.0,449112.8717,,7.7076,0.0
2016-11-30,309.75,26697226.0,444591.6011,,7.63,1.75
2016-12-31,302.25,24141647.0,433826.6713,,7.3006,1.75
2017-01-31,345.4,45177155.0,495760.9008,,8.3429,1.75
2017-02-28,361.35,17238399.0,518654.3182,,8.7282,1.75
2017-03-31,382.4,40615617.0,548874.423,32.5885,8.5681,1.75
2017-04-30,406.0,15981669.0,582750.9006,34.5998,9.0969,1.75
2017-05-31,406.85,13595977.0,583972.8825,34.6722,9.116,1.75
2017-06-30,471.6,18941749.0,676916.9205,40.1903,10.5668,1.75
2017-07-31,458.95,30166794.0,658800.0352,39.1122,10.2833,6.45
2017-08-31,426.9,18087553.0,612777.3253,36.3809,9.5652,6.45
2017-09-30,388.8,29493080.0,558094.398,33.134,8.7115,6.45
2017-10-31,405.6,27804513.0,582209.5881,34.5657,9.0879,6.45
2017-11-30,375.95,31407897.0,539663.8156,32.0389,8.4236,6.9
2017-12-31,383.6,19478481.0,550645.5129,32.6908,8.595,6.9
2018-01-31,406.7,47776545.0,583804.823,34.6594,9.1126,6.9
2018-02-28,412.8,23203958.0,592562.2059,35.1793,9.2493,6.9
2018-03-31,388.6,20554276.0,557833.2443,33.2447,8.106,6.9
2018-04-30,426.3,55285863.0,611970.8448,,8.8924,6.9
2018-05-31,422.5,38096553.0,606519.0025,,8.8131,6.9
2018-06-30,377.3,34535273.0,541634.9147,,8.1891,7.9
2018-07-31,418.55,47722166.0,600855.9404,,9.0844,6.7
2018-08-31,375.35,21229804.0,538839.5108,,8.1468,6.7
2018-09-30,333.75,31399457.0,479119.986,,7.0221,6.7
2018-10-31,332.75,29160957.0,477684.7466,,7.0011,6.7
2018-11-30,325.25,28092762.0,466988.9024,,6.8433,4.9
2018-12-31,324.5,22070113.0,465912.0641,38.265,6.8402,4.9
2019-01-31,285.85,59488991.0,410418.9939,33.7074,6.0255,4.9
2019-02-28,319.6,30184286.0,458876.7201,37.6872,6.737,4.9
2019-03-31,350.25,95658910.0,502883.5145,44.179,7.1409,4.9
2019-04-30,369.3,42189167.0,530235.2088,46.5819,7.5292,4.9
2019-05-31,387.75,42516410.0,556725.4325,48.9091,7.9054,4.9
2019-06-30,388.65,33664209.0,558039.0143,48.8993,7.6476,3.8
2019-07-31,401.75,52946434.0,576848.5115,50.5475,7.9054,3.15
2019-08-31,424.6,54812308.0,609657.4436,53.4225,8.355,3.15
2019-09-30,463.5,60527568.0,665511.5994,58.2435,9.1502,3.15
2019-10-31,510.45,47038974.0,732924.2631,64.1433,10.077,2.35
2019-11-30,502.45,88797786.0,721437.5472,63.138,9.9191,2.35
2019-12-31,482.45,38995700.0,692726.9378,60.3216,9.2208,2.35
2020-01-31,510.95,46391384.0,733648.7281,63.885,9.7655,2.35
2020-02-29,471.4,58560266.0,676860.77,58.94,9.0096,2.35
2020-03-31,355.7,73559339.0,510736.3236,47.938,7.0813,2.35
2020-04-30,411.95,85215168.0,591503.5944,55.5189,8.2011,2.35
2020-05-31,393.1,61307553.0,564441.6728,52.9784,7.8259,2.35
