IRB IN Equity,price,volume,mc,pe,bm,div
2008-02-29,19.36,968236270.0,64329.0726,172.712,1.2676,0.0
2008-03-31,16.93,313191230.0,56285.8612,40.5298,3.4729,0.0
2008-04-30,21.33,222084520.0,70876.6454,51.0362,4.3732,0.0
2008-05-31,19.02,113214690.0,63232.271,45.5317,3.9015,0.0
2008-06-30,15.66,40314960.0,52048.2189,37.4784,3.2115,0.0
2008-07-31,13.77,38622260.0,45766.5373,32.9551,2.8239,0.0
2008-08-31,15.65,32517730.0,51998.3643,37.4425,3.2084,0.0
2008-09-30,11.99,36676600.0,39850.4562,28.6951,2.4588,0.0
2008-10-31,9.5,47469100.0,31591.2082,22.7479,1.9492,0.0
2008-11-30,6.82,35889910.0,22667.232,16.322,1.3986,0.0
2008-12-31,12.94,34385630.0,43007.9152,30.9687,2.6537,0.0
2009-01-31,11.26,10244520.0,37407.5697,26.9361,2.3081,0.0
2009-02-28,9.99,131072470.0,33203.165,23.9086,2.0487,0.1
2009-03-31,8.11,47572350.0,26938.1033,15.3214,1.5571,0.1
2009-04-30,9.51,723199520.0,31607.8177,17.9773,1.827,0.1
2009-05-31,14.14,793357750.0,46996.2715,26.7297,2.7164,0.1
2009-06-30,15.47,757646280.0,51400.0947,29.2344,2.971,0.1
2009-07-31,18.18,715212110.0,60440.3959,34.3762,3.4935,0.1
2009-08-31,21.91,475194980.0,72804.3372,41.4083,4.2082,0.15
2009-09-30,21.17,363402100.0,70344.8435,40.0095,4.066,0.15
2009-10-31,23.22,515582930.0,77158.3058,43.8847,4.4598,0.15
2009-11-30,24.84,326438530.0,82542.6028,46.9471,4.7711,0.15
2009-12-31,24.57,160102140.0,81661.8382,46.4461,4.7201,0.15
2010-01-31,24.81,324096320.0,82442.8936,46.8904,4.7653,0.15
2010-02-28,25.25,146029160.0,83921.9135,47.7316,4.8508,0.15
2010-03-31,25.54,130795020.0,84869.1509,22.0129,4.1605,0.15
2010-04-30,28.95,212949930.0,96202.7638,24.9526,4.7161,0.05
2010-05-31,26.32,135876790.0,87478.2084,22.6897,4.2884,0.05
2010-06-30,26.74,166154580.0,88874.1373,23.0517,4.3568,0.05
2010-07-31,29.18,539944530.0,96967.201,25.1509,4.7535,0.05
2010-08-31,27.79,597628260.0,92363.9594,23.9569,4.5279,0.05
2010-09-30,26.04,314496770.0,86530.971,22.444,4.2419,0.15
2010-10-31,25.99,351859450.0,86364.789,22.4009,4.2338,0.15
2010-11-30,24.09,284837430.0,80066.4909,20.7672,3.925,0.15
2010-12-31,22.51,404660030.0,74815.1395,19.4052,3.6676,0.15
2011-01-31,20.1,135055210.0,66788.5485,17.3233,3.2741,0.15
2011-02-28,18.44,568696800.0,61287.9241,15.8966,3.0045,0.15
2011-03-31,21.21,213025740.0,70477.7891,15.5805,2.8972,0.15
2011-04-30,17.58,320944790.0,58412.9754,12.9133,2.4013,0.15
2011-05-31,16.05,448610380.0,53344.4242,11.7928,2.1929,0.15
2011-06-30,17.22,305411470.0,57216.465,12.6488,2.3521,0.15
2011-07-31,17.39,509588640.0,57798.102,12.7774,2.376,0.15
2011-08-31,14.68,317310240.0,48774.419,10.7825,2.005,0.3
2011-09-30,16.29,327874680.0,54158.716,11.9728,2.2264,0.15
2011-10-31,16.43,626742980.0,54624.0256,12.0757,2.2455,0.15
2011-11-30,14.73,222585010.0,48957.2192,10.8229,2.0126,0.15
2011-12-31,13.02,202192630.0,43273.7946,9.5665,1.7789,0.15
2012-01-31,17.48,437455270.0,58080.6114,12.8398,2.3876,0.18
2012-02-29,18.43,616252950.0,61254.6877,13.5415,2.5181,0.18
2012-03-31,18.68,606281940.0,62102.2331,12.5235,2.174,0.18
2012-04-30,17.21,391173240.0,57199.8625,11.5349,2.0024,0.18
2012-05-31,11.27,2827199200.0,37440.8165,7.5503,1.3107,0.18
2012-06-30,12.72,890219050.0,42276.7142,8.5255,1.48,0.18
2012-07-31,12.68,643802840.0,42143.7685,8.4987,1.4753,0.18
2012-08-31,12.53,638832790.0,41628.6042,8.3948,1.4573,0.4
2012-09-30,15.21,980282100.0,50535.9622,10.191,1.7691,0.4
2012-10-31,12.21,1128090920.0,40565.039,8.1803,1.42,0.4
2012-11-30,13.54,620127180.0,44985.4816,9.0717,1.5748,0.4
2012-12-31,12.78,698329930.0,42459.5144,8.5623,1.4863,0.4
2013-01-31,12.14,632748030.0,40349.0024,8.1367,1.4125,0.4
2013-02-28,11.32,620954530.0,37623.6167,7.5871,1.3171,0.4
2013-03-31,11.35,459696960.0,37706.7077,6.7731,1.1582,0.4
2013-04-30,11.62,307785580.0,38604.0908,6.9343,1.1858,0.4
2013-05-31,11.93,422771150.0,39651.0378,7.1224,1.2179,0.4
2013-06-30,9.61,554498760.0,31940.1905,5.7373,0.9811,0.4
2013-07-31,7.27,576710170.0,24162.8704,4.3403,0.7422,0.4
