IREDA IN Equity,price,volume,mc,pe,bm,div
2023-11-30,65.3,1035881066.0,175511.0353,20.299,2.5136,0.0
2023-12-31,102.8,2520928050.0,276302.2118,31.9562,3.957,0.0
2024-01-31,181.8,1495513106.0,488635.6236,56.514,6.998,0.0
2024-02-29,150.05,944325020.0,403299.0941,46.6442,5.7758,0.0
2024-03-31,135.9,528282606.0,365267.2235,26.3372,4.2674,0.0
2024-04-30,178.25,939137345.0,479094.0588,34.5446,5.5973,0.0
2024-05-31,184.8,665614808.0,496698.9177,35.814,5.8029,0.0
2024-06-30,190.44,766020858.0,511857.9106,36.907,5.98,0.0
2024-07-31,262.63,1926423012.0,705887.6447,50.8973,8.2469,0.0
2024-08-31,241.5,480803681.0,649095.1765,46.8023,7.5834,0.0
2024-09-30,234.88,309055832.0,631302.1741,45.5194,7.3755,0.0
2024-10-31,210.04,219223561.0,564538.0988,40.7054,6.5955,0.0
2024-11-30,205.16,133476614.0,551421.8071,39.7597,6.4423,0.0
2024-12-31,215.25,208777882.0,578541.353,41.7151,6.7591,0.0
2025-01-31,202.11,449815152.0,543224.1247,39.1686,6.3465,0.0
2025-02-28,156.02,241050914.0,419345.0494,30.2364,4.8992,0.0
2025-03-31,160.59,469488657.0,431628.1341,25.4098,4.2042,0.0
2025-04-30,167.06,416247156.0,449017.9718,26.4335,4.3736,0.0
2025-05-31,174.73,249439498.0,469633.1271,27.6472,4.5744,0.0
2025-06-30,170.13,407131787.0,477934.5156,26.9193,4.454,0.0
2025-07-31,147.38,221061084.0,414024.5043,23.3196,3.8584,0.0
2025-08-31,140.5,102252924.0,394696.9932,22.231,3.6783,0.0
2025-09-30,148.7,184642979.0,417732.6896,23.5285,3.8929,0.0
2025-10-31,151.93,227925176.0,426806.5065,24.0396,3.9775,0.0
2025-11-30,142.9,91469902.0,401439.1482,22.6108,3.7411,0.0
2025-12-31,139.9,161551447.0,393011.4544,22.1361,3.6626,0.0
2026-01-31,132.08,283415866.0,371043.2659,20.8987,3.4578,0.0
2026-02-28,122.25,174524793.0,343428.5225,19.3434,3.2005,0.0
2026-03-31,115.92,36998635.0,325646.0834,18.3418,3.0348,0.0
