JBCP IN Equity,price,volume,mc,pe,bm,div
1995-01-31,16.5,,,,,0.0
1995-02-28,15.0,,,,,0.0
1995-03-31,14.0,,,,,0.0
1995-04-30,13.25,,,,,0.0
1995-05-31,10.5,,,,,0.0
1995-06-30,9.25,,,,,0.0
1995-07-31,9.5,,,,,0.0
1995-08-31,9.25,,,,,0.0
1995-09-30,9.1,,,,,0.0
1995-10-31,9.65,,,,,0.0
1995-11-30,8.25,,,,,0.0
1995-12-31,8.5,,,,,0.0
1996-01-31,7.38,,,,,0.15
1996-02-29,7.5,,,,,0.15
1996-03-31,6.8,,,,,0.15
1996-04-30,7.0,,,,,0.15
1996-05-31,5.0,606000.0,,,,0.15
1996-06-30,6.05,330000.0,732.413,,,0.175
1996-07-31,4.85,126000.0,587.141,,,0.175
1996-08-31,4.38,666700.0,529.6375,,,0.175
1996-09-30,2.87,547000.0,347.4422,,,0.175
1996-10-31,3.55,559040.0,429.763,,,0.175
1996-11-30,3.6,139100.0,435.816,,,0.19
1996-12-31,4.35,181300.0,526.611,,,0.19
1997-01-31,4.45,502900.0,538.717,,,0.19
1997-02-28,4.45,108120.0,538.717,,,0.19
1997-03-31,4.6,209760.0,556.876,,,0.19
1997-04-30,4.4,208620.0,532.664,,,0.19
1997-05-31,4.65,251900.0,562.929,,,0.19
1997-06-30,6.71,696700.0,975.0578,,,0.2
1997-07-31,7.65,349620.0,1111.239,,,0.2
1997-08-31,6.5,443620.0,944.19,,,0.2
1997-09-30,6.75,143760.0,980.505,,,0.2
1997-10-31,6.76,201580.0,982.3208,,,0.2
1997-11-30,7.15,290100.0,1038.609,,,0.2
1997-12-31,6.95,178780.0,1009.557,,,0.235
1998-01-31,6.65,249040.0,965.979,,,0.235
1998-02-28,7.15,133300.0,1037.8827,,,0.235
1998-03-31,7.25,166480.0,1053.135,,,0.235
1998-04-30,8.0,555540.0,1162.08,,,0.235
1998-05-31,12.42,4188000.0,1804.1292,,,0.235
1998-06-30,10.75,2489280.0,1560.685,,,0.235
1998-07-31,11.95,859940.0,1734.901,,,0.125
1998-08-31,10.03,449640.0,1455.4295,,,0.125
1998-09-30,9.3,1545500.0,1349.4481,,,0.125
1998-10-31,8.31,1293650.0,1206.4458,,,0.125
1998-11-30,6.68,767680.0,969.0765,,,0.125
1998-12-31,10.64,1212560.0,1543.9893,,,0.125
1999-01-31,8.92,3795570.0,1295.0056,,,0.375
1999-02-28,9.17,2396060.0,1330.5747,,,0.375
1999-03-31,9.11,4783270.0,1322.5898,,,0.375
1999-04-30,7.86,719410.0,1141.1148,,,0.375
1999-05-31,7.66,1511550.0,1112.6916,,,0.375
1999-06-30,8.62,1469030.0,1252.1412,,,0.375
1999-07-31,8.99,5078860.0,1305.8874,,,0.5
1999-08-31,17.13,6972610.0,2488.3038,,,0.5
1999-09-30,18.72,5366060.0,2719.2672,,,0.5
1999-10-31,16.61,4281840.0,2412.7686,,,0.5
1999-11-30,21.5,2591680.0,3123.09,,,0.5
1999-12-31,20.5,2014390.0,2977.83,,,0.5
2000-01-31,20.46,1759920.0,2971.2933,,,0.5
2000-02-29,14.78,1906790.0,2146.9428,,,0.5
2000-03-31,12.51,1042900.0,1817.2026,,,0.75
2000-04-30,11.47,440400.0,1666.1322,,,0.75
2000-05-31,11.22,244200.0,1629.0909,,,0.75
2000-06-30,11.7,550530.0,1699.542,,,0.75
2000-07-31,11.91,1311900.0,1730.0466,,,0.5
2000-08-31,10.47,626710.0,1520.1459,,,0.5
2000-09-30,10.11,621310.0,1467.8523,,,0.5
2000-10-31,10.42,305530.0,1512.8829,,,0.5
2000-11-30,13.0,544110.0,1888.38,,,0.25
2000-12-31,12.5,670230.0,1815.75,,,0.25
2001-01-31,11.7,336830.0,1878.903,,,0.25
2001-02-28,10.9,535990.0,1750.431,,,0.25
2001-03-31,8.23,442690.0,1320.8528,,,0.25
2001-04-30,8.46,222740.0,1357.7885,,,0.25
2001-05-31,8.58,220870.0,1377.8622,,,0.0
2001-06-30,10.59,1913990.0,1699.8452,,,0.0
2001-07-31,9.6,523830.0,1541.664,,,0.5
2001-08-31,10.26,432320.0,1646.8505,,,0.5
2001-09-30,9.97,1963970.0,1600.2794,,,0.5
2001-10-31,11.73,1954240.0,1883.7207,,,0.5
2001-11-30,12.87,2159370.0,2066.7933,,,0.5
2001-12-31,12.23,950150.0,1964.0157,,,0.5
2002-01-31,12.0,1195250.0,1926.2771,,,0.5
2002-02-28,14.59,4238150.0,2342.2052,,,0.5
2002-03-31,15.4,2186980.0,2473.086,5.8378,1.3042,0.5
2002-04-30,20.81,10325230.0,3341.8779,7.8886,1.7624,0.5
2002-05-31,17.48,7817430.0,2807.1132,6.6262,1.4804,0.5
2002-06-30,19.1,7208360.0,3066.4661,7.2384,1.6171,0.75
2002-07-31,18.48,5754580.0,2966.9003,7.0034,1.5646,0.75
2002-08-31,18.48,956120.0,2967.7032,7.0053,1.5651,0.75
2002-09-30,16.11,379790.0,2587.1049,6.1069,1.3644,0.75
2002-10-31,17.92,584990.0,2876.9699,6.7911,1.5172,0.75
2002-11-30,18.11,544200.0,2908.2849,6.865,1.5337,0.5
2002-12-31,18.14,1921020.0,2913.1026,6.8764,1.5363,0.5
2003-01-31,17.84,4423820.0,2864.1227,6.7608,1.5104,0.5
2003-02-28,16.46,862660.0,2643.3114,6.2396,1.394,0.5
2003-03-31,14.98,870960.0,2405.6382,5.0151,1.0682,0.5
2003-04-30,15.3,683170.0,2457.027,5.1222,1.091,0.5
2003-05-31,20.17,5673040.0,3239.1003,6.7526,1.4383,0.5
2003-06-30,21.85,5462300.0,3508.0886,7.3134,1.5577,1.3
2003-07-31,21.06,8341300.0,3382.0254,7.0506,1.5018,1.3
2003-08-31,26.22,14650290.0,4210.6698,8.778,1.8697,0.8
2003-09-30,28.12,16875270.0,4515.7908,9.4141,2.0052,0.8
2003-10-31,27.97,5832460.0,4491.7023,9.3639,1.9945,0.8
2003-11-30,31.16,9907210.0,5003.1815,10.4302,2.2216,1.25
2003-12-31,36.13,8043130.0,5802.1167,12.0957,2.5764,1.25
2004-01-31,31.28,5641020.0,5022.4523,10.4704,2.2302,1.25
2004-02-29,31.19,2990180.0,5007.9992,10.4402,2.2238,1.25
2004-03-31,31.14,5478920.0,4999.9697,9.8435,2.0178,1.25
2004-04-30,32.46,2149890.0,5213.5544,10.264,2.104,1.25
2004-05-31,28.51,3179530.0,4579.2239,9.0152,1.848,1.25
2004-06-30,26.36,808680.0,4232.3495,8.3323,1.708,1.1
2004-07-31,27.45,694020.0,4408.1955,8.6785,1.779,1.1
2004-08-31,29.44,1382920.0,4727.7696,9.3076,1.9079,1.1
2004-09-30,33.21,3454540.0,5333.1939,10.4995,2.1523,1.1
2004-10-31,35.23,2290610.0,5657.5857,11.1382,2.2832,1.1
2004-11-30,37.61,3531050.0,6038.987,11.889,2.4371,1.15
2004-12-31,48.79,9555590.0,7834.3832,15.4236,3.1616,1.15
2005-01-31,46.41,6706270.0,7452.179,14.6712,3.0074,1.15
2005-02-28,42.72,3983020.0,6859.6019,13.5046,2.7683,1.15
2005-03-31,41.32,3655540.0,6634.7759,11.3717,2.3348,1.15
2005-04-30,36.03,5004228.0,5785.2546,9.9156,2.0359,1.15
2005-05-31,43.8,12483396.0,7033.8418,12.0556,2.4753,1.15
2005-06-30,45.4,7426342.0,7290.7858,12.496,2.5657,1.2
2005-07-31,46.03,9794458.0,7391.1546,12.6681,2.601,1.2
2005-08-31,47.6,6381796.0,7647.045,13.1016,2.69,1.2
2005-09-30,45.13,6735376.0,7249.4308,12.4203,2.5501,1.2
2005-10-31,41.85,3652512.0,6723.2948,11.5189,2.3651,1.2
2005-11-30,44.93,2872836.0,7217.3004,12.3653,2.5388,1.25
2005-12-31,45.6,4014620.0,7327.1816,12.5511,2.577,1.25
2006-01-31,59.3,24796444.0,9528.5498,16.3219,3.3512,1.25
2006-02-28,61.4,10036996.0,9865.9858,16.8999,3.4699,1.25
2006-03-31,57.4,4454828.0,9223.2505,13.135,2.7926,1.25
2006-04-30,56.38,4681920.0,8852.5575,12.9005,2.7428,1.25
2006-05-31,49.2,7765752.0,7908.2311,11.2586,2.3937,1.25
2006-06-30,46.63,2749442.0,7494.3349,10.6693,2.2684,1.3
2006-07-31,43.3,1269582.0,6959.8863,9.9085,2.1067,1.3
2006-08-31,46.1,2528464.0,7409.9482,10.5492,2.2429,1.3
2006-09-30,46.9,4754568.0,7907.2838,10.7323,2.2818,1.3
2006-10-31,45.6,2601936.0,7688.1053,10.4348,2.2186,1.3
2006-11-30,45.05,4421096.0,7595.376,10.3089,2.1918,1.3
2006-12-31,44.78,9405208.0,7549.0113,10.246,2.1784,1.3
2007-01-31,49.43,14608552.0,8332.9957,11.3101,2.4046,1.3
2007-02-28,44.78,4197114.0,7551.4203,10.246,2.1784,1.3
2007-03-31,39.3,2480062.0,6628.0473,10.6408,1.5839,1.3
2007-04-30,40.28,970640.0,6792.4836,10.9048,1.6232,1.3
2007-05-31,38.5,4663498.0,6493.1252,10.4242,1.5517,1.3
2007-06-30,36.75,1502366.0,6197.9832,9.9504,1.4811,1.3
2007-07-31,32.5,4172266.0,5481.2096,8.7996,1.3098,1.3
2007-08-31,34.42,3021394.0,5805.8659,9.3209,1.3874,1.3
2007-09-30,34.25,2540736.0,5776.3308,9.2735,1.3804,1.3
2007-10-31,34.03,2523496.0,5738.3841,9.2126,1.3713,1.3
2007-11-30,32.45,4525280.0,5472.7572,8.7861,1.3078,1.3
2007-12-31,40.83,30103442.0,6885.2176,11.0537,1.6454,1.3
2008-01-31,29.18,52161324.0,4920.4219,7.8994,1.1758,0.75
2008-02-29,29.7,4979704.0,5008.9642,8.0415,1.197,0.75
2008-03-31,24.9,12986446.0,4199.4346,9.2737,0.927,0.75
2008-04-30,24.98,10858652.0,4212.0835,9.3017,0.9298,0.75
2008-05-31,21.7,5583814.0,3659.7482,8.0819,0.8079,0.75
2008-06-30,19.93,4628642.0,3360.391,7.4209,0.7418,0.75
2008-07-31,21.13,6577854.0,3562.7733,7.8678,0.7864,0.25
2008-08-31,21.98,6815572.0,3706.1275,8.1844,0.8181,0.25
2008-09-30,16.93,2270094.0,2854.435,6.3035,0.6301,0.25
2008-10-31,17.7,4467774.0,2985.1403,6.5922,0.6589,0.25
2008-11-30,16.23,1849372.0,2736.3786,6.0428,0.604,0.25
2008-12-31,20.18,3393436.0,3402.554,7.514,0.7511,0.25
2009-01-31,18.2,3957116.0,3069.4663,6.7784,0.6776,0.25
2009-02-28,16.45,4176686.0,2774.3253,6.1266,0.6124,0.25
2009-03-31,18.2,2266944.0,3069.4663,11.9344,0.6546,0.25
2009-04-30,19.02,3746770.0,3208.6042,12.4754,0.6843,0.25
2009-05-31,22.9,8608468.0,3862.1306,15.0164,0.8237,0.25
2009-06-30,22.3,8541378.0,3760.9394,14.623,0.8021,0.25
2009-07-31,21.75,3364496.0,3668.1808,14.2623,0.7823,0.5
2009-08-31,25.6,11851600.0,4317.491,16.7869,0.9208,0.5
2009-09-30,27.03,11408316.0,4557.8201,17.7213,0.972,0.5
2009-10-31,23.85,6268652.0,4022.35,15.6393,0.8578,0.5
2009-11-30,24.75,3251288.0,4174.1368,16.2295,0.8902,0.5
2009-12-31,30.25,19486312.0,5101.7228,19.8361,1.088,0.5
2010-01-31,30.53,14188110.0,5148.1021,20.0164,1.0979,0.5
2010-02-28,31.5,8806136.0,5312.5378,20.6557,1.133,0.5
2010-03-31,35.48,14715898.0,5982.9294,5.0391,1.0531,0.5
2010-04-30,45.3,22902574.0,7639.9353,6.4347,1.3448,0.5
2010-05-31,39.6,28136222.0,6682.0329,5.625,1.1756,0.5
2010-06-30,46.68,16273986.0,7875.8557,6.63,1.3856,0.5
2010-07-31,49.15,23416834.0,8293.4828,6.9815,1.4591,1.0
2010-08-31,51.78,26206456.0,8739.2267,7.3544,1.537,1.0
2010-09-30,51.53,8925090.0,8697.0286,7.3189,1.5296,1.0
2010-10-31,60.93,28813164.0,10288.7949,8.6541,1.8086,1.0
2010-11-30,60.68,20307294.0,10246.5758,8.6186,1.8012,1.0
2010-12-31,70.53,13782326.0,11918.1611,10.0178,2.0936,1.0
2011-01-31,58.6,9312406.0,9902.9315,8.3239,1.7396,1.0
2011-02-28,55.45,4955980.0,9372.9131,7.8764,1.6461,1.0
2011-03-31,66.15,14346034.0,11181.5726,8.0182,1.6169,1.0
2011-04-30,79.63,35537510.0,13459.3004,9.6515,1.9463,1.0
2011-05-31,62.05,47429562.0,10488.5349,7.5212,1.5167,1.0
2011-06-30,66.78,21536610.0,11296.8748,8.0939,1.6322,1.0
2011-07-31,70.8,23673248.0,11977.8171,8.5818,1.7306,1.0
2011-08-31,47.13,49308186.0,7979.3844,5.7121,1.1519,21.0
2011-09-30,34.78,16402348.0,5891.2191,4.2152,0.85,21.0
2011-10-31,37.3,6482920.0,6318.9783,4.5212,0.9117,21.0
2011-11-30,35.05,3074836.0,5937.8067,4.2485,0.8567,21.0
2011-12-31,31.83,2701924.0,5391.6195,3.8576,0.7779,21.0
2012-01-31,34.05,5028978.0,5768.567,4.1273,0.8323,21.0
2012-02-29,34.4,7353584.0,5827.8621,4.1697,0.8408,21.0
2012-03-31,30.5,1909420.0,5167.1452,0.7615,0.5327,21.0
2012-04-30,34.0,3698326.0,5760.0963,0.8488,0.5939,21.0
2012-05-31,30.98,1487776.0,5247.6171,0.7733,0.541,21.0
2012-06-30,31.75,1408470.0,5378.9134,0.7927,0.5546,21.0
2012-07-31,34.4,5242692.0,5827.8621,0.8588,0.6008,20.5
2012-08-31,33.17,5041254.0,5620.3292,0.8282,0.5794,0.5
2012-09-30,37.0,9341230.0,6268.3401,0.9237,0.6463,0.5
2012-10-31,34.38,5307890.0,5823.6268,0.8582,0.6004,0.5
2012-11-30,42.33,13939456.0,7170.4728,1.0567,0.7393,0.5
2012-12-31,46.85,9359782.0,7937.0738,1.1696,0.8183,0.5
2013-01-31,42.13,4423564.0,7136.5899,1.0517,0.7358,0.5
2013-02-28,40.83,3414734.0,6916.3509,1.0192,0.7131,0.5
2013-03-31,37.08,1843192.0,6281.0462,7.9051,0.6156,0.5
2013-04-30,38.83,2353084.0,6577.5217,8.2783,0.6447,0.5
2013-05-31,41.38,4986028.0,7009.5289,8.822,0.687,0.5
2013-06-30,38.15,2561584.0,6463.5103,8.1343,0.6335,0.5
