JIOFIN IN Equity,price,volume,mc,pe,bm,div
2023-08-31,233.5,839690193.0,1483491.858,3.8621,1.3003,0.0
2023-09-30,231.2,873699190.0,1468879.304,3.824,1.2875,0.0
2023-10-31,219.0,395917406.0,1391369.237,3.6222,1.2196,0.0
2023-11-30,229.4,411079886.0,1457443.393,3.7942,1.2775,0.0
2023-12-31,232.95,456059308.0,1479997.552,3.853,1.2973,0.0
2024-01-31,248.25,621187960.0,1577202.8,4.106,1.3825,0.0
2024-02-29,310.0,1463097780.0,1969518.098,5.1274,1.7264,0.0
2024-03-31,353.75,1012920754.0,2247474.282,139.8221,1.6152,0.0
2024-04-30,377.0,705021013.0,2395188.139,149.0119,1.7213,0.0
2024-05-31,344.35,447360345.0,2187753.41,136.1067,1.5723,0.0
2024-06-30,358.15,484662087.0,2275428.732,141.5613,1.6353,0.0
2024-07-31,328.5,329866101.0,2087053.856,129.8419,1.4999,0.0
2024-08-31,321.7,369387885.0,2043851.523,127.1542,1.4688,0.0
2024-09-30,350.6,621681067.0,2227461.436,138.5771,1.6008,0.0
2024-10-31,322.3,323921977.0,2047617.545,127.3913,1.4716,0.0
2024-11-30,328.35,253862745.0,2086054.052,129.7826,1.4992,0.0
2024-12-31,298.7,303001256.0,1897683.403,118.0632,1.3638,0.0
2025-01-31,241.65,505907964.0,1535236.673,95.5138,1.1033,0.0
2025-02-28,207.61,432763691.0,1318975.732,82.0593,0.9479,0.0
2025-03-31,227.51,750971044.0,1445403.251,89.5709,1.1704,0.0
2025-04-30,260.42,494147571.0,1654485.142,102.5276,1.3397,0.0
2025-05-31,286.65,392555456.0,1821128.046,112.8543,1.4746,0.0
2025-06-30,326.75,436449212.0,2075889.025,128.6417,1.6809,0.0
2025-07-31,329.25,426393533.0,2091771.879,129.626,1.6938,0.0
2025-08-31,311.7,255318544.0,1980274.244,122.7165,1.6035,0.5
2025-09-30,293.2,246150214.0,1862741.124,115.4331,1.5083,0.5
2025-10-31,306.8,218663587.0,1949143.85,120.7874,1.5783,0.5
2025-11-30,306.2,187270572.0,1945331.965,120.5512,1.5752,0.5
2025-12-31,294.95,170429813.0,1873859.122,116.122,1.5173,0.5
2026-01-31,254.5,284491576.0,1616874.543,100.1969,1.3092,0.5
2026-02-28,255.4,280127007.0,1622592.371,100.5512,1.3139,0.5
2026-03-31,243.0,48283859.0,1543813.414,95.6693,1.2501,0.5
