JPVL IN Equity,price,volume,mc,pe,bm,div
2005-04-30,28.95,213114411.0,14214.4677,,,0.0
2005-05-31,27.35,62797490.0,13428.8667,,,0.0
2005-06-30,27.5,69422628.0,13502.5168,,,0.0
2005-07-31,29.7,79021149.0,14582.7181,,,0.0
2005-08-31,32.75,86554282.0,16080.27,,,0.75
2005-09-30,32.2,75776076.0,15810.2197,,,0.75
2005-10-31,29.75,137539626.0,14607.2682,,,0.75
2005-11-30,33.65,54889941.0,16522.1705,,,0.75
2005-12-31,32.95,40814449.0,16178.4701,,,0.75
2006-01-31,32.15,27124022.0,15785.6696,,,0.75
2006-02-28,29.5,50237886.0,14484.518,,,0.75
2006-03-31,29.45,55388812.0,14459.968,,,0.75
2006-04-30,34.5,79863648.0,17725.122,,,0.75
2006-05-31,28.8,118547643.0,14140.8176,,,0.75
2006-06-30,25.5,54128596.0,12520.5156,,,0.75
2006-07-31,25.8,14372542.0,12667.8157,,,0.75
2006-08-31,25.95,42605957.0,12741.4658,,,0.75
2006-09-30,31.2,61946653.0,15319.219,,,0.0
2006-10-31,33.0,34241566.0,16203.0201,,,0.0
2006-11-30,31.65,25986974.0,15540.1693,,,0.0
2006-12-31,29.65,19632747.0,14558.1681,,,0.0
2007-01-31,34.7,62227851.0,17037.7212,,,0.0
2007-02-28,30.05,43147704.0,14754.5683,,,0.0
2007-03-31,28.35,30165531.0,13919.8673,6.976,1.5411,0.0
2007-04-30,33.55,32290451.0,16473.0705,8.2555,1.8238,0.0
2007-05-31,37.05,96304686.0,18191.5726,9.1168,2.014,0.0
2007-06-30,35.25,56531444.0,17307.7715,8.6738,1.9162,0.0
2007-07-31,41.35,151392194.0,20302.8752,10.1748,2.2478,0.0
2007-08-31,50.85,381181971.0,24967.381,12.5125,2.7642,0.0
2007-09-30,75.85,489870574.0,37242.4264,18.6641,4.1232,0.75
2007-10-31,84.1,454146756.0,41293.1847,20.6942,4.5717,0.75
2007-11-30,114.0,623187734.0,55974.1148,28.0516,6.197,0.75
2007-12-31,137.3,366356044.0,67414.4383,33.7849,7.4636,0.75
2008-01-31,76.25,297775759.0,37438.8268,18.7626,4.1449,0.75
2008-02-29,73.2,192678603.0,35941.2737,18.0121,3.9791,0.75
2008-03-31,54.0,139104171.0,26514.0544,12.4138,2.573,0.75
2008-04-30,70.55,180892718.0,34640.121,16.2184,3.3616,0.75
2008-05-31,60.6,122462125.0,29754.661,13.931,2.8875,0.75
2008-06-30,43.5,84925179.0,21358.5438,10.0,2.0727,0.75
2008-07-31,53.05,128615982.0,26047.6034,12.1954,2.5277,0.75
2008-08-31,52.2,98421925.0,25630.2526,12.0,2.4872,0.75
2008-09-30,41.85,56258656.0,20548.3921,9.6207,1.9941,0.75
2008-10-31,27.55,51884693.0,13527.0777,6.3333,1.3127,1.5
2008-11-30,26.25,38701432.0,12888.7764,6.0345,1.2508,1.5
2008-12-31,30.9,55504201.0,15171.9311,7.1034,1.4723,1.5
2009-01-31,30.9,79470749.0,15171.9311,7.1034,1.4723,1.5
2009-02-28,27.55,30266436.0,13527.0777,6.3333,1.3127,1.5
2009-03-31,29.15,32029725.0,14312.6794,10.0172,1.3312,1.5
2009-04-30,38.2,131547922.0,18756.2385,13.1271,1.7445,1.5
2009-05-31,70.35,275669566.0,34541.9208,24.1753,3.2128,1.5
2009-06-30,89.9,880241238.0,44140.9905,30.8935,4.1056,1.5
2009-07-31,82.7,435948213.0,40605.7833,28.4192,3.7768,1.5
2009-08-31,85.0,263322975.0,41735.0856,29.2096,3.8818,1.5
2009-09-30,82.65,106763159.0,40581.2332,28.4021,3.7745,1.5
2009-10-31,63.1,67441100.0,30982.1635,21.6838,2.8817,0.75
2009-11-30,71.25,96775507.0,34983.8218,24.4845,3.2539,0.75
2009-12-31,73.45,81164329.0,36064.024,25.2405,3.3543,0.75
2010-01-31,69.5,95866479.0,145649.7552,23.8832,3.1739,0.75
2010-02-28,68.0,36959824.0,142506.2354,23.3677,3.1054,0.75
2010-03-31,67.6,29027919.0,141667.9634,58.7826,4.2062,0.75
2010-04-30,74.0,48425214.0,155080.3149,64.3478,4.6045,0.75
2010-05-31,64.85,22874842.0,135904.8436,56.3913,4.0351,0.75
2010-06-30,69.1,23134505.0,144811.4833,60.087,4.2996,0.75
2010-07-31,69.85,21965053.0,146383.2432,60.7391,4.3462,0.75
2010-08-31,63.3,14472883.0,132656.5397,55.0435,3.9387,0.75
2010-09-30,63.7,17724725.0,133494.8116,55.3913,3.9636,0.75
2010-10-31,62.45,22551519.0,130875.2117,54.3043,3.8858,0.0
2010-11-30,53.8,38961868.0,112747.5803,46.7826,3.3476,0.0
2010-12-31,52.85,15063448.0,110756.6844,45.9565,3.2885,0.0
2011-01-31,45.1,18798987.0,94515.1649,39.2174,2.8062,0.0
2011-02-28,38.1,18536785.0,79845.4054,33.1304,2.3707,0.0
2011-03-31,42.15,17229305.0,88332.9091,51.4024,1.7098,0.0
2011-04-30,48.15,14498569.0,100906.9887,58.7195,1.9531,0.0
2011-05-31,49.2,10468390.0,103107.4526,60.0,1.9957,0.0
2011-06-30,47.85,18793521.0,100278.2847,58.3537,1.941,0.0
2011-07-31,43.05,5690914.0,90219.0211,52.5,1.7463,0.0
