JSAW IN Equity,price,volume,mc,pe,bm,div
1995-01-31,29.87,,14336.7604,,,0.6
1995-02-28,29.06,,13949.2804,,,0.6
1995-03-31,26.64,,12786.8404,,,0.6
1995-04-30,22.36,,10733.1963,,,0.6
1995-05-31,18.41,,8834.5443,,,0.6
1995-06-30,16.55,,7943.3402,,,0.6
1995-07-31,17.03,,8175.8282,,,0.6
1995-08-31,15.58,,7478.3642,,,0.6
1995-09-30,13.97,,6743.7128,,,0.6
1995-10-31,14.77,,7133.5228,,,0.6
1995-11-30,12.51,,6042.0548,,,0.3
1995-12-31,13.4,,6470.8458,,,0.3
1996-01-31,11.5,,5554.7924,,,0.3
1996-02-29,12.92,,6236.9598,,,0.3
1996-03-31,13.4,,6470.8458,,,0.3
1996-04-30,11.3,,5457.3399,,,0.3
1996-05-31,9.53,4660000.0,4599.7579,,,0.3
1996-06-30,10.88,5334000.0,5252.6896,,,0.3
1996-07-31,7.25,5685000.0,3498.5447,,,0.3
1996-08-31,6.3,2235500.0,3040.5179,,,0.3
1996-09-30,4.54,1372500.0,2192.6812,,,0.3
1996-10-31,4.22,6922010.0,2036.7572,,,0.3
1996-11-30,4.22,2003000.0,2036.7572,,,0.3
1996-12-31,4.28,1835500.0,2065.9929,,,0.3
1997-01-31,6.22,12752000.0,3001.5369,,,0.3
1997-02-28,5.85,3631000.0,2826.1224,,,0.3
1997-03-31,3.9,6008000.0,1880.8332,,,0.3
1997-04-30,4.02,2821000.0,1939.3047,,,0.3
1997-05-31,3.21,1631000.0,1549.4947,,,0.3
1997-06-30,2.95,1428000.0,1422.8065,,,0.3
1997-07-31,4.22,4129000.0,2036.7572,,,0.3
1997-08-31,3.63,7637500.0,1754.145,,,0.3
1997-09-30,3.35,2661000.0,1617.7115,,,0.3
1997-10-31,3.09,581000.0,1452.005,,,0.3
1997-11-30,2.89,1362000.0,1393.535,,,0.2
1997-12-31,3.25,1504000.0,1568.945,,,0.2
1998-01-31,2.83,1563000.0,1364.3,,,0.2
1998-02-28,3.0,579000.0,1450.056,,,0.2
1998-03-31,3.26,3569500.0,1572.843,,,0.2
1998-04-30,3.52,4962000.0,1701.477,,,0.2
1998-05-31,3.37,1608000.0,1625.466,,,0.2
1998-06-30,2.67,1047000.0,1288.289,,,0.2
1998-07-31,2.42,432000.0,1167.451,,,0.2
1998-08-31,2.09,355000.0,1007.633,,,0.2
1998-09-30,2.79,1392500.0,1348.708,,,0.2
1998-10-31,2.49,449000.0,1204.482,,,0.2
1998-11-30,2.56,1021000.0,1235.666,,,0.1
1998-12-31,2.45,2598000.0,1184.992,,,0.1
1999-01-31,2.39,2002500.0,1155.757,,,0.1
1999-02-28,2.07,857500.0,1001.786,,,0.1
1999-03-31,1.92,1188000.0,925.775,,,0.1
1999-04-30,1.58,447000.0,764.008,,,0.1
1999-05-31,1.75,663000.0,845.866,,,0.1
1999-06-30,1.84,438000.0,888.744,,,0.1
1999-07-31,2.08,1533500.0,1005.684,,,0.1
1999-08-31,2.99,5509500.0,1442.26,,,0.1
1999-09-30,3.08,3350000.0,1487.087,,,0.1
1999-10-31,3.51,5037000.0,1693.681,,,0.1
1999-11-30,3.98,5254500.0,1923.663,,,0.1
1999-12-31,4.36,5918500.0,2102.971,,,0.1
2000-01-31,3.44,1892000.0,1660.548,,,0.1
2000-02-29,2.58,1694000.0,1245.411,,,0.1
2000-03-31,2.03,1624500.0,980.347,,,0.1
2000-04-30,1.5,1145000.0,725.028,,,0.1
2000-05-31,1.76,681000.0,851.6912,,,0.1
2000-06-30,1.75,891500.0,843.8954,,,0.1
2000-07-31,1.68,867160.0,810.7632,,,0.1
2000-08-31,1.62,310450.0,781.529,,,0.1
2000-09-30,1.54,500210.0,742.55,,,0.1
2000-10-31,1.44,312780.0,695.7752,,,0.1
2000-11-30,2.18,454220.0,1050.4841,,,0.1
2000-12-31,4.49,21733970.0,2169.1814,,,0.1
2001-01-31,12.5,77014660.0,6035.8982,,,0.1
2001-02-28,18.43,157215460.0,8900.8547,,,0.1
2001-03-31,6.55,51909570.0,3163.1459,,,0.1
2001-04-30,8.44,25286510.0,4075.2545,,,0.1
2001-05-31,13.82,132853340.0,6671.2559,,,0.1
2001-06-30,6.77,223802400.0,3268.3892,,,0.1
2001-07-31,5.26,23884230.0,2537.5329,,,0.1
2001-08-31,5.31,12545530.0,2562.8693,,,0.1
2001-09-30,3.45,7515910.0,1664.4033,,,0.1
2001-10-31,5.8,32182060.0,2802.5901,,,0.1
2001-11-30,7.64,50791280.0,3689.3624,,,0.1
2001-12-31,6.51,81492930.0,3141.7074,,,0.1
2002-01-31,6.06,21612740.0,2925.374,,,0.1
2002-02-28,5.34,11663860.0,2578.5403,,,0.1
2002-03-31,6.02,21381690.0,2905.974,,,0.1
2002-04-30,6.13,23115370.0,2958.5973,,,0.1
2002-05-31,5.0,9900860.0,2412.8745,,,0.1
2002-06-30,6.98,64184560.0,3369.8384,,,0.1
2002-07-31,5.41,36255680.0,2613.6225,,,0.1
2002-08-31,5.5,9966070.0,2654.5517,,,0.1
