JUBI IN Equity,price,volume,mc,pe,bm,div
2010-02-28,22.98,1821569440.0,14617.0856,,,0.0
2010-03-31,31.36,1283150510.0,19951.7652,,16.9891,0.0
2010-04-30,34.0,1082965520.0,21631.3781,,18.4193,0.0
2010-05-31,28.09,361190890.0,17966.5041,,15.2176,0.0
2010-06-30,30.49,195494230.0,19498.3581,,16.515,0.0
2010-07-31,34.86,241139100.0,22433.1532,,18.8879,0.0
2010-08-31,48.67,1132577370.0,31315.691,,26.3667,0.0
2010-09-30,47.32,339009670.0,30447.0618,,25.6353,0.0
2010-10-31,51.23,197493640.0,33012.8165,,27.7535,0.0
2010-11-30,59.8,320464270.0,38538.5807,,32.399,0.0
2010-12-31,62.56,329400610.0,40313.9137,,33.8915,0.0
2011-01-31,54.64,151397560.0,35216.6826,,29.5981,0.0
2011-02-28,54.13,205870830.0,34887.9463,,29.3219,0.0
2011-03-31,53.92,141628430.0,34752.5843,,18.1784,0.0
2011-04-30,73.77,293734530.0,47605.4067,,24.8729,0.0
2011-05-31,84.23,528933750.0,54355.4752,,28.3997,0.0
2011-06-30,95.3,318210180.0,61499.1901,,32.1321,0.0
2011-07-31,85.46,358137100.0,55264.2485,,28.8144,0.0
2011-08-31,94.78,357216790.0,61291.1944,,31.9568,0.0
2011-09-30,79.32,306184020.0,51290.4736,,26.7425,0.0
2011-10-31,80.71,409336010.0,52401.6104,,27.2129,0.0
2011-11-30,77.23,318542310.0,50142.1926,,26.0395,0.0
2011-12-31,75.44,289174020.0,48980.0209,,25.436,0.0
2012-01-31,94.37,243794900.0,61388.0623,,31.8186,0.0
2012-02-29,104.09,273817650.0,67714.2096,,35.0975,0.0
2012-03-31,117.62,227222020.0,76509.0277,,39.656,0.0
2012-04-30,118.54,117376970.0,77143.3471,,39.9679,0.0
2012-05-31,127.77,221001280.0,83146.7837,,43.0783,0.0
2012-06-30,116.93,181799830.0,76092.339,,39.4234,0.0
2012-07-31,112.48,136969430.0,73274.3149,,37.923,0.0
2012-08-31,116.52,92071340.0,75906.2619,,39.2852,0.0
2012-09-30,137.27,72631790.0,89427.5595,,46.2831,0.0
2012-10-31,126.3,55091650.0,82349.3692,,42.5844,0.0
2012-11-30,125.78,116242870.0,82007.0618,,42.4073,0.0
2012-12-31,128.84,51255290.0,84008.7407,,43.4424,0.0
2013-01-31,120.06,63984270.0,78314.7756,,40.4804,0.0
2013-02-28,104.68,194776110.0,68282.4521,,35.2948,0.0
2013-03-31,124.69,82429680.0,81338.1681,,42.0432,0.0
2013-04-30,110.96,76449820.0,72435.2022,,37.4105,0.0
2013-05-31,110.3,121057720.0,72007.5918,,37.1897,0.0
2013-06-30,104.52,88370040.0,68234.1992,,35.2408,0.0
2013-07-31,112.57,66032110.0,73554.5266,,37.955,0.0
2013-08-31,100.53,65213030.0,65684.1894,,33.8938,0.0
2013-09-30,115.63,51538200.0,75550.7028,,38.9851,0.0
2013-10-31,118.99,49466990.0,77834.8312,,40.1197,0.0
2013-11-30,131.29,90332490.0,85880.6202,,44.2668,0.0
2013-12-31,127.21,44392230.0,83208.5065,,42.8895,0.0
2014-01-31,107.18,28386760.0,70121.2749,,36.136,0.0
2014-02-28,103.01,29798640.0,67392.9774,,34.73,0.0
2014-03-31,106.41,22562400.0,69617.4919,,35.8764,0.0
2014-04-30,94.6,47588810.0,61908.5977,,31.8978,0.0
2014-05-31,115.97,82131900.0,75886.3752,,39.0997,0.0
2014-06-30,130.79,44390270.0,85587.7119,,44.0982,0.0
2014-07-31,125.81,41882370.0,82384.558,,42.4191,0.0
2014-08-31,129.62,64413990.0,84876.1981,,43.7021,0.0
2014-09-30,123.07,58762800.0,80590.3111,,41.4953,0.0
2014-10-31,125.94,34068590.0,82546.333,,42.463,0.0
2014-11-30,142.96,62973440.0,93701.9514,,48.2016,0.0
2014-12-31,137.7,58946120.0,90274.3517,,46.4281,0.0
2015-01-31,139.01,39253080.0,91129.897,,46.8681,0.0
2015-02-28,164.79,110372130.0,108052.8025,,55.562,0.0
2015-03-31,147.83,48354300.0,96935.0932,,49.8453,0.0
2015-04-30,149.12,53870870.0,97777.6609,,50.2785,0.0
2015-05-31,179.06,92377290.0,117453.1417,,60.3717,0.0
2015-06-30,185.76,44101690.0,121921.592,,62.6307,0.0
2015-07-31,183.22,51805830.0,120254.4412,,61.7743,0.0
2015-08-31,166.72,68155440.0,109427.829,,56.2127,0.25
2015-09-30,160.14,39405470.0,105105.7224,,53.9924,0.25
2015-10-31,146.46,68122680.0,96261.9949,,49.3817,0.25
2015-11-30,154.34,97791460.0,101444.4694,,52.0402,0.25
2015-12-31,148.39,46569870.0,97527.2164,,50.3729,0.25
2016-01-31,127.22,59010520.0,83654.17,,,0.25
2016-02-29,99.49,137046360.0,65419.4482,,,0.25
2016-03-31,127.68,83139100.0,84010.4798,,,0.25
2016-04-30,115.69,108654720.0,76121.6426,,,0.25
2016-05-31,103.37,239565150.0,68009.1103,,,0.25
2016-06-30,113.59,139411640.0,74786.1991,,,0.25
2016-07-31,122.39,113831720.0,80576.4638,,,0.25
2016-08-31,117.43,108655690.0,77314.2988,,,0.25
2016-09-30,96.4,241972730.0,63465.7334,,,0.25
2016-10-31,100.9,179768400.0,66425.2307,,,0.25
2016-11-30,92.04,108938030.0,60595.4531,,,0.25
2016-12-31,85.35,110709760.0,56283.2082,,,0.25
2017-01-31,87.62,127201460.0,57780.2249,,,0.25
2017-02-28,101.08,170519590.0,66658.0263,,,0.25
2017-03-31,110.73,151806790.0,73028.7069,,,0.25
2017-04-30,104.22,73183770.0,68728.8273,,,0.25
2017-05-31,91.49,172203550.0,60337.715,,,0.25
2017-06-30,94.64,114822920.0,62415.1421,,,0.25
2017-07-31,131.78,329347090.0,86947.7634,,,0.25
2017-08-31,139.45,230557740.0,92011.8809,,,0.25
2017-09-30,139.1,212628000.0,91777.6448,,,0.25
2017-10-31,163.27,296938890.0,107725.4911,,,0.25
2017-11-30,177.52,142082930.0,117133.0571,,,0.25
2017-12-31,176.11,123256280.0,116202.6965,,,0.25
2018-01-31,204.32,319670000.0,134819.5733,,,0.25
2018-02-28,203.4,185888520.0,134212.5137,,,0.25
2018-03-31,232.58,233259030.0,153470.0958,,,0.25
2018-04-30,254.03,177731890.0,167617.1769,,,0.25
2018-05-31,250.86,296816170.0,165528.7669,,,0.25
2018-06-30,277.29,187685140.0,182968.4755,,,0.25
