JWL IN Equity,price,volume,mc,pe,bm,div
2010-10-31,108.05,77512087.0,5936.2669,,,0.0
2010-11-30,93.35,4758414.0,5128.6489,,,0.0
2010-12-31,48.55,5996278.0,2667.3369,,,0.0
2011-01-31,39.65,3462945.0,2178.3709,,,0.0
2011-02-28,29.85,1608241.0,1639.959,,,0.0
2011-03-31,43.95,3065310.0,2414.6129,,,0.0
2011-04-30,37.85,1612037.0,2079.4789,,,0.0
2011-05-31,36.3,381915.0,1994.322,,,0.0
2011-06-30,35.25,1839250.0,1936.635,,,0.0
2011-07-31,42.95,2765172.0,2359.6729,,,0.0
2011-08-31,34.8,563179.0,1911.912,,,0.0
2011-09-30,32.85,2111874.0,1804.779,,,0.0
2011-10-31,41.05,1836188.0,2255.2869,,,0.0
2011-11-30,45.35,3652331.0,2491.5289,,,0.0
2011-12-31,56.3,2715459.0,3093.1219,,,0.0
2012-01-31,61.15,2486341.0,3359.5809,,,0.0
2012-02-29,60.6,4156961.0,3329.3639,,,0.0
2012-03-31,60.05,2245634.0,3299.3272,,,0.0
2012-04-30,68.65,7695163.0,3771.837,,,0.0
2012-05-31,69.3,8176662.0,3807.55,,,0.0
2012-06-30,88.5,12467999.0,4862.4556,,,0.0
2012-07-31,91.05,7092835.0,5002.5602,,,0.0
2012-08-31,88.3,8948942.0,4851.467,,,0.0
2012-09-30,96.45,6867283.0,5299.2524,,,0.0
2012-10-31,99.3,8970841.0,5455.84,,,0.0
2012-11-30,102.65,5885967.0,5639.899,,,0.0
2012-12-31,92.6,5998380.0,5087.7219,,,0.0
2013-01-31,73.85,6982860.0,4057.5406,,,0.0
2013-02-28,31.3,52688144.0,1719.7159,,,0.0
2013-03-31,29.55,5839264.0,1623.5657,,,0.0
2013-04-30,25.75,3515732.0,1414.7823,,,0.0
2013-05-31,16.8,5441166.0,923.0424,,,0.0
2013-06-30,13.95,2639361.0,766.4543,,,0.0
2013-07-31,10.65,1420026.0,585.1426,,,0.0
2013-08-31,8.35,1279650.0,458.7737,,,0.0
2013-09-30,8.4,1597126.0,461.5209,,,0.0
2013-10-31,9.55,3164774.0,524.7053,,,0.0
2013-11-30,9.25,1112902.0,508.2224,,,0.0
2013-12-31,10.7,1976234.0,587.8897,,,0.0
2014-01-31,10.8,2911531.0,593.384,,,0.0
2014-02-28,9.8,1368836.0,538.441,,,0.0
2014-03-31,10.65,1751892.0,585.1426,,0.2838,0.0
2014-04-30,13.1,2807327.0,719.7528,,0.3491,0.0
2014-05-31,17.8,4485706.0,977.9847,,0.4744,0.0
2014-06-30,23.1,3435218.0,1269.1824,,0.6156,0.0
2014-07-31,18.1,1641401.0,994.4676,,0.4823,0.0
2014-08-31,15.25,1124134.0,837.8802,,0.4064,0.0
2014-09-30,18.8,2241116.0,1032.9277,,0.501,0.0
2014-10-31,19.1,758538.0,1049.4106,,0.509,0.0
2014-11-30,18.75,1569406.0,1030.1805,,0.4997,0.0
2014-12-31,20.8,3744276.0,1142.8136,,0.5543,0.0
2015-01-31,23.35,5609308.0,1282.9182,,0.6223,0.0
2015-02-28,22.9,3905376.0,1258.1947,,0.6103,0.0
2015-03-31,18.55,1876008.0,1019.192,,0.9049,0.0
2015-04-30,22.1,4539056.0,1214.2395,,1.0781,0.0
2015-05-31,21.65,2750381.0,1189.5151,,1.0562,0.0
2015-06-30,17.8,1629323.0,977.9847,,0.8683,0.0
2015-07-31,21.95,3047921.0,1205.998,,1.0708,0.0
2015-08-31,18.55,2427261.0,1019.192,,0.9049,0.0
2015-09-30,16.25,871803.0,892.8231,,0.7927,0.0
2015-10-31,18.45,1447576.0,1013.6977,,0.9001,0.0
2015-11-30,23.65,3211148.0,1299.4011,,1.1537,0.0
2015-12-31,24.8,6949675.0,1362.5855,,1.2098,0.0
2016-01-31,22.7,6576947.0,1247.2053,,1.1074,0.0
2016-02-29,17.85,1534429.0,980.7319,,0.8708,0.0
2016-03-31,17.1,1383016.0,939.5247,,7.9191,0.0
2016-04-30,19.05,1930730.0,1046.6634,,8.8221,0.0
2016-05-31,15.05,1778677.0,826.8916,,6.9697,0.0
2016-06-30,16.0,2909753.0,879.0874,,7.4096,0.0
2016-07-31,15.0,2573647.0,824.1444,,6.9465,0.0
2016-08-31,14.0,1814504.0,769.2015,,6.4834,0.0
2016-09-30,12.8,2848194.0,703.2699,,5.9277,0.0
2016-10-31,15.4,11107570.0,846.1216,,7.1318,0.0
2016-11-30,13.6,1937752.0,747.2243,,6.2982,0.0
2016-12-31,12.8,993681.0,703.2699,,5.9277,0.0
2017-01-31,13.65,4120155.0,749.9714,,6.3214,0.0
2017-02-28,13.85,3039178.0,760.96,,6.414,0.0
2017-03-31,13.3,1807102.0,730.7414,,6.113,0.0
2017-04-30,13.75,3509167.0,755.4657,,,0.0
2017-05-31,11.95,1247370.0,656.5684,,,0.0
2017-06-30,11.0,1102510.0,604.3726,,,0.0
2017-07-31,12.0,4930040.0,659.3156,,,0.0
2017-08-31,10.3,1122376.0,565.9125,,,0.0
2017-09-30,11.0,2500101.0,604.3726,,,0.0
2017-10-31,11.25,2246477.0,618.1083,,,0.0
2017-11-30,13.5,5225530.0,741.73,,,0.0
2017-12-31,19.2,12401001.0,1054.9049,,,0.0
2018-01-31,17.4,4945328.0,956.0076,,,0.0
2018-02-28,16.4,1282490.0,901.0646,,,0.0
2018-03-31,14.65,1727161.0,804.9144,,,0.0
2018-04-30,14.8,1450761.0,813.1559,,,0.0
2018-05-31,13.75,957460.0,755.4658,,,0.0
2018-06-30,12.95,1068461.0,711.5114,,,0.0
2018-07-31,13.15,579496.0,722.5,,,0.0
2018-08-31,12.95,897366.0,711.5114,,,0.0
2018-09-30,13.75,1958009.0,755.4658,,,0.0
2018-10-31,14.3,914280.0,785.6844,,,0.0
2018-11-30,18.4,2493962.0,1010.9505,,,0.0
2018-12-31,27.7,5297515.0,1521.9201,,,0.0
2019-01-31,19.6,1557013.0,1076.8821,,,0.0
2019-02-28,19.95,898889.0,1785.179,,,0.0
2019-03-31,19.95,1253993.0,1785.179,1.3835,1.8624,0.0
2019-04-30,18.2,660872.0,1628.5844,1.2621,1.699,0.0
2019-05-31,19.45,734550.0,1740.4377,1.3488,1.8157,0.0
2019-06-30,17.95,899401.0,1606.2137,1.2448,1.6757,0.0
2019-07-31,15.3,768093.0,1369.0847,1.061,1.4283,0.0
2019-08-31,13.75,397812.0,1230.3865,0.9535,1.2836,0.0
2019-09-30,14.65,1995558.0,1310.9209,1.016,1.3676,0.0
2019-10-31,13.75,887251.0,1230.3865,0.9535,1.2836,0.0
2019-11-30,16.35,3666245.0,1463.0414,1.1338,1.5263,0.0
2019-12-31,14.7,1116768.0,1315.3951,1.0194,1.3723,0.0
2020-01-31,14.85,2411213.0,1328.8175,1.0298,1.3863,0.0
2020-02-29,13.6,1047960.0,1216.9641,0.9431,1.2696,0.0
2020-03-31,7.95,1031041.0,711.3871,0.5201,0.7454,0.0
2020-04-30,8.25,476799.0,738.2319,,0.7735,0.0
2020-05-31,8.4,338796.0,751.6543,,0.7876,0.0
2020-06-30,12.75,1825547.0,1140.9039,,1.1954,0.0
2020-07-31,11.95,1480733.0,1069.3178,,1.1204,0.0
2020-08-31,16.25,2320661.0,1454.0932,,1.5235,0.0
2020-09-30,15.45,1473145.0,1382.5071,,1.4485,0.0
2020-10-31,13.55,507051.0,1212.49,,1.2704,0.0
2020-11-30,14.7,689504.0,1315.3951,,1.3782,0.0
2020-12-31,20.2,5254427.0,1807.5497,,1.8939,0.0
